SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MDM10

Rank	Gene	Common	Score
Q	YAL010C	MDM10	
1	YAL016W	TPD3	2.2
2	YAR027W	UIP3	2.2
3	YJR062C	NTA1	2.1
4	YNR006W	VPS27	2.1
5	YOL117W	RRI2	2.1
6	YDL234C	GYP7	2.1
7	YAL041W	CDC24	2.1
8	YKL179C	COY1	2.0
9	YJL036W	SNX4	2.0
10	YAL034C	FUN19	2.0
11	YEL005C	VAB2	2.0
12	YDR358W	GGA1	2.0
13	YCL052C	PBN1	2.0
14	YOR035C	SHE4	2.0
15	YKL193C	SDS22	2.0
16	YOR386W	PHR1	2.0
17	YPL196W	OXR1	2.0
18	YIL007C	NAS2	2.0
19	YAL031C	GIP4	2.0
20	YDL076C	RXT3	2.0
21	YIL097W	FYV10	2.0
22	YKL213C	DOA1	2.0
23	YAL015C	NTG1	2.0
24	YLR148W	PEP3	2.0
25	YJL031C	BET4	2.0
26	YBR255W	MTC4	2.0
27	YNL051W	COG5	2.0
28	YBR236C	ABD1	2.0
29	YCR066W	RAD18	2.0
30	YMR284W	YKU70	2.0
31	YJR035W	RAD26	2.0
32	YER139C	RTR1	2.0
33	YNL253W	TEX1	2.0
34	YPR047W	MSF1	2.0
35	YPL070W	MUK1	2.0
36	YDR169C	STB3	1.9
37	YCL004W	PGS1	1.9
38	YDL029W	ARP2	1.9
39	YAL009W	SPO7	1.9
40	YAR019C	CDC15	1.9
41	YLR240W	VPS34	1.9
42	YAL008W	FUN14	1.9
43	YAL014C	SYN8	1.9
44	YJL204C	RCY1	1.9
45	YLR362W	STE11	1.9
46	YBR273C	UBX7	1.9
47	YBL019W	APN2	1.9
48	YNR035C	ARC35	1.9
49	YER143W	DDI1	1.9
50	YJL053W	PEP8	1.9
51	YML068W	ITT1	1.9
52	YGR100W	MDR1	1.9
53	YBL080C	PET112	1.9
54	YOL025W	LAG2	1.9
55	YBR193C	MED8	1.9
56	YOR069W	VPS5	1.9
57	YDR014W	RAD61	1.9
58	YPL104W	MSD1	1.9
59	YOR275C	RIM20	1.9
60	YHR161C	YAP1801	1.9
61	YPL096W	PNG1	1.9
62	YDR164C	SEC1	1.9
63	YGL059W	PKP2	1.9
64	YKL094W	YJU3	1.9
65	YHL009C	YAP3	1.9
66	YKL017C	HCS1	1.9
67	YJL154C	VPS35	1.9
68	YKL168C	KKQ8	1.9
69	YML004C	GLO1	1.9
70	YGL004C	RPN14	1.9
71	YPL249C	GYP5	1.9
72	YDR202C	RAV2	1.9
73	YOL018C	TLG2	1.9
74	YBR272C	HSM3	1.9
75	YKR021W	ALY1	1.9
76	YKL103C	APE1	1.9
77	YGL128C	CWC23	1.9
78	YML057W	CMP2	1.9
79	YDR320C	SWA2	1.8
80	YCL032W	STE50	1.8
81	YDR074W	TPS2	1.8
82	YMR278W	PRM15	1.8
83	YKL039W	PTM1	1.8
84	YMR156C	TPP1	1.8
85	YFR008W	FAR7	1.8
86	YDL106C	PHO2	1.8
87	YBR215W	HPC2	1.8
88	YDR350C	ATP22	1.8
89	YER022W	SRB4	1.8
90	YBR165W	UBS1	1.8
91	YFR010W	UBP6	1.8
92	YCR009C	RVS161	1.8
