SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YAL065C

Rank	Gene	Common	Score
Q	YAL065C	YAL065C	
1	YLR234W	TOP3	2.2
2	YFL060C	SNO3	2.1
3	YIL029C	EMA17	2.1
4	YDR344C	YDR344C	2.1
5	YPR018W	RLF2	2.1
6	YPR201W	ARR3	2.0
7	YLR307W	CDA1	1.9
8	YGL152C	YGL152C	1.9
9	YAL063C	FLO9	1.6
10	YDR522C	SPS2	1.6
11	YHR211W	FLO5	1.3
12	YDR402C	DIT2	1.3
13	YAR050W	FLO1	1.3
14	YAL064C-A	TDA8	1.3
15	YGL096W	TOS8	1.2
16	YKL217W	JEN1	1.2
17	YBR076W	ECM8	1.2
18	YBR203W	COS111	1.2
19	YOR031W	CRS5	1.2
20	YGL260W	YGL260W	1.2
21	YAL068C	PAU8	1.2
22	YJL043W	YJL043W	1.2
23	YNR070W	PDR18	1.2
24	YFL020C	PAU5	1.2
25	YAL064W-B	YAL064W-B	1.2
26	YBL049W	MOH1	1.2
27	YJL223C	PAU1	1.2
28	YMR325W	PAU19	1.2
29	YBL078C	ATG8	1.1
30	YDL114W	YDL114W	1.1
31	YCR104W	PAU3	1.1
32	YKR102W	FLO10	1.1
33	YBR301W	PAU24	1.1
34	YDL024C	DIA3	1.1
35	YIR039C	YPS6	1.1
36	YBR299W	MAL32	1.1
37	YDR542W	PAU10	1.1
38	YNR076W	PAU6	1.1
39	YAR023C	DFP1	1.1
40	YAL054C	ACS1	1.1
41	YHR213W	YHR213W	1.1
42	YDL244W	THI13	1.1
43	YEL059C-A	SOM1	1.1
44	YLL025W	PAU17	1.1
45	YCR083W	TRX3	1.1
46	YHR044C	DOG1	1.1
47	YGL259W	YPS5	1.1
48	YIR013C	GAT4	1.1
49	YGR153W	YGR153W	1.1
50	YLL064C	PAU18	1.1
51	YIL176C	PAU14	1.1
52	YMR107W	SPG4	1.1
53	YKL070W	YKL070W	1.1
54	YHR033W	YHR033W	1.1
55	YBL048W	RRT1	1.1
56	YPL282C	PAU22	1.1
57	YMR253C	YMR253C	1.1
58	YIL055C	YIL055C	1.1
59	YGL262W	YGL262W	1.1
60	YER038C	KRE29	1.1
61	YIL146C	ATG32	1.1
62	YAR035W	YAT1	1.1
63	YJL216C	IMA5	1.1
64	YHL046C	PAU13	1.1
65	YAL064W	YAL064W	1.1
66	YAL018C	LDS1	1.1
67	YGL121C	GPG1	1.1
68	YLR012C	YLR012C	1.1
69	YCR097W	HMRA1	1.1
70	YIL120W	QDR1	1.1
71	YDL247W	MPH2	1.1
72	YDR059C	UBC5	1.1
73	YDR043C	NRG1	1.1
74	YPL054W	LEE1	1.1
75	YJL100W	LSB6	1.1
76	YLL041C	SDH2	1.1
77	YOR391C	HSP33	1.1
78	YMR181C	YMR181C	1.1
79	YPL230W	USV1	1.0
80	YAR068W	YAR068W	1.0
81	YDR446W	ECM11	1.0
82	YMR118C	SHH3	1.0
83	YIL101C	XBP1	1.0
84	YHR014W	SPO13	1.0
85	YFR035C	YFR035C	1.0
86	YNR002C	ATO2	1.0
87	YLR174W	IDP2	1.0
88	YHR139C	SPS100	1.0
89	YMR322C	SNO4	1.0
90	YDR504C	SPG3	1.0
91	YFR057W	YFR057W	1.0
92	YIR041W	PAU15	1.0
93	YKR103W	NFT1	1.0
94	YHR176W	FMO1	1.0
95	YLR037C	PAU23	1.0
96	YBR050C	REG2	1.0
97	YIL163C	YIL163C	1.0
98	YBL029W	YBL029W	1.0
99	YPR026W	ATH1	1.0
100	YHR138C	YHR138C	1.0
101	YKL224C	PAU16	1.0
102	YGL235W	YGL235W	1.0
103	YJR158W	HXT16	1.0
104	YOR389W	YOR389W	1.0
105	YBR072W	HSP26	1.0
106	YLR327C	TMA10	1.0
107	YEL069C	HXT13	1.0
108	YGL158W	RCK1	1.0
109	YDR262W	YDR262W	1.0
110	YMR175W	SIP18	1.0
111	YKR049C	FMP46	1.0
112	YGR201C	YGR201C	1.0
113	YNL009W	IDP3	1.0
114	YKR046C	PLN1	1.0
115	YMR251W	GTO3	1.0
116	YGR154C	GTO1	1.0
117	YEL049W	PAU2	1.0
118	YML118W	NGL3	1.0
119	YGL261C	PAU11	1.0
120	YER037W	PHM8	1.0
121	YHR178W	STB5	1.0
122	YGL156W	AMS1	1.0
123	YGR066C	GID10	1.0
124	YJL028W	YJL028W	1.0
125	YKR015C	YKR015C	1.0
126	YGR294W	PAU12	1.0
127	YPL222W	FMP40	1.0
128	YJR061W	MNN14	1.0
129	YLL061W	MMP1	1.0
130	YDR114C	YDR114C	1.0
131	YDL149W	ATG9	1.0
132	YOR378W	AMF1	1.0
133	YDR070C	FMP16	1.0
134	YGR287C	IMA1	1.0
135	YGR161C	RTS3	1.0
136	YHR160C	PEX18	1.0
137	YLL055W	YCT1	1.0
138	YBR019C	GAL10	1.0
139	YNL146W	YNL146W	1.0
140	YJL221C	IMA4	1.0
141	YFL053W	DAK2	1.0
142	YKL221W	MCH2	1.0
143	YEL070W	DSF1	1.0
144	YLR164W	SHH4	1.0
145	YPL113C	YPL113C	1.0
146	YJL185C	ATG36	1.0
147	YAR020C	PAU7	1.0
148	YGR292W	MAL12	1.0
149	YPR015C	YPR015C	1.0
150	YPL056C	LCL1	1.0
151	YOL161C	PAU20	1.0
152	YCR098C	GIT1	1.0
153	YGR043C	NQM1	1.0
154	YGR213C	RTA1	1.0
155	YBL064C	PRX1	1.0
156	YGL180W	ATG1	1.0
157	YOR190W	SPR1	1.0
158	YER053C	PIC2	1.0
159	YJL023C	PET130	1.0
160	YIL160C	POT1	1.0
161	YDR223W	CRF1	1.0
162	YOL165C	AAD15	1.0
163	YBR269C	SDH8	1.0
