SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RFA1

Rank	Gene	Common	Score
Q	YAR007C	RFA1	
1	YNL312W	RFA2	3.5
2	YIL026C	IRR1	3.1
3	YLR183C	TOS4	3.1
4	YBR088C	POL30	3.1
5	YOL090W	MSH2	3.1
6	YDL101C	DUN1	3.0
7	YDL103C	QRI1	3.0
8	YDL003W	MCD1	2.9
9	YJL074C	SMC3	2.9
10	YML069W	POB3	2.9
11	YAR008W	SEN34	2.9
12	YGL048C	RPT6	2.9
13	YLR103C	CDC45	2.9
14	YOR074C	CDC21	2.8
15	YFL008W	SMC1	2.8
16	YMR076C	PDS5	2.8
17	YDL164C	CDC9	2.8
18	YNL233W	BNI4	2.8
19	YPR103W	PRE2	2.8
20	YHR027C	RPN1	2.8
21	YKL113C	RAD27	2.7
22	YOL017W	ESC8	2.7
23	YER021W	RPN3	2.7
24	YKL045W	PRI2	2.7
25	YER070W	RNR1	2.7
26	YGL093W	SPC105	2.7
27	YOR117W	RPT5	2.7
28	YNL102W	POL1	2.7
29	YNL273W	TOF1	2.7
30	YBL058W	SHP1	2.7
31	YPL153C	RAD53	2.7
32	YCL057W	PRD1	2.7
33	YER095W	RAD51	2.7
34	YOR362C	PRE10	2.6
35	YDR097C	MSH6	2.6
36	YFR010W	UBP6	2.6
37	YJL187C	SWE1	2.6
38	YNL082W	PMS1	2.6
39	YMR179W	SPT21	2.6
40	YMR078C	CTF18	2.6
41	YPR108W	RPN7	2.6
42	YBL035C	POL12	2.6
43	YDL018C	ERP3	2.6
44	YBL022C	PIM1	2.6
45	YNL263C	YIF1	2.6
46	YPR135W	CTF4	2.6
47	YJR006W	POL31	2.6
48	YCL024W	KCC4	2.6
49	YDL007W	RPT2	2.6
50	YJL001W	PRE3	2.6
51	YDL097C	RPN6	2.6
52	YJL115W	ASF1	2.6
53	YPL124W	SPC29	2.6
54	YDL100C	GET3	2.6
55	YDL132W	CDC53	2.6
56	YAL016W	TPD3	2.6
57	YOR157C	PUP1	2.6
58	YDR394W	RPT3	2.5
59	YBR073W	RDH54	2.5
60	YER012W	PRE1	2.5
61	YDR507C	GIN4	2.5
62	YFR052W	RPN12	2.5
63	YPL267W	ACM1	2.5
64	YGR135W	PRE9	2.5
65	YJL173C	RFA3	2.5
66	YOR259C	RPT4	2.5
67	YGL094C	PAN2	2.5
68	YGL011C	SCL1	2.5
69	YFR050C	PRE4	2.5
70	YKL213C	DOA1	2.5
71	YPR175W	DPB2	2.5
72	YJL102W	MEF2	2.5
73	YBR170C	NPL4	2.5
74	YJR117W	STE24	2.5
75	YKL126W	YPK1	2.5
76	YOL038W	PRE6	2.5
77	YLR212C	TUB4	2.5
78	YMR314W	PRE5	2.5
79	YFR027W	ECO1	2.4
80	YKL101W	HSL1	2.4
81	YKL145W	RPT1	2.4
82	YGL207W	SPT16	2.4
83	YIL140W	AXL2	2.4
84	YML092C	PRE8	2.4
85	YKR001C	VPS1	2.4
86	YBL041W	PRE7	2.4
87	YBR070C	ALG14	2.4
88	YLR383W	SMC6	2.4
89	YER003C	PMI40	2.4
90	YHR154W	RTT107	2.4
91	YLR386W	VAC14	2.4
92	YDR503C	LPP1	2.4
93	YGR253C	PUP2	2.4
94	YJL073W	JEM1	2.4
95	YBR233W	PBP2	2.4
96	YMR004W	MVP1	2.4
97	YHL030W	ECM29	2.4
98	YLL002W	RTT109	2.4
99	YLR313C	SPH1	2.4
100	YDL147W	RPN5	2.4
101	YNL166C	BNI5	2.4
102	YML109W	ZDS2	2.4
103	YCL052C	PBN1	2.4
104	YAR002W	NUP60	2.4
105	YOR261C	RPN8	2.4
106	YHR110W	ERP5	2.4
107	YAL007C	ERP2	2.4
108	YER094C	PUP3	2.3
109	YML032C	RAD52	2.3
110	YOR144C	ELG1	2.3
111	YGR152C	RSR1	2.3
112	YGL163C	RAD54	2.3
113	YAL023C	PMT2	2.3
114	YNL262W	POL2	2.3
115	YPL091W	GLR1	2.3
116	YPL208W	RKM1	2.3
117	YGR048W	UFD1	2.3
118	YGR231C	PHB2	2.3
119	YMR092C	AIP1	2.3
120	YOL049W	GSH2	2.3
121	YKL210W	UBA1	2.3
122	YMR048W	CSM3	2.3
123	YJL123C	MTC1	2.3
124	YJL036W	SNX4	2.3
125	YNL304W	YPT11	2.3
126	YGR109C	CLB6	2.3
127	YML102W	CAC2	2.3
128	YLR387C	REH1	2.3
129	YKL117W	SBA1	2.3
130	YML061C	PIF1	2.3
131	YGL027C	CWH41	2.3
