SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DFP1

Rank	Gene	Common	Score
Q	YAR023C	DFP1	
1	YJR096W	YJR096W	1.5
2	YAR027W	UIP3	1.5
3	YAR020C	PAU7	1.5
4	YBL049W	MOH1	1.5
5	YAR033W	MST28	1.5
6	YAL028W	FRT2	1.4
7	YMR170C	ALD2	1.4
8	YBR006W	UGA2	1.4
9	YLR251W	SYM1	1.4
10	YBR280C	SAF1	1.4
11	YBR169C	SSE2	1.4
12	YBL078C	ATG8	1.4
13	YOR289W	YOR289W	1.4
14	YDL238C	GUD1	1.4
15	YJL161W	FMP33	1.4
16	YAL008W	FUN14	1.4
17	YMR271C	URA10	1.4
18	YAL054C	ACS1	1.4
19	YNR007C	ATG3	1.4
20	YLR080W	EMP46	1.4
21	YEL073C	YEL073C	1.4
22	YOL083W	ATG34	1.4
23	YNL305C	BXI1	1.4
24	YDL021W	GPM2	1.4
25	YDL024C	DIA3	1.4
26	YAL034C	FUN19	1.4
27	YOL032W	OPI10	1.4
28	YDL234C	GYP7	1.4
29	YDR058C	TGL2	1.4
30	YJL144W	ROQ1	1.4
31	YIL045W	PIG2	1.4
32	YKL091C	YKL091C	1.4
33	YAL017W	PSK1	1.4
34	YKR049C	FMP46	1.4
35	YMR020W	FMS1	1.4
36	YBR214W	SDS24	1.4
37	YAL049C	AIM2	1.4
38	YKL064W	MNR2	1.4
39	YOR031W	CRS5	1.4
40	YDR070C	FMP16	1.4
41	YBR183W	YPC1	1.4
42	YMR040W	YET2	1.4
43	YML002W	VRL1	1.4
44	YMR114C	YMR114C	1.4
45	YNL200C	NNR1	1.4
46	YDL169C	UGX2	1.3
47	YGL121C	GPG1	1.3
48	YPR026W	ATH1	1.3
49	YKL026C	GPX1	1.3
50	YDR391C	YDR391C	1.3
51	YDR018C	YDR018C	1.3
52	YBR018C	GAL7	1.3
53	YJR155W	AAD10	1.3
54	YCR079W	PTC6	1.3
55	YLR271W	CMG1	1.3
56	YER150W	SPI1	1.3
57	YJR008W	MHO1	1.3
58	YAR028W	KTD1	1.3
59	YPL196W	OXR1	1.3
60	YCR007C	DFP3	1.3
61	YLR149C	GID11	1.3
62	YOR386W	PHR1	1.3
63	YBR241C	VVS1	1.3
64	YOR220W	RCN2	1.3
65	YEL060C	PRB1	1.3
66	YAR019C	CDC15	1.3
67	YNL012W	SPO1	1.3
68	YBR240C	THI2	1.3
69	YOR120W	GCY1	1.3
70	YDR204W	COQ4	1.3
71	YBR137W	YBR137W	1.3
72	YDR287W	INM2	1.3
73	YML128C	MSC1	1.3
74	YOR228C	MCP1	1.3
75	YJL163C	YJL163C	1.3
76	YMR135C	GID8	1.3
77	YBR053C	YBR053C	1.3
78	YPL247C	YPL247C	1.3
79	YOR292C	YOR292C	1.3
80	YAL027W	SAW1	1.3
81	YIL097W	FYV10	1.3
82	YJL036W	SNX4	1.3
83	YJL185C	ATG36	1.3
84	YAL055W	PEX22	1.3
85	YPL230W	USV1	1.3
86	YGL053W	PRM8	1.3
87	YLR345W	YLR345W	1.3
88	YMR278W	PRM15	1.3
89	YJL141C	YAK1	1.3
90	YCL035C	GRX1	1.3
91	YML054C	CYB2	1.3
92	YKL162C	YKL162C	1.3
93	YDL057W	YDL057W	1.3
94	YBR287W	YBR287W	1.3
95	YER175C	TMT1	1.3
96	YDR479C	PEX29	1.3
97	YKL133C	RCI50	1.3
98	YIL101C	XBP1	1.3
99	YBR046C	ZTA1	1.3
100	YBL048W	RRT1	1.3
101	YIL113W	SDP1	1.3
102	YOR052C	TMC1	1.3
103	YPL119C	DBP1	1.3
104	YER039C	HVG1	1.3
105	YNR002C	ATO2	1.3
106	YPL087W	YDC1	1.3
107	YMR140W	SIP5	1.3
108	YOR059C	LPL1	1.3
109	YPL206C	PGC1	1.3
