SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: KTD1

Rank	Gene	Common	Score
Q	YAR028W	KTD1	
1	YAR033W	MST28	2.0
2	YAR029W	DFP2	1.8
3	YAR027W	UIP3	1.7
4	YAR031W	PRM9	1.7
5	YIL111W	COX5B	1.6
6	YER150W	SPI1	1.5
7	YBR145W	ADH5	1.5
8	YOR220W	RCN2	1.5
9	YJL151C	SNA3	1.5
10	YCR021C	HSP30	1.5
11	YPR156C	TPO3	1.5
12	YIR035C	NRE1	1.5
13	YMR319C	FET4	1.5
14	YBR054W	YRO2	1.4
15	YGR138C	TPO2	1.4
16	YBR053C	YBR053C	1.4
17	YMR298W	LIP1	1.4
18	YLR297W	YLR297W	1.4
19	YGL051W	MST27	1.4
20	YOR289W	YOR289W	1.4
21	YMR020W	FMS1	1.4
22	YER134C	YER134C	1.4
23	YPL087W	YDC1	1.4
24	YBR183W	YPC1	1.4
25	YDR368W	YPR1	1.4
26	YML070W	DAK1	1.4
27	YOL159C	CSS3	1.4
28	YBR056W	MRX18	1.4
29	YOL016C	CMK2	1.4
30	YNL264C	PDR17	1.4
31	YDL072C	YET3	1.4
32	YDR516C	EMI2	1.4
33	YOR245C	DGA1	1.4
34	YJR096W	YJR096W	1.4
35	YMR195W	ICY1	1.4
36	YPR157W	TDA6	1.4
37	YAL049C	AIM2	1.4
38	YOR306C	MCH5	1.4
39	YGR044C	RME1	1.4
40	YHR046C	INM1	1.4
41	YOR044W	IRC23	1.4
42	YDR391C	YDR391C	1.4
43	YOL129W	VPS68	1.4
44	YGL053W	PRM8	1.4
45	YOR179C	SYC1	1.4
46	YMR316W	DIA1	1.4
47	YCL035C	GRX1	1.4
48	YLR375W	STP3	1.4
49	YLL026W	HSP104	1.4
50	YJL171C	TOH1	1.4
51	YER130C	COM2	1.4
52	YBR214W	SDS24	1.4
53	YLR414C	PUN1	1.4
54	YLR447C	VMA6	1.4
55	YPR113W	PIS1	1.4
56	YDR258C	HSP78	1.4
57	YDL048C	STP4	1.4
58	YLR257W	YLR257W	1.4
59	YBL049W	MOH1	1.3
60	YGR136W	LSB1	1.3
61	YPL095C	EEB1	1.3
62	YGR295C	COS6	1.3
63	YKL189W	HYM1	1.3
64	YAR023C	DFP1	1.3
65	YGL248W	PDE1	1.3
66	YOL143C	RIB4	1.3
67	YJL053W	PEP8	1.3
68	YBR006W	UGA2	1.3
69	YKL065C	YET1	1.3
70	YHL044W	DFP4	1.3
71	YCL033C	MXR2	1.3
72	YCR005C	CIT2	1.3
73	YOL014W	YOL014W	1.3
74	YFL062W	COS4	1.3
75	YER158C	YER158C	1.3
76	YDR044W	HEM13	1.3
77	YKR088C	TVP38	1.3
78	YBR085W	AAC3	1.3
79	YCR069W	CPR4	1.3
80	YBR169C	SSE2	1.3
81	YDR539W	FDC1	1.3
82	YJR099W	YUH1	1.3
83	YER053C	PIC2	1.3
84	YDR005C	MAF1	1.3
85	YDL057W	YDL057W	1.3
86	YDL248W	COS7	1.3
87	YAL037W	YAL037W	1.3
88	YLR290C	COQ11	1.3
89	YEL047C	FRD1	1.3
90	YMR173W	DDR48	1.3
91	YBR072W	HSP26	1.3
92	YHR104W	GRE3	1.3
93	YGL121C	GPG1	1.3
94	YBR096W	YBR096W	1.3
95	YBL078C	ATG8	1.3
96	YMR090W	YMR090W	1.3
97	YIL116W	HIS5	1.3
98	YNL305C	BXI1	1.3
