SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: FUS3

Rank	Gene	Common	Score
Q	YBL016W	FUS3	
1	YLR452C	SST2	3.5
2	YJL157C	FAR1	3.4
3	YHR005C	GPA1	3.3
4	YCL027W	FUS1	3.2
5	YNR044W	AGA1	3.2
6	YBR083W	TEC1	3.2
7	YOR212W	STE4	3.1
8	YCL055W	KAR4	3.0
9	YIL015W	BAR1	3.0
10	YHR084W	STE12	3.0
11	YFL026W	STE2	2.9
12	YGL032C	AGA2	2.8
13	YNL279W	PRM1	2.7
14	YDR410C	STE14	2.6
15	YDR309C	GIC2	2.6
16	YPR122W	AXL1	2.5
17	YJL170C	ASG7	2.5
18	YDR103W	STE5	2.5
19	YNL078W	NIS1	2.5
20	YCR089W	FIG2	2.5
21	YKL209C	STE6	2.4
22	YDR461W	MFA1	2.4
23	YNL145W	MFA2	2.4
24	YDL227C	HO	2.3
25	YDL127W	PCL2	2.3
26	YGL106W	MLC1	2.3
27	YIL117C	PRM5	2.3
28	YBR158W	AMN1	2.3
29	YPL156C	PRM4	2.3
30	YPL049C	DIG1	2.3
31	YML047C	PRM6	2.3
32	YBR040W	FIG1	2.3
33	YJR004C	SAG1	2.3
34	YFL047W	RGD2	2.3
35	YNL124W	NAF1	2.3
36	YFL027C	GYP8	2.3
37	YHR069C	RRP4	2.3
38	YNL042W	BOP3	2.3
39	YGR044C	RME1	2.2
40	YNR027W	BUD17	2.2
41	YHR062C	RPP1	2.2
42	YKR013W	PRY2	2.2
43	YAR014C	BUD14	2.2
44	YMR065W	KAR5	2.2
45	YBR073W	RDH54	2.2
46	YGR040W	KSS1	2.2
47	YPL163C	SVS1	2.2
48	YLR074C	BUD20	2.2
49	YJR086W	STE18	2.2
50	YNR015W	SMM1	2.2
51	YKL189W	HYM1	2.2
52	YNL053W	MSG5	2.2
53	YPL187W	MF(ALPHA)1	2.2
54	YMR236W	TAF9	2.2
55	YNR012W	URK1	2.1
56	YKL178C	STE3	2.1
57	YBR293W	VBA2	2.1
58	YDR398W	UTP5	2.1
59	YML046W	PRP39	2.1
60	YKR061W	KTR2	2.1
61	YKL166C	TPK3	2.1
62	YMR232W	FUS2	2.1
63	YBR267W	REI1	2.1
64	YDL060W	TSR1	2.1
65	YBR061C	TRM7	2.1
66	YDL111C	RRP42	2.1
67	YBR092C	PHO3	2.1
68	YBR247C	ENP1	2.1
69	YFR055W	IRC7	2.1
70	YCR072C	RSA4	2.1
71	YML113W	DAT1	2.1
72	YHR148W	IMP3	2.1
73	YDR091C	RLI1	2.1
74	YBL042C	FUI1	2.1
75	YOR188W	MSB1	2.1
76	YDR280W	RRP45	2.1
77	YJL125C	GCD14	2.1
78	YLR433C	CNA1	2.1
79	YBR265W	TSC10	2.1
80	YCR047C	BUD23	2.1
81	YLR265C	NEJ1	2.1
82	YNL141W	AAH1	2.1
83	YNL298W	CLA4	2.1
84	YOL142W	RRP40	2.1
85	YBR133C	HSL7	2.1
86	YDR143C	SAN1	2.0
87	YGL053W	PRM8	2.0
88	YJL069C	UTP18	2.0
89	YDL201W	TRM8	2.0
90	YGR014W	MSB2	2.0
91	YDR184C	ATC1	2.0
92	YBR291C	CTP1	2.0
93	YNR053C	NOG2	2.0
94	YBL061C	SKT5	2.0
95	YKR080W	MTD1	2.0
96	YBL068W	PRS4	2.0
97	YLR291C	GCD7	2.0
98	YFL001W	DEG1	2.0
99	YMR305C	SCW10	2.0
100	YIR012W	SQT1	2.0
101	YKL019W	RAM2	2.0
102	YHR040W	BCD1	2.0
103	YER082C	UTP7	2.0
104	YHR065C	RRP3	2.0
105	YNR032W	PPG1	2.0
106	YOR359W	VTS1	2.0
107	YGR158C	MTR3	2.0
108	YMR042W	ARG80	2.0
109	YOR260W	GCD1	2.0
110	YGL111W	NSA1	2.0
111	YCR018C	SRD1	2.0
112	YGR078C	PAC10	2.0
113	YHR070W	TRM5	2.0
114	YIR026C	YVH1	2.0
115	YHR201C	PPX1	2.0
116	YDL047W	SIT4	2.0
117	YDR075W	PPH3	2.0
118	YCL036W	GFD2	2.0
119	YBL014C	RRN6	2.0
120	YER127W	LCP5	2.0
121	YPR060C	ARO7	2.0
122	YBR135W	CKS1	2.0
123	YDR085C	AFR1	2.0
124	YPL177C	CUP9	2.0
125	YGL099W	LSG1	2.0
126	YPR121W	THI22	2.0
127	YKR081C	RPF2	2.0
128	YOL104C	NDJ1	2.0
129	YOR091W	TMA46	2.0
130	YOR294W	RRS1	2.0
131	YLR196W	PWP1	2.0
132	YKR038C	KAE1	2.0
133	YBL024W	NCL1	2.0
134	YFL023W	BUD27	2.0
135	YKL110C	KTI12	2.0
136	YDR465C	RMT2	2.0
137	YLR397C	AFG2	2.0
138	YML014W	TRM9	2.0
139	YMR093W	UTP15	2.0
140	YPL204W	HRR25	2.0
141	YAR015W	ADE1	2.0
142	YNL123W	NMA111	2.0
143	YCR057C	PWP2	2.0
144	YOR209C	NPT1	2.0
145	YOL052C	SPE2	2.0
146	YBR034C	HMT1	2.0
147	YJR007W	SUI2	2.0
148	YAR002W	NUP60	2.0
149	YHR169W	DBP8	2.0
150	YLR099C	ICT1	2.0
151	YML080W	DUS1	2.0
152	YNL061W	NOP2	2.0
153	YLR009W	RLP24	2.0
154	YDL150W	RPC53	2.0
155	YJL198W	PHO90	2.0
156	YKR042W	UTH1	2.0
157	YGR159C	NSR1	2.0
158	YGR262C	BUD32	2.0
159	YGL089C	MF(ALPHA)2	1.9
160	YNL075W	IMP4	1.9
161	YDR021W	FAL1	1.9
162	YER019W	ISC1	1.9
163	YOL010W	RCL1	1.9
164	YDR190C	RVB1	1.9
165	YHR049W	FSH1	1.9
166	YBR153W	RIB7	1.9
167	YNL186W	UBP10	1.9
168	YDR206W	EBS1	1.9
169	YKR092C	SRP40	1.9
170	YBR067C	TIP1	1.9
171	YBR057C	MUM2	1.9
172	YIL037C	PRM2	1.9
173	YCR059C	YIH1	1.9
174	YLR359W	ADE13	1.9
175	YJL122W	ALB1	1.9
176	YGR092W	DBF2	1.9
177	YLR146C	SPE4	1.9
178	YDR120C	TRM1	1.9
179	YBR155W	CNS1	1.9
180	YHL007C	STE20	1.9
181	YNL282W	POP3	1.9
182	YNL248C	RPA49	1.9
183	YLR215C	CDC123	1.9
184	YEL040W	UTR2	1.9
185	YGR260W	TNA1	1.9
186	YMR288W	HSH155	1.9
187	YOR344C	TYE7	1.9
