SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YBL036C

Rank	Gene	Common	Score
Q	YBL036C	YBL036C	
1	YBL028C	YBL028C	1.9
2	YBR154C	RPB5	1.9
3	YCR090C	YCR090C	1.9
4	YDR190C	RVB1	1.8
5	YDR002W	YRB1	1.8
6	YDR045C	RPC11	1.8
7	YBR164C	ARL1	1.8
8	YOL022C	TSR4	1.8
9	YDR152W	GIR2	1.8
10	YOR253W	NAT5	1.8
11	YFR001W	LOC1	1.7
12	YDR087C	RRP1	1.7
13	YCL059C	KRR1	1.7
14	YLR051C	FCF2	1.7
15	YBR162W-A	YSY6	1.7
16	YOR210W	RPB10	1.7
17	YMR260C	TIF11	1.7
18	YBR061C	TRM7	1.6
19	YER148W	SPT15	1.6
20	YDR339C	FCF1	1.6
21	YLR003C	CMS1	1.6
22	YDL111C	RRP42	1.6
23	YOR283W	YOR283W	1.6
24	YBL057C	PTH2	1.6
25	YBR171W	SEC66	1.6
26	YIL008W	URM1	1.6
27	YNL110C	NOP15	1.6
28	YPR060C	ARO7	1.6
29	YNL153C	GIM3	1.6
30	YDL166C	FAP7	1.6
31	YEL051W	VMA8	1.6
32	YDR412W	RRP17	1.6
33	YOR115C	TRS33	1.6
34	YDR121W	DPB4	1.6
35	YLR435W	TSR2	1.6
36	YER126C	NSA2	1.6
37	YNL149C	PGA2	1.6
38	YCR035C	RRP43	1.6
39	YBL040C	ERD2	1.6
40	YOR021C	SFM1	1.6
41	YHR143W-A	RPC10	1.6
42	YDR429C	TIF35	1.6
43	YOL149W	DCP1	1.6
44	YOR281C	PLP2	1.6
45	YBR254C	TRS20	1.6
46	YCL031C	RRP7	1.6
47	YDR161W	ACL4	1.5
48	YPL211W	NIP7	1.5
49	YDR280W	RRP45	1.5
50	YGR173W	RBG2	1.5
51	YCR016W	RBP95	1.5
52	YLR065C	SND2	1.5
53	YNL151C	RPC31	1.5
54	YGL243W	TAD1	1.5
55	YLR221C	RSA3	1.5
56	YJL179W	PFD1	1.5
57	YDR245W	MNN10	1.5
58	YLR292C	SEC72	1.5
59	YDR372C	VPS74	1.5
60	YDR211W	GCD6	1.5
61	YOR046C	DBP5	1.5
62	YIL127C	RRT14	1.5
63	YBL038W	MRPL16	1.5
64	YBL068W	PRS4	1.5
65	YPR110C	RPC40	1.5
66	YPL239W	YAR1	1.5
67	YJR068W	RFC2	1.5
68	YPL243W	SRP68	1.5
69	YER112W	LSM4	1.5
70	YLR022C	SDO1	1.5
71	YIL021W	RPB3	1.5
72	YDR071C	PAA1	1.5
73	YBL026W	LSM2	1.5
74	YDR177W	UBC1	1.5
75	YJR032W	CPR7	1.5
76	YJL148W	RPA34	1.5
77	YLR009W	RLP24	1.5
78	YBR257W	POP4	1.5
79	YDR361C	BCP1	1.5
80	YBR143C	SUP45	1.5
81	YPL237W	SUI3	1.5
82	YOL139C	CDC33	1.5
83	YHR081W	LRP1	1.5
84	YDL213C	NOP6	1.5
85	YDR165W	TRM82	1.5
86	YKL144C	RPC25	1.5
87	YOR145C	PNO1	1.5
88	YLR287C	YLR287C	1.5
89	YBR034C	HMT1	1.5
90	YLR200W	YKE2	1.5
91	YDR449C	UTP6	1.5
92	YBR106W	SND3	1.5
93	YEL003W	GIM4	1.5
94	YOL077C	BRX1	1.5
95	YGL232W	TAN1	1.5
96	YDR083W	RRP8	1.5
97	YAL025C	MAK16	1.5
98	YKL009W	MRT4	1.5
99	YDR086C	SSS1	1.5
100	YBR155W	CNS1	1.5
101	YHR196W	UTP9	1.5
102	YGL070C	RPB9	1.5
103	YDR373W	FRQ1	1.5
104	YER100W	UBC6	1.5
105	YER127W	LCP5	1.5
106	YPR143W	RRP15	1.5
107	YLR285W	NNT1	1.5
108	YOR051C	ETT1	1.5
109	YKL196C	YKT6	1.5
110	YPL178W	CBC2	1.5
111	YGR271C-A	EFG1	1.5
112	YOR078W	BUD21	1.5
113	YGL050W	TYW3	1.5
114	YLR421C	RPN13	1.5
115	YIL110W	HPM1	1.5
116	YLR301W	HRI1	1.5
117	YDL051W	LHP1	1.5
118	YPL129W	TAF14	1.5
119	YJR003C	MRX12	1.5
120	YKL082C	RRP14	1.5
121	YKL099C	UTP11	1.5
122	YHR003C	TCD1	1.5
123	YDL208W	NHP2	1.5
124	YHR069C	RRP4	1.5
125	YPL050C	MNN9	1.5
126	YHR065C	RRP3	1.5
127	YER049W	TPA1	1.5
128	YCL011C	GBP2	1.5
129	YDR068W	DOS2	1.5
130	YBR242W	YBR242W	1.5
131	YKR081C	RPF2	1.5
132	YGR024C	THG1	1.5
133	YNL308C	KRI1	1.4
134	YLR275W	SMD2	1.4
135	YDR496C	PUF6	1.4
136	YGL029W	CGR1	1.4
137	YBR095C	RXT2	1.4
138	YCR043C	YCR043C	1.4
139	YPL266W	DIM1	1.4
140	YDR299W	BFR2	1.4
141	YHL013C	OTU2	1.4
142	YJL104W	PAM16	1.4
143	YPL273W	SAM4	1.4
144	YBL018C	POP8	1.4
145	YBR236C	ABD1	1.4
146	YDR399W	HPT1	1.4
147	YNL113W	RPC19	1.4
148	YDL201W	TRM8	1.4
149	YDL007W	RPT2	1.4
150	YCL054W	SPB1	1.4
151	YIR012W	SQT1	1.4
152	YGL246C	RAI1	1.4
153	YIL020C	HIS6	1.4
154	YBR084C-A	RPL19A	1.4
155	YPL117C	IDI1	1.4
156	YPL010W	RET3	1.4
157	YDL219W	DTD1	1.4
158	YJR069C	HAM1	1.4
159	YNL255C	GIS2	1.4
160	YNL022C	RCM1	1.4
161	YDR312W	SSF2	1.4
162	YDR397C	NCB2	1.4
163	YBR166C	TYR1	1.4
164	YPL086C	ELP3	1.4
165	YOR143C	THI80	1.4
166	YER002W	NOP16	1.4
167	YDR139C	RUB1	1.4
168	YLR175W	CBF5	1.4
169	YOR276W	CAF20	1.4
170	YDR183W	PLP1	1.4
171	YPR118W	MRI1	1.4
172	YAL059W	ECM1	1.4
173	YHR088W	RPF1	1.4
174	YOR262W	GPN2	1.4
175	YNR054C	ESF2	1.4
176	YGR152C	RSR1	1.4
177	YJL014W	CCT3	1.4
178	YNR024W	MPP6	1.4
179	YNL147W	LSM7	1.4
180	YNL002C	RLP7	1.4
181	YJR075W	HOC1	1.4
182	YGR145W	ENP2	1.4
183	YBR142W	MAK5	1.4
184	YOR265W	RBL2	1.4
185	YKL154W	SRP102	1.4
186	YOR004W	UTP23	1.4
187	YKL172W	EBP2	1.4
188	YPL051W	ARL3	1.4
189	YOL093W	TRM10	1.4
190	YPR169W	JIP5	1.4
191	YML105C	SEC65	1.4
192	YOR340C	RPA43	1.4
193	YOL124C	TRM11	1.4
194	YGL103W	RPL28	1.4
195	YJL140W	RPB4	1.4
196	YBR129C	OPY1	1.4
197	YDR346C	SVF1	1.4
198	YML125C	PGA3	1.4
199	YKR022C	NTR2	1.4
200	YGR105W	VMA21	1.4
201	YCR095C	OCA4	1.4
202	YJL011C	RPC17	1.4
203	YBR288C	APM3	1.4
204	YGL058W	RAD6	1.4
205	YBL039C	URA7	1.4
206	YNL001W	DOM34	1.4
207	YBR096W	YBR096W	1.4
208	YBR271W	EFM2	1.4
209	YER007C-A	TMA20	1.4
210	YDL157C	DMO2	1.4
211	YPR041W	TIF5	1.4
212	YNL166C	BNI5	1.4
213	YDR167W	TAF10	1.4
214	YDR120C	TRM1	1.4
215	YGR195W	SKI6	1.4
216	YGL231C	EMC4	1.4
217	YKL122C	SRP21	1.4
218	YDL235C	YPD1	1.4
219	YGR106C	VOA1	1.4
220	YGR135W	PRE9	1.4
