SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: IAI11

Rank	Gene	Common	Score
Q	YBL059W	IAI11	
1	YLR307W	CDA1	2.0
2	YGL226W	MTC3	1.8
3	YBR262C	MIC12	1.7
4	YFR011C	MIC19	1.7
5	YNR022C	MRPL50	1.6
6	YIL098C	FMC1	1.6
7	YER050C	RSM18	1.6
8	YDR493W	MZM1	1.6
9	YBL038W	MRPL16	1.6
10	YER182W	FMP10	1.6
11	YLL009C	COX17	1.6
12	YFR049W	KGD4	1.6
13	YPL013C	MRPS16	1.5
14	YAL046C	BOL3	1.5
15	YNL122C	MRP35	1.5
16	YCR071C	IMG2	1.5
17	YBR062C	YBR062C	1.5
18	YGL047W	ALG13	1.5
19	YJR034W	PET191	1.5
20	YDR296W	MHR1	1.5
21	YCR003W	MRPL32	1.5
22	YNL081C	SWS2	1.5
23	YBR185C	MBA1	1.5
24	YBR269C	SDH8	1.5
25	YBR194W	AIM4	1.5
26	YML087C	AIM33	1.5
27	YDR511W	SDH7	1.5
28	YGR174C	CBP4	1.5
29	YBR120C	CBP6	1.5
30	YIR024C	INA22	1.5
31	YGR215W	RSM27	1.5
32	YDR031W	MIX14	1.5
33	YBR230C	OM14	1.5
34	YBR268W	MRPL37	1.5
35	YMR286W	MRPL33	1.5
36	YMR158W	MRPS8	1.5
37	YPR020W	ATP20	1.5
38	YKR085C	MRPL20	1.5
39	YBL021C	HAP3	1.5
40	YDR322W	MRPL35	1.5
41	YKL016C	ATP7	1.5
42	YDR298C	ATP5	1.5
43	YJL063C	MRPL8	1.5
44	YMR244C-A	COA6	1.5
45	YDR512C	EMI1	1.5
46	YKL003C	MRP17	1.5
47	YDR286C	MGP12	1.5
48	YLR390W	ECM19	1.5
49	YJL003W	COX16	1.5
50	YDL067C	COX9	1.5
51	YLR408C	BLS1	1.4
52	YFL030W	AGX1	1.4
53	YBR251W	MRPS5	1.4
54	YML030W	RCF1	1.4
55	YJL131C	AIM23	1.4
56	YOL071W	SDH5	1.4
57	YBL090W	MRP21	1.4
58	YCL033C	MXR2	1.4
59	YOR150W	MRPL23	1.4
60	YDR316W	OMS1	1.4
61	YPR047W	MSF1	1.4
62	YNL284C	MRPL10	1.4
63	YER058W	PET117	1.4
64	YKR049C	FMP46	1.4
65	YBL043W	ECM13	1.4
66	YBR278W	DPB3	1.4
67	YJR080C	AIM24	1.4
68	YPR082C	DIB1	1.4
69	YMR225C	MRPL44	1.4
70	YER093C-A	AIM11	1.4
71	YHR059W	FYV4	1.4
72	YHR116W	COX23	1.4
73	YPL107W	DPC25	1.4
74	YDL200C	MGT1	1.4
75	YLR204W	QRI5	1.4
76	YDR115W	MRX14	1.4
77	YDR462W	MRPL28	1.4
78	YBR173C	UMP1	1.4
79	YGR235C	MIC26	1.4
80	YJL104W	PAM16	1.4
81	YBR122C	MRPL36	1.4
82	YDR231C	COX20	1.4
83	YDR282C	MRX10	1.4
84	YMR193W	MRPL24	1.4
85	YDR377W	ATP17	1.4
86	YPR166C	MRP2	1.4
87	YKL138C	MRPL31	1.4
88	YML050W	AIM32	1.4
89	YGL143C	MRF1	1.4
90	YML129C	COX14	1.4
91	YIL065C	FIS1	1.4
92	YDL107W	MSS2	1.4
93	YHR138C	YHR138C	1.4
94	YGL121C	GPG1	1.4
95	YDR486C	VPS60	1.4
96	YMR157C	AIM36	1.4
97	YPL173W	MRPL40	1.4
98	YCR086W	CSM1	1.4
99	YGL185C	YGL185C	1.4
100	YKL067W	YNK1	1.4
101	YNL213C	RRG9	1.4
102	YKL170W	MRPL38	1.4
103	YFR045W	MRX20	1.4
104	YPL078C	ATP4	1.4
105	YNL100W	MIC27	1.4
106	YDR059C	UBC5	1.4
107	YNL315C	ATP11	1.4
108	YHR147C	MRPL6	1.4
109	YNR036C	MRPS12	1.4
110	YDR178W	SDH4	1.4
111	YBR137W	YBR137W	1.4
112	YDR424C	DYN2	1.4
113	YOL053W	AIM39	1.4
114	YBR167C	POP7	1.4
115	YNR037C	RSM19	1.4
116	YPL271W	ATP15	1.4
117	YBL107C	MIX23	1.4
118	YBR282W	MRPL27	1.4
119	YHR038W	RRF1	1.4
120	YLR295C	ATP14	1.4
121	YKL085W	MDH1	1.4
122	YDR100W	TVP15	1.4
123	YER163C	GCG1	1.4
124	YDL181W	INH1	1.4
125	YDL104C	QRI7	1.4
126	YPL113C	YPL113C	1.4
127	YEL059C-A	SOM1	1.4
128	YFR033C	QCR6	1.4
129	YGL208W	SIP2	1.4
130	YPR151C	SUE1	1.4
131	YFR003C	YPI1	1.3
132	YNL015W	PBI2	1.3
133	YGR101W	PCP1	1.3
134	YML009C	MRPL39	1.3
135	YMR150C	IMP1	1.3
136	YMR156C	TPP1	1.3
137	YGR076C	MRPL25	1.3
138	YCR083W	TRX3	1.3
139	YIL157C	COA1	1.3
140	YNL306W	MRPS18	1.3
141	YPL071C	YPL071C	1.3
142	YDL004W	ATP16	1.3
143	YGL068W	MNP1	1.3
144	YDR337W	MRPS28	1.3
145	YJR085C	TMH11	1.3
146	YEL012W	UBC8	1.3
147	YGL146C	RRT6	1.3
148	YKL137W	CMC1	1.3
149	YDR196C	CAB5	1.3
150	YKR016W	MIC60	1.3
151	YKL141W	SDH3	1.3
152	YDL169C	UGX2	1.3
153	YDR041W	RSM10	1.3
154	YLR377C	FBP1	1.3
155	YAL055W	PEX22	1.3
156	YOR286W	RDL2	1.3
157	YKL049C	CSE4	1.3
158	YGR053C	MCO32	1.3
159	YOR215C	AIM41	1.3
160	YNL117W	MLS1	1.3
161	YKL195W	MIA40	1.3
162	YBL060W	YEL1	1.3
163	YMR097C	MTG1	1.3
164	YOR158W	PET123	1.3
165	YGL018C	JAC1	1.3
166	YDR494W	RSM28	1.3
167	YJL066C	MPM1	1.3
168	YJR100C	AIM25	1.3
169	YER162C	RAD4	1.3
170	YNL086W	SNN1	1.3
171	YNL177C	MRPL22	1.3
172	YBL078C	ATG8	1.3
173	YNL314W	DAL82	1.3
174	YER142C	MAG1	1.3
175	YNR020C	ATP23	1.3
176	YBL001C	ECM15	1.3
177	YDR079W	PET100	1.3
178	YMR025W	CSI1	1.3
179	YER030W	CHZ1	1.3
180	YPR093C	ASR1	1.3
181	YMR256C	COX7	1.3
182	YGR028W	MSP1	1.3
183	YCR046C	IMG1	1.3
184	YBR039W	ATP3	1.3
185	YKL026C	GPX1	1.3
186	YHR057C	CPR2	1.3
187	YDR022C	ATG31	1.3
188	YML042W	CAT2	1.3
189	YLR218C	COA4	1.3
190	YBR052C	RFS1	1.3
191	YDR183W	PLP1	1.3
192	YJR096W	YJR096W	1.3
193	YBR091C	TIM12	1.3
194	YPL098C	MGR2	1.3
195	YKL148C	SDH1	1.3
196	YOR289W	YOR289W	1.3
197	YML128C	MSC1	1.3
198	YDR237W	MRPL7	1.3
199	YER067W	RGI1	1.3
200	YBR146W	MRPS9	1.3
201	YLL041C	SDH2	1.3
202	YOL114C	PTH4	1.3
203	YLR271W	CMG1	1.3
204	YJL103C	GSM1	1.3
205	YBR037C	SCO1	1.3
206	YGR230W	BNS1	1.3
207	YKL091C	YKL091C	1.3
208	YGR102C	GTF1	1.3
209	YOR142W	LSC1	1.3
210	YDR197W	CBS2	1.3
211	YJL180C	ATP12	1.3
212	YNR007C	ATG3	1.3
213	YPL046C	ELC1	1.3
214	YBL064C	PRX1	1.3
215	YNL333W	SNZ2	1.3
216	YBR119W	MUD1	1.3
217	YGR220C	MRPL9	1.3
218	YDL115C	IWR1	1.3
219	YPR100W	MRPL51	1.3
220	YKL167C	MRP49	1.3
221	YLR021W	IRC25	1.3
222	YBR006W	UGA2	1.3
223	YOR052C	TMC1	1.3
224	YOR367W	SCP1	1.3
225	YOR020C	HSP10	1.3
226	YNL157W	IGO1	1.3
227	YBR128C	ATG14	1.3
228	YMR114C	YMR114C	1.3
229	YGR207C	CIR1	1.3
230	YPR098C	TMH18	1.3
231	YLR326W	YLR326W	1.3
232	YJR113C	RSM7	1.3
233	YCL035C	GRX1	1.3
234	YKL150W	MCR1	1.3
235	YDL027C	MRX9	1.3
236	YHR011W	DIA4	1.3
237	YDR513W	GRX2	1.3
238	YNL055C	POR1	1.3
239	YDR116C	MRPL1	1.3
240	YPR006C	ICL2	1.3
241	YDR163W	CWC15	1.3
242	YOR045W	TOM6	1.3
243	YNL005C	MRP7	1.3
244	YMR311C	GLC8	1.3
245	YDR529C	QCR7	1.3
246	YGL057C	GEP7	1.3
247	YKR009C	FOX2	1.3
248	YJL096W	MRPL49	1.3
249	YLR016C	PML1	1.3
250	YBR024W	SCO2	1.3
251	YDL045C	FAD1	1.3
252	YPL118W	MRP51	1.3
253	YBR014C	GRX7	1.3
254	YOR036W	PEP12	1.3
255	YNL274C	GOR1	1.3
256	YGL219C	MDM34	1.3
257	YNR040W	MRX15	1.3
258	YKR020W	VPS51	1.3
259	YBL015W	ACH1	1.3
260	YBR111C	YSA1	1.3
261	YHR121W	LSM12	1.3
262	YEL050C	RML2	1.3
263	YLR395C	COX8	1.3
264	YDL139C	SCM3	1.3
265	YLR254C	NDL1	1.3
266	YNR002C	ATO2	1.3
267	YIL007C	NAS2	1.3
268	YPR178W	PRP4	1.3
269	YBR253W	SRB6	1.3
270	YGR021W	DPC29	1.3
271	YGR181W	TIM13	1.3
272	YDR318W	MCM21	1.3
273	YMR267W	PPA2	1.3
274	YGR201C	YGR201C	1.3
275	YKL214C	YRA2	1.3
276	YGR250C	RIE1	1.3
277	YLR394W	CST9	1.3
278	YDL045W-A	MRP10	1.3
279	YKL133C	RCI50	1.3
280	YPR134W	MSS18	1.3
281	YBR290W	BSD2	1.3
282	YMR302C	YME2	1.3
283	YPL109C	CQD1	1.3
284	YIL024C	YIL024C	1.3
285	YLR376C	PSY3	1.3
286	YDR061W	YDR061W	1.3
287	YGR244C	LSC2	1.3
288	YDL065C	PEX19	1.3
289	YLR174W	IDP2	1.3
290	YGR231C	PHB2	1.3
291	YDR272W	GLO2	1.3
292	YIL136W	OM45	1.3
293	YLR289W	GUF1	1.3
294	YGR112W	SHY1	1.3
295	YNL310C	ZIM17	1.3
296	YDR287W	INM2	1.2
297	YOR257W	CDC31	1.2
298	YDR357C	CNL1	1.2
299	YCR024C	SLM5	1.2
300	YNL202W	SPS19	1.2
301	YHR051W	COX6	1.2
302	YDL018C	ERP3	1.2
303	YGL191W	COX13	1.2
304	YDR204W	COQ4	1.2
305	YAL030W	SNC1	1.2
306	YDR405W	MRP20	1.2
307	YGR008C	STF2	1.2
308	YOL083W	ATG34	1.2
309	YGL187C	COX4	1.2
310	YMR003W	AIM34	1.2
311	YKR006C	MRPL13	1.2
312	YMR112C	MED11	1.2
313	YKR065C	PAM17	1.2
314	YGL128C	CWC23	1.2
315	YGR243W	MPC3	1.2
316	YDR167W	TAF10	1.2
317	YOR120W	GCY1	1.2
318	YLR080W	EMP46	1.2
319	YJR102C	VPS25	1.2
320	YGR067C	YGR067C	1.2
321	YGL174W	BUD13	1.2
322	YLR327C	TMA10	1.2
323	YDR058C	TGL2	1.2
324	YDR148C	KGD2	1.2
325	YDR067C	OCA6	1.2
326	YGR183C	QCR9	1.2
327	YDR453C	TSA2	1.2
328	YAL008W	FUN14	1.2
329	YBL057C	PTH2	1.2
