SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NUP170

Rank	Gene	Common	Score
Q	YBL079W	NUP170	
1	YBL004W	UTP20	3.2
2	YKR082W	NUP133	3.1
3	YML103C	NUP188	3.1
4	YDL112W	TRM3	3.1
5	YJL039C	NUP192	3.1
6	YPL126W	NAN1	3.0
7	YGR090W	UTP22	3.0
8	YBL014C	RRN6	2.9
9	YMR129W	POM152	2.9
10	YGL092W	NUP145	2.9
11	YKL014C	URB1	2.9
12	YMR309C	NIP1	2.9
13	YGR162W	TIF4631	2.9
14	YAL019W	FUN30	2.8
15	YDR211W	GCD6	2.8
16	YGL014W	PUF4	2.8
17	YBR121C	GRS1	2.8
18	YDR324C	UTP4	2.8
19	YNR038W	DBP6	2.8
20	YOR116C	RPO31	2.8
21	YIL128W	MET18	2.8
22	YNL132W	KRE33	2.8
23	YLR384C	IKI3	2.8
24	YPL226W	NEW1	2.8
25	YJL109C	UTP10	2.8
26	YGL238W	CSE1	2.8
27	YOR341W	RPA190	2.8
28	YKR079C	TRZ1	2.8
29	YLR129W	DIP2	2.8
30	YJR031C	GEA1	2.8
31	YIL115C	NUP159	2.8
32	YMR080C	NAM7	2.7
33	YNL163C	RIA1	2.7
34	YKL205W	LOS1	2.7
35	YEL022W	GEA2	2.7
36	YJR041C	URB2	2.7
37	YJL050W	MTR4	2.7
38	YCR057C	PWP2	2.7
39	YER155C	BEM2	2.7
40	YAL029C	MYO4	2.7
41	YBR055C	PRP6	2.7
42	YKL068W	NUP100	2.7
43	YMR212C	EFR3	2.7
44	YOR206W	NOC2	2.7
45	YBL076C	ILS1	2.7
46	YBR084W	MIS1	2.7
47	YDR172W	SUP35	2.7
48	YMR125W	STO1	2.7
49	YDL116W	NUP84	2.7
50	YDR395W	SXM1	2.7
51	YPL012W	RRP12	2.7
52	YER172C	BRR2	2.7
53	YOR048C	RAT1	2.7
54	YLR409C	UTP21	2.7
55	YPL125W	KAP120	2.7
56	YEL055C	POL5	2.7
57	YGR217W	CCH1	2.7
58	YPL160W	CDC60	2.7
59	YDR180W	SCC2	2.7
60	YFR002W	NIC96	2.6
61	YBR172C	SMY2	2.6
62	YLR222C	UTP13	2.6
63	YOR168W	GLN4	2.6
64	YER105C	NUP157	2.6
65	YAL035W	FUN12	2.6
66	YLR071C	RGR1	2.6
67	YLR272C	YCS4	2.6
68	YLR305C	STT4	2.6
69	YLR336C	SGD1	2.6
70	YGR200C	ELP2	2.6
71	YBR142W	MAK5	2.6
72	YOL076W	MDM20	2.6
73	YMR229C	RRP5	2.6
74	YDR326C	YSP2	2.6
75	YOR207C	RET1	2.6
76	YNL201C	PSY2	2.6
77	YDR170C	SEC7	2.6
78	YOL021C	DIS3	2.6
79	YLL048C	YBT1	2.6
80	YDL074C	BRE1	2.6
81	YDL148C	NOP14	2.6
82	YGL195W	GCN1	2.6
83	YNL085W	MKT1	2.6
84	YDR091C	RLI1	2.6
85	YOR260W	GCD1	2.6
86	YJR132W	NMD5	2.6
87	YPR010C	RPA135	2.6
88	YBL024W	NCL1	2.6
89	YPR190C	RPC82	2.6
90	YDR457W	TOM1	2.6
91	YBR023C	CHS3	2.6
92	YBR247C	ENP1	2.5
93	YMR308C	PSE1	2.5
94	YHR099W	TRA1	2.5
95	YBL034C	STU1	2.5
96	YLR096W	KIN2	2.5
97	YMR012W	CLU1	2.5
98	YBL052C	SAS3	2.5
99	YDL102W	POL3	2.5
100	YOR335C	ALA1	2.5
101	YML065W	ORC1	2.5
102	YGL139W	FLC3	2.5
103	YDR159W	SAC3	2.5
104	YDR101C	ARX1	2.5
105	YLL021W	SPA2	2.5
106	YJR140C	HIR3	2.5
107	YDR017C	KCS1	2.5
108	YNL061W	NOP2	2.5
109	YDR165W	TRM82	2.5
110	YDR496C	PUF6	2.5
111	YML080W	DUS1	2.5
112	YNL248C	RPA49	2.5
113	YNL256W	FOL1	2.5
114	YDR346C	SVF1	2.5
115	YGR116W	SPT6	2.5
116	YBR015C	MNN2	2.5
117	YDR245W	MNN10	2.5
118	YDL060W	TSR1	2.5
119	YJL111W	CCT7	2.5
120	YGR264C	MES1	2.5
121	YKL057C	NUP120	2.5
122	YMR093W	UTP15	2.5
123	YLR276C	DBP9	2.5
124	YJR002W	MPP10	2.5
125	YNL186W	UBP10	2.5
126	YPL183C	RTT10	2.5
127	YLR106C	REA1	2.5
128	YLR223C	IFH1	2.5
129	YMR247C	RKR1	2.5
130	YER110C	KAP123	2.5
131	YOR151C	RPB2	2.5
132	YDL167C	NRP1	2.5
133	YBR143C	SUP45	2.5
134	YJL207C	LAA1	2.5
135	YLR430W	SEN1	2.5
136	YNL262W	POL2	2.5
137	YBR017C	KAP104	2.5
138	YDR325W	YCG1	2.5
139	YBR275C	RIF1	2.5
140	YJL041W	NSP1	2.5
141	YJL087C	TRL1	2.5
142	YLR083C	EMP70	2.5
143	YCR093W	CDC39	2.5
144	YMR128W	ECM16	2.4
145	YPL217C	BMS1	2.4
146	YNR012W	URK1	2.4
147	YBL039C	URA7	2.4
148	YPR048W	TAH18	2.4
149	YOR188W	MSB1	2.4
150	YBL009W	ALK2	2.4
151	YOR326W	MYO2	2.4
152	YDL122W	UBP1	2.4
153	YGR128C	UTP8	2.4
154	YPL043W	NOP4	2.4
155	YPL093W	NOG1	2.4
156	YGL099W	LSG1	2.4
157	YOR361C	PRT1	2.4
158	YDR407C	TRS120	2.4
159	YOR098C	NUP1	2.4
160	YLR197W	NOP56	2.4
161	YPL030W	TRM44	2.4
162	YPL207W	TYW1	2.4
163	YNL023C	FAP1	2.4
164	YHR186C	KOG1	2.4
165	YDR303C	RSC3	2.4
166	YML093W	UTP14	2.4
167	YMR049C	ERB1	2.4
168	YDR507C	GIN4	2.4
169	YDR292C	SRP101	2.4
170	YBR288C	APM3	2.4
171	YPR189W	SKI3	2.4
172	YLR451W	LEU3	2.4
173	YJL010C	NOP9	2.4
174	YAL024C	LTE1	2.4
175	YAL026C	DRS2	2.4
176	YMR290C	HAS1	2.4
177	YGR094W	VAS1	2.4
178	YGR271W	SLH1	2.4
179	YLR196W	PWP1	2.4
180	YHR170W	NMD3	2.4
181	YNL126W	SPC98	2.4
182	YJL098W	SAP185	2.4
183	YOR001W	RRP6	2.4
184	YDR119W	VBA4	2.4
185	YHR165C	PRP8	2.4
186	YPL082C	MOT1	2.4
187	YER114C	BOI2	2.4
188	YPR105C	COG4	2.4
189	YMR047C	NUP116	2.4
190	YFL002C	SPB4	2.4
191	YDR464W	SPP41	2.4
192	YNL221C	POP1	2.4
193	YGL078C	DBP3	2.4
194	YCL014W	BUD3	2.4
195	YKR028W	SAP190	2.4
196	YDR206W	EBS1	2.4
197	YLL035W	GRC3	2.4
198	YGR159C	NSR1	2.4
199	YDR190C	RVB1	2.4
200	YBR155W	CNS1	2.4
201	YKL173W	SNU114	2.4
202	YJL080C	SCP160	2.4
203	YIL147C	SLN1	2.4
204	YER006W	NUG1	2.4
205	YOL004W	SIN3	2.4
206	YPL086C	ELP3	2.4
207	YHR052W	CIC1	2.4
208	YNL123W	NMA111	2.4
209	YOL061W	PRS5	2.4
210	YCL054W	SPB1	2.4
211	YBR245C	ISW1	2.4
212	YBR079C	RPG1	2.4
213	YGR218W	CRM1	2.4
214	YPR137W	RRP9	2.4
215	YJL076W	NET1	2.3
216	YDR150W	NUM1	2.3
217	YPL242C	IQG1	2.3
218	YBR087W	RFC5	2.3
219	YDL084W	SUB2	2.3
220	YJR042W	NUP85	2.3
221	YJL125C	GCD14	2.3
222	YDR339C	FCF1	2.3
223	YPR112C	MRD1	2.3
224	YDR217C	RAD9	2.3
225	YER082C	UTP7	2.3
226	YLR335W	NUP2	2.3
227	YLL008W	DRS1	2.3
228	YER165W	PAB1	2.3
229	YDL031W	DBP10	2.3
230	YNL297C	MON2	2.3
231	YDL051W	LHP1	2.3
232	YER093C	TSC11	2.3
233	YGR173W	RBG2	2.3
234	YJR007W	SUI2	2.3
235	YJL197W	UBP12	2.3
236	YNL182C	IPI3	2.3
237	YDL040C	NAT1	2.3
238	YER008C	SEC3	2.3
239	YLR397C	AFG2	2.3
240	YDL145C	COP1	2.3
241	YJL183W	MNN11	2.3
242	YKL021C	MAK11	2.3
243	YAL036C	RBG1	2.3
244	YER025W	GCD11	2.3
245	YPL128C	TBF1	2.3
246	YML104C	MDM1	2.3
247	YBR133C	HSL7	2.3
248	YBR060C	ORC2	2.3
249	YER049W	TPA1	2.3
250	YEL053C	MAK10	2.3
251	YKL112W	ABF1	2.3
252	YLR002C	NOC3	2.3
253	YIL126W	STH1	2.3
254	YOR272W	YTM1	2.3
255	YLL011W	SOF1	2.3
256	YBL008W	HIR1	2.3
257	YGR245C	SDA1	2.3
258	YJL061W	NUP82	2.3
259	YPR110C	RPC40	2.3
260	YPR033C	HTS1	2.3
261	YOR160W	MTR10	2.3
262	YDR449C	UTP6	2.3
263	YOR370C	MRS6	2.3
264	YNL189W	SRP1	2.3
265	YDR420W	HKR1	2.3
266	YOR355W	GDS1	2.3
267	YDL153C	SAS10	2.3
268	YPL050C	MNN9	2.3
269	YLR398C	SKI2	2.3
270	YDR184C	ATC1	2.3
271	YKL176C	LST4	2.3
272	YCR054C	CTR86	2.3
273	YHL007C	STE20	2.3
274	YDR398W	UTP5	2.3
275	YJR092W	BUD4	2.3
276	YPR163C	TIF3	2.3
277	YBL068W	PRS4	2.3
278	YBR140C	IRA1	2.3
279	YKL078W	DHR2	2.3
280	YMR131C	RRB1	2.3
281	YOL006C	TOP1	2.3
282	YDR227W	SIR4	2.3
283	YOR165W	SEY1	2.3
284	YDL014W	NOP1	2.3
285	YMR288W	HSH155	2.3
286	YDR144C	MKC7	2.3
287	YJL198W	PHO90	2.3
288	YGL169W	SUA5	2.3
289	YGR083C	GCD2	2.3
290	YLR310C	CDC25	2.3
291	YOR310C	NOP58	2.3
292	YGL111W	NSA1	2.3
293	YBR049C	REB1	2.3
294	YKR056W	TRM2	2.3
295	YJL069C	UTP18	2.3
296	YCL031C	RRP7	2.3
297	YDR120C	TRM1	2.3
298	YML111W	BUL2	2.3
299	YBR061C	TRM7	2.3
300	YDL058W	USO1	2.3
301	YMR146C	TIF34	2.3
302	YDR198C	RKM2	2.3
303	YPL243W	SRP68	2.3
304	YOR243C	PUS7	2.3
305	YOR340C	RPA43	2.3
306	YBL105C	PKC1	2.3
307	YDL240W	LRG1	2.3
308	YIL149C	MLP2	2.3
309	YOR304W	ISW2	2.3
310	YJL129C	TRK1	2.3
311	YNL238W	KEX2	2.3
312	YGR145W	ENP2	2.3
313	YEL042W	GDA1	2.3
314	YGL171W	ROK1	2.3
315	YPL016W	SWI1	2.3
316	YJL074C	SMC3	2.3
317	YNR011C	PRP2	2.3
318	YPR041W	TIF5	2.3
319	YMR243C	ZRC1	2.2
320	YBR069C	TAT1	2.2
321	YOR191W	ULS1	2.2
322	YIL159W	BNR1	2.2
323	YHR119W	SET1	2.2
324	YBR058C	UBP14	2.2
325	YDR299W	BFR2	2.2
326	YBR094W	PBY1	2.2
327	YNL119W	NCS2	2.2
328	YAL059W	ECM1	2.2
329	YLL034C	RIX7	2.2
330	YIL110W	HPM1	2.2
331	YKR024C	DBP7	2.2
332	YNR053C	NOG2	2.2
333	YML031W	NDC1	2.2
334	YBR163W	EXO5	2.2
335	YKR081C	RPF2	2.2
336	YDR280W	RRP45	2.2
337	YNL273W	TOF1	2.2
338	YBL054W	TOD6	2.2
339	YKL191W	DPH2	2.2
340	YOL145C	CTR9	2.2
341	YDR060W	MAK21	2.2
342	YJL033W	HCA4	2.2
343	YDR110W	FOB1	2.2
344	YKL181W	PRS1	2.2
345	YPR119W	CLB2	2.2
346	YHR206W	SKN7	2.2
347	YDL111C	RRP42	2.2
348	YDR141C	DOP1	2.2
349	YAL025C	MAK16	2.2
