SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MRX18

Rank	Gene	Common	Score
Q	YBR056W	MRX18	
1	YBR053C	YBR053C	3.3
2	YLR270W	DCS1	3.1
3	YPL123C	RNY1	3.0
4	YMR110C	HFD1	2.9
5	YLR178C	TFS1	2.9
6	YBR126C	TPS1	2.9
7	YMR250W	GAD1	2.9
8	YGL037C	PNC1	2.9
9	YBR139W	ATG42	2.8
10	YHR104W	GRE3	2.8
11	YBR026C	ETR1	2.8
12	YBR149W	ARA1	2.8
13	YLR258W	GSY2	2.8
14	YCL040W	GLK1	2.8
15	YDR001C	NTH1	2.7
16	YOR289W	YOR289W	2.7
17	YKL091C	YKL091C	2.7
18	YPL087W	YDC1	2.7
19	YNL200C	NNR1	2.7
20	YML128C	MSC1	2.7
21	YGR008C	STF2	2.7
22	YKL142W	MRP8	2.7
23	YIL124W	AYR1	2.7
24	YNL115C	YNL115C	2.7
25	YCL035C	GRX1	2.7
26	YBL064C	PRX1	2.7
27	YBR052C	RFS1	2.7
28	YDL072C	YET3	2.7
29	YJR096W	YJR096W	2.6
30	YLL026W	HSP104	2.6
31	YKL151C	NNR2	2.6
32	YOL082W	ATG19	2.6
33	YDR074W	TPS2	2.6
34	YMR105C	PGM2	2.6
35	YHL021C	AIM17	2.6
36	YBR169C	SSE2	2.6
37	YPL004C	LSP1	2.6
38	YJL164C	TPK1	2.6
39	YOR173W	DCS2	2.6
40	YLR251W	SYM1	2.6
41	YKL065C	YET1	2.6
42	YMR090W	YMR090W	2.6
43	YNL305C	BXI1	2.6
44	YPL203W	TPK2	2.6
45	YJR008W	MHO1	2.6
46	YBL078C	ATG8	2.6
47	YHR138C	YHR138C	2.6
48	YLR345W	YLR345W	2.6
49	YLR149C	GID11	2.6
50	YKL103C	APE1	2.6
51	YGR019W	UGA1	2.6
52	YBR214W	SDS24	2.6
53	YDL124W	YDL124W	2.5
54	YGR194C	XKS1	2.5
55	YDR171W	HSP42	2.5
56	YDR358W	GGA1	2.5
57	YEL060C	PRB1	2.5
58	YGR248W	SOL4	2.5
59	YIL136W	OM45	2.5
60	YKL035W	UGP1	2.5
61	YPL154C	PEP4	2.5
62	YBR204C	LDH1	2.5
63	YMR196W	YMR196W	2.5
64	YML070W	DAK1	2.5
65	YDL021W	GPM2	2.5
66	YDR204W	COQ4	2.5
67	YNL274C	GOR1	2.5
68	YJL161W	FMP33	2.5
69	YBR006W	UGA2	2.5
70	YLR356W	ATG33	2.5
71	YML100W	TSL1	2.5
72	YDL022W	GPD1	2.5
73	YEL011W	GLC3	2.5
74	YOR120W	GCY1	2.5
75	YNR001C	CIT1	2.5
76	YMR170C	ALD2	2.5
77	YDL110C	TMA17	2.4
78	YML004C	GLO1	2.4
79	YER053C	PIC2	2.4
80	YFR053C	HXK1	2.4
81	YDR258C	HSP78	2.4
82	YAL008W	FUN14	2.4
83	YHR016C	YSC84	2.4
84	YGR149W	GPC1	2.4
85	YDR516C	EMI2	2.4
86	YGR111W	YGR111W	2.4
87	YJL163C	YJL163C	2.4
88	YBR269C	SDH8	2.4
89	YAR027W	UIP3	2.4
90	YOL083W	ATG34	2.4
91	YKR076W	ECM4	2.4
92	YDR513W	GRX2	2.4
93	YMR297W	PRC1	2.4
94	YIR038C	GTT1	2.4
95	YKL193C	SDS22	2.4
96	YHR087W	RTC3	2.4
97	YOR215C	AIM41	2.4
98	YOR374W	ALD4	2.4
99	YDR032C	PST2	2.4
100	YEL012W	UBC8	2.4
101	YKL150W	MCR1	2.3
102	YBR280C	SAF1	2.3
103	YJL068C	YJL068C	2.3
104	YOR036W	PEP12	2.3
105	YNL015W	PBI2	2.3
106	YDR391C	YDR391C	2.3
107	YDL204W	RTN2	2.3
108	YPR184W	GDB1	2.3
109	YGL156W	AMS1	2.3
110	YOR220W	RCN2	2.3
111	YBR241C	VVS1	2.3
112	YDR368W	YPR1	2.3
113	YDR272W	GLO2	2.3
114	YOL129W	VPS68	2.3
115	YIL111W	COX5B	2.3
116	YPL186C	UIP4	2.3
117	YJL057C	IKS1	2.3
118	YLL039C	UBI4	2.3
119	YGL104C	VPS73	2.3
120	YJL066C	MPM1	2.3
121	YPL196W	OXR1	2.3
122	YHR113W	APE4	2.3
123	YMR139W	RIM11	2.3
124	YKL067W	YNK1	2.3
125	YDL027C	MRX9	2.3
126	YBR230C	OM14	2.3
127	YBR072W	HSP26	2.3
128	YDR070C	FMP16	2.3
129	YLR080W	EMP46	2.3
130	YOL048C	RRT8	2.2
131	YGR244C	LSC2	2.2
132	YOR230W	WTM1	2.2
133	YBR024W	SCO2	2.2
134	YCR036W	RBK1	2.2
135	YGR255C	COQ6	2.2
136	YNL045W	LAP2	2.2
137	YMR315W	YMR315W	2.2
138	YGL006W	PMC1	2.2
139	YIR036C	IRC24	2.2
140	YPL206C	PGC1	2.2
141	YJL155C	FBP26	2.2
142	YKR011C	FPT1	2.2
143	YIR037W	HYR1	2.2
144	YDL234C	GYP7	2.2
145	YER035W	EDC2	2.2
146	YBR046C	ZTA1	2.2
147	YPR026W	ATH1	2.2
148	YBR183W	YPC1	2.2
149	YLR257W	YLR257W	2.2
150	YPR098C	TMH18	2.2
151	YOL016C	CMK2	2.2
152	YDR148C	KGD2	2.2
153	YER150W	SPI1	2.2
154	YMR173W	DDR48	2.2
155	YGR043C	NQM1	2.2
156	YGR127W	YGR127W	2.2
157	YOR285W	RDL1	2.2
158	YIL033C	BCY1	2.2
159	YML057W	CMP2	2.2
160	YMR169C	ALD3	2.2
161	YFR017C	IGD1	2.2
162	YDR085C	AFR1	2.2
163	YKR049C	FMP46	2.2
164	YOR052C	TMC1	2.2
165	YER079W	YER079W	2.2
166	YMR092C	AIP1	2.2
167	YLR327C	TMA10	2.2
168	YNL160W	YGP1	2.2
169	YDR178W	SDH4	2.2
170	YML131W	YML131W	2.2
171	YDR453C	TSA2	2.2
172	YHR097C	PAL2	2.2
173	YMR197C	VTI1	2.1
174	YIL017C	VID28	2.1
175	YGR130C	YGR130C	2.1
176	YOL032W	OPI10	2.1
177	YPL230W	USV1	2.1
178	YAL060W	BDH1	2.1
179	YGL121C	GPG1	2.1
180	YBR287W	YBR287W	2.1
181	YER067W	RGI1	2.1
182	YOR347C	PYK2	2.1
183	YKL007W	CAP1	2.1
184	YCL042W	YCL042W	2.1
185	YHR171W	ATG7	2.1
186	YER037W	PHM8	2.1
187	YIL107C	PFK26	2.1
188	YOR227W	HER1	2.1
189	YGL248W	PDE1	2.1
190	YLR241W	CSC1	2.1
191	YJL070C	YJL070C	2.1
192	YKL026C	GPX1	2.1
193	YIL087C	AIM19	2.1
194	YNR035C	ARC35	2.1
195	YDL169C	UGX2	2.1
196	YPR160W	GPH1	2.1
197	YLL023C	POM33	2.1
198	YCR004C	YCP4	2.1
199	YJL141C	YAK1	2.1
200	YHR106W	TRR2	2.1
201	YMR152W	YIM1	2.1
202	YPR127W	YPR127W	2.1
203	YDL078C	MDH3	2.1
204	YNL134C	YNL134C	2.1
205	YGR088W	CTT1	2.1
206	YNL208W	YNL208W	2.1
207	YLR290C	COQ11	2.1
208	YDL029W	ARP2	2.1
209	YER103W	SSA4	2.1
210	YPL247C	YPL247C	2.1
211	YKR067W	GPT2	2.1
212	YKR091W	SRL3	2.1
213	YOR245C	DGA1	2.1
214	YAL017W	PSK1	2.1
215	YOR185C	GSP2	2.1
216	YCR030C	SYP1	2.1
217	YGR044C	RME1	2.1
218	YMR304W	UBP15	2.1
219	YOL096C	COQ3	2.1
220	YNL159C	ASI2	2.1
221	YHR008C	SOD2	2.0
222	YMR261C	TPS3	2.0
223	YOR042W	CUE5	2.0
224	YJL016W	TPH3	2.0
225	YBR151W	APD1	2.0
226	YMR027W	YMR027W	2.0
227	YBR285W	YBR285W	2.0
228	YFR014C	CMK1	2.0
229	YFL014W	HSP12	2.0
230	YGL059W	PKP2	2.0
231	YJL132W	YJL132W	2.0
232	YIR039C	YPS6	2.0
233	YGL053W	PRM8	2.0
234	YMR174C	PAI3	2.0
235	YOL071W	SDH5	2.0
236	YMR251W-A	HOR7	2.0
237	YPR172W	YPR172W	2.0
238	YMR271C	URA10	2.0
239	YDR202C	RAV2	2.0
240	YOL052C-A	DDR2	2.0
241	YGL227W	VID30	2.0
242	YCL033C	MXR2	2.0
243	YKL100C	YPF1	2.0
244	YIL101C	XBP1	2.0
245	YBR001C	NTH2	2.0
246	YDR435C	PPM1	2.0
247	YJR065C	ARP3	2.0
248	YFR049W	KGD4	2.0
249	YJL048C	UBX6	2.0
250	YNR007C	ATG3	2.0
251	YJL036W	SNX4	2.0
252	YOR132W	VPS17	2.0
253	YOR292C	YOR292C	2.0
254	YDR003W	RCR2	2.0
255	YCR011C	ADP1	2.0
256	YDR031W	MIX14	2.0
257	YBR054W	YRO2	2.0
258	YDR330W	UBX5	2.0
259	YLR248W	RCK2	2.0
260	YDR479C	PEX29	2.0
261	YKL133C	RCI50	2.0
262	YFL062W	COS4	2.0
263	YOR386W	PHR1	2.0
264	YBR137W	YBR137W	2.0
265	YHR161C	YAP1801	2.0
266	YNL092W	YNL092W	2.0
267	YML110C	COQ5	2.0
268	YLL041C	SDH2	2.0
269	YLR201C	COQ9	2.0
270	YJR059W	PTK2	2.0
271	YMR262W	YMR262W	2.0
272	YHR028C	DAP2	2.0
273	YHR209W	CRG1	2.0
274	YCL052C	PBN1	2.0
275	YGL047W	ALG13	2.0
276	YDL238C	GUD1	2.0
277	YDR533C	HSP31	2.0
278	YFR015C	GSY1	2.0
279	YHR075C	PPE1	2.0
280	YDL091C	UBX3	2.0
281	YAL061W	BDH2	2.0
282	YCR091W	KIN82	2.0
283	YLR370C	ARC18	1.9
284	YGR070W	ROM1	1.9
285	YDL237W	AIM6	1.9
286	YMR087W	PDL32	1.9
287	YDR436W	PPZ2	1.9
288	YMR181C	YMR181C	1.9
289	YPR149W	NCE102	1.9
290	YIL097W	FYV10	1.9
291	YIL155C	GUT2	1.9
292	YBR199W	KTR4	1.9
293	YJL053W	PEP8	1.9
294	YDR059C	UBC5	1.9
295	YJR125C	ENT3	1.9
296	YKR058W	GLG1	1.9
297	YOR228C	MCP1	1.9
298	YBR062C	YBR062C	1.9
299	YIL034C	CAP2	1.9
300	YDR018C	YDR018C	1.9
301	YBR302C	COS2	1.9
302	YKL085W	MDH1	1.9
303	YLR093C	NYV1	1.9
304	YGR256W	GND2	1.9
305	YML120C	NDI1	1.9
306	YFL030W	AGX1	1.9
307	YLR177W	YLR177W	1.9
308	YGR231C	PHB2	1.9
309	YNL223W	ATG4	1.9
310	YER141W	COX15	1.9
311	YOR155C	ISN1	1.9
312	YKL121W	DGR2	1.9
313	YOR161C	PNS1	1.9
314	YOR317W	FAA1	1.9
315	YKL126W	YPK1	1.9
316	YJL144W	ROQ1	1.9
317	YPL003W	ULA1	1.9
318	YNL194C	YNL194C	1.9
319	YOR054C	VHS3	1.9
320	YGR028W	MSP1	1.9
321	YHR037W	PUT2	1.9
322	YHL048W	COS8	1.9
323	YDR100W	TVP15	1.9
324	YBL015W	ACH1	1.9
325	YNL055C	POR1	1.9
326	YKL013C	ARC19	1.9
327	YIL113W	SDP1	1.9
328	YLR151C	PCD1	1.9
329	YPR081C	GRS2	1.9
330	YDL025C	RTK1	1.9
331	YOR142W	LSC1	1.9
332	YER054C	GIP2	1.9
333	YDL113C	ATG20	1.9
334	YDR129C	SAC6	1.9
335	YGL250W	RMR1	1.9
336	YJR085C	TMH11	1.9
337	YDR058C	TGL2	1.9
338	YDL045C	FAD1	1.9
339	YJL020C	BBC1	1.9
340	YKL168C	KKQ8	1.9
341	YGR237C	YGR237C	1.9
342	YLL019C	KNS1	1.9
343	YNL195C	YNL195C	1.9
344	YOR152C	ATG40	1.9
345	YGL208W	SIP2	1.9
346	YGR080W	TWF1	1.9
347	YBR035C	PDX3	1.9
348	YML054C	CYB2	1.9
349	YOL084W	PHM7	1.9
350	YOR124C	UBP2	1.9
351	YMR053C	STB2	1.9
352	YDR306C	PFU1	1.9
353	YHR096C	HXT5	1.9
354	YMR031C	EIS1	1.9
355	YEL039C	CYC7	1.9
356	YML042W	CAT2	1.9
357	YJL185C	ATG36	1.9
358	YPR155C	NCA2	1.9
359	YDR122W	KIN1	1.9
360	YOL065C	INP54	1.9
361	YFR003C	YPI1	1.8
362	YBL049W	MOH1	1.8
363	YMR278W	PRM15	1.8
364	YPL166W	ATG29	1.8
365	YIL062C	ARC15	1.8
366	YLR252W	YLR252W	1.8
367	YBR111C	YSA1	1.8
368	YLR312C	ATG39	1.8
369	YDR255C	RMD5	1.8
370	YCL038C	ATG22	1.8
371	YJR142W	YJR142W	1.8
372	YNL237W	YTP1	1.8
373	YDL222C	FMP45	1.8
374	YKL141W	SDH3	1.8
375	YPL152W	RRD2	1.8
376	YDL130W-A	STF1	1.8
377	YGR086C	PIL1	1.8
378	YIL045W	PIG2	1.8
379	YJR044C	VPS55	1.8
380	YAL028W	FRT2	1.8
381	YFL042C	LAM5	1.8
382	YDL199C	YDL199C	1.8
383	YAL049C	AIM2	1.8
384	YNL173C	MDG1	1.8
385	YKL129C	MYO3	1.8
386	YNR002C	ATO2	1.8
387	YNL011C	YNL011C	1.8
388	YBR132C	AGP2	1.8
389	YIL077C	RCI37	1.8
390	YDR452W	PPN1	1.8
391	YOR137C	SIA1	1.8
392	YMR020W	FMS1	1.8
393	YHR198C	AIM18	1.8
394	YLR120C	YPS1	1.8
395	YMR040W	YET2	1.8
396	YOL053W	AIM39	1.8
397	YER142C	MAG1	1.8
398	YGL185C	YGL185C	1.8
399	YOR176W	HEM15	1.8
400	YDR063W	AIM7	1.8
401	YKL094W	YJU3	1.8
402	YGL157W	ARI1	1.8
403	YOL151W	GRE2	1.8
404	YGR132C	PHB1	1.8
405	YBL050W	SEC17	1.8
406	YDR231C	COX20	1.8
407	YMR302C	YME2	1.8
408	YPL260W	CUB1	1.8
409	YBR036C	CSG2	1.8
410	YOL117W	RRI2	1.8
411	YGL161C	YIP5	1.8
412	YMR041C	ARA2	1.8
413	YJR073C	OPI3	1.8
414	YGR232W	NAS6	1.8
415	YLR414C	PUN1	1.8
416	YDL149W	ATG9	1.8
417	YGR205W	TDA10	1.8
418	YCR079W	PTC6	1.8
419	YGR209C	TRX2	1.8
420	YOL087C	DUF1	1.8
421	YGR141W	VPS62	1.8
422	YDR287W	INM2	1.8
423	YLR028C	ADE16	1.8
424	YER119C	AVT6	1.8
425	YJL151C	SNA3	1.8
426	YNL156C	NSG2	1.8
427	YDR055W	PST1	1.8
428	YHR112C	YHR112C	1.8
429	YMR107W	SPG4	1.8
430	YHR140W	YHR140W	1.8
431	YKL148C	SDH1	1.8
432	YKR003W	OSH6	1.8
433	YLR271W	CMG1	1.8
434	YMR114C	YMR114C	1.8
435	YDL248W	COS7	1.8
436	YER136W	GDI1	1.8
437	YAL034C	FUN19	1.8
438	YDR512C	EMI1	1.8
439	YJR103W	URA8	1.8
440	YLR118C	TML25	1.8
441	YDL147W	RPN5	1.8
442	YGL038C	OCH1	1.8
443	YDL085W	NDE2	1.8
444	YKL218C	SRY1	1.8
445	YMR258C	ROY1	1.8
446	YLR250W	SSP120	1.8
447	YGL196W	DSD1	1.8
448	YIR007W	EGH1	1.8
449	YGR136W	LSB1	1.8
450	YHR004C	NEM1	1.8
451	YKL034W	TUL1	1.8
452	YIR016W	YIR016W	1.8
453	YPL222W	FMP40	1.8
454	YCR009C	RVS161	1.8
455	YKL213C	DOA1	1.8
