SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NRG2

Rank	Gene	Common	Score
Q	YBR066C	NRG2	
1	YPL156C	PRM4	2.6
2	YDR043C	NRG1	2.5
3	YBL093C	ROX3	2.4
4	YBR301W	PAU24	2.4
5	YGR161C	RTS3	2.3
6	YDR518W	EUG1	2.3
7	YER046W	SPO73	2.3
8	YOR237W	HES1	2.3
9	YJL223C	PAU1	2.3
10	YFL020C	PAU5	2.2
11	YIL045W	PIG2	2.2
12	YBR157C	ICS2	2.2
13	YLR256W	HAP1	2.2
14	YBR161W	CSH1	2.2
15	YEL049W	PAU2	2.2
16	YGL001C	ERG26	2.2
17	YDR213W	UPC2	2.2
18	YLR461W	PAU4	2.2
19	YBR264C	YPT10	2.2
20	YMR040W	YET2	2.2
21	YGR008C	STF2	2.2
22	YIL011W	TIR3	2.2
23	YLR350W	ORM2	2.2
24	YOR028C	CIN5	2.2
25	YGL096W	TOS8	2.2
26	YLR254C	NDL1	2.2
27	YHR004C	NEM1	2.1
28	YIL111W	COX5B	2.1
29	YJL105W	SET4	2.1
30	YMR184W	ADD37	2.1
31	YKR091W	SRL3	2.1
32	YIR033W	MGA2	2.1
33	YNR076W	PAU6	2.1
34	YMR006C	PLB2	2.1
35	YLR251W	SYM1	2.1
36	YDR453C	TSA2	2.1
37	YNL015W	PBI2	2.1
38	YER044C	ERG28	2.1
39	YJL057C	IKS1	2.1
40	YMR316W	DIA1	2.1
41	YDL021W	GPM2	2.1
42	YMR173W	DDR48	2.1
43	YDR085C	AFR1	2.1
44	YBR129C	OPY1	2.1
45	YOL032W	OPI10	2.1
46	YGL037C	PNC1	2.1
47	YER037W	PHM8	2.1
48	YIR017C	MET28	2.1
49	YOR273C	TPO4	2.1
50	YOR148C	SPP2	2.1
51	YER011W	TIR1	2.1
52	YMR195W	ICY1	2.1
53	YDR044W	HEM13	2.1
54	YAR020C	PAU7	2.1
55	YDL135C	RDI1	2.1
56	YFR015C	GSY1	2.1
57	YBL106C	SRO77	2.0
58	YLR037C	PAU23	2.0
59	YPL177C	CUP9	2.0
60	YGL006W	PMC1	2.0
61	YBR199W	KTR4	2.0
62	YMR015C	ERG5	2.0
63	YOR011W	AUS1	2.0
64	YIR038C	GTT1	2.0
65	YML008C	ERG6	2.0
66	YMR020W	FMS1	2.0
67	YGR088W	CTT1	2.0
68	YOL016C	CMK2	2.0
69	YCR104W	PAU3	2.0
70	YLR056W	ERG3	2.0
71	YER035W	EDC2	2.0
72	YOR099W	KTR1	2.0
73	YOL002C	IZH2	2.0
74	YEL012W	UBC8	2.0
75	YHR139C	SPS100	2.0
76	YBR072W	HSP26	2.0
77	YDL200C	MGT1	2.0
78	YBR067C	TIP1	2.0
79	YGR175C	ERG1	2.0
80	YPL186C	UIP4	2.0
81	YGR180C	RNR4	2.0
82	YGL166W	CUP2	2.0
83	YDR358W	GGA1	2.0
