SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPT7

Rank	Gene	Common	Score
Q	YBR081C	SPT7	
1	YPR189W	SKI3	2.7
2	YIL149C	MLP2	2.7
3	YCR042C	TAF2	2.6
4	YBR245C	ISW1	2.6
5	YJR089W	BIR1	2.6
6	YKR095W	MLP1	2.5
7	YDR301W	CFT1	2.5
8	YBR237W	PRP5	2.5
9	YBL052C	SAS3	2.5
10	YLR309C	IMH1	2.5
11	YGR270W	YTA7	2.5
12	YBR179C	FZO1	2.5
13	YGL151W	NUT1	2.5
14	YDL225W	SHS1	2.5
15	YER008C	SEC3	2.5
16	YDR104C	SPO71	2.4
17	YFL008W	SMC1	2.4
18	YFR031C	SMC2	2.4
19	YDR028C	REG1	2.4
20	YOR304W	ISW2	2.4
21	YLR398C	SKI2	2.4
22	YGR047C	TFC4	2.4
23	YDR159W	SAC3	2.4
24	YJR138W	IML1	2.4
25	YGL133W	ITC1	2.4
26	YDR227W	SIR4	2.4
27	YLR371W	ROM2	2.4
28	YPR055W	SEC8	2.4
29	YDR464W	SPP41	2.4
30	YBR097W	VPS15	2.4
31	YGR196C	FYV8	2.4
32	YJR090C	GRR1	2.4
33	YNL039W	BDP1	2.3
34	YJR140C	HIR3	2.3
35	YKR031C	SPO14	2.3
36	YDR170C	SEC7	2.3
37	YDR176W	NGG1	2.3
38	YNL041C	COG6	2.3
39	YBL085W	BOI1	2.3
40	YJL047C	RTT101	2.3
41	YLR039C	RIC1	2.3
42	YDR166C	SEC5	2.3
43	YNL076W	MKS1	2.3
44	YBR279W	PAF1	2.3
45	YDR303C	RSC3	2.3
46	YBL034C	STU1	2.3
47	YDR150W	NUM1	2.3
48	YNL250W	RAD50	2.3
49	YMR047C	NUP116	2.3
50	YDR200C	VPS64	2.3
51	YOR076C	SKI7	2.3
52	YDL028C	MPS1	2.3
53	YBR255W	MTC4	2.3
54	YGL093W	SPC105	2.3
55	YNL059C	ARP5	2.3
56	YOL078W	AVO1	2.3
57	YPR032W	SRO7	2.3
58	YBR140C	IRA1	2.3
59	YFR013W	IOC3	2.3
60	YER093C	TSC11	2.3
61	YBR103W	SIF2	2.3
62	YHL023C	NPR3	2.3
63	YLR086W	SMC4	2.3
64	YNL091W	NST1	2.3
65	YKL179C	COY1	2.3
66	YKR082W	NUP133	2.3
67	YLR425W	TUS1	2.3
68	YIL112W	HOS4	2.3
69	YLR096W	KIN2	2.3
70	YIL115C	NUP159	2.3
71	YDL005C	MED2	2.3
72	YBR049C	REB1	2.3
73	YKL010C	UFD4	2.2
74	YBL088C	TEL1	2.2
75	YJL074C	SMC3	2.2
76	YBR102C	EXO84	2.2
77	YGR274C	TAF1	2.2
78	YDL058W	USO1	2.2
79	YMR190C	SGS1	2.2
80	YOL145C	CTR9	2.2
81	YGL086W	MAD1	2.2
82	YLR383W	SMC6	2.2
83	YCR033W	SNT1	2.2
84	YKR064W	OAF3	2.2
85	YBR073W	RDH54	2.2
86	YBR017C	KAP104	2.2
87	YPL105C	SYH1	2.2
88	YJL204C	RCY1	2.2
89	YNL297C	MON2	2.2
90	YDR103W	STE5	2.2
91	YNL271C	BNI1	2.2
92	YDL056W	MBP1	2.2
93	YOL138C	RTC1	2.2
94	YDR460W	TFB3	2.2
95	YKL089W	MIF2	2.2
96	YNR031C	SSK2	2.2
97	YKR028W	SAP190	2.2
98	YKR021W	ALY1	2.2
99	YMR240C	CUS1	2.2
100	YDR137W	RGP1	2.2
101	YGR271W	SLH1	2.2
102	YBR112C	CYC8	2.2
103	YAL001C	TFC3	2.2
104	YBL103C	RTG3	2.2
105	YBR123C	TFC1	2.2
106	YDL074C	BRE1	2.2
107	YPR105C	COG4	2.2
108	YMR218C	TRS130	2.2
109	YLR238W	FAR10	2.2
110	YGR186W	TFG1	2.2
111	YDR499W	LCD1	2.2
112	YOR123C	LEO1	2.2
113	YPR095C	SYT1	2.2
114	YPR072W	NOT5	2.2
115	YDR335W	MSN5	2.2
116	YBL079W	NUP170	2.2
117	YBL105C	PKC1	2.2
118	YHR077C	NMD2	2.2
119	YDR283C	GCN2	2.2
120	YIL026C	IRR1	2.2
121	YDR407C	TRS120	2.2
122	YDR457W	TOM1	2.2
123	YLR442C	SIR3	2.2
124	YGL110C	CUE3	2.2
125	YDR495C	VPS3	2.2
126	YCR011C	ADP1	2.2
127	YDR295C	HDA2	2.2
128	YBR289W	SNF5	2.2
129	YJR134C	SGM1	2.2
130	YLR095C	IOC2	2.2
131	YDR141C	DOP1	2.2
132	YOL034W	SMC5	2.2
133	YLL021W	SPA2	2.2
134	YJR092W	BUD4	2.2
135	YAL019W	FUN30	2.2
136	YPL174C	NIP100	2.2
137	YGL244W	RTF1	2.2
138	YBL017C	PEP1	2.2
139	YGR184C	UBR1	2.2
140	YCR032W	BPH1	2.2
141	YDR334W	SWR1	2.1
142	YML109W	ZDS2	2.1
143	YGR116W	SPT6	2.1
144	YDL077C	VAM6	2.1
145	YBR055C	PRP6	2.1
146	YNL118C	DCP2	2.1
147	YML049C	RSE1	2.1
148	YBR236C	ABD1	2.1
149	YJL176C	SWI3	2.1
150	YBR276C	PPS1	2.1
151	YDL035C	GPR1	2.1
152	YBR281C	DUG2	2.1
153	YIR002C	MPH1	2.1
154	YOR124C	UBP2	2.1
155	YAL051W	OAF1	2.1
156	YIL129C	TAO3	2.1
157	YIL147C	SLN1	2.1
158	YHR186C	KOG1	2.1
159	YLR357W	RSC2	2.1
160	YNL267W	PIK1	2.1
161	YLR454W	FMP27	2.1
162	YMR219W	ESC1	2.1
163	YPR141C	KAR3	2.1
164	YLR071C	RGR1	2.1
165	YDL161W	ENT1	2.1
166	YBR198C	TAF5	2.1
167	YNL262W	POL2	2.1
168	YBR215W	HPC2	2.1
169	YMR227C	TAF7	2.1
170	YML071C	COG8	2.1
171	YMR207C	HFA1	2.1
172	YKL012W	PRP40	2.1
173	YDL132W	CDC53	2.1
174	YDR485C	VPS72	2.1
175	YEL022W	GEA2	2.1
176	YNR023W	SNF12	2.1
177	YDR356W	SPC110	2.1
178	YNL088W	TOP2	2.1
179	YOL081W	IRA2	2.1
180	YDL190C	UFD2	2.1
181	YLR117C	CLF1	2.1
182	YBL046W	PSY4	2.1
183	YOL004W	SIN3	2.1
184	YNL054W	VAC7	2.1
185	YDR421W	ARO80	2.1
186	YLR240W	VPS34	2.1
187	YDR138W	HPR1	2.1
188	YKL203C	TOR2	2.1
189	YNL233W	BNI4	2.1
190	YNL161W	CBK1	2.1
191	YPL180W	TCO89	2.1
192	YOR216C	RUD3	2.1
193	YDR017C	KCS1	2.1
194	YER155C	BEM2	2.1
195	YDR006C	SOK1	2.1
196	YDR325W	YCG1	2.1
197	YGL094C	PAN2	2.1
198	YBR275C	RIF1	2.1
199	YOL006C	TOP1	2.1
200	YDR291W	HRQ1	2.1
201	YKR029C	SET3	2.1
202	YOR353C	SOG2	2.1
203	YDR128W	MTC5	2.1
204	YNL212W	VID27	2.1
205	YML065W	ORC1	2.1
206	YBL047C	EDE1	2.1
207	YNL215W	IES2	2.1
208	YMR213W	CEF1	2.1
209	YNL082W	PMS1	2.1
210	YHR165C	PRP8	2.1
211	YMR162C	DNF3	2.1
212	YDR027C	VPS54	2.1
213	YJL095W	BCK1	2.1
214	YGR218W	CRM1	2.1
