SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SIF2

Rank	Gene	Common	Score
Q	YBR103W	SIF2	
1	YBR102C	EXO84	2.5
2	YBL058W	SHP1	2.5
3	YBR095C	RXT2	2.4
4	YDR329C	PEX3	2.4
5	YKL012W	PRP40	2.3
6	YDR229W	IVY1	2.3
7	YBL103C	RTG3	2.3
8	YML069W	POB3	2.3
9	YBR273C	UBX7	2.3
10	YBR081C	SPT7	2.3
11	YGL153W	PEX14	2.3
12	YOL018C	TLG2	2.3
13	YDR162C	NBP2	2.3
14	YDR181C	SAS4	2.3
15	YBR057C	MUM2	2.3
16	YBR123C	TFC1	2.2
17	YCL034W	LSB5	2.2
18	YLR288C	MEC3	2.2
19	YBR237W	PRP5	2.2
20	YDL013W	SLX5	2.2
21	YDR167W	TAF10	2.2
22	YLR369W	SSQ1	2.2
23	YPL096W	PNG1	2.2
24	YPL100W	ATG21	2.2
25	YER048C	CAJ1	2.2
26	YPR178W	PRP4	2.2
27	YDR137W	RGP1	2.2
28	YOR244W	ESA1	2.2
29	YNR023W	SNF12	2.2
30	YKL213C	DOA1	2.2
31	YLR387C	REH1	2.2
32	YNL215W	IES2	2.2
33	YLR362W	STE11	2.2
34	YFL027C	GYP8	2.2
35	YJL047C	RTT101	2.2
36	YKL002W	DID4	2.1
37	YPR023C	EAF3	2.1
38	YGR141W	VPS62	2.1
39	YGL027C	CWH41	2.1
40	YNL212W	VID27	2.1
41	YPR180W	AOS1	2.1
42	YBR107C	IML3	2.1
43	YPL181W	CTI6	2.1
44	YDR486C	VPS60	2.1
45	YGL093W	SPC105	2.1
46	YPR057W	BRR1	2.1
47	YPL138C	SPP1	2.1
48	YMR004W	MVP1	2.1
49	YLR085C	ARP6	2.1
50	YOL065C	INP54	2.1
51	YDR027C	VPS54	2.1
52	YLL003W	SFI1	2.1
53	YGL228W	SHE10	2.1
54	YBL033C	RIB1	2.1
55	YDR328C	SKP1	2.1
56	YKL179C	COY1	2.1
57	YGL252C	RTG2	2.1
58	YBR101C	FES1	2.1
59	YJR130C	STR2	2.1
60	YBR255W	MTC4	2.1
61	YER162C	RAD4	2.1
62	YBR119W	MUD1	2.1
63	YOL116W	MSN1	2.1
64	YDR473C	PRP3	2.1
65	YDL007W	RPT2	2.1
66	YBR170C	NPL4	2.1
67	YBL091C	MAP2	2.1
68	YMR092C	AIP1	2.1
69	YER014W	HEM14	2.1
70	YDR485C	VPS72	2.1
71	YBR035C	PDX3	2.1
72	YDR289C	RTT103	2.1
73	YDL028C	MPS1	2.1
74	YDR421W	ARO80	2.1
75	YBR043C	QDR3	2.1
76	YFL013C	IES1	2.1
77	YDR460W	TFB3	2.1
78	YGR100W	MDR1	2.1
79	YMR029C	FAR8	2.1
80	YGR246C	BRF1	2.1
81	YHR001W	OSH7	2.1
82	YJL036W	SNX4	2.1
83	YBR236C	ABD1	2.1
84	YBR059C	AKL1	2.1
85	YAL016W	TPD3	2.1
86	YBR198C	TAF5	2.1
87	YLR102C	APC9	2.1
88	YGR047C	TFC4	2.1
89	YDL017W	CDC7	2.1
90	YGR005C	TFG2	2.1
91	YOR042W	CUE5	2.1
92	YOL043C	NTG2	2.1
93	YHR006W	STP2	2.1
94	YJL112W	MDV1	2.1
95	YBR151W	APD1	2.1
96	YDR265W	PEX10	2.1
97	YBR290W	BSD2	2.1
98	YLR005W	SSL1	2.1
99	YMR240C	CUS1	2.1
100	YDR392W	SPT3	2.1
101	YDL234C	GYP7	2.1
102	YGL023C	PIB2	2.1
103	YCL052C	PBN1	2.1
104	YPL120W	VPS30	2.1
105	YDR153C	ENT5	2.1
106	YLR240W	VPS34	2.1
107	YBR272C	HSM3	2.1
108	YGR193C	PDX1	2.1
109	YMR115W	MGR3	2.1
110	YDL132W	CDC53	2.1
111	YLR330W	CHS5	2.1
112	YPR034W	ARP7	2.1
113	YNL330C	RPD3	2.1
114	YOR138C	RUP1	2.1
115	YBR200W	BEM1	2.1
116	YBL025W	RRN10	2.1
117	YBR199W	KTR4	2.1
118	YBR036C	CSG2	2.1
119	YDL006W	PTC1	2.0
120	YPR088C	SRP54	2.0
121	YMR311C	GLC8	2.0
122	YGR258C	RAD2	2.0
123	YPR086W	SUA7	2.0
124	YBR289W	SNF5	2.0
125	YOR069W	VPS5	2.0
126	YBR153W	RIB7	2.0
127	YLR418C	CDC73	2.0
128	YLL029W	FRA1	2.0
129	YDL115C	IWR1	2.0
130	YLR163C	MAS1	2.0
131	YBR278W	DPB3	2.0
132	YLR028C	ADE16	2.0
133	YPL180W	TCO89	2.0
134	YDR356W	SPC110	2.0
135	YGL130W	CEG1	2.0
136	YDR128W	MTC5	2.0
137	YBL056W	PTC3	2.0
138	YLR386W	VAC14	2.0
139	YOR132W	VPS17	2.0
140	YPL074W	YTA6	2.0
141	YER173W	RAD24	2.0
142	YMR026C	PEX12	2.0
143	YDR294C	DPL1	2.0
144	YBR227C	MCX1	2.0
145	YBL019W	APN2	2.0
146	YFL049W	SWP82	2.0
147	YBR131W	CCZ1	2.0
148	YJL053W	PEP8	2.0
149	YOR036W	PEP12	2.0
150	YDR394W	RPT3	2.0
151	YDR088C	SLU7	2.0
152	YGR196C	FYV8	2.0
153	YHR114W	BZZ1	2.0
154	YLR189C	ATG26	2.0
155	YHL019C	APM2	2.0
156	YDL142C	CRD1	2.0
157	YGR223C	HSV2	2.0
158	YDL147W	RPN5	2.0
159	YNL267W	PIK1	2.0
160	YBR097W	VPS15	2.0
161	YJL081C	ARP4	2.0
162	YIR025W	MND2	2.0
163	YKL145W	RPT1	2.0
164	YDL113C	ATG20	2.0
165	YKL005C	BYE1	2.0
166	YDL103C	QRI1	2.0
167	YPR081C	GRS2	2.0
168	YLR206W	ENT2	2.0
169	YEL015W	EDC3	2.0
170	YOR259C	RPT4	2.0
171	YBR001C	NTH2	2.0
172	YBL046W	PSY4	2.0
173	YJL140W	RPB4	2.0
174	YBR264C	YPT10	2.0
175	YDR244W	PEX5	2.0
176	YPR111W	DBF20	2.0
177	YDR335W	MSN5	2.0
178	YPR072W	NOT5	2.0
179	YJR035W	RAD26	2.0
180	YAL056W	GPB2	2.0
181	YNL183C	NPR1	2.0
182	YNL004W	HRB1	2.0
183	YPL249C	GYP5	2.0
184	YOR089C	VPS21	2.0
185	YJR125C	ENT3	2.0
186	YDR358W	GGA1	2.0
187	YPL151C	PRP46	2.0
188	YHR166C	CDC23	2.0
189	YDR423C	CAD1	2.0
190	YGL091C	NBP35	2.0
191	YKR014C	YPT52	2.0
192	YER051W	JHD1	2.0
193	YNL076W	MKS1	2.0
194	YDR386W	MUS81	2.0
195	YPR049C	ATG11	2.0
196	YPL155C	KIP2	2.0
197	YER136W	GDI1	2.0
198	YNR006W	VPS27	2.0
199	YDR200C	VPS64	2.0
200	YBR130C	SHE3	2.0
201	YDR219C	MFB1	2.0
202	YFL029C	CAK1	2.0
203	YJL123C	MTC1	2.0
204	YGL181W	GTS1	2.0
205	YDR291W	HRQ1	2.0
206	YNL091W	NST1	2.0
207	YHL002W	HSE1	2.0
208	YMR019W	STB4	2.0
209	YNL314W	DAL82	2.0
210	YKL079W	SMY1	2.0
211	YLR025W	SNF7	2.0
212	YPL045W	VPS16	2.0
213	YOR275C	RIM20	2.0
214	YBR111C	YSA1	2.0
215	YIL068C	SEC6	2.0
216	YFR010W	UBP6	2.0
217	YER016W	BIM1	2.0
218	YGL233W	SEC15	2.0
219	YDR176W	NGG1	2.0
220	YGL048C	RPT6	2.0
221	YDL005C	MED2	2.0
222	YLR181C	VTA1	2.0
223	YKL135C	APL2	2.0
224	YEL012W	UBC8	2.0
225	YJR084W	YJR084W	2.0
226	YFR004W	RPN11	2.0
227	YBR216C	YBP1	2.0
228	YBR110W	ALG1	2.0
229	YBR270C	BIT2	2.0
230	YPR108W	RPN7	2.0
231	YLR319C	BUD6	2.0
232	YBR007C	DSF2	2.0
233	YCL032W	STE50	2.0
234	YDR362C	TFC6	2.0
235	YOR043W	WHI2	2.0
236	YGL134W	PCL10	2.0
237	YOR141C	ARP8	1.9
238	YKL094W	YJU3	1.9
239	YBR039W	ATP3	1.9
240	YMR302C	YME2	1.9
241	YOR353C	SOG2	1.9
242	YKL074C	MUD2	1.9
243	YCR033W	SNT1	1.9
244	YBL093C	ROX3	1.9
245	YMR044W	IOC4	1.9
246	YDR292C	SRP101	1.9
247	YDR376W	ARH1	1.9
248	YNR007C	ATG3	1.9
249	YPL007C	TFC8	1.9
250	YER094C	PUP3	1.9
251	YGL161C	YIP5	1.9
252	YER024W	YAT2	1.9
253	YDL161W	ENT1	1.9
254	YPL232W	SSO1	1.9
255	YDL101C	DUN1	1.9
256	YBL080C	PET112	1.9
257	YGL244W	RTF1	1.9
258	YDL045C	FAD1	1.9
259	YPR155C	NCA2	1.9
260	YGR013W	SNU71	1.9
261	YGL124C	MON1	1.9
262	YGL066W	SGF73	1.9
263	YBR077C	SLM4	1.9
264	YPL214C	THI6	1.9
265	YOR075W	UFE1	1.9
266	YBR098W	MMS4	1.9
267	YLR011W	LOT6	1.9
268	YDR104C	SPO71	1.9
269	YGR104C	SRB5	1.9
270	YBL050W	SEC17	1.9
271	YOL044W	PEX15	1.9
272	YGR178C	PBP1	1.9
273	YLR097C	HRT3	1.9
274	YIL129C	TAO3	1.9
275	YNL229C	URE2	1.9
276	YBR179C	FZO1	1.9
277	YGR009C	SEC9	1.9
278	YHR195W	NVJ1	1.9
279	YDL097C	RPN6	1.9
280	YOR008C	SLG1	1.9
281	YLR309C	IMH1	1.9
282	YDR499W	LCD1	1.9
283	YJR050W	ISY1	1.9
284	YOR245C	DGA1	1.9
285	YDL078C	MDH3	1.9
286	YBR234C	ARC40	1.9
287	YNL329C	PEX6	1.9
288	YKL045W	PRI2	1.9
289	YKL017C	HCS1	1.9
290	YFR037C	RSC8	1.9
291	YPL269W	KAR9	1.9
292	YGL017W	ATE1	1.9
293	YJL176C	SWI3	1.9
294	YGR113W	DAM1	1.9
295	YKL025C	PAN3	1.9
296	YNL097C	PHO23	1.9
297	YDR028C	REG1	1.9
298	YGR179C	OKP1	1.9
299	YMR197C	VTI1	1.9
300	YBR073W	RDH54	1.9
301	YHL025W	SNF6	1.9
302	YPR029C	APL4	1.9
303	YLR371W	ROM2	1.9
304	YOL112W	MSB4	1.9
305	YGL216W	KIP3	1.9
306	YIR002C	MPH1	1.9
307	YDL077C	VAM6	1.9
308	YDR313C	PIB1	1.9
309	YDR463W	STP1	1.9
310	YGR010W	NMA2	1.9
311	YJL155C	FBP26	1.9
312	YLR427W	MAG2	1.9
313	YKR038C	KAE1	1.9
314	YGR186W	TFG1	1.9
315	YOL113W	SKM1	1.9
316	YBL061C	SKT5	1.9
317	YDR287W	INM2	1.9
318	YHR132C	ECM14	1.9
319	YDR030C	RAD28	1.9
320	YOR110W	TFC7	1.9
321	YMR220W	ERG8	1.9
322	YGR080W	TWF1	1.9
323	YBL102W	SFT2	1.9
324	YBL060W	YEL1	1.9
325	YDL200C	MGT1	1.9
326	YGL219C	MDM34	1.9
327	YLR353W	BUD8	1.9
328	YFL038C	YPT1	1.9
329	YKL010C	UFD4	1.9
330	YLR417W	VPS36	1.9
331	YLR045C	STU2	1.9
332	YDR272W	GLO2	1.9
333	YDR057W	YOS9	1.9
334	YKL049C	CSE4	1.9
335	YAL031C	GIP4	1.9
336	YNL293W	MSB3	1.9
337	YML109W	ZDS2	1.9
338	YDR166C	SEC5	1.9
339	YBR133C	HSL7	1.9
340	YGL223C	COG1	1.9
341	YBR125C	PTC4	1.9
342	YGL004C	RPN14	1.9
343	YMR139W	RIM11	1.9
344	YLR248W	RCK2	1.9
345	YDL030W	PRP9	1.9
346	YEL052W	AFG1	1.9
347	YLR425W	TUS1	1.9
348	YIL046W	MET30	1.9
349	YKL089W	MIF2	1.9
350	YDR122W	KIN1	1.9
351	YMR097C	MTG1	1.9
352	YKR029C	SET3	1.9
353	YAL001C	TFC3	1.9
354	YDR150W	NUM1	1.9
355	YNL290W	RFC3	1.9
356	YJL023C	PET130	1.9
357	YHR171W	ATG7	1.9
358	YKR035C	OPI8	1.9
359	YIL036W	CST6	1.9
360	YKL041W	VPS24	1.9
361	YHR200W	RPN10	1.9
362	YAL017W	PSK1	1.9
363	YJR089W	BIR1	1.9
364	YFR031C	SMC2	1.9
365	YLR351C	NIT3	1.9
366	YDR113C	PDS1	1.9
367	YKR021W	ALY1	1.9
368	YAL032C	PRP45	1.9
369	YKL048C	ELM1	1.9
370	YGL073W	HSF1	1.9
371	YER101C	AST2	1.9
372	YML068W	ITT1	1.9
373	YKL034W	TUL1	1.9
374	YDL135C	RDI1	1.9
375	YDR318W	MCM21	1.9
376	YCR075C	ERS1	1.9
377	YDR163W	CWC15	1.9
378	YML117W	NAB6	1.9
379	YBL105C	PKC1	1.9
380	YMR113W	FOL3	1.9
381	YNL161W	CBK1	1.9
382	YDR375C	BCS1	1.9
383	YBR280C	SAF1	1.9
384	YER059W	PCL6	1.9
385	YGL095C	VPS45	1.9
386	YBR215W	HPC2	1.9
387	YJR052W	RAD7	1.9
388	YER139C	RTR1	1.9
389	YBL023C	MCM2	1.9
390	YJL031C	BET4	1.9
391	YBR276C	PPS1	1.9
392	YHR207C	SET5	1.9
393	YMR064W	AEP1	1.9
394	YDR208W	MSS4	1.9
395	YHR161C	YAP1801	1.9
396	YOR035C	SHE4	1.9
397	YDR379W	RGA2	1.9
398	YMR028W	TAP42	1.9
399	YDR159W	SAC3	1.9
400	YBR245C	ISW1	1.9
401	YCR011C	ADP1	1.9
402	YCL016C	DCC1	1.9
403	YDL216C	RRI1	1.9
404	YHR150W	PEX28	1.9
405	YHR004C	NEM1	1.9
406	YMR227C	TAF7	1.9
407	YGL221C	NIF3	1.9
408	YNL006W	LST8	1.9
409	YLR207W	HRD3	1.9
410	YOR038C	HIR2	1.9
411	YNL084C	END3	1.9
412	YOL096C	COQ3	1.9
413	YNL294C	RIM21	1.9
414	YNL286W	CUS2	1.9
415	YCL011C	GBP2	1.9
416	YPL110C	GDE1	1.9
417	YDR108W	TRS85	1.9
418	YLR182W	SWI6	1.9
419	YCL051W	LRE1	1.9
420	YLR219W	MSC3	1.9
421	YNL156C	NSG2	1.9
422	YKL064W	MNR2	1.9
423	YDL019C	OSH2	1.9
424	YDR425W	SNX41	1.9
425	YBR112C	CYC8	1.9
426	YOL054W	PSH1	1.9
427	YPR133C	SPN1	1.9
428	YPL140C	MKK2	1.9
429	YGR048W	UFD1	1.9
430	YHR076W	PTC7	1.9
431	YAL013W	DEP1	1.9
432	YBL047C	EDE1	1.9
433	YMR201C	RAD14	1.9
434	YIR010W	DSN1	1.9
435	YGL248W	PDE1	1.9
436	YER050C	RSM18	1.9
437	YJL071W	ARG2	1.9
438	YPL023C	MET12	1.9
439	YOL138C	RTC1	1.9
440	YNL039W	BDP1	1.9
441	YBR129C	OPY1	1.9
442	YLR117C	CLF1	1.9
443	YER143W	DDI1	1.9
444	YNL325C	FIG4	1.9
445	YBL041W	PRE7	1.9
446	YGL059W	PKP2	1.9
447	YHR201C	PPX1	1.9
448	YOR217W	RFC1	1.9
449	YLR440C	SEC39	1.9
450	YGR275W	RTT102	1.9
451	YGR092W	DBF2	1.9
452	YDR288W	NSE3	1.9
453	YNL225C	CNM67	1.9
454	YOR261C	RPN8	1.9
455	YJL057C	IKS1	1.9
456	YBR109C	CMD1	1.9
457	YKL193C	SDS22	1.9
458	YDL207W	GLE1	1.9
459	YDR051C	DET1	1.9
460	YLR260W	LCB5	1.9
461	YCR032W	BPH1	1.9
462	YHR002W	LEU5	1.9
463	YIL105C	SLM1	1.9
464	YDR202C	RAV2	1.9
465	YPR032W	SRO7	1.9
466	YPR079W	MRL1	1.9
467	YBR228W	SLX1	1.9
468	YJL006C	CTK2	1.9
469	YPL203W	TPK2	1.9
470	YPL084W	BRO1	1.9
471	YPL091W	GLR1	1.9
472	YDR130C	FIN1	1.9
473	YHR058C	MED6	1.9
474	YHL023C	NPR3	1.9
475	YBR008C	FLR1	1.9
476	YGR077C	PEX8	1.9
477	YHR146W	CRP1	1.9
478	YBR165W	UBS1	1.9
479	YCR094W	CDC50	1.9
480	YDR231C	COX20	1.8
481	YGL116W	CDC20	1.8
482	YDR004W	RAD57	1.8
483	YBL088C	TEL1	1.8
484	YBR037C	SCO1	1.8
485	YDL002C	NHP10	1.8
486	YMR213W	CEF1	1.8
487	YIL063C	YRB2	1.8
488	YJR021C	REC107	1.8
489	YGL164C	YRB30	1.8
490	YOL066C	RIB2	1.8
491	YAL055W	PEX22	1.8
492	YJR134C	SGM1	1.8
493	YDL001W	RMD1	1.8
494	YOR323C	PRO2	1.8
495	YOL051W	GAL11	1.8
496	YPL031C	PHO85	1.8
497	YOL148C	SPT20	1.8
498	YBL038W	MRPL16	1.8
499	YKR048C	NAP1	1.8
500	YFL008W	SMC1	1.8
501	YBL034C	STU1	1.8
502	YOL082W	ATG19	1.8
503	YHR111W	UBA4	1.8
504	YKL040C	NFU1	1.8
505	YBR044C	TCM62	1.8
506	YLR082C	SRL2	1.8
507	YOR329C	SCD5	1.8
508	YIL002C	INP51	1.8
509	YFR046C	CNN1	1.8
510	YPR083W	MDM36	1.8
511	YNL258C	DSL1	1.8
512	YBR288C	APM3	1.8
513	YPR173C	VPS4	1.8
514	YDR145W	TAF12	1.8
515	YNL027W	CRZ1	1.8
516	YML062C	MFT1	1.8
517	YML032C	RAD52	1.8
518	YBR260C	RGD1	1.8
519	YBL084C	CDC27	1.8
520	YOR123C	LEO1	1.8
521	YOR371C	GPB1	1.8
522	YLR383W	SMC6	1.8
523	YNL041C	COG6	1.8
524	YDR092W	UBC13	1.8
525	YDR097C	MSH6	1.8
526	YMR165C	PAH1	1.8
527	YPL206C	PGC1	1.8
528	YMR089C	YTA12	1.8
529	YCR030C	SYP1	1.8
530	YBR160W	CDC28	1.8
531	YBR006W	UGA2	1.8
532	YDL169C	UGX2	1.8
533	YBR256C	RIB5	1.8
534	YDL139C	SCM3	1.8
535	YDR452W	PPN1	1.8
536	YML015C	TAF11	1.8
537	YBR058C	UBP14	1.8
538	YDL175C	AIR2	1.8
539	YDR195W	REF2	1.8
540	YHR012W	VPS29	1.8
541	YDL080C	THI3	1.8
542	YBL037W	APL3	1.8
543	YNL138W	SRV2	1.8
544	YGL025C	PGD1	1.8
545	YJL013C	MAD3	1.8
546	YBR217W	ATG12	1.8
547	YJR076C	CDC11	1.8
548	YDR129C	SAC6	1.8
549	YFL018C	LPD1	1.8
550	YDL091C	UBX3	1.8
551	YNL118C	DCP2	1.8
552	YKR101W	SIR1	1.8
553	YOR358W	HAP5	1.8
554	YKR001C	VPS1	1.8
555	YMR137C	PSO2	1.8
556	YDL035C	GPR1	1.8
557	YOR112W	CEX1	1.8
558	YER039C	HVG1	1.8
559	YDL231C	BRE4	1.8
560	YOL108C	INO4	1.8
561	YDR246W	TRS23	1.8
562	YDR495C	VPS3	1.8
563	YIL107C	PFK26	1.8
564	YDR295C	HDA2	1.8
565	YPR176C	BET2	1.8
566	YIR031C	DAL7	1.8
567	YMR236W	TAF9	1.8
568	YJL008C	CCT8	1.8
569	YDR416W	SYF1	1.8
570	YAR007C	RFA1	1.8
571	YNL116W	DMA2	1.8
572	YGR002C	SWC4	1.8
573	YNL032W	SIW14	1.8
574	YDR117C	TMA64	1.8
575	YOR117W	RPT5	1.8
576	YJR144W	MGM101	1.8
577	YKL028W	TFA1	1.8
578	YIR004W	DJP1	1.8
579	YNL048W	ALG11	1.8
580	YML012W	ERV25	1.8
581	YDL099W	BUG1	1.8
582	YLR289W	GUF1	1.8
583	YJR049C	UTR1	1.8
584	YPL116W	HOS3	1.8
585	YDR082W	STN1	1.8
586	YDR388W	RVS167	1.8
587	YMR172W	HOT1	1.8
588	YPL196W	OXR1	1.8
589	YHR028C	DAP2	1.8
590	YPL022W	RAD1	1.8
591	YGL174W	BUD13	1.8
592	YPL070W	MUK1	1.8
593	YGR270W	YTA7	1.8
594	YGR099W	TEL2	1.8
595	YKL117W	SBA1	1.8
596	YNL079C	TPM1	1.8
597	YGL119W	COQ8	1.8
598	YKL126W	YPK1	1.8
599	YHL020C	OPI1	1.8
600	YER175C	TMT1	1.8
601	YIL097W	FYV10	1.8
602	YDL065C	PEX19	1.8
603	YDR330W	UBX5	1.8
604	YLR298C	YHC1	1.8
605	YGL250W	RMR1	1.8
606	YPL213W	LEA1	1.8
607	YBR257W	POP4	1.8
608	YBR279W	PAF1	1.8
609	YDR325W	YCG1	1.8
610	YPL123C	RNY1	1.8
611	YOR040W	GLO4	1.8
612	YKL129C	MYO3	1.8
613	YBL021C	HAP3	1.8
614	YMR270C	RRN9	1.8
615	YKL046C	DCW1	1.8
616	YJR036C	HUL4	1.8
617	YBR046C	ZTA1	1.8
618	YOR037W	CYC2	1.8
619	YDL056W	MBP1	1.8
620	YBR163W	EXO5	1.8
621	YNL272C	SEC2	1.8
622	YMR153W	NUP53	1.8
623	YNL223W	ATG4	1.8
624	YHR090C	YNG2	1.8
625	YER022W	SRB4	1.8
626	YBR094W	PBY1	1.8
627	YPL119C	DBP1	1.8
628	YNL214W	PEX17	1.8
629	YML007W	YAP1	1.8
630	YLR191W	PEX13	1.8
631	YBL022C	PIM1	1.8
632	YGL112C	TAF6	1.8
633	YKL121W	DGR2	1.8
634	YMR077C	VPS20	1.8
635	YBL006C	LDB7	1.8
636	YNL127W	FAR11	1.8
637	YPL051W	ARL3	1.8
638	YDR147W	EKI1	1.8
639	YAR014C	BUD14	1.8
640	YER161C	SPT2	1.8
641	YJL004C	SYS1	1.8
642	YLR398C	SKI2	1.8
643	YMR198W	CIK1	1.8
644	YLR093C	NYV1	1.8
645	YDR105C	TMS1	1.8
646	YFR003C	YPI1	1.8
647	YCR004C	YCP4	1.8
648	YKL039W	PTM1	1.8
649	YPL204W	HRR25	1.8
650	YOL062C	APM4	1.8
651	YLR079W	SIC1	1.8
652	YGR147C	NAT2	1.8
653	YPL002C	SNF8	1.8
654	YDL230W	PTP1	1.8
655	YMR091C	NPL6	1.8
656	YDR383C	NKP1	1.8
657	YDL197C	ASF2	1.8
658	YJR103W	URA8	1.8
659	YIL017C	VID28	1.8
660	YLR399C	BDF1	1.8
661	YOR054C	VHS3	1.8
662	YJL062W	LAS21	1.8
663	YCR026C	NPP1	1.8
664	YBR104W	YMC2	1.8
665	YML071C	COG8	1.8
666	YIL164C	NIT1	1.8
667	YOL025W	LAG2	1.8
668	YKL052C	ASK1	1.8
669	YHR086W	NAM8	1.8
670	YHR135C	YCK1	1.8
671	YPL270W	MDL2	1.8
672	YOR241W	MET7	1.8
673	YLR095C	IOC2	1.8
674	YJL100W	LSB6	1.8
675	YBR055C	PRP6	1.8
676	YJR138W	IML1	1.8
677	YGR098C	ESP1	1.8
678	YJL099W	CHS6	1.8
679	YDR058C	TGL2	1.8
680	YOL117W	RRI2	1.8
681	YLR323C	CWC24	1.8
682	YLR373C	VID22	1.8
683	YJL082W	IML2	1.8
