SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CNS1

Rank	Gene	Common	Score
Q	YBR155W	CNS1	
1	YER127W	LCP5	4.8
2	YNL110C	NOP15	4.8
3	YGR145W	ENP2	4.6
4	YPL043W	NOP4	4.6
5	YHR066W	SSF1	4.6
6	YBR247C	ENP1	4.6
7	YDR087C	RRP1	4.6
8	YKR081C	RPF2	4.5
9	YNL308C	KRI1	4.5
10	YOL080C	REX4	4.5
11	YGR280C	PXR1	4.5
12	YMR239C	RNT1	4.5
13	YML093W	UTP14	4.5
14	YBR142W	MAK5	4.5
15	YKL172W	EBP2	4.5
16	YDR021W	FAL1	4.5
17	YLR276C	DBP9	4.5
18	YDR449C	UTP6	4.4
19	YDR496C	PUF6	4.4
20	YKL082C	RRP14	4.4
21	YHR052W	CIC1	4.4
22	YGL029W	CGR1	4.4
23	YKL009W	MRT4	4.4
24	YLR196W	PWP1	4.4
25	YOR078W	BUD21	4.4
26	YOR294W	RRS1	4.4
27	YDL153C	SAS10	4.4
28	YOR340C	RPA43	4.3
29	YER082C	UTP7	4.3
30	YKL099C	UTP11	4.3
31	YNL002C	RLP7	4.3
32	YHR088W	RPF1	4.3
33	YLR009W	RLP24	4.3
34	YLR221C	RSA3	4.3
35	YAL025C	MAK16	4.3
36	YCL054W	SPB1	4.3
37	YOR004W	UTP23	4.3
38	YIL019W	FAF1	4.3
39	YKL143W	LTV1	4.3
40	YNL075W	IMP4	4.3
41	YHR170W	NMD3	4.3
42	YDL213C	NOP6	4.3
43	YER002W	NOP16	4.3
44	YLL011W	SOF1	4.3
45	YCL059C	KRR1	4.2
46	YDR412W	RRP17	4.2
47	YGR187C	HGH1	4.2
48	YOR206W	NOC2	4.2
49	YHR169W	DBP8	4.2
50	YHR148W	IMP3	4.2
51	YDR398W	UTP5	4.2
52	YJL148W	RPA34	4.2
53	YDR299W	BFR2	4.2
54	YHR196W	UTP9	4.2
55	YGL171W	ROK1	4.2
56	YPR112C	MRD1	4.2
57	YDL148C	NOP14	4.2
58	YJL033W	HCA4	4.2
59	YGL099W	LSG1	4.2
60	YMR014W	BUD22	4.2
61	YNL061W	NOP2	4.2
62	YOL144W	NOP8	4.2
63	YNL113W	RPC19	4.2
64	YOL041C	NOP12	4.2
65	YLR435W	TSR2	4.2
66	YER126C	NSA2	4.2
67	YJL122W	ALB1	4.2
68	YDL201W	TRM8	4.2
69	YDR083W	RRP8	4.2
70	YGR103W	NOP7	4.2
71	YNL175C	NOP13	4.2
72	YLR074C	BUD20	4.2
73	YOR272W	YTM1	4.2
74	YGR128C	UTP8	4.1
75	YNL182C	IPI3	4.1
76	YPL012W	RRP12	4.1
77	YDR465C	RMT2	4.1
78	YJL069C	UTP18	4.1
79	YBR154C	RPB5	4.1
80	YKR024C	DBP7	4.1
81	YPL126W	NAN1	4.1
82	YMR131C	RRB1	4.1
83	YDL060W	TSR1	4.1
84	YDR165W	TRM82	4.1
85	YKL078W	DHR2	4.1
86	YLL008W	DRS1	4.1
87	YFR001W	LOC1	4.1
88	YCR057C	PWP2	4.1
89	YOR252W	TMA16	4.1
90	YGR245C	SDA1	4.1
91	YDL051W	LHP1	4.1
92	YGL078C	DBP3	4.0
93	YGL111W	NSA1	4.0
94	YDL031W	DBP10	4.0
95	YJL050W	MTR4	4.0
96	YOL124C	TRM11	4.0
97	YER006W	NUG1	4.0
98	YJR002W	MPP10	4.0
99	YDR101C	ARX1	4.0
100	YGR271C-A	EFG1	4.0
101	YMR049C	ERB1	4.0
102	YAL059W	ECM1	4.0
103	YHR197W	RIX1	4.0
104	YIL079C	AIR1	4.0
105	YOR091W	TMA46	4.0
106	YMR093W	UTP15	4.0
107	YML080W	DUS1	4.0
108	YHR085W	IPI1	4.0
109	YKL021C	MAK11	4.0
110	YDR361C	BCP1	4.0
111	YLR409C	UTP21	4.0
112	YPL211W	NIP7	4.0
113	YMR269W	TMA23	4.0
114	YPR143W	RRP15	4.0
115	YPR137W	RRP9	4.0
116	YDR324C	UTP4	4.0
117	YNL132W	KRE33	4.0
118	YNR054C	ESF2	4.0
119	YPR144C	NOC4	4.0
120	YNL151C	RPC31	3.9
121	YOL077C	BRX1	3.9
122	YJL125C	GCD14	3.9
123	YGR159C	NSR1	3.9
124	YBR061C	TRM7	3.9
125	YGR081C	SLX9	3.9
126	YDR312W	SSF2	3.9
127	YNL248C	RPA49	3.9
128	YIR012W	SQT1	3.9
129	YPL217C	BMS1	3.9
130	YDR120C	TRM1	3.9
131	YMR128W	ECM16	3.9
132	YBR267W	REI1	3.9
133	YPL146C	NOP53	3.9
134	YDR365C	ESF1	3.9
135	YDR184C	ATC1	3.9
136	YKR025W	RPC37	3.9
137	YPR110C	RPC40	3.9
138	YAL036C	RBG1	3.9
139	YOR145C	PNO1	3.9
140	YGL120C	PRP43	3.9
141	YNR053C	NOG2	3.9
142	YLR068W	FYV7	3.9
