SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CDC28

Rank	Gene	Common	Score
Q	YBR160W	CDC28	
1	YDL103C	QRI1	2.5
2	YBR233W	PBP2	2.4
3	YBR070C	ALG14	2.4
4	YER094C	PUP3	2.3
5	YDL101C	DUN1	2.3
6	YBL041W	PRE7	2.3
7	YER095W	RAD51	2.3
8	YPL124W	SPC29	2.3
9	YAR007C	RFA1	2.3
10	YDR503C	LPP1	2.3
11	YKL045W	PRI2	2.3
12	YOR074C	CDC21	2.3
13	YNL312W	RFA2	2.2
14	YFR052W	RPN12	2.2
15	YBR164C	ARL1	2.2
16	YBR014C	GRX7	2.2
17	YBR082C	UBC4	2.2
18	YBR088C	POL30	2.2
19	YJR006W	POL31	2.2
20	YBR165W	UBS1	2.2
21	YNL290W	RFC3	2.2
22	YCR002C	CDC10	2.2
23	YDL230W	PTP1	2.2
24	YBR231C	SWC5	2.2
25	YKL007W	CAP1	2.2
26	YBR252W	DUT1	2.2
27	YBR171W	SEC66	2.2
28	YFR050C	PRE4	2.2
29	YLR209C	PNP1	2.2
30	YBR087W	RFC5	2.1
31	YBR166C	TYR1	2.1
32	YBR156C	SLI15	2.1
33	YBR170C	NPL4	2.1
34	YML012W	ERV25	2.1
35	YMR022W	UBC7	2.1
36	YKR013W	PRY2	2.1
37	YDR394W	RPT3	2.1
38	YMR197C	VTI1	2.1
39	YBR161W	CSH1	2.1
40	YFL037W	TUB2	2.1
41	YOR362C	PRE10	2.1
42	YML085C	TUB1	2.1
43	YMR200W	ROT1	2.1
44	YLR103C	CDC45	2.1
45	YGL048C	RPT6	2.1
46	YBL093C	ROX3	2.1
47	YCL052C	PBN1	2.1
48	YGR092W	DBF2	2.1
49	YGR136W	LSB1	2.1
50	YDR284C	DPP1	2.1
51	YIL010W	DOT5	2.1
52	YLR045C	STU2	2.1
53	YBR234C	ARC40	2.1
54	YDR098C	GRX3	2.1
55	YJL155C	FBP26	2.1
56	YER003C	PMI40	2.1
57	YHR142W	CHS7	2.1
58	YDR368W	YPR1	2.1
59	YOR157C	PUP1	2.1
60	YDR261C	EXG2	2.1
61	YIL062C	ARC15	2.1
62	YPL227C	ALG5	2.1
63	YGR152C	RSR1	2.1
64	YBR205W	KTR3	2.1
65	YDL219W	DTD1	2.1
66	YBR236C	ABD1	2.1
67	YML092C	PRE8	2.1
68	YDL072C	YET3	2.1
69	YHR200W	RPN10	2.1
70	YOL031C	SIL1	2.1
71	YDL017W	CDC7	2.0
72	YCL016C	DCC1	2.0
73	YBR073W	RDH54	2.0
74	YPL163C	SVS1	2.0
75	YGR037C	ACB1	2.0
76	YPR103W	PRE2	2.0
77	YDL168W	SFA1	2.0
78	YDL100C	GET3	2.0
79	YDL135C	RDI1	2.0
80	YOR112W	CEX1	2.0
81	YLL002W	RTT109	2.0
82	YGR189C	CRH1	2.0
83	YGR135W	PRE9	2.0
84	YNL263C	YIF1	2.0
85	YDR177W	UBC1	2.0
86	YPL256C	CLN2	2.0
87	YAL007C	ERP2	2.0
88	YJL053W	PEP8	2.0
89	YGL221C	NIF3	2.0
90	YLR268W	SEC22	2.0
91	YPL152W	RRD2	2.0
92	YBR175W	SWD3	2.0
93	YBR151W	APD1	2.0
94	YBR195C	MSI1	2.0
95	YGR080W	TWF1	2.0
96	YGL161C	YIP5	2.0
97	YMR184W	ADD37	2.0
98	YMR314W	PRE5	2.0
99	YGR229C	SMI1	2.0
100	YBL040C	ERD2	2.0
101	YMR236W	TAF9	2.0
102	YBL009W	ALK2	2.0
103	YDL178W	DLD2	2.0
104	YBR173C	UMP1	2.0
105	YJL174W	KRE9	2.0
106	YDL164C	CDC9	2.0
107	YBL035C	POL12	2.0
108	YKL126W	YPK1	2.0
