SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: AIM4

Rank	Gene	Common	Score
Q	YBR194W	AIM4	
1	YBR188C	NTC20	2.4
2	YKL003C	MRP17	2.2
3	YGR206W	MVB12	2.2
4	YLR307W	CDA1	2.2
5	YKL002W	DID4	2.2
6	YOL008W	COQ10	2.1
7	YBR282W	MRPL27	2.1
8	YPL059W	GRX5	2.1
9	YER050C	RSM18	2.1
10	YDR511W	SDH7	2.1
11	YBR167C	POP7	2.1
12	YBR278W	DPB3	2.1
13	YMR197C	VTI1	2.1
14	YBR164C	ARL1	2.1
15	YDR045C	RPC11	2.1
16	YOR174W	MED4	2.1
17	YDR486C	VPS60	2.1
18	YBR258C	SHG1	2.1
19	YBR268W	MRPL37	2.0
20	YDR308C	SRB7	2.0
21	YKL137W	CMC1	2.0
22	YJR034W	PET191	2.0
23	YBR173C	UMP1	2.0
24	YLL009C	COX17	2.0
25	YGL226W	MTC3	2.0
26	YDR031W	MIX14	2.0
27	YDL008W	APC11	2.0
28	YER170W	ADK2	2.0
29	YBR120C	CBP6	2.0
30	YKL167C	MRP49	2.0
31	YDR079W	PET100	2.0
32	YCL035C	GRX1	2.0
33	YMR060C	SAM37	2.0
34	YBL038W	MRPL16	2.0
35	YDR424C	DYN2	2.0
36	YJL003W	COX16	2.0
37	YDL107W	MSS2	2.0
38	YDL139C	SCM3	2.0
39	YDL200C	MGT1	2.0
40	YGR076C	MRPL25	2.0
41	YCR003W	MRPL32	2.0
42	YML009C	MRPL39	2.0
43	YMR112C	MED11	2.0
44	YKL208W	CBT1	1.9
45	YER092W	IES5	1.9
46	YBR262C	MIC12	1.9
47	YDR493W	MZM1	1.9
48	YBL026W	LSM2	1.9
49	YCL033C	MXR2	1.9
50	YNL081C	SWS2	1.9
51	YGL047W	ALG13	1.9
52	YHL009C	YAP3	1.9
53	YDL142C	CRD1	1.9
54	YOR367W	SCP1	1.9
55	YBL090W	MRP21	1.9
56	YGL050W	TYW3	1.9
57	YJR022W	LSM8	1.9
58	YNL070W	TOM7	1.9
59	YDL018C	ERP3	1.9
60	YCR086W	CSM1	1.9
61	YLR147C	SMD3	1.9
62	YDR272W	GLO2	1.9
63	YOR357C	SNX3	1.9
64	YOR265W	RBL2	1.9
65	YDR462W	MRPL28	1.9
66	YBR193C	MED8	1.9
67	YER046W	SPO73	1.9
68	YJR099W	YUH1	1.9
69	YMR150C	IMP1	1.9
70	YJR006W	POL31	1.9
71	YDR177W	UBC1	1.9
72	YDR100W	TVP15	1.9
73	YKL160W	ELF1	1.9
74	YBR264C	YPT10	1.9
75	YKL138C	MRPL31	1.9
76	YLR390W	ECM19	1.9
