SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: KTR3

Rank	Gene	Common	Score
Q	YBR205W	KTR3	
1	YJR143C	PMT4	3.2
2	YEL042W	GDA1	3.2
3	YBR187W	GDT1	3.0
4	YBR106W	SND3	3.0
5	YIL043C	CBR1	3.0
6	YDL040C	NAT1	3.0
7	YDR454C	GUK1	3.0
8	YBR283C	SSH1	3.0
9	YBR121C	GRS1	3.0
10	YML124C	TUB3	3.0
11	YAL042W	ERV46	3.0
12	YEL002C	WBP1	2.9
13	YAL023C	PMT2	2.9
14	YPL050C	MNN9	2.9
15	YOL097C	WRS1	2.9
16	YDL084W	SUB2	2.9
17	YPR033C	HTS1	2.9
18	YHR068W	DYS1	2.9
19	YDR023W	SES1	2.9
20	YAL007C	ERP2	2.9
21	YGL097W	SRM1	2.9
22	YHR019C	DED81	2.9
23	YCR034W	ELO2	2.8
24	YMR243C	ZRC1	2.8
25	YIL039W	TED1	2.8
26	YJL080C	SCP160	2.8
27	YGL022W	STT3	2.8
28	YMR146C	TIF34	2.8
29	YKL127W	PGM1	2.8
30	YLR060W	FRS1	2.8
31	YJL002C	OST1	2.8
32	YJL183W	MNN11	2.8
33	YDR144C	MKC7	2.8
34	YDL226C	GCS1	2.8
35	YGL148W	ARO2	2.8
36	YBL032W	HEK2	2.8
37	YKL081W	TEF4	2.8
38	YER023W	PRO3	2.8
39	YDR321W	ASP1	2.8
40	YMR215W	GAS3	2.8
41	YJL192C	SOP4	2.8
42	YGR285C	ZUO1	2.8
43	YMR241W	YHM2	2.8
44	YBR265W	TSC10	2.8
45	YHR025W	THR1	2.8
46	YML106W	URA5	2.8
47	YLR372W	ELO3	2.7
48	YBR084W	MIS1	2.7
49	YMR079W	SEC14	2.7
50	YER043C	SAH1	2.7
51	YDL095W	PMT1	2.7
52	YFL022C	FRS2	2.7
53	YER118C	SHO1	2.7
54	YOR046C	DBP5	2.7
55	YHR108W	GGA2	2.7
56	YBL082C	ALG3	2.7
57	YBR189W	RPS9B	2.7
58	YGR185C	TYS1	2.7
59	YJL121C	RPE1	2.7
60	YNL291C	MID1	2.7
61	YLR083C	EMP70	2.7
62	YFL045C	SEC53	2.7
63	YBR252W	DUT1	2.7
64	YBR078W	ECM33	2.7
65	YDR212W	TCP1	2.7
66	YDL082W	RPL13A	2.7
67	YJL097W	PHS1	2.7
68	YGL225W	VRG4	2.7
69	YML022W	APT1	2.7
70	YPR118W	MRI1	2.7
71	YBR048W	RPS11B	2.7
72	YJL145W	SFH5	2.7
73	YOR254C	SEC63	2.7
74	YBR162C	TOS1	2.7
75	YDR226W	ADK1	2.7
76	YOR085W	OST3	2.7
77	YBR143C	SUP45	2.7
78	YDL052C	SLC1	2.7
79	YHR133C	NSG1	2.7
80	YFL037W	TUB2	2.7
81	YHR064C	SSZ1	2.7
82	YOR320C	GNT1	2.7
83	YGL020C	GET1	2.7
84	YJR007W	SUI2	2.7
85	YHR128W	FUR1	2.7
86	YGR172C	YIP1	2.7
87	YEL040W	UTR2	2.7
88	YDR190C	RVB1	2.7
89	YBR243C	ALG7	2.7
90	YMR149W	SWP1	2.7
91	YEL001C	IRC22	2.7
92	YLR192C	HCR1	2.6
93	YER025W	GCD11	2.6
94	YPR069C	SPE3	2.6
95	YDR292C	SRP101	2.6
96	YBL087C	RPL23A	2.6
97	YBR263W	SHM1	2.6
98	YIL123W	SIM1	2.6
99	YLR448W	RPL6B	2.6
100	YLR188W	MDL1	2.6
101	YNR043W	MVD1	2.6
102	YGR214W	RPS0A	2.6
103	YGL245W	GUS1	2.6
104	YBL076C	ILS1	2.6
105	YJR069C	HAM1	2.6
106	YOL139C	CDC33	2.6
107	YBL068W	PRS4	2.6
108	YBR015C	MNN2	2.6
109	YKL024C	URA6	2.6
110	YPL273W	SAM4	2.6
111	YKL181W	PRS1	2.6
112	YHR013C	ARD1	2.6
113	YDL145C	COP1	2.6
114	YBL091C	MAP2	2.6
115	YER009W	NTF2	2.6
116	YGL200C	EMP24	2.6
117	YLR208W	SEC13	2.6
118	YLL045C	RPL8B	2.6
119	YHL011C	PRS3	2.6
120	YNL085W	MKT1	2.6
121	YLR291C	GCD7	2.6
122	YLR432W	IMD3	2.6
123	YLR183C	TOS4	2.6
124	YML056C	IMD4	2.6
125	YDR091C	RLI1	2.6
126	YOR276W	CAF20	2.6
127	YAR002C-A	ERP1	2.6
128	YDR353W	TRR1	2.6
129	YHL033C	RPL8A	2.6
130	YBR092C	PHO3	2.6
131	YAL022C	FUN26	2.6
132	YKR026C	GCN3	2.6
133	YBL024W	NCL1	2.5
134	YPL246C	RBD2	2.5
135	YJR105W	ADO1	2.5
136	YBR011C	IPP1	2.5
137	YOR361C	PRT1	2.5
138	YML019W	OST6	2.5
139	YMR131C	RRB1	2.5
140	YDL192W	ARF1	2.5
141	YPR041W	TIF5	2.5
142	YER003C	PMI40	2.5
143	YLR172C	DPH5	2.5
144	YBR061C	TRM7	2.5
145	YEL054C	RPL12A	2.5
146	YLR061W	RPL22A	2.5
147	YBL039C	URA7	2.5
148	YPL037C	EGD1	2.5
149	YLR420W	URA4	2.5
150	YMR203W	TOM40	2.5
151	YMR217W	GUA1	2.5
152	YLR378C	SEC61	2.5
153	YJL190C	RPS22A	2.5
154	YLR293C	GSP1	2.5
155	YGR123C	PPT1	2.5
156	YLR186W	EMG1	2.5
157	YGL105W	ARC1	2.5
158	YGR094W	VAS1	2.5
159	YIL078W	THS1	2.5
160	YBR191W	RPL21A	2.5
161	YDL212W	SHR3	2.5
162	YMR235C	RNA1	2.5
163	YPR110C	RPC40	2.5
164	YOR243C	PUS7	2.5
165	YBL072C	RPS8A	2.5
166	YOR239W	ABP140	2.5
167	YMR123W	PKR1	2.5
168	YOR323C	PRO2	2.5
169	YLR088W	GAA1	2.5
170	YDL219W	DTD1	2.5
171	YML063W	RPS1B	2.5
172	YDL064W	UBC9	2.5
173	YBR025C	OLA1	2.5
174	YML126C	ERG13	2.5
175	YPR163C	TIF3	2.5
176	YNL246W	VPS75	2.5
177	YNL301C	RPL18B	2.5
178	YDR119W	VBA4	2.5
179	YGL253W	HXK2	2.5
180	YLR150W	STM1	2.5
181	YGR264C	MES1	2.5
182	YOR271C	FSF1	2.5
183	YIR021W	MRS1	2.5
184	YML012W	ERV25	2.5
185	YHR042W	NCP1	2.5
186	YDR025W	RPS11A	2.5
187	YER031C	YPT31	2.5
188	YCR053W	THR4	2.5
189	YGL147C	RPL9A	2.5
190	YKL128C	PMU1	2.5
191	YOR095C	RKI1	2.5
192	YJL124C	LSM1	2.5
193	YER102W	RPS8B	2.5
194	YPL163C	SVS1	2.5
195	YML073C	RPL6A	2.5
196	YBL027W	RPL19B	2.5
197	YOR175C	ALE1	2.5
198	YNL280C	ERG24	2.5
199	YBR249C	ARO4	2.5
200	YOL049W	GSH2	2.5
201	YGL123W	RPS2	2.5
202	YLR048W	RPS0B	2.5
203	YNL096C	RPS7B	2.5
204	YLR195C	NMT1	2.5
205	YPR183W	DPM1	2.5
206	YNR017W	TIM23	2.5
207	YBR221C	PDB1	2.5
208	YHR117W	TOM71	2.5
209	YJL177W	RPL17B	2.5
210	YMR212C	EFR3	2.5
211	YLR185W	RPL37A	2.5
212	YKL080W	VMA5	2.5
213	YDL015C	TSC13	2.5
214	YPR074C	TKL1	2.5
215	YLR351C	NIT3	2.5
216	YML031W	NDC1	2.5
217	YOL120C	RPL18A	2.5
218	YGR200C	ELP2	2.5
219	YOR217W	RFC1	2.5
220	YLR441C	RPS1A	2.5
221	YHR123W	EPT1	2.4
222	YER131W	RPS26B	2.4
223	YDL014W	NOP1	2.4
224	YBL057C	PTH2	2.4
225	YDR233C	RTN1	2.4
226	YLL018C	DPS1	2.4
227	YGL137W	SEC27	2.4
228	YGL027C	CWH41	2.4
229	YDL083C	RPS16B	2.4
230	YDR098C	GRX3	2.4
231	YFR031C-A	RPL2A	2.4
232	YOR168W	GLN4	2.4
233	YFR009W	GCN20	2.4
234	YHL003C	LAG1	2.4
235	YMR142C	RPL13B	2.4
236	YJR001W	AVT1	2.4
237	YOR310C	NOP58	2.4
238	YGR106C	VOA1	2.4
239	YPL094C	SEC62	2.4
240	YPR058W	YMC1	2.4
241	YDL143W	CCT4	2.4
242	YDR395W	SXM1	2.4
243	YAL036C	RBG1	2.4
244	YCR031C	RPS14A	2.4
245	YGR124W	ASN2	2.4
246	YJR070C	LIA1	2.4
247	YBR079C	RPG1	2.4
248	YML125C	PGA3	2.4
249	YLR447C	VMA6	2.4
250	YDR418W	RPL12B	2.4
251	YDR300C	PRO1	2.4
252	YBR041W	FAT1	2.4
253	YJR118C	ILM1	2.4
254	YPL079W	RPL21B	2.4
255	YDL103C	QRI1	2.4
256	YBL009W	ALK2	2.4
257	YLR285W	NNT1	2.4
258	YDR245W	MNN10	2.4
259	YAL058W	CNE1	2.4
260	YER086W	ILV1	2.4
261	YMR116C	ASC1	2.4
262	YAL035W	FUN12	2.4
263	YMR290C	HAS1	2.4
264	YPL244C	HUT1	2.4
265	YOR099W	KTR1	2.4
266	YBR164C	ARL1	2.4
267	YBR234C	ARC40	2.4
268	YMR307W	GAS1	2.4
269	YNL069C	RPL16B	2.4
270	YOR247W	SRL1	2.4
271	YNL067W	RPL9B	2.4
272	YLR197W	NOP56	2.4
273	YGR173W	RBG2	2.4
274	YDR062W	LCB2	2.4
275	YNL248C	RPA49	2.4
276	YDL055C	PSA1	2.4
277	YOR335C	ALA1	2.4
278	YER007C-A	TMA20	2.4
279	YHR098C	SFB3	2.4
280	YPL263C	KEL3	2.4
281	YNL066W	SUN4	2.4
282	YKL006W	RPL14A	2.4
283	YML024W	RPS17A	2.4
284	YJR075W	HOC1	2.4
285	YBR127C	VMA2	2.4
286	YOR224C	RPB8	2.4
287	YMR202W	ERG2	2.4
288	YER165W	PAB1	2.4
289	YGL084C	GUP1	2.4
290	YLR367W	RPS22B	2.4
291	YGR162W	TIF4631	2.4
292	YDR519W	FPR2	2.4
293	YLR380W	CSR1	2.4
294	YGL031C	RPL24A	2.4
295	YDR518W	EUG1	2.4
296	YMR214W	SCJ1	2.4
297	YIL094C	LYS12	2.4
298	YOR063W	RPL3	2.4
299	YML085C	TUB1	2.4
300	YIR026C	YVH1	2.4
301	YDL236W	PHO13	2.4
302	YDR012W	RPL4B	2.4
303	YJL167W	ERG20	2.4
304	YBR171W	SEC66	2.4
305	YGL016W	KAP122	2.4
306	YBR088C	POL30	2.4
307	YNL219C	ALG9	2.4
308	YNL307C	MCK1	2.4
309	YML067C	ERV41	2.4
310	YNL016W	PUB1	2.4
311	YPR113W	PIS1	2.4
312	YPL086C	ELP3	2.4
313	YJR123W	RPS5	2.4
314	YIL133C	RPL16A	2.4
315	YPL160W	CDC60	2.4
316	YGL257C	MNT2	2.4
317	YDR429C	TIF35	2.4
318	YML026C	RPS18B	2.4
319	YOR212W	STE4	2.4
320	YPL211W	NIP7	2.4
321	YLR180W	SAM1	2.4
322	YDR346C	SVF1	2.4
323	YDL130W	RPP1B	2.4
324	YLR459W	GAB1	2.4
325	YGL019W	CKB1	2.4
326	YGR155W	CYS4	2.3
327	YGR082W	TOM20	2.3
328	YLR059C	REX2	2.3
329	YDL100C	GET3	2.3
330	YPL063W	TIM50	2.3
331	YNL178W	RPS3	2.3
332	YDR238C	SEC26	2.3
333	YLR354C	TAL1	2.3
334	YHR062C	RPP1	2.3
335	YHR193C	EGD2	2.3
336	YJR024C	MDE1	2.3
337	YKL046C	DCW1	2.3
338	YGL012W	ERG4	2.3
339	YHR039C	MSC7	2.3
340	YLR229C	CDC42	2.3
341	YJL186W	MNN5	2.3
342	YMR012W	CLU1	2.3
343	YDL051W	LHP1	2.3
344	YBR029C	CDS1	2.3
345	YGL100W	SEH1	2.3
346	YOR096W	RPS7A	2.3
347	YBR154C	RPB5	2.3
348	YLR388W	RPS29A	2.3
349	YDR037W	KRS1	2.3
350	YHR208W	BAT1	2.3
351	YHR188C	GPI16	2.3
352	YOR253W	NAT5	2.3
353	YKL056C	TMA19	2.3
354	YOL040C	RPS15	2.3
355	YJR064W	CCT5	2.3
356	YPL081W	RPS9A	2.3
357	YOR108W	LEU9	2.3
358	YLR027C	AAT2	2.3
359	YGL001C	ERG26	2.3
360	YNL048W	ALG11	2.3
361	YMR129W	POM152	2.3
362	YKL180W	RPL17A	2.3
363	YNL169C	PSD1	2.3
364	YLR340W	RPP0	2.3
365	YOR272W	YTM1	2.3
366	YOR301W	RAX1	2.3
367	YLR344W	RPL26A	2.3
368	YGL076C	RPL7A	2.3
369	YGR128C	UTP8	2.3
370	YLR029C	RPL15A	2.3
371	YGL120C	PRP43	2.3
372	YNL292W	PUS4	2.3
373	YIR022W	SEC11	2.3
374	YDL164C	CDC9	2.3
375	YKR092C	SRP40	2.3
376	YIL131C	FKH1	2.3
377	YLR146C	SPE4	2.3
378	YBR276C	PPS1	2.3
379	YNL175C	NOP13	2.3
380	YDR047W	HEM12	2.3
381	YCL011C	GBP2	2.3
382	YNL302C	RPS19B	2.3
383	YNL087W	TCB2	2.3
384	YLR175W	CBF5	2.3
385	YOR260W	GCD1	2.3
386	YOR315W	SFG1	2.3
387	YOR067C	ALG8	2.3
388	YEL055C	POL5	2.3
389	YGL106W	MLC1	2.3
390	YPL145C	KES1	2.3
391	YML008C	ERG6	2.3
392	YIL110W	HPM1	2.3
393	YGL195W	GCN1	2.3
394	YGR085C	RPL11B	2.3
395	YDR087C	RRP1	2.3
396	YGR181W	TIM13	2.3
397	YPL243W	SRP68	2.3
398	YIL145C	PAN6	2.3
399	YHR089C	GAR1	2.3
400	YPL226W	NEW1	2.3
401	YBR087W	RFC5	2.3
402	YOL052C	SPE2	2.3
403	YJL138C	TIF2	2.3
404	YPL143W	RPL33A	2.3
405	YNL209W	SSB2	2.3
406	YMR242C	RPL20A	2.3
407	YJL008C	CCT8	2.3
408	YGR118W	RPS23A	2.3
409	YLR359W	ADE13	2.3
410	YNL061W	NOP2	2.3
411	YNR030W	ALG12	2.3
412	YDR483W	KRE2	2.3
413	YGR262C	BUD32	2.3
414	YLL022C	HIF1	2.3
