SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YBR225W

Rank	Gene	Common	Score
Q	YBR225W	YBR225W	
1	YBR280C	SAF1	2.1
2	YDR122W	KIN1	2.0
3	YLL019C	KNS1	2.0
4	YDR293C	SSD1	1.9
5	YLR149C	GID11	1.9
6	YBR223C	TDP1	1.9
7	YKL124W	SSH4	1.9
8	YOR113W	AZF1	1.9
9	YEL060C	PRB1	1.9
10	YDL199C	YDL199C	1.9
11	YJL084C	ALY2	1.9
12	YDR358W	GGA1	1.8
13	YKL064W	MNR2	1.8
14	YDR436W	PPZ2	1.8
15	YLR001C	YLR001C	1.8
16	YDL149W	ATG9	1.8
17	YBR214W	SDS24	1.8
18	YBR212W	NGR1	1.8
19	YHR082C	KSP1	1.8
20	YPR026W	ATH1	1.8
21	YBR169C	SSE2	1.8
22	YCR091W	KIN82	1.8
23	YBL101C	ECM21	1.8
24	YMR304W	UBP15	1.8
25	YCR030C	SYP1	1.8
26	YGL180W	ATG1	1.8
27	YNR047W	FPK1	1.8
28	YLR219W	MSC3	1.8
29	YGR237C	YGR237C	1.8
30	YLR345W	YLR345W	1.8
31	YDL169C	UGX2	1.8
32	YIL017C	VID28	1.8
33	YKR096W	ESL2	1.8
34	YLR270W	DCS1	1.7
35	YJR039W	MLO127	1.7
36	YDR330W	UBX5	1.7
37	YMR053C	STB2	1.7
38	YJL141C	YAK1	1.7
39	YMR110C	HFD1	1.7
40	YER047C	SAP1	1.7
41	YOL060C	MAM3	1.7
42	YNL115C	YNL115C	1.7
43	YER169W	RPH1	1.7
44	YDR018C	YDR018C	1.7
45	YDR216W	ADR1	1.7
46	YMR139W	RIM11	1.7
47	YIL146C	ATG32	1.7
48	YDR505C	PSP1	1.7
49	YOR035C	SHE4	1.7
50	YGL227W	VID30	1.7
51	YDR251W	PAM1	1.7
52	YOL083W	ATG34	1.7
53	YDR069C	DOA4	1.7
54	YDR001C	NTH1	1.7
55	YGL156W	AMS1	1.7
56	YMR181C	YMR181C	1.7
57	YAL034C	FUN19	1.7
58	YGR127W	YGR127W	1.7
59	YOL100W	PKH2	1.7
60	YIL155C	GUT2	1.7
61	YDR074W	TPS2	1.7
62	YJL163C	YJL163C	1.7
63	YBR241C	VVS1	1.7
64	YGR130C	YGR130C	1.7
65	YDL027C	MRX9	1.7
66	YAR019C	CDC15	1.7
67	YMR302C	YME2	1.7
68	YHR097C	PAL2	1.7
69	YAL017W	PSK1	1.7
70	YPL119C	DBP1	1.7
71	YMR140W	SIP5	1.7
72	YNL242W	ATG2	1.7
73	YIL101C	XBP1	1.7
74	YBR269C	SDH8	1.7
75	YDR085C	AFR1	1.7
76	YKL093W	MBR1	1.7
77	YGR143W	SKN1	1.7
78	YER033C	ZRG8	1.7
79	YBL078C	ATG8	1.7
80	YDR306C	PFU1	1.7
