SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BUD3

Rank	Gene	Common	Score
Q	YCL014W	BUD3	
1	YJR092W	BUD4	3.2
2	YJR031C	GEA1	2.9
3	YGL021W	ALK1	2.9
4	YPR119W	CLB2	2.9
5	YPL242C	IQG1	2.8
6	YAL024C	LTE1	2.7
7	YLR272C	YCS4	2.7
8	YJL092W	SRS2	2.7
9	YMR001C	CDC5	2.6
10	YDR146C	SWI5	2.6
11	YLL021W	SPA2	2.6
12	YIL131C	FKH1	2.5
13	YBR038W	CHS2	2.5
14	YCL063W	VAC17	2.5
15	YOR188W	MSB1	2.5
16	YIL147C	SLN1	2.5
17	YJL080C	SCP160	2.5
18	YER032W	FIR1	2.5
19	YBL009W	ALK2	2.5
20	YPL155C	KIP2	2.5
21	YDR325W	YCG1	2.5
22	YMR129W	POM152	2.5
23	YHR172W	SPC97	2.5
24	YGR014W	MSB2	2.5
25	YGR098C	ESP1	2.5
26	YLR086W	SMC4	2.5
27	YML065W	ORC1	2.5
28	YBL034C	STU1	2.5
29	YIL123W	SIM1	2.5
30	YML104C	MDM1	2.5
31	YDR170C	SEC7	2.5
32	YLR353W	BUD8	2.4
33	YJL039C	NUP192	2.4
34	YER114C	BOI2	2.4
35	YNL088W	TOP2	2.4
36	YDR507C	GIN4	2.4
37	YLR373C	VID22	2.4
38	YLR045C	STU2	2.4
39	YDR326C	YSP2	2.4
40	YDL145C	COP1	2.4
41	YDR464W	SPP41	2.4
42	YGL092W	NUP145	2.4
43	YIL126W	STH1	2.4
44	YCR084C	TUP1	2.4
45	YOR207C	RET1	2.4
46	YLR083C	EMP70	2.4
47	YHR023W	MYO1	2.4
48	YJR143C	PMT4	2.4
49	YBL079W	NUP170	2.4
50	YIL115C	NUP159	2.4
51	YBL032W	HEK2	2.4
52	YNL085W	MKT1	2.4
53	YMR190C	SGS1	2.4
54	YMR032W	HOF1	2.4
55	YGL139W	FLC3	2.4
56	YKR082W	NUP133	2.4
57	YBL052C	SAS3	2.4
58	YER105C	NUP157	2.4
59	YOR098C	NUP1	2.4
60	YKR054C	DYN1	2.4
61	YGL016W	KAP122	2.4
62	YGL195W	GCN1	2.4
63	YMR215W	GAS3	2.3
64	YBR133C	HSL7	2.3
65	YOL076W	MDM20	2.3
66	YDL240W	LRG1	2.3
67	YJL074C	SMC3	2.3
68	YNL197C	WHI3	2.3
69	YGL225W	VRG4	2.3
70	YOR326W	MYO2	2.3
71	YJR132W	NMD5	2.3
72	YEL061C	CIN8	2.3
73	YGR162W	TIF4631	2.3
74	YJL129C	TRK1	2.3
75	YJL076W	NET1	2.3
76	YEL042W	GDA1	2.3
77	YJL187C	SWE1	2.3
78	YOR335C	ALA1	2.3
79	YOR058C	ASE1	2.3
80	YDR227W	SIR4	2.3
81	YGL097W	SRM1	2.3
82	YLR384C	IKI3	2.3
83	YAL029C	MYO4	2.3
84	YNL087W	TCB2	2.3
85	YOR239W	ABP140	2.3
86	YOR315W	SFG1	2.3
87	YBR275C	RIF1	2.3
88	YNL262W	POL2	2.3
89	YHR031C	RRM3	2.3
90	YPR104C	FHL1	2.3
91	YKR010C	TOF2	2.3
92	YDR245W	MNN10	2.3
93	YEL022W	GEA2	2.3
94	YCL024W	KCC4	2.3
95	YDR150W	NUM1	2.3
96	YCR057C	PWP2	2.3
97	YOR341W	RPA190	2.3
98	YPL160W	CDC60	2.3
99	YER155C	BEM2	2.3
100	YLR398C	SKI2	2.3
101	YLR335W	NUP2	2.3
102	YFR038W	IRC5	2.3
103	YML034W	SRC1	2.3
104	YPL128C	TBF1	2.3
105	YJL183W	MNN11	2.3
106	YLR084C	RAX2	2.3
107	YOR233W	KIN4	2.3
108	YBL031W	SHE1	2.3
109	YDL164C	CDC9	2.3
110	YPR010C	RPA135	2.2
111	YGR108W	CLB1	2.2
112	YDR389W	SAC7	2.2
113	YOR301W	RAX1	2.2
114	YOR048C	RAT1	2.2
115	YKL101W	HSL1	2.2
116	YJL019W	MPS3	2.2
117	YFR028C	CDC14	2.2
118	YHR103W	SBE22	2.2
119	YDR091C	RLI1	2.2
120	YCR065W	HCM1	2.2
121	YDR097C	MSH6	2.2
122	YBR049C	REB1	2.2
123	YDR356W	SPC110	2.2
124	YNL291C	MID1	2.2
125	YDR395W	SXM1	2.2
126	YML109W	ZDS2	2.2
127	YNL068C	FKH2	2.2
128	YAL023C	PMT2	2.2
129	YKL014C	URB1	2.2
130	YNL066W	SUN4	2.2
131	YMR309C	NIP1	2.2
132	YNL238W	KEX2	2.2
133	YMR198W	CIK1	2.2
134	YBL024W	NCL1	2.2
135	YFL037W	TUB2	2.2
136	YGL094C	PAN2	2.2
137	YLR190W	MMR1	2.2
138	YJL051W	IRC8	2.2
139	YAR018C	KIN3	2.2
140	YML031W	NDC1	2.2
141	YBR276C	PPS1	2.2
142	YNL126W	SPC98	2.2
143	YGR217W	CCH1	2.2
144	YNL163C	RIA1	2.2
145	YNL132W	KRE33	2.2
146	YBR084W	MIS1	2.2
147	YBL023C	MCM2	2.2
148	YEL055C	POL5	2.2
149	YBL105C	PKC1	2.2
150	YDR144C	MKC7	2.2
151	YPL082C	MOT1	2.2
152	YJR140C	HIR3	2.2
153	YPL253C	VIK1	2.2
154	YHR165C	PRP8	2.2
155	YLL048C	YBT1	2.2
156	YGR200C	ELP2	2.2
157	YHR079C	IRE1	2.2
158	YGL216W	KIP3	2.2
159	YMR212C	EFR3	2.2
160	YLR383W	SMC6	2.2
161	YDL095W	PMT1	2.2
162	YLR305C	STT4	2.2
163	YMR079W	SEC14	2.2
164	YDL112W	TRM3	2.2
165	YGL014W	PUF4	2.2
166	YDR303C	RSC3	2.2
167	YJL095W	BCK1	2.2
168	YBL004W	UTP20	2.2
169	YOR372C	NDD1	2.2
170	YLR131C	ACE2	2.2
171	YBR263W	SHM1	2.2
172	YKR090W	PXL1	2.2
173	YBR245C	ISW1	2.2
174	YGR099W	TEL2	2.2
175	YNL061W	NOP2	2.2
176	YIL129C	TAO3	2.2
177	YPR141C	KAR3	2.2
178	YNL233W	BNI4	2.2
179	YLR129W	DIP2	2.2
180	YER164W	CHD1	2.2
181	YER025W	GCD11	2.2
182	YLR183C	TOS4	2.2
183	YOR025W	HST3	2.2
184	YMR229C	RRP5	2.2
185	YHR149C	SKG6	2.2
186	YBR156C	SLI15	2.2
187	YGL099W	LSG1	2.2
188	YHR099W	TRA1	2.2
189	YGR090W	UTP22	2.2
190	YDR283C	GCN2	2.2
191	YDL102W	POL3	2.2
192	YNL216W	RAP1	2.2
193	YBL063W	KIP1	2.2
194	YDL074C	BRE1	2.1
195	YDR346C	SVF1	2.1
196	YJR076C	CDC11	2.1
197	YGL137W	SEC27	2.1
198	YBR079C	RPG1	2.1
199	YDR211W	GCD6	2.1
200	YPL226W	NEW1	2.1
201	YER110C	KAP123	2.1
202	YGR140W	CBF2	2.1
203	YOR129C	AFI1	2.1
204	YNL166C	BNI5	2.1
205	YHL007C	STE20	2.1
206	YHR154W	RTT107	2.1
207	YJL050W	MTR4	2.1
208	YBR187W	GDT1	2.1
209	YPR112C	MRD1	2.1
210	YBR162C	TOS1	2.1
211	YCL037C	SRO9	2.1
212	YMR183C	SSO2	2.1
213	YOR361C	PRT1	2.1
214	YJL098W	SAP185	2.1
215	YDL028C	MPS1	2.1
216	YFL002C	SPB4	2.1
217	YDL003W	MCD1	2.1
218	YMR128W	ECM16	2.1
219	YOL004W	SIN3	2.1
220	YIL026C	IRR1	2.1
221	YCR033W	SNT1	2.1
222	YER070W	RNR1	2.1
223	YJL198W	PHO90	2.1
224	YFL025C	BST1	2.1
225	YHR186C	KOG1	2.1
226	YDL093W	PMT5	2.1
227	YGL116W	CDC20	2.1
228	YMR218C	TRS130	2.1
229	YNL273W	TOF1	2.1
230	YOR165W	SEY1	2.1
231	YLR342W	FKS1	2.1
232	YBR202W	MCM7	2.1
233	YER008C	SEC3	2.1
234	YDR420W	HKR1	2.1
235	YDL148C	NOP14	2.1
236	YLR319C	BUD6	2.1
237	YIL140W	AXL2	2.1
238	YNL298W	CLA4	2.1
239	YKL165C	MCD4	2.1
240	YBL014C	RRN6	2.1
241	YHR205W	SCH9	2.1
242	YML072C	TCB3	2.1
243	YPL217C	BMS1	2.1
244	YOR247W	SRL1	2.1
