SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BIK1

Rank	Gene	Common	Score
Q	YCL029C	BIK1	
1	YGR158C	MTR3	2.5
2	YCL031C	RRP7	2.5
3	YMR227C	TAF7	2.5
4	YNL292W	PUS4	2.5
5	YPR161C	SGV1	2.5
6	YML014W	TRM9	2.4
7	YCR052W	RSC6	2.4
8	YCR047C	BUD23	2.4
9	YFL023W	BUD27	2.4
10	YDR110W	FOB1	2.4
11	YHL009C	YAP3	2.4
12	YBR155W	CNS1	2.4
13	YDR045C	RPC11	2.4
14	YML114C	TAF8	2.4
15	YER127W	LCP5	2.3
16	YPL263C	KEL3	2.3
17	YGL043W	DST1	2.3
18	YDR152W	GIR2	2.3
19	YDR052C	DBF4	2.3
20	YIL104C	SHQ1	2.3
21	YOR091W	TMA46	2.3
22	YNR053C	NOG2	2.3
23	YIL020C	HIS6	2.3
24	YCL061C	MRC1	2.3
25	YBR130C	SHE3	2.3
26	YJL087C	TRL1	2.3
27	YOL093W	TRM10	2.3
28	YJR002W	MPP10	2.3
29	YNL166C	BNI5	2.3
30	YBR061C	TRM7	2.3
31	YML015C	TAF11	2.3
32	YKL172W	EBP2	2.3
33	YDL150W	RPC53	2.3
34	YAR014C	BUD14	2.3
35	YNR027W	BUD17	2.3
36	YHR062C	RPP1	2.3
37	YLR323C	CWC24	2.2
38	YIL079C	AIR1	2.2
39	YER082C	UTP7	2.2
40	YDL153C	SAS10	2.2
41	YER176W	ECM32	2.2
42	YCR035C	RRP43	2.2
43	YFR037C	RSC8	2.2
44	YCL059C	KRR1	2.2
45	YGL111W	NSA1	2.2
46	YPR034W	ARP7	2.2
47	YNR054C	ESF2	2.2
48	YBL069W	AST1	2.2
49	YBR247C	ENP1	2.2
50	YNL207W	RIO2	2.2
51	YNL290W	RFC3	2.2
52	YAL025C	MAK16	2.2
53	YOR216C	RUD3	2.2
54	YDL139C	SCM3	2.2
55	YER006W	NUG1	2.2
56	YOL028C	YAP7	2.2
57	YNL308C	KRI1	2.2
58	YOR056C	NOB1	2.2
59	YDL060W	TSR1	2.2
60	YJR043C	POL32	2.2
61	YMR153W	NUP53	2.2
62	YNR003C	RPC34	2.2
63	YOR281C	PLP2	2.2
64	YLR095C	IOC2	2.2
65	YKL074C	MUD2	2.2
66	YDL148C	NOP14	2.2
67	YKR025W	RPC37	2.2
68	YGR002C	SWC4	2.2
69	YBL068W	PRS4	2.2
70	YLR263W	RED1	2.2
71	YGL023C	PIB2	2.2
72	YCR057C	PWP2	2.2
73	YBR215W	HPC2	2.2
74	YGL174W	BUD13	2.2
75	YHR065C	RRP3	2.2
76	YJL069C	UTP18	2.2
77	YOL145C	CTR9	2.2
78	YPR112C	MRD1	2.2
79	YFL002C	SPB4	2.2
80	YGR083C	GCD2	2.2
81	YDR087C	RRP1	2.2
82	YOR078W	BUD21	2.2
83	YJR072C	NPA3	2.2
84	YJR069C	HAM1	2.2
85	YCL032W	STE50	2.2
86	YDR211W	GCD6	2.2
87	YDR021W	FAL1	2.2
88	YML060W	OGG1	2.2
89	YPL235W	RVB2	2.2
90	YLR221C	RSA3	2.2
91	YFL001W	DEG1	2.2
92	YMR080C	NAM7	2.2
93	YKL143W	LTV1	2.2
94	YDR120C	TRM1	2.2
95	YJL127C	SPT10	2.2
96	YNR038W	DBP6	2.2
97	YMR213W	CEF1	2.2
98	YGL097W	SRM1	2.2
99	YAL019W	FUN30	2.2
100	YBR079C	RPG1	2.2
101	YML074C	FPR3	2.2
102	YIR026C	YVH1	2.2
103	YMR172W	HOT1	2.1
104	YLR449W	FPR4	2.1
105	YER126C	NSA2	2.1
106	YNR026C	SEC12	2.1
107	YHR036W	BRL1	2.1
108	YMR131C	RRB1	2.1
109	YOR174W	MED4	2.1
110	YCL054W	SPB1	2.1
111	YKL028W	TFA1	2.1
112	YML093W	UTP14	2.1
113	YLR276C	DBP9	2.1
114	YIL061C	SNP1	2.1
115	YLL022C	HIF1	2.1
116	YOL144W	NOP8	2.1
117	YOR294W	RRS1	2.1
118	YMR014W	BUD22	2.1
119	YHR040W	BCD1	2.1
120	YHR070W	TRM5	2.1
121	YML080W	DUS1	2.1
122	YHR069C	RRP4	2.1
123	YIR012W	SQT1	2.1
124	YDR496C	PUF6	2.1
125	YNL199C	GCR2	2.1
126	YDL226C	GCS1	2.1
127	YLR196W	PWP1	2.1
128	YOL006C	TOP1	2.1
129	YPR152C	URN1	2.1
130	YNL227C	JJJ1	2.1
131	YPL086C	ELP3	2.1
132	YGL050W	TYW3	2.1
133	YJL125C	GCD14	2.1
134	YDL167C	NRP1	2.1
135	YKL099C	UTP11	2.1
136	YOL070C	NBA1	2.1
137	YPL193W	RSA1	2.1
138	YOR272W	YTM1	2.1
139	YIL019W	FAF1	2.1
140	YDR440W	DOT1	2.1
