SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YCL042W

Rank	Gene	Common	Score
Q	YCL042W	YCL042W	
1	YCL040W	GLK1	3.8
2	YMR105C	PGM2	2.7
3	YBR126C	TPS1	2.7
4	YGL037C	PNC1	2.7
5	YLR258W	GSY2	2.6
6	YML100W	TSL1	2.6
7	YMR250W	GAD1	2.6
8	YLR178C	TFS1	2.6
9	YHR087W	RTC3	2.5
10	YFR053C	HXK1	2.4
11	YBR139W	ATG42	2.4
12	YDR074W	TPS2	2.4
13	YGR008C	STF2	2.4
14	YDR001C	NTH1	2.4
15	YML128C	MSC1	2.4
16	YJL164C	TPK1	2.4
17	YOR374W	ALD4	2.4
18	YNL200C	NNR1	2.3
19	YLR270W	DCS1	2.3
20	YGR248W	SOL4	2.3
21	YHR104W	GRE3	2.3
22	YOR173W	DCS2	2.3
23	YHL021C	AIM17	2.3
24	YEL011W	GLC3	2.3
25	YDL124W	YDL124W	2.3
26	YLR149C	GID11	2.3
27	YFR017C	IGD1	2.3
28	YIL136W	OM45	2.3
29	YDR171W	HSP42	2.3
30	YDR516C	EMI2	2.3
31	YEL060C	PRB1	2.2
32	YBR214W	SDS24	2.2
33	YPL004C	LSP1	2.2
34	YOR347C	PYK2	2.2
35	YDL110C	TMA17	2.2
36	YNL274C	GOR1	2.2
37	YKL103C	APE1	2.2
38	YBR230C	OM14	2.2
39	YBR169C	SSE2	2.2
40	YMR196W	YMR196W	2.2
41	YDL022W	GPD1	2.1
42	YKL035W	UGP1	2.1
43	YPR184W	GDB1	2.1
44	YHR016C	YSC84	2.1
45	YER053C	PIC2	2.1
46	YBR056W	MRX18	2.1
47	YKL091C	YKL091C	2.1
48	YPL154C	PEP4	2.1
49	YLL026W	HSP104	2.1
50	YNL305C	BXI1	2.1
51	YOL082W	ATG19	2.1
52	YKL151C	NNR2	2.1
53	YDL204W	RTN2	2.1
54	YBL064C	PRX1	2.1
55	YLR251W	SYM1	2.1
56	YPR160W	GPH1	2.1
57	YBR053C	YBR053C	2.1
58	YER150W	SPI1	2.1
59	YIL033C	BCY1	2.1
60	YBR149W	ARA1	2.0
61	YLR327C	TMA10	2.0
62	YGR194C	XKS1	2.0
63	YKL150W	MCR1	2.0
64	YER067W	RGI1	2.0
65	YJL066C	MPM1	2.0
66	YKL142W	MRP8	2.0
67	YDL222C	FMP45	2.0
68	YJL161W	FMP33	2.0
69	YBR241C	VVS1	2.0
70	YDR358W	GGA1	2.0
71	YGR088W	CTT1	2.0
72	YGR019W	UGA1	2.0
73	YER079W	YER079W	2.0
74	YOL052C-A	DDR2	2.0
75	YMR090W	YMR090W	2.0
76	YNL115C	YNL115C	2.0
77	YMR297W	PRC1	2.0
78	YFR015C	GSY1	2.0
79	YLR356W	ATG33	2.0
80	YBR132C	AGP2	2.0
81	YDR178W	SDH4	2.0
82	YPL247C	YPL247C	2.0
83	YOR289W	YOR289W	2.0
84	YML120C	NDI1	2.0
85	YPL230W	USV1	2.0
86	YIL101C	XBP1	2.0
87	YBR052C	RFS1	2.0
88	YMR169C	ALD3	2.0
89	YDR070C	FMP16	2.0
90	YHR097C	PAL2	2.0
91	YFL014W	HSP12	1.9
92	YJR008W	MHO1	1.9
93	YLL041C	SDH2	1.9
94	YIL155C	GUT2	1.9
95	YLR345W	YLR345W	1.9
96	YNR001C	CIT1	1.9
97	YPL203W	TPK2	1.9
98	YML004C	GLO1	1.9
99	YJR096W	YJR096W	1.9
100	YNL160W	YGP1	1.9
101	YMR251W-A	HOR7	1.9
102	YAL061W	BDH2	1.9
103	YIL087C	AIM19	1.9
104	YBR072W	HSP26	1.9
105	YOR120W	GCY1	1.9
106	YDL169C	UGX2	1.9
107	YJL163C	YJL163C	1.9
108	YGL156W	AMS1	1.9
109	YDR204W	COQ4	1.9
110	YPL186C	UIP4	1.9
111	YNL015W	PBI2	1.9
112	YDR513W	GRX2	1.9
113	YOR230W	WTM1	1.9
114	YMR110C	HFD1	1.9
115	YKR076W	ECM4	1.9
116	YMR104C	YPK2	1.9
117	YMR181C	YMR181C	1.9
118	YMR261C	TPS3	1.9
119	YHR113W	APE4	1.9
120	YPL123C	RNY1	1.9
121	YDR258C	HSP78	1.9
122	YMR315W	YMR315W	1.9
123	YOL083W	ATG34	1.9
124	YGR255C	COQ6	1.9
125	YPL087W	YDC1	1.8
126	YBR026C	ETR1	1.8
127	YER035W	EDC2	1.8
128	YER141W	COX15	1.8
129	YDR391C	YDR391C	1.8
130	YOL084W	PHM7	1.8
131	YDR032C	PST2	1.8
132	YGR127W	YGR127W	1.8
133	YBR269C	SDH8	1.8
134	YML054C	CYB2	1.8
135	YGL104C	VPS73	1.8
136	YML070W	DAK1	1.8
137	YHR138C	YHR138C	1.8
138	YMR291W	TDA1	1.8
139	YKL085W	MDH1	1.8
140	YJL020C	BBC1	1.8
141	YEL039C	CYC7	1.8
142	YGL006W	PMC1	1.8
143	YGR086C	PIL1	1.8
144	YLR120C	YPS1	1.8
145	YCL035C	GRX1	1.8
146	YDR453C	TSA2	1.8
147	YIL124W	AYR1	1.8
148	YLR177W	YLR177W	1.8
149	YGR130C	YGR130C	1.8
150	YNR014W	YNR014W	1.8
151	YIL107C	PFK26	1.8
152	YJR059W	PTK2	1.8
153	YKL148C	SDH1	1.8
154	YNL092W	YNL092W	1.8
155	YFL042C	LAM5	1.8
156	YBR183W	YPC1	1.8
157	YER103W	SSA4	1.8
158	YMR174C	PAI3	1.8
159	YDL072C	YET3	1.8
160	YPR026W	ATH1	1.8
161	YMR140W	SIP5	1.8
162	YLL023C	POM33	1.8
163	YKL193C	SDS22	1.8
164	YJL141C	YAK1	1.8
165	YKR067W	GPT2	1.8
166	YMR139W	RIM11	1.8
167	YNL194C	YNL194C	1.8
168	YGR256W	GND2	1.8
169	YMR173W	DDR48	1.7
170	YGR149W	GPC1	1.7
171	YOR161C	PNS1	1.7
172	YOR227W	HER1	1.7
173	YBR280C	SAF1	1.7
174	YPR149W	NCE102	1.7
175	YJL048C	UBX6	1.7
176	YDL021W	GPM2	1.7
177	YDR343C	HXT6	1.7
178	YOR317W	FAA1	1.7
179	YER119C	AVT6	1.7
180	YNL045W	LAP2	1.7
181	YCR079W	PTC6	1.7
182	YDL027C	MRX9	1.7
183	YER054C	GIP2	1.7
184	YDR077W	SED1	1.7
185	YBR001C	NTH2	1.7
186	YEL024W	RIP1	1.7
187	YKL093W	MBR1	1.7
188	YMR031C	EIS1	1.7
189	YCR061W	TVS1	1.7
190	YDL238C	GUD1	1.7
191	YBR204C	LDH1	1.7
192	YPL166W	ATG29	1.7
193	YIL111W	COX5B	1.7
194	YDR255C	RMD5	1.7
195	YLL039C	UBI4	1.7
196	YNL195C	YNL195C	1.7
197	YOR052C	TMC1	1.7
198	YER037W	PHM8	1.7
199	YIR007W	EGH1	1.7
200	YKR011C	FPT1	1.7
201	YHR096C	HXT5	1.7
202	YDR533C	HSP31	1.7
203	YNL241C	ZWF1	1.7
204	YIR038C	GTT1	1.7
205	YOR285W	RDL1	1.7
206	YGR268C	HUA1	1.7
207	YLL019C	KNS1	1.7
208	YGL248W	PDE1	1.7
209	YEL012W	UBC8	1.7
210	YAL060W	BDH1	1.7
211	YKR049C	FMP46	1.7
212	YGR111W	YGR111W	1.7
213	YCR030C	SYP1	1.7
214	YHR008C	SOD2	1.7
215	YMR170C	ALD2	1.7
216	YPL206C	PGC1	1.7
217	YOR185C	GSP2	1.7
218	YGR043C	NQM1	1.7
219	YOR228C	MCP1	1.7
220	YIR036C	IRC24	1.7
221	YMR304W	UBP15	1.7
222	YDR148C	KGD2	1.7
223	YJL155C	FBP26	1.7
