SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MRC1

Rank	Gene	Common	Score
Q	YCL061C	MRC1	
1	YMR076C	PDS5	3.1
2	YFL008W	SMC1	2.9
3	YJL074C	SMC3	2.9
4	YDR507C	GIN4	2.9
5	YPR018W	RLF2	2.9
6	YDL003W	MCD1	2.9
7	YIL026C	IRR1	2.8
8	YKL113C	RAD27	2.8
9	YDR356W	SPC110	2.8
10	YCL024W	KCC4	2.8
11	YLR103C	CDC45	2.8
12	YNL082W	PMS1	2.7
13	YOR195W	SLK19	2.7
14	YLR383W	SMC6	2.7
15	YNL102W	POL1	2.7
16	YDR097C	MSH6	2.7
17	YDR440W	DOT1	2.6
18	YJL115W	ASF1	2.6
19	YBR088C	POL30	2.6
20	YDL164C	CDC9	2.6
21	YKL101W	HSL1	2.6
22	YBR275C	RIF1	2.6
23	YMR179W	SPT21	2.6
24	YBL052C	SAS3	2.6
25	YOL090W	MSH2	2.6
26	YMR078C	CTF18	2.6
27	YLR183C	TOS4	2.6
28	YJR043C	POL32	2.6
29	YLL021W	SPA2	2.5
30	YNL088W	TOP2	2.5
31	YNL233W	BNI4	2.5
32	YOR144C	ELG1	2.5
33	YOL006C	TOP1	2.5
34	YNL262W	POL2	2.5
35	YOL017W	ESC8	2.5
36	YAR008W	SEN34	2.5
37	YDR052C	DBF4	2.5
38	YBL035C	POL12	2.4
39	YNL273W	TOF1	2.4
40	YHR154W	RTT107	2.4
41	YEL061C	CIN8	2.4
42	YAL024C	LTE1	2.4
43	YER111C	SWI4	2.4
44	YOR074C	CDC21	2.4
45	YNL188W	KAR1	2.4
46	YKL089W	MIF2	2.4
47	YLR086W	SMC4	2.4
48	YPL255W	BBP1	2.4
49	YDL058W	USO1	2.4
50	YML109W	ZDS2	2.4
51	YOL034W	SMC5	2.4
52	YNL225C	CNM67	2.4
53	YLR314C	CDC3	2.4
54	YML061C	PIF1	2.4
55	YJL073W	JEM1	2.4
