SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PMP1

Rank	Gene	Common	Score
Q	YCR024C-A	PMP1	
1	YEL017C-A	PMP2	3.9
2	YGL008C	PMA1	3.3
3	YDR033W	MRH1	3.0
4	YCR031C	RPS14A	2.7
5	YLR110C	CCW12	2.6
6	YMR143W	RPS16A	2.6
7	YBR191W	RPL21A	2.5
8	YEL027W	VMA3	2.5
9	YGL225W	VRG4	2.5
10	YDL015C	TSC13	2.5
11	YGL030W	RPL30	2.5
12	YLR372W	ELO3	2.5
13	YGR027C	RPS25A	2.4
14	YDL081C	RPP1A	2.4
15	YDL061C	RPS29B	2.4
16	YBR189W	RPS9B	2.4
17	YKL096W-A	CWP2	2.4
18	YOR369C	RPS12	2.4
19	YHL001W	RPL14B	2.4
20	YDR471W	RPL27B	2.4
21	YFR031C-A	RPL2A	2.4
22	YOL120C	RPL18A	2.4
23	YDL083C	RPS16B	2.4
24	YGL031C	RPL24A	2.4
25	YLR264W	RPS28B	2.3
26	YOL039W	RPP2A	2.3
27	YLR325C	RPL38	2.3
28	YMR116C	ASC1	2.3
29	YOR293W	RPS10A	2.3
30	YER074W	RPS24A	2.3
31	YGL123W	RPS2	2.3
32	YMR230W	RPS10B	2.3
33	YDR382W	RPP2B	2.3
34	YMR142C	RPL13B	2.3
35	YDL082W	RPL13A	2.3
36	YKL006W	RPL14A	2.3
37	YMR242C	RPL20A	2.3
38	YPR102C	RPL11A	2.3
39	YDR064W	RPS13	2.3
40	YDL212W	SHR3	2.3
41	YEL054C	RPL12A	2.3
42	YBL072C	RPS8A	2.3
43	YBR031W	RPL4A	2.3
44	YPL079W	RPL21B	2.3
45	YKL056C	TMA19	2.3
46	YBL087C	RPL23A	2.3
47	YDR418W	RPL12B	2.3
48	YPR043W	RPL43A	2.3
49	YGR034W	RPL26B	2.3
50	YPL036W	PMA2	2.3
51	YDL075W	RPL31A	2.3
52	YOR167C	RPS28A	2.3
53	YER117W	RPL23B	2.3
54	YNL067W	RPL9B	2.3
55	YPL143W	RPL33A	2.3
56	YOR234C	RPL33B	2.3
57	YOL040C	RPS15	2.3
58	YLR048W	RPS0B	2.3
59	YLR441C	RPS1A	2.3
60	YGR175C	ERG1	2.3
61	YML073C	RPL6A	2.3
62	YGR118W	RPS23A	2.3
63	YIL133C	RPL16A	2.3
64	YNL302C	RPS19B	2.3
65	YLR300W	EXG1	2.3
66	YBR048W	RPS11B	2.3
67	YBR162C	TOS1	2.3
68	YOL127W	RPL25	2.3
69	YIL148W	RPL40A	2.3
70	YNL066W	SUN4	2.3
71	YGL103W	RPL28	2.3
72	YHR021C	RPS27B	2.2
73	YKR057W	RPS21A	2.2
74	YGL147C	RPL9A	2.2
75	YIL123W	SIM1	2.2
76	YER043C	SAH1	2.2
77	YML063W	RPS1B	2.2
78	YIL052C	RPL34B	2.2
79	YIL018W	RPL2B	2.2
80	YBL027W	RPL19B	2.2
81	YJL190C	RPS22A	2.2
82	YDR050C	TPI1	2.2
83	YLR388W	RPS29A	2.2
84	YML026C	RPS18B	2.2
85	YGR214W	RPS0A	2.2
86	YLR075W	RPL10	2.2
87	YLR083C	EMP70	2.2
88	YMR079W	SEC14	2.2
89	YGR282C	BGL2	2.2
90	YLR333C	RPS25B	2.2
91	YHR010W	RPL27A	2.2
92	YGR148C	RPL24B	2.2
93	YDL130W	RPP1B	2.2
94	YBR078W	ECM33	2.2
95	YDR012W	RPL4B	2.2
96	YLR340W	RPP0	2.2
97	YGL076C	RPL7A	2.2
98	YDR276C	PMP3	2.2
99	YFL045C	SEC53	2.2
100	YJR123W	RPS5	2.2
101	YLR344W	RPL26A	2.2
102	YNL301C	RPL18B	2.2
103	YBL092W	RPL32	2.2
104	YBR187W	GDT1	2.2
105	YOR063W	RPL3	2.2
106	YHR026W	VMA16	2.2
107	YGR085C	RPL11B	2.2
108	YML024W	RPS17A	2.2
109	YDL014W	NOP1	2.2
110	YJL191W	RPS14B	2.2
111	YNL069C	RPL16B	2.2
112	YPR074C	TKL1	2.2
113	YNL178W	RPS3	2.2
114	YNL162W	RPL42A	2.2
115	YKL180W	RPL17A	2.2
116	YOR096W	RPS7A	2.2
117	YNL209W	SSB2	2.2
118	YML022W	APT1	2.2
119	YLR167W	RPS31	2.1
120	YDR233C	RTN1	2.1
121	YJL136C	RPS21B	2.1
122	YPL220W	RPL1A	2.1
123	YPR110C	RPC40	2.1
124	YDL084W	SUB2	2.1
125	YJL138C	TIF2	2.1
126	YLR367W	RPS22B	2.1
127	YFL039C	ACT1	2.1
128	YBR196C	PGI1	2.1
129	YJR145C	RPS4A	2.1
130	YPR132W	RPS23B	2.1
131	YLR249W	YEF3	2.1
132	YLR056W	ERG3	2.1
133	YBR038W	CHS2	2.1
134	YLR448W	RPL6B	2.1
135	YEL026W	SNU13	2.1
136	YGL135W	RPL1B	2.1
137	YBR283C	SSH1	2.1
138	YER131W	RPS26B	2.1
139	YJL177W	RPL17B	2.1
140	YGR240C	PFK1	2.1
141	YHL015W	RPS20	2.1
142	YLL045C	RPL8B	2.1
143	YPR016C	TIF6	2.1
144	YKR094C	RPL40B	2.1
