SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NPP1

Rank	Gene	Common	Score
Q	YCR026C	NPP1	
1	YDL035C	GPR1	2.4
2	YDR028C	REG1	2.3
3	YPL176C	TRE1	2.2
4	YGL228W	SHE10	2.1
5	YLR207W	HRD3	2.1
6	YKR021W	ALY1	2.1
7	YOR042W	CUE5	2.1
8	YDL138W	RGT2	2.1
9	YOR256C	TRE2	2.1
10	YLR307W	CDA1	2.1
11	YCR011C	ADP1	2.0
12	YGR196C	FYV8	2.0
13	YOR030W	DFG16	2.0
14	YER162C	RAD4	2.0
15	YLR248W	RCK2	2.0
16	YDR420W	HKR1	2.0
17	YDR150W	NUM1	2.0
18	YLR361C	DCR2	2.0
19	YHR028C	DAP2	2.0
20	YOR014W	RTS1	2.0
21	YOR353C	SOG2	2.0
22	YOR141C	ARP8	2.0
23	YCR032W	BPH1	2.0
24	YER166W	DNF1	2.0
25	YBR255W	MTC4	2.0
26	YJL047C	RTT101	2.0
27	YOR043W	WHI2	2.0
28	YNL091W	NST1	2.0
29	YCR069W	CPR4	2.0
30	YCR028C	FEN2	2.0
31	YOR086C	TCB1	2.0
32	YLR028C	ADE16	2.0
33	YNL294C	RIM21	2.0
34	YKL039W	PTM1	2.0
35	YDR001C	NTH1	2.0
36	YPL180W	TCO89	2.0
37	YDL091C	UBX3	2.0
38	YOR138C	RUP1	2.0
39	YGR258C	RAD2	2.0
40	YGR141W	VPS62	2.0
41	YOL063C	CRT10	2.0
42	YIL005W	EPS1	2.0
43	YLR371W	ROM2	2.0
44	YMR278W	PRM15	2.0
45	YBL105C	PKC1	2.0
46	YDR221W	GTB1	2.0
47	YLR324W	PEX30	2.0
48	YPL181W	CTI6	2.0
49	YGL203C	KEX1	2.0
50	YNL116W	DMA2	2.0
51	YER008C	SEC3	2.0
52	YGL023C	PIB2	1.9
53	YKL034W	TUL1	1.9
54	YDR287W	INM2	1.9
55	YER169W	RPH1	1.9
56	YAR042W	SWH1	1.9
57	YLR206W	ENT2	1.9
58	YNL161W	CBK1	1.9
59	YBR199W	KTR4	1.9
60	YDR452W	PPN1	1.9
61	YPL270W	MDL2	1.9
62	YBR036C	CSG2	1.9
63	YDR466W	PKH3	1.9
64	YBR059C	AKL1	1.9
65	YGL197W	MDS3	1.9
66	YBL047C	EDE1	1.9
67	YER114C	BOI2	1.9
68	YGR046W	TAM41	1.9
69	YDR057W	YOS9	1.9
70	YFR040W	SAP155	1.9
71	YBR102C	EXO84	1.9
72	YOR035C	SHE4	1.9
73	YLL019C	KNS1	1.9
74	YMR227C	TAF7	1.9
75	YJL020C	BBC1	1.9
76	YLR138W	NHA1	1.9
77	YHR102W	KIC1	1.9
78	YCR033W	SNT1	1.9
79	YCL052C	PBN1	1.9
80	YDL132W	CDC53	1.9
81	YOR336W	KRE5	1.9
82	YER167W	BCK2	1.9
83	YDR129C	SAC6	1.9
84	YOR329C	SCD5	1.9
85	YDR485C	VPS72	1.9
86	YJL093C	TOK1	1.9
87	YDR030C	RAD28	1.9
88	YMR200W	ROT1	1.9
89	YDR294C	DPL1	1.9
90	YPR019W	MCM4	1.9
91	YJR126C	VPS70	1.9
92	YOR244W	ESA1	1.9
93	YHR074W	QNS1	1.9
94	YDL056W	MBP1	1.9
95	YGL073W	HSF1	1.9
96	YOR109W	INP53	1.9
97	YLL029W	FRA1	1.9
98	YDR264C	AKR1	1.9
99	YFL013C	IES1	1.9
100	YNR047W	FPK1	1.9
101	YCL051W	LRE1	1.9
102	YGR270W	YTA7	1.9
103	YOR371C	GPB1	1.9
104	YJL174W	KRE9	1.9
105	YMR302C	YME2	1.9
106	YBR237W	PRP5	1.9
107	YLL015W	BPT1	1.9
108	YDR330W	UBX5	1.9
109	YPR008W	HAA1	1.9
110	YGL133W	ITC1	1.9
111	YOR008C	SLG1	1.9
112	YIL026C	IRR1	1.9
113	YBR041W	FAT1	1.9
114	YLR189C	ATG26	1.9
115	YBR001C	NTH2	1.9
116	YDR293C	SSD1	1.9
117	YDR335W	MSN5	1.9
118	YER093C	TSC11	1.9
119	YMR238W	DFG5	1.9
120	YNL118C	DCP2	1.9
121	YCR067C	SED4	1.9
122	YDR034C	LYS14	1.9
123	YLR427W	MAG2	1.9
124	YCR019W	MAK32	1.9
125	YPR024W	YME1	1.9
126	YDL194W	SNF3	1.9
127	YHR132C	ECM14	1.9
128	YDR419W	RAD30	1.9
129	YPL249C	GYP5	1.9
130	YDR329C	PEX3	1.9
131	YHR006W	STP2	1.8
132	YGL090W	LIF1	1.8
133	YDR443C	SSN2	1.8
134	YOL138C	RTC1	1.8
135	YDL013W	SLX5	1.8
136	YBR077C	SLM4	1.8
137	YDR421W	ARO80	1.8
138	YPL159C	PET20	1.8
139	YCL014W	BUD3	1.8
140	YOR307C	SLY41	1.8
141	YOL100W	PKH2	1.8
142	YMR162C	DNF3	1.8
143	YJL129C	TRK1	1.8
144	YCL039W	GID7	1.8
145	YOL065C	INP54	1.8
146	YPL006W	NCR1	1.8
147	YDR456W	NHX1	1.8
148	YPR075C	OPY2	1.8
149	YJR049C	UTR1	1.8
150	YPL074W	YTA6	1.8
151	YAL048C	GEM1	1.8
152	YDR351W	SBE2	1.8
153	YER041W	YEN1	1.8
154	YOL082W	ATG19	1.8
155	YDR219C	MFB1	1.8
156	YOL117W	RRI2	1.8
157	YLR299W	ECM38	1.8
158	YLR019W	PSR2	1.8
159	YBR043C	QDR3	1.8
160	YIL147C	SLN1	1.8
161	YDR283C	GCN2	1.8
162	YDR350C	ATP22	1.8
163	YMR171C	EAR1	1.8
164	YLR454W	FMP27	1.8
165	YPR032W	SRO7	1.8
166	YGL219C	MDM34	1.8
167	YDR458C	HEH2	1.8
168	YBR169C	SSE2	1.8
169	YIL046W	MET30	1.8
170	YIL017C	VID28	1.8
171	YDR463W	STP1	1.8
172	YLR330W	CHS5	1.8
173	YFL049W	SWP82	1.8
174	YCL029C	BIK1	1.8
175	YFL008W	SMC1	1.8
176	YPR026W	ATH1	1.8
177	YPR023C	EAF3	1.8
178	YDR486C	VPS60	1.8
179	YGL215W	CLG1	1.8
180	YML035C	AMD1	1.8
181	YDL238C	GUD1	1.8
182	YOL004W	SIN3	1.8
183	YML029W	USA1	1.8
184	YGL156W	AMS1	1.8
185	YLR362W	STE11	1.8
186	YAL056W	GPB2	1.8
187	YGR009C	SEC9	1.8
188	YBR200W	BEM1	1.8
189	YDR166C	SEC5	1.8
190	YNL088W	TOP2	1.8
191	YDL134C	PPH21	1.8
192	YLR219W	MSC3	1.8
193	YDR363W	ESC2	1.8
194	YGL252C	RTG2	1.8
195	YJL127C	SPT10	1.8
196	YOR304W	ISW2	1.8
197	YOR227W	HER1	1.8
198	YJR089W	BIR1	1.8
199	YGR178C	PBP1	1.8
200	YKL140W	TGL1	1.8
201	YIL135C	VHS2	1.8
202	YDR349C	YPS7	1.8
203	YDL234C	GYP7	1.8
204	YPR081C	GRS2	1.8
205	YGL216W	KIP3	1.8
206	YCR017C	CWH43	1.8
207	YKL124W	SSH4	1.8
208	YPL221W	FLC1	1.8
209	YJR052W	RAD7	1.8
210	YDR082W	STN1	1.8
211	YGL139W	FLC3	1.8
212	YCR030C	SYP1	1.8
213	YMR089C	YTA12	1.8
214	YPR140W	TAZ1	1.8
215	YBL058W	SHP1	1.8
216	YAL016W	TPD3	1.8
217	YBR103W	SIF2	1.8
218	YLL043W	FPS1	1.8
219	YCR091W	KIN82	1.8
220	YDR128W	MTC5	1.8
221	YIL107C	PFK26	1.8
222	YOR112W	CEX1	1.8
223	YNL239W	LAP3	1.8
224	YDR313C	PIB1	1.8
225	YDR208W	MSS4	1.8
226	YPL119C	DBP1	1.8
227	YPL140C	MKK2	1.8
228	YNL330C	RPD3	1.8
229	YEL016C	NPP2	1.8
230	YPL055C	LGE1	1.8
231	YHR161C	YAP1801	1.8
232	YDR411C	DFM1	1.8
233	YCR073C	SSK22	1.8
234	YDR104C	SPO71	1.8
235	YFR029W	PTR3	1.8
236	YOL060C	MAM3	1.8
237	YDR205W	MSC2	1.8
238	YBL060W	YEL1	1.8
239	YBL103C	RTG3	1.8
240	YDL149W	ATG9	1.8
241	YKL010C	UFD4	1.8
242	YFL007W	BLM10	1.8
243	YBR086C	IST2	1.8
244	YOR104W	PIN2	1.8
245	YDL046W	NPC2	1.8
246	YLR240W	VPS34	1.8
247	YLR247C	IRC20	1.8
248	YPL084W	BRO1	1.8
249	YGR246C	BRF1	1.8
250	YDR483W	KRE2	1.8
251	YML117W	NAB6	1.8
252	YBR065C	ECM2	1.8
253	YBR198C	TAF5	1.8
254	YHR110W	ERP5	1.8
255	YBL033C	RIB1	1.8
256	YIL002C	INP51	1.8
257	YHR114W	BZZ1	1.8
258	YDL147W	RPN5	1.8
259	YPL202C	AFT2	1.8
260	YBL007C	SLA1	1.8
261	YJL084C	ALY2	1.8
262	YJR051W	OSM1	1.8
263	YLR246W	ERF2	1.8
264	YDR292C	SRP101	1.8
265	YEL063C	CAN1	1.8
266	YDR058C	TGL2	1.8
267	YCL044C	MGR1	1.8
268	YDL005C	MED2	1.8
269	YHR082C	KSP1	1.8
270	YKL213C	DOA1	1.8
271	YBR149W	ARA1	1.8
272	YHR150W	PEX28	1.8
273	YGR010W	NMA2	1.8
274	YHL019C	APM2	1.8
275	YIL137C	TMA108	1.8
276	YNL215W	IES2	1.8
277	YBL101C	ECM21	1.8
278	YMR213W	CEF1	1.8
279	YBL049W	MOH1	1.8
280	YDR479C	PEX29	1.8
281	YDR320C	SWA2	1.8
282	YPL105C	SYH1	1.8
283	YBR215W	HPC2	1.8
284	YDL200C	MGT1	1.8
285	YCR093W	CDC39	1.8
286	YNR023W	SNF12	1.8
287	YPL115C	BEM3	1.8
288	YLR425W	TUS1	1.8
289	YFR024C-A	LSB3	1.8
290	YLL040C	VPS13	1.8
291	YPL023C	MET12	1.8
292	YDL231C	BRE4	1.8
293	YKL020C	SPT23	1.8
294	YNL233W	BNI4	1.8
295	YKL157W	APE2	1.8
296	YNL250W	RAD50	1.8
297	YNL076W	MKS1	1.8
298	YLR114C	AVL9	1.8
299	YDR122W	KIN1	1.8
300	YGR170W	PSD2	1.8
301	YBR229C	ROT2	1.8
302	YLR431C	ATG23	1.8
303	YNL271C	BNI1	1.8
304	YPL177C	CUP9	1.8
305	YBR289W	SNF5	1.8
306	YOR069W	VPS5	1.8
307	YDR153C	ENT5	1.8
308	YNL027W	CRZ1	1.7
309	YPR079W	MRL1	1.7
310	YGL163C	RAD54	1.7
311	YDR182W	CDC1	1.7
312	YBR170C	NPL4	1.7
313	YOL078W	AVO1	1.7
314	YHR073W	OSH3	1.7
315	YHR103W	SBE22	1.7
316	YDR189W	SLY1	1.7
317	YKR084C	HBS1	1.7
318	YDR227W	SIR4	1.7
319	YMR053C	STB2	1.7
320	YBR270C	BIT2	1.7
321	YDR481C	PHO8	1.7
322	YNL054W	VAC7	1.7
323	YDR505C	PSP1	1.7
324	YER014W	HEM14	1.7
325	YCL004W	PGS1	1.7
326	YBL064C	PRX1	1.7
327	YKL049C	CSE4	1.7
328	YLR071C	RGR1	1.7
329	YCL057W	PRD1	1.7
330	YMR019W	STB4	1.7
331	YOR113W	AZF1	1.7
332	YCR008W	SAT4	1.7
333	YPR086W	SUA7	1.7
334	YNL127W	FAR11	1.7
335	YDL078C	MDH3	1.7
336	YDL169C	UGX2	1.7
337	YDR464W	SPP41	1.7
338	YLR270W	DCS1	1.7
339	YNL325C	FIG4	1.7
340	YBL061C	SKT5	1.7
341	YMR297W	PRC1	1.7
342	YOR322C	LDB19	1.7
343	YKL022C	CDC16	1.7
344	YBR222C	PCS60	1.7
345	YDR192C	NUP42	1.7
346	YJR130C	STR2	1.7
347	YKL062W	MSN4	1.7
348	YKR014C	YPT52	1.7
349	YJL123C	MTC1	1.7
350	YHR037W	PUT2	1.7
351	YER116C	SLX8	1.7
352	YBR212W	NGR1	1.7
353	YIL088C	AVT7	1.7
354	YGL141W	HUL5	1.7
355	YGR244C	LSC2	1.7
356	YDL115C	IWR1	1.7
357	YGL254W	FZF1	1.7
358	YPL026C	SKS1	1.7
359	YKR076W	ECM4	1.7
360	YOR162C	YRR1	1.7
361	YCR094W	CDC50	1.7
362	YOR363C	PIP2	1.7
363	YGR097W	ASK10	1.7
364	YDR258C	HSP78	1.7
365	YGL173C	XRN1	1.7
366	YIL112W	HOS4	1.7
367	YBR073W	RDH54	1.7
368	YNL199C	GCR2	1.7
369	YOL119C	MCH4	1.7
370	YER176W	ECM32	1.7
371	YDL007W	RPT2	1.7
372	YGL027C	CWH41	1.7
373	YDR135C	YCF1	1.7
374	YOR350C	MNE1	1.7
375	YML034W	SRC1	1.7
376	YER101C	AST2	1.7
377	YJR091C	JSN1	1.7
378	YKL121W	DGR2	1.7
379	YDL019C	OSH2	1.7
380	YNL103W	MET4	1.7
381	YDR160W	SSY1	1.7
382	YKR072C	SIS2	1.7
383	YBR286W	APE3	1.7
384	YPL155C	KIP2	1.7
385	YKR048C	NAP1	1.7
386	YNL156C	NSG2	1.7
387	YAL053W	FLC2	1.7
388	YDR326C	YSP2	1.7
389	YDR272W	GLO2	1.7
390	YGL207W	SPT16	1.7
391	YNL223W	ATG4	1.7
392	YOR037W	CYC2	1.7
393	YPR049C	ATG11	1.7
394	YCL032W	STE50	1.7
395	YMR170C	ALD2	1.7
396	YDR159W	SAC3	1.7
397	YJR090C	GRR1	1.7
398	YLR369W	SSQ1	1.7
399	YOR147W	MDM32	1.7
400	YGR140W	CBF2	1.7
401	YDL103C	QRI1	1.7
402	YER033C	ZRG8	1.7
403	YOR219C	STE13	1.7
404	YAL034C	FUN19	1.7
405	YBR273C	UBX7	1.7
406	YDR242W	AMD2	1.7
407	YLL021W	SPA2	1.7
408	YHR111W	UBA4	1.7
409	YJR001W	AVT1	1.7
410	YIL156W	UBP7	1.7
411	YGL093W	SPC105	1.7
412	YCL016C	DCC1	1.7
413	YNL317W	PFS2	1.7
414	YMR129W	POM152	1.7
415	YBR216C	YBP1	1.7
416	YMR264W	CUE1	1.7
417	YDR289C	RTT103	1.7
418	YOL116W	MSN1	1.7
419	YKR046C	PLN1	1.7
420	YDL045C	FAD1	1.7
421	YMR172W	HOT1	1.7
422	YPL138C	SPP1	1.7
423	YHR106W	TRR2	1.7
424	YPL133C	RDS2	1.7
425	YGL045W	RIM8	1.7
426	YGR217W	CCH1	1.7
427	YPL110C	GDE1	1.7
428	YEL064C	AVT2	1.7
429	YGL066W	SGF73	1.7
430	YNL212W	VID27	1.7
431	YEL060C	PRB1	1.7
432	YJR035W	RAD26	1.7
433	YNL322C	KRE1	1.7
434	YMR168C	CEP3	1.7
435	YJL073W	JEM1	1.7
436	YHR030C	SLT2	1.7
