SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RRP43

Rank	Gene	Common	Score
Q	YCR035C	RRP43	
1	YHR052W	CIC1	3.4
2	YNL110C	NOP15	3.4
3	YDR496C	PUF6	3.4
4	YDR021W	FAL1	3.4
5	YCL031C	RRP7	3.4
6	YDR280W	RRP45	3.3
7	YHR069C	RRP4	3.3
8	YKL009W	MRT4	3.3
9	YDR449C	UTP6	3.3
10	YDR361C	BCP1	3.3
11	YLR221C	RSA3	3.3
12	YBR155W	CNS1	3.3
13	YLR276C	DBP9	3.2
14	YNL075W	IMP4	3.2
15	YDL111C	RRP42	3.2
16	YER127W	LCP5	3.2
17	YDR087C	RRP1	3.2
18	YHR196W	UTP9	3.2
19	YHR085W	IPI1	3.2
20	YGL246C	RAI1	3.2
21	YOR078W	BUD21	3.2
22	YLR009W	RLP24	3.2
23	YHR066W	SSF1	3.2
24	YKL099C	UTP11	3.1
25	YDR165W	TRM82	3.1
26	YBR142W	MAK5	3.1
27	YBR002C	RER2	3.1
28	YGR187C	HGH1	3.1
29	YKR024C	DBP7	3.1
30	YOL080C	REX4	3.1
31	YMR239C	RNT1	3.1
32	YGR145W	ENP2	3.1
33	YHR088W	RPF1	3.1
34	YAL025C	MAK16	3.1
35	YKR081C	RPF2	3.1
36	YDR152W	GIR2	3.1
37	YLL011W	SOF1	3.1
38	YGR081C	SLX9	3.1
39	YOL010W	RCL1	3.1
40	YBR247C	ENP1	3.1
41	YER126C	NSA2	3.1
42	YOR206W	NOC2	3.1
43	YDR299W	BFR2	3.1
44	YIL079C	AIR1	3.1
45	YCL059C	KRR1	3.1
46	YOR340C	RPA43	3.1
47	YNL308C	KRI1	3.1
48	YJR002W	MPP10	3.0
49	YKL172W	EBP2	3.0
50	YGL111W	NSA1	3.0
51	YJL125C	GCD14	3.0
52	YOR004W	UTP23	3.0
53	YBR154C	RPB5	3.0
54	YLR435W	TSR2	3.0
55	YPR137W	RRP9	3.0
56	YHR065C	RRP3	3.0
57	YHR148W	IMP3	3.0
58	YER082C	UTP7	3.0
59	YNL113W	RPC19	3.0
60	YHL013C	OTU2	3.0
61	YLL008W	DRS1	3.0
62	YER002W	NOP16	3.0
63	YKR060W	UTP30	3.0
64	YIL104C	SHQ1	3.0
65	YML080W	DUS1	3.0
66	YHR170W	NMD3	3.0
67	YPR112C	MRD1	3.0
68	YPL043W	NOP4	3.0
69	YML093W	UTP14	3.0
70	YOR056C	NOB1	3.0
71	YDR339C	FCF1	3.0
72	YDR412W	RRP17	3.0
73	YOR145C	PNO1	3.0
74	YOL144W	NOP8	3.0
75	YPL211W	NIP7	3.0
76	YOR252W	TMA16	3.0
77	YDL153C	SAS10	3.0
78	YNL002C	RLP7	3.0
79	YLR196W	PWP1	3.0
80	YDL166C	FAP7	2.9
81	YCL054W	SPB1	2.9
82	YNL119W	NCS2	2.9
83	YER148W	SPT15	2.9
84	YMR131C	RRB1	2.9
85	YPL239W	YAR1	2.9
86	YGL078C	DBP3	2.9
87	YDL201W	TRM8	2.9
88	YMR014W	BUD22	2.9
89	YPR110C	RPC40	2.9
90	YKL021C	MAK11	2.9
91	YGR271C-A	EFG1	2.9
92	YDR101C	ARX1	2.9
93	YNR053C	NOG2	2.9
94	YLR129W	DIP2	2.9
95	YDR184C	ATC1	2.9
96	YGL029W	CGR1	2.9
97	YFR001W	LOC1	2.9
98	YNL248C	RPA49	2.9
99	YNL175C	NOP13	2.9
100	YKL143W	LTV1	2.9
101	YNL182C	IPI3	2.9
102	YDR398W	UTP5	2.9
103	YAL059W	ECM1	2.9
104	YBR267W	REI1	2.9
105	YOL077C	BRX1	2.9
106	YDR190C	RVB1	2.9
107	YOL041C	NOP12	2.9
108	YDR083W	RRP8	2.9
109	YPL237W	SUI3	2.9
110	YLR003C	CMS1	2.9
111	YOR294W	RRS1	2.9
112	YPR143W	RRP15	2.9
113	YGR128C	UTP8	2.9
114	YDR465C	RMT2	2.9
115	YPR190C	RPC82	2.9
116	YBR034C	HMT1	2.9
117	YHR169W	DBP8	2.9
118	YLR409C	UTP21	2.9
119	YCR057C	PWP2	2.9
120	YDR120C	TRM1	2.9
121	YKL078W	DHR2	2.9
122	YPL146C	NOP53	2.9
123	YFL002C	SPB4	2.9
124	YMR093W	UTP15	2.9
125	YLR051C	FCF2	2.8
126	YGR280C	PXR1	2.8
127	YDR324C	UTP4	2.8
128	YDR365C	ESF1	2.8
129	YPR169W	JIP5	2.8
130	YGR103W	NOP7	2.8
131	YNR024W	MPP6	2.8
132	YPR060C	ARO7	2.8
133	YOR272W	YTM1	2.8
134	YPL126W	NAN1	2.8
135	YKR025W	RPC37	2.8
136	YDL051W	LHP1	2.8
137	YJL033W	HCA4	2.8
138	YIR012W	SQT1	2.8
139	YJL148W	RPA34	2.8
140	YHR081W	LRP1	2.8
