SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RRT12

Rank	Gene	Common	Score
Q	YCR045C	RRT12	
1	YLR307W	CDA1	2.2
2	YOL015W	IRC10	2.1
3	YGR133W	PEX4	2.0
4	YEL049W	PAU2	1.9
5	YOR041C	YOR041C	1.9
6	YBR108W	AIM3	1.9
7	YCR033W	SNT1	1.8
8	YCL073C	GEX1	1.8
9	YGR249W	MGA1	1.8
10	YDL120W	YFH1	1.8
11	YNL145W	MFA2	1.8
12	YCR059C	YIH1	1.7
13	YEL077C	YEL077C	1.7
14	YJL038C	LOH1	1.7
15	YGR157W	CHO2	1.7
16	YPL027W	SMA1	1.7
17	YCL048W	SPS22	1.6
18	YEL051W	VMA8	1.6
19	YBR180W	DTR1	1.6
20	YOL132W	GAS4	1.5
21	YGL170C	SPO74	1.5
22	YBR076W	ECM8	1.5
23	YDR522C	SPS2	1.5
24	YBR045C	GIP1	1.5
25	YNL318C	HXT14	1.5
26	YGR059W	SPR3	1.5
27	YMR017W	SPO20	1.5
28	YOR255W	OSW1	1.5
29	YOR214C	SPR2	1.5
30	YDR218C	SPR28	1.4
31	YHR126C	ANS1	1.4
32	YBR148W	YSW1	1.4
33	YPR170C	YPR170C	1.4
34	YER106W	MAM1	1.4
35	YOR190W	SPR1	1.4
36	YHR185C	PFS1	1.4
37	YDL114W	YDL114W	1.4
38	YAL018C	LDS1	1.4
39	YFR023W	PES4	1.4
40	YIL099W	SGA1	1.4
41	YOL091W	SPO21	1.4
42	YBR250W	SPO23	1.4
43	YDL024C	DIA3	1.3
44	YMR118C	SHH3	1.3
45	YPR078C	YPR078C	1.3
46	YOR298W	MUM3	1.3
47	YNL128W	TEP1	1.3
48	YHR160C	PEX18	1.3
49	YKR034W	DAL80	1.3
50	YNL202W	SPS19	1.3
51	YNL204C	SPS18	1.3
52	YLR308W	CDA2	1.3
53	YDR523C	SPS1	1.3
54	YLR213C	CRR1	1.3
55	YDR403W	DIT1	1.3
56	YOR313C	SPS4	1.3
57	YLR110C	CCW12	1.3
58	YOR242C	SSP2	1.3
59	YNL196C	SLZ1	1.3
60	YPR054W	SMK1	1.3
61	YGR225W	AMA1	1.3
62	YDR402C	DIT2	1.3
63	YPL192C	PRM3	1.3
64	YDR436W	PPZ2	1.3
65	YDL186W	YDL186W	1.2
66	YLR004C	THI73	1.2
67	YPL152W	RRD2	1.2
68	YLR377C	FBP1	1.2
69	YGL205W	POX1	1.2
70	YLL005C	SPO75	1.2
71	YOR378W	AMF1	1.2
72	YFL011W	HXT10	1.2
73	YDR479C	PEX29	1.2
74	YDL247W	MPH2	1.2
75	YMR175W	SIP18	1.2
76	YPL033C	SRL4	1.2
77	YER182W	FMP10	1.2
78	YJR078W	BNA2	1.2
79	YPL223C	GRE1	1.2
80	YNL014W	HEF3	1.2
81	YDR273W	DON1	1.2
82	YBL075C	SSA3	1.2
83	YKL070W	YKL070W	1.2
84	YDR285W	ZIP1	1.2
85	YML066C	SMA2	1.2
86	YLR070C	XYL2	1.2
87	YKR049C	FMP46	1.2
88	YLR037C	PAU23	1.2
89	YOR365C	YOR365C	1.2
90	YHR124W	NDT80	1.2
91	YFR032C	RRT5	1.2
92	YKL026C	GPX1	1.2
93	YLR341W	SPO77	1.2
94	YKL086W	SRX1	1.2
95	YOR339C	UBC11	1.2
96	YIL037C	PRM2	1.2
97	YEL023C	YEL023C	1.2
98	YCL026C-A	FRM2	1.2
99	YGR144W	THI4	1.2
100	YDR042C	YDR042C	1.2
101	YIR039C	YPS6	1.2
102	YBL078C	ATG8	1.2
103	YNR007C	ATG3	1.2
104	YGR087C	PDC6	1.2
105	YJL045W	SDH9	1.2
106	YER115C	SPR6	1.2
107	YOL047C	LDS2	1.2
108	YPL054W	LEE1	1.2
109	YOR328W	PDR10	1.2
110	YDL109C	YDL109C	1.2
111	YIL146C	ATG32	1.2
112	YEL030W	ECM10	1.2
113	YHR015W	MIP6	1.2
114	YER179W	DMC1	1.2
115	YFL053W	DAK2	1.2
116	YGR043C	NQM1	1.2
117	YER085C	YER085C	1.2
118	YKR089C	TGL4	1.2
119	YOL083W	ATG34	1.2
120	YDR317W	HIM1	1.2
121	YLR371W	ROM2	1.2
122	YGL081W	YGL081W	1.2
123	YOR388C	FDH1	1.2
124	YKR015C	YKR015C	1.2
125	YOL024W	YOL024W	1.2
126	YPL171C	OYE3	1.2
127	YBR128C	ATG14	1.2
128	YNL223W	ATG4	1.2
129	YOR031W	CRS5	1.2
130	YJL037W	IRC18	1.2
131	YDL239C	ADY3	1.2
132	YKL093W	MBR1	1.2
133	YPL130W	SPO19	1.2
134	YCR104W	PAU3	1.2
135	YNL270C	ALP1	1.2
136	YIL160C	POT1	1.2
137	YPL119C	DBP1	1.2
138	YFR012W	DCV1	1.2
139	YKR046C	PLN1	1.2
