SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SRB8

Rank	Gene	Common	Score
Q	YCR081W	SRB8	
1	YAL048C	GEM1	2.2
2	YGL131C	SNT2	2.2
3	YDR443C	SSN2	2.1
4	YGR271W	SLH1	2.1
5	YJL127C	SPT10	2.1
6	YNL297C	MON2	2.1
7	YLR307W	CDA1	2.1
8	YBL105C	PKC1	2.1
9	YHR079C	IRE1	2.1
10	YMR080C	NAM7	2.1
11	YIL129C	TAO3	2.0
12	YOR030W	DFG16	2.0
13	YPR164W	MMS1	2.0
14	YDR141C	DOP1	2.0
15	YDR138W	HPR1	2.0
16	YEL063C	CAN1	2.0
17	YLR403W	SFP1	2.0
18	YBR136W	MEC1	2.0
19	YDR437W	GPI19	2.0
20	YKL197C	PEX1	2.0
21	YBR058C	UBP14	2.0
22	YMR167W	MLH1	2.0
23	YPL022W	RAD1	2.0
24	YGL197W	MDS3	2.0
25	YCR068W	ATG15	2.0
26	YHR165C	PRP8	2.0
27	YCR032W	BPH1	1.9
28	YDR389W	SAC7	1.9
29	YGR134W	CAF130	1.9
30	YOL141W	PPM2	1.9
31	YLR240W	VPS34	1.9
32	YOR014W	RTS1	1.9
33	YBL104C	SEA4	1.9
34	YER123W	YCK3	1.9
35	YGL233W	SEC15	1.9
36	YPL115C	BEM3	1.9
37	YER040W	GLN3	1.9
38	YBR216C	YBP1	1.9
39	YOR191W	ULS1	1.9
40	YGL150C	INO80	1.9
41	YBR097W	VPS15	1.9
42	YCR033W	SNT1	1.9
43	YDR081C	PDC2	1.9
44	YJL039C	NUP192	1.9
45	YML029W	USA1	1.9
46	YOL028C	YAP7	1.9
47	YBR102C	EXO84	1.9
48	YER105C	NUP157	1.9
49	YLR047C	FRE8	1.9
50	YOR363C	PIP2	1.9
51	YER093C	TSC11	1.9
52	YMR231W	PEP5	1.9
53	YDR104C	SPO71	1.9
54	YMR288W	HSH155	1.9
55	YKR054C	DYN1	1.9
56	YDR301W	CFT1	1.9
57	YJL047C	RTT101	1.9
58	YGL206C	CHC1	1.9
59	YOR371C	GPB1	1.9
60	YBL037W	APL3	1.9
61	YHR082C	KSP1	1.9
62	YHR155W	LAM1	1.9
63	YJR138W	IML1	1.9
64	YNL197C	WHI3	1.9
65	YBL103C	RTG3	1.9
66	YGR040W	KSS1	1.9
67	YCL014W	BUD3	1.9
68	YGL254W	FZF1	1.9
69	YDR419W	RAD30	1.9
70	YDR206W	EBS1	1.9
71	YCR067C	SED4	1.8
72	YCR093W	CDC39	1.8
73	YBL066C	SEF1	1.8
74	YNL054W	VAC7	1.8
75	YMR047C	NUP116	1.8
76	YLR361C	DCR2	1.8
77	YNL161W	CBK1	1.8
78	YNL158W	PGA1	1.8
79	YFL007W	BLM10	1.8
80	YBL079W	NUP170	1.8
81	YGR006W	PRP18	1.8
82	YPR066W	UBA3	1.8
83	YDR208W	MSS4	1.8
84	YKL033W	TTI1	1.8
85	YOR058C	ASE1	1.8
86	YHR164C	DNA2	1.8
87	YER125W	RSP5	1.8
88	YBL005W	PDR3	1.8
89	YPR032W	SRO7	1.8
90	YPR024W	YME1	1.8
91	YOR149C	SMP3	1.8
92	YDL058W	USO1	1.8
93	YKL055C	OAR1	1.8
94	YNL139C	THO2	1.8
95	YBR065C	ECM2	1.8
96	YDL240W	LRG1	1.8
97	YHR186C	KOG1	1.8
98	YDL116W	NUP84	1.8
99	YDR164C	SEC1	1.8
100	YDR014W	RAD61	1.8
101	YHR099W	TRA1	1.8
102	YJL019W	MPS3	1.8
103	YML103C	NUP188	1.8
104	YOR290C	SNF2	1.8
105	YJL156C	SSY5	1.8
106	YLR226W	BUR2	1.8
107	YLR371W	ROM2	1.8
108	YPR070W	MED1	1.8
109	YNL230C	ELA1	1.8
110	YDL077C	VAM6	1.8
111	YDR082W	STN1	1.8
112	YLL006W	MMM1	1.8
113	YIR002C	MPH1	1.8
114	YNL127W	FAR11	1.8
115	YGR170W	PSD2	1.8
116	YIL128W	MET18	1.8
117	YML013W	UBX2	1.8
118	YMR140W	SIP5	1.8
119	YKR021W	ALY1	1.8
120	YLR425W	TUS1	1.8
121	YJR140C	HIR3	1.8
122	YGL211W	NCS6	1.8
123	YJL204C	RCY1	1.8
124	YHR206W	SKN7	1.8
125	YMR019W	STB4	1.8
126	YNL201C	PSY2	1.8
127	YMR168C	CEP3	1.8
128	YLR071C	RGR1	1.8
129	YJR089W	BIR1	1.8
130	YGR270W	YTA7	1.8
131	YOR336W	KRE5	1.8
132	YCL029C	BIK1	1.8
133	YGR288W	MAL13	1.8
134	YOR127W	RGA1	1.8
135	YAL024C	LTE1	1.8
136	YLR393W	ATP10	1.8
137	YOR213C	SAS5	1.8
138	YDR159W	SAC3	1.8
139	YGR193C	PDX1	1.8
140	YDR420W	HKR1	1.8
141	YML035C	AMD1	1.8
142	YJR091C	JSN1	1.8
143	YOR204W	DED1	1.8
144	YMR063W	RIM9	1.8
145	YDR335W	MSN5	1.8
146	YOL089C	HAL9	1.8
147	YNL021W	HDA1	1.8
148	YNL172W	APC1	1.8
149	YDR293C	SSD1	1.8
150	YDR009W	GAL3	1.8
151	YDR166C	SEC5	1.8
152	YLR096W	KIN2	1.8
153	YDR150W	NUM1	1.8
154	YMR218C	TRS130	1.8
155	YIL143C	SSL2	1.8
156	YCR084C	TUP1	1.8
157	YOR141C	ARP8	1.8
158	YDL160C	DHH1	1.8
159	YDR407C	TRS120	1.8
160	YNL236W	SIN4	1.8
161	YBL047C	EDE1	1.8
162	YKL095W	YJU2	1.8
163	YMR164C	MSS11	1.8
164	YJL061W	NUP82	1.8
165	YBR059C	AKL1	1.8
166	YPR042C	PUF2	1.8
167	YLR398C	SKI2	1.8
168	YCL010C	SGF29	1.8
169	YOR109W	INP53	1.8
170	YDR363W	ESC2	1.8
171	YDR351W	SBE2	1.8
172	YLR005W	SSL1	1.8
173	YNL254C	RTC4	1.8
174	YPR008W	HAA1	1.8
175	YCR028C	FEN2	1.8
176	YER155C	BEM2	1.8
177	YER114C	BOI2	1.8
178	YOL078W	AVO1	1.8
179	YFL050C	ALR2	1.8
180	YOR337W	TEA1	1.8
181	YLR024C	UBR2	1.8
182	YLR115W	CFT2	1.7
183	YDR457W	TOM1	1.7
184	YNL221C	POP1	1.7
185	YER013W	PRP22	1.7
186	YMR037C	MSN2	1.7
187	YPL160W	CDC60	1.7
188	YGR013W	SNU71	1.7
189	YNL167C	SKO1	1.7
