SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ADH7

Rank	Gene	Common	Score
Q	YCR105W	ADH7	
1	YLR307W	CDA1	2.5
2	YPL027W	SMA1	2.4
3	YDR036C	EHD3	2.3
4	YML066C	SMA2	2.3
5	YOR049C	RSB1	2.2
6	YOR255W	OSW1	2.2
7	YBR180W	DTR1	2.1
8	YJL219W	HXT9	2.1
9	YIR028W	DAL4	2.1
10	YLR013W	GAT3	2.1
11	YJL214W	HXT8	2.0
12	YHR048W	YHK8	2.0
13	YIR027C	DAL1	2.0
14	YJL038C	LOH1	2.0
15	YER014C-A	BUD25	2.0
16	YDR403W	DIT1	2.0
17	YJL037W	IRC18	2.0
18	YBR076W	ECM8	2.0
19	YDR522C	SPS2	2.0
20	YKL221W	MCH2	1.9
21	YHR185C	PFS1	1.9
22	YGL249W	ZIP2	1.9
23	YOL132W	GAS4	1.9
24	YDR446W	ECM11	1.9
25	YLR377C	FBP1	1.9
26	YOR190W	SPR1	1.9
27	YNR074C	AIF1	1.9
28	YCR010C	ADY2	1.9
29	YPR006C	ICL2	1.9
30	YLL063C	AYT1	1.9
31	YIR030C	DCG1	1.9
32	YOR177C	MPC54	1.9
33	YGR213C	RTA1	1.9
34	YFR023W	PES4	1.9
35	YPL171C	OYE3	1.9
36	YLL057C	JLP1	1.9
37	YFL011W	HXT10	1.9
38	YOL104C	NDJ1	1.9
39	YCR106W	RDS1	1.9
40	YGL170C	SPO74	1.9
41	YLR054C	OSW2	1.9
42	YMR017W	SPO20	1.9
43	YCL048W	SPS22	1.8
44	YNL130C-A	DGR1	1.8
45	YGL259W	YPS5	1.8
46	YPR054W	SMK1	1.8
47	YIL099W	SGA1	1.8
48	YAL067C	SEO1	1.8
49	YCR107W	AAD3	1.8
50	YDR218C	SPR28	1.8
51	YHR021W-A	ECM12	1.8
52	YFL061W	DDI3	1.8
53	YBR240C	THI2	1.8
54	YNL196C	SLZ1	1.8
55	YDL024C	DIA3	1.8
56	YDR540C	IRC4	1.8
57	YGR059W	SPR3	1.8
58	YDL243C	AAD4	1.8
59	YOR183W	FYV12	1.8
60	YDR453C	TSA2	1.8
61	YER106W	MAM1	1.8
62	YPL130W	SPO19	1.8
63	YHL022C	SPO11	1.8
64	YJR078W	BNA2	1.8
65	YBR250W	SPO23	1.8
66	YHR139C	SPS100	1.8
67	YHL043W	ECM34	1.8
68	YJL103C	GSM1	1.8
69	YBR186W	PCH2	1.8
70	YLL046C	RNP1	1.8
71	YMR271C	URA10	1.8
72	YBR050C	REG2	1.8
73	YCR098C	GIT1	1.8
74	YKR034W	DAL80	1.8
75	YHR124W	NDT80	1.8
76	YER179W	DMC1	1.8
77	YHR176W	FMO1	1.8
78	YPR007C	REC8	1.8
79	YBR019C	GAL10	1.7
80	YFL055W	AGP3	1.7
81	YGL258W	VEL1	1.7
82	YPL223C	GRE1	1.7
83	YLL060C	GTT2	1.7
84	YCL026C-A	FRM2	1.7
85	YLR341W	SPO77	1.7
86	YNL128W	TEP1	1.7
87	YBR294W	SUL1	1.7
88	YMR318C	ADH6	1.7
89	YPR001W	CIT3	1.7
90	YKL217W	JEN1	1.7
91	YBL049W	MOH1	1.7
92	YAL054C	ACS1	1.7
93	YLR308W	CDA2	1.7
94	YOR351C	MEK1	1.7
95	YHL047C	ARN2	1.7
96	YHR079C-A	SAE3	1.7
97	YHR014W	SPO13	1.7
98	YLR329W	REC102	1.7
99	YBR040W	FIG1	1.7
100	YDR287W	INM2	1.7
101	YJL153C	INO1	1.7
102	YNL117W	MLS1	1.7
103	YDR059C	UBC5	1.7
104	YHR015W	MIP6	1.7
105	YDR009W	GAL3	1.7
106	YIR032C	DAL3	1.7
107	YGR225W	AMA1	1.7
108	YLR004C	THI73	1.7
109	YBR033W	EDS1	1.7
110	YEL069C	HXT13	1.7
111	YOL015W	IRC10	1.7
112	YPL021W	ECM23	1.7
113	YNL202W	SPS19	1.7
114	YCR020C	PET18	1.7
115	YFL030W	AGX1	1.7
116	YMR107W	SPG4	1.7
117	YNL093W	YPT53	1.7
118	YOR237W	HES1	1.7
119	YEL070W	DSF1	1.7
120	YMR020W	FMS1	1.7
121	YMR306W	FKS3	1.7
122	YIL113W	SDP1	1.7
123	YPL121C	MEI5	1.7
124	YMR101C	SRT1	1.7
125	YLR037C	PAU23	1.7
126	YBR148W	YSW1	1.7
127	YDR402C	DIT2	1.7
128	YML047C	PRM6	1.7
129	YFL053W	DAK2	1.7
130	YHR157W	REC104	1.7
131	YOL154W	ZPS1	1.7
132	YGR043C	NQM1	1.7
133	YOR328W	PDR10	1.7
134	YER185W	PUG1	1.7
135	YLR284C	ECI1	1.7
136	YJR153W	PGU1	1.7
137	YGR087C	PDC6	1.7
138	YIR013C	GAT4	1.7
139	YDR533C	HSP31	1.7
140	YLR070C	XYL2	1.7
141	YCL058C	FYV5	1.7
142	YFL003C	MSH4	1.7
143	YML118W	NGL3	1.7
144	YDR317W	HIM1	1.7
145	YHR116W	COX23	1.7
146	YDR536W	STL1	1.7
147	YGL240W	DOC1	1.6
148	YER142C	MAG1	1.6
149	YDL210W	UGA4	1.6
150	YNL009W	IDP3	1.6
151	YGL158W	RCK1	1.6
152	YNL269W	BSC4	1.6
153	YHR160C	PEX18	1.6
154	YLR364W	GRX8	1.6
155	YIR025W	MND2	1.6
156	YNL331C	AAD14	1.6
157	YEL049W	PAU2	1.6
158	YIR039C	YPS6	1.6
159	YDL085W	NDE2	1.6
160	YNR002C	ATO2	1.6
161	YJL221C	IMA4	1.6
162	YGL033W	HOP2	1.6
163	YER039C	HVG1	1.6
164	YAL062W	GDH3	1.6
165	YIR029W	DAL2	1.6
166	YOR003W	YSP3	1.6
167	YLR080W	EMP46	1.6
168	YBR301W	PAU24	1.6
169	YKR076W	ECM4	1.6
170	YDR425W	SNX41	1.6
171	YCR104W	PAU3	1.6
172	YOR032C	HMS1	1.6
173	YOL055C	THI20	1.6
174	YEL035C	UTR5	1.6
175	YPR093C	ASR1	1.6
176	YIL111W	COX5B	1.6
177	YGL156W	AMS1	1.6
178	YER162C	RAD4	1.6
179	YJL045W	SDH9	1.6
180	YJR036C	HUL4	1.6
181	YKR103W	NFT1	1.6
182	YGL183C	MND1	1.6
183	YML042W	CAT2	1.6
184	YHL006C	SHU1	1.6
185	YIL160C	POT1	1.6
186	YGR144W	THI4	1.6
187	YAR020C	PAU7	1.6
188	YIL073C	SPO22	1.6
189	YJL105W	SET4	1.6
190	YKR049C	FMP46	1.6
191	YDR523C	SPS1	1.6
192	YNL001W	DOM34	1.6
193	YPR193C	HPA2	1.6
194	YNR072W	HXT17	1.6
195	YLR343W	GAS2	1.6
196	YGR256W	GND2	1.6
197	YPL054W	LEE1	1.6
198	YPL033C	SRL4	1.6
199	YOR100C	CRC1	1.6
200	YDR223W	CRF1	1.6
201	YBR107C	IML3	1.6
202	YDL247W	MPH2	1.6
203	YPR151C	SUE1	1.6
204	YNL318C	HXT14	1.6
205	YJR156C	THI11	1.6
206	YNL335W	DDI2	1.6
207	YAL015C	NTG1	1.6
208	YDR358W	GGA1	1.6
209	YGR224W	AZR1	1.6
210	YDR369C	XRS2	1.6
211	YGR236C	SPG1	1.6
212	YJL223C	PAU1	1.6
213	YJR155W	AAD10	1.6
214	YAR031W	PRM9	1.6
215	YER096W	SHC1	1.6
216	YPL206C	PGC1	1.6
217	YNR058W	BIO3	1.6
218	YJR095W	SFC1	1.6
219	YEL066W	HPA3	1.6
220	YPR201W	ARR3	1.6
221	YOL119C	MCH4	1.6
222	YNL012W	SPO1	1.6
223	YPR200C	ARR2	1.6
224	YLR213C	CRR1	1.6
225	YFL056C	AAD6	1.6
226	YOR134W	BAG7	1.6
227	YFL029C	CAK1	1.6
228	YML054C	CYB2	1.6
229	YMR133W	REC114	1.6
230	YIL120W	QDR1	1.6
231	YCL069W	VBA3	1.6
232	YGR019W	UGA1	1.6
233	YHR209W	CRG1	1.6
234	YLL005C	SPO75	1.6
235	YDL169C	UGX2	1.6
236	YNL270C	ALP1	1.6
237	YJR150C	DAN1	1.6
238	YPL046C	ELC1	1.6
239	YLR245C	CDD1	1.6
240	YGL205W	POX1	1.6
241	YDR106W	ARP10	1.6
242	YCR083W	TRX3	1.6
243	YHR106W	TRR2	1.6
244	YDR273W	DON1	1.6
245	YMR303C	ADH2	1.6
246	YDL045C	FAD1	1.6
247	YHL024W	RIM4	1.6
248	YAR035W	YAT1	1.6
249	YNL210W	MER1	1.6
250	YMR159C	ATG16	1.6
251	YLR011W	LOT6	1.6
252	YBL064C	PRX1	1.6
253	YDL200C	MGT1	1.6
254	YGL096W	TOS8	1.6
255	YBR280C	SAF1	1.6
256	YIR031C	DAL7	1.6
257	YMR025W	CSI1	1.6
258	YJR052W	RAD7	1.6
259	YER101C	AST2	1.6
260	YPR081C	GRS2	1.6
261	YBR182C	SMP1	1.6
262	YIL072W	HOP1	1.5
263	YEL059C-A	SOM1	1.5
264	YPR026W	ATH1	1.5
265	YGL104C	VPS73	1.5
266	YMR322C	SNO4	1.5
267	YDL021W	GPM2	1.5
268	YOL091W	SPO21	1.5
269	YMR095C	SNO1	1.5
270	YER015W	FAA2	1.5
271	YBR045C	GIP1	1.5
272	YFL020C	PAU5	1.5
273	YOL133W	HRT1	1.5
274	YKL159C	RCN1	1.5
275	YIR041W	PAU15	1.5
276	YMR191W	SPG5	1.5
277	YLR461W	PAU4	1.5
278	YLR411W	CTR3	1.5
279	YMR323W	ERR3	1.5
280	YPR094W	RDS3	1.5
281	YBR047W	FMP23	1.5
282	YIL013C	PDR11	1.5
283	YLR273C	PIG1	1.5
284	YGL045W	RIM8	1.5
285	YIL146C	ATG32	1.5
286	YKR052C	MRS4	1.5
287	YER004W	FMP52	1.5
