SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SRP14

Rank	Gene	Common	Score
Q	YDL092W	SRP14	
1	YDR139C	RUB1	3.4
2	YKL122C	SRP21	3.1
3	YEL003W	GIM4	3.0
4	YIL027C	EMC5	3.0
5	YOR210W	RPB10	3.0
6	YJL179W	PFD1	3.0
7	YMR260C	TIF11	3.0
8	YDR071C	PAA1	2.9
9	YPR187W	RPO26	2.9
10	YDL061C	RPS29B	2.9
11	YDR086C	SSS1	2.9
12	YBR154C	RPB5	2.9
13	YDR308C	SRB7	2.9
14	YLR200W	YKE2	2.9
15	YNL147W	LSM7	2.9
16	YHR060W	VMA22	2.8
17	YDL219W	DTD1	2.8
18	YLR147C	SMD3	2.8
19	YNL153C	GIM3	2.8
20	YJL104W	PAM16	2.8
21	YBL026W	LSM2	2.8
22	YJL124C	LSM1	2.8
23	YIL008W	URM1	2.8
24	YFR001W	LOC1	2.8
25	YDR429C	TIF35	2.8
26	YDR045C	RPC11	2.8
27	YBR171W	SEC66	2.8
28	YIL016W	SNL1	2.8
29	YPL037C	EGD1	2.7
30	YHR121W	LSM12	2.7
31	YDR500C	RPL37B	2.7
32	YDL064W	UBC9	2.7
33	YOR232W	MGE1	2.7
34	YOR276W	CAF20	2.7
35	YPL237W	SUI3	2.7
36	YMR194W	RPL36A	2.7
37	YER146W	LSM5	2.7
38	YDR339C	FCF1	2.7
39	YOR189W	IES4	2.7
40	YBR164C	ARL1	2.7
41	YML094W	GIM5	2.7
42	YHR039C-A	VMA10	2.7
43	YDR002W	YRB1	2.7
44	YOL139C	CDC33	2.7
45	YKL156W	RPS27A	2.7
46	YBR167C	POP7	2.7
47	YJL136C	RPS21B	2.7
48	YKL160W	ELF1	2.7
49	YLR388W	RPS29A	2.7
50	YDL191W	RPL35A	2.7
51	YIL021W	RPB3	2.7
52	YGL070C	RPB9	2.7
53	YNL038W	GPI15	2.7
54	YGR148C	RPL24B	2.6
55	YPR060C	ARO7	2.6
56	YER112W	LSM4	2.6
57	YDL166C	FAP7	2.6
58	YLR022C	SDO1	2.6
59	YGR105W	VMA21	2.6
60	YDR397C	NCB2	2.6
61	YDR152W	GIR2	2.6
62	YML077W	BET5	2.6
63	YPL129W	TAF14	2.6
64	YDR201W	SPC19	2.6
65	YDR378C	LSM6	2.6
66	YDR471W	RPL27B	2.6
67	YDR167W	TAF10	2.6
68	YGR020C	VMA7	2.6
69	YPL178W	CBC2	2.6
70	YOR234C	RPL33B	2.6
71	YOL149W	DCP1	2.6
72	YDL192W	ARF1	2.6
73	YMR112C	MED11	2.6
74	YPR062W	FCY1	2.6
75	YDL208W	NHP2	2.6
76	YLR292C	SEC72	2.6
77	YJL011C	RPC17	2.6
78	YDR363W-A	SEM1	2.6
79	YDL075W	RPL31A	2.6
80	YJR067C	YAE1	2.6
81	YDR412W	RRP17	2.6
82	YOR265W	RBL2	2.6
83	YIL052C	RPL34B	2.6
84	YKL154W	SRP102	2.6
85	YGL232W	TAN1	2.6
86	YER009W	NTF2	2.6
87	YDR121W	DPB4	2.5
88	YHR013C	ARD1	2.5
89	YDL235C	YPD1	2.5
90	YER029C	SMB1	2.5
91	YHR143W-A	RPC10	2.5
92	YOR182C	RPS30B	2.5
93	YNL149C	PGA2	2.5
94	YGR215W	RSM27	2.5
95	YBR210W	ERV15	2.5
96	YDR302W	GPI11	2.5
97	YOR115C	TRS33	2.5
98	YNL255C	GIS2	2.5
99	YPR188C	MLC2	2.5
100	YOR252W	TMA16	2.5
101	YJR014W	TMA22	2.5
102	YNR024W	MPP6	2.5
103	YDR469W	SDC1	2.5
104	YOR167C	RPS28A	2.5
105	YJL140W	RPB4	2.5
106	YOR281C	PLP2	2.5
107	YGR275W	RTT102	2.5
108	YML105C	SEC65	2.5
109	YHR010W	RPL27A	2.5
110	YBR162W-A	YSY6	2.5
111	YOR094W	ARF3	2.5
112	YCL031C	RRP7	2.5
113	YER056C-A	RPL34A	2.5
114	YOR159C	SME1	2.5
115	YNL244C	SUI1	2.5
116	YLR406C	RPL31B	2.5
117	YKR057W	RPS21A	2.5
118	YJL189W	RPL39	2.5
119	YAL033W	POP5	2.5
120	YOR293W	RPS10A	2.5
121	YNL110C	NOP15	2.5
122	YBL018C	POP8	2.5
123	YML055W	SPC2	2.5
124	YDR016C	DAD1	2.5
125	YPR051W	MAK3	2.5
126	YDR280W	RRP45	2.5
127	YLR262C	YPT6	2.5
128	YMR233W	TRI1	2.5
129	YJL148W	RPA34	2.5
130	YNL070W	TOM7	2.5
131	YER050C	RSM18	2.5
132	YHR193C	EGD2	2.5
133	YNR022C	MRPL50	2.5
134	YGL031C	RPL24A	2.5
135	YER131W	RPS26B	2.5
136	YBR282W	MRPL27	2.5
137	YNL113W	RPC19	2.5
138	YER030W	CHZ1	2.4
139	YGR085C	RPL11B	2.4
140	YJL096W	MRPL49	2.4
141	YMR230W	RPS10B	2.4
142	YLR066W	SPC3	2.4
143	YDL213C	NOP6	2.4
144	YJL173C	RFA3	2.4
145	YDR190C	RVB1	2.4
146	YOR224C	RPB8	2.4
147	YLR051C	FCF2	2.4
148	YKR083C	DAD2	2.4
149	YOR253W	NAT5	2.4
150	YLR325C	RPL38	2.4
151	YGR081C	SLX9	2.4
152	YLR221C	RSA3	2.4
153	YBR091C	TIM12	2.4
154	YML024W	RPS17A	2.4
155	YDR424C	DYN2	2.4
156	YDL051W	LHP1	2.4
157	YGR118W	RPS23A	2.4
158	YER019C-A	SBH2	2.4
159	YER007C-A	TMA20	2.4
160	YGL147C	RPL9A	2.4
161	YDL098C	SNU23	2.4
162	YLR021W	IRC25	2.4
163	YPL143W	RPL33A	2.4
164	YBR188C	NTC20	2.4
165	YBL087C	RPL23A	2.4
166	YER148W	SPT15	2.4
167	YDR361C	BCP1	2.4
168	YMR286W	MRPL33	2.4
169	YCR003W	MRPL32	2.4
170	YDR454C	GUK1	2.4
171	YBL057C	PTH2	2.4
172	YKL119C	VPH2	2.4
173	YDL083C	RPS16B	2.4
174	YNL162W	RPL42A	2.4
175	YPR094W	RDS3	2.4
176	YDR404C	RPB7	2.4
177	YGL029W	CGR1	2.4
178	YMR123W	PKR1	2.4
179	YGL106W	MLC1	2.4
180	YLR185W	RPL37A	2.4
181	YLR333C	RPS25B	2.4
182	YDL082W	RPL13A	2.4
183	YPR143W	RRP15	2.4
184	YGL020C	GET1	2.4
185	YML026C	RPS18B	2.4
186	YDL135C	RDI1	2.4
187	YIL004C	BET1	2.4
188	YBR143C	SUP45	2.4
189	YML001W	YPT7	2.4
190	YBR268W	MRPL37	2.4
191	YHR081W	LRP1	2.4
192	YDR172W	SUP35	2.4
193	YBR087W	RFC5	2.4
194	YLR275W	SMD2	2.4
195	YPL010W	RET3	2.4
196	YBR252W	DUT1	2.3
197	YLR421C	RPN13	2.3
198	YLR061W	RPL22A	2.3
199	YOL077C	BRX1	2.3
200	YEL051W	VMA8	2.3
201	YGL189C	RPS26A	2.3
202	YDL136W	RPL35B	2.3
203	YMR005W	TAF4	2.3
204	YML022W	APT1	2.3
205	YDL081C	RPP1A	2.3
206	YDL165W	CDC36	2.3
207	YJR144W	MGM101	2.3
208	YDL084W	SUB2	2.3
209	YDR510W	SMT3	2.3
210	YOL127W	RPL25	2.3
211	YOR143C	THI80	2.3
212	YMR142C	RPL13B	2.3
213	YCR035C	RRP43	2.3
214	YDR468C	TLG1	2.3
215	YER074W	RPS24A	2.3
216	YKL186C	MTR2	2.3
217	YOR103C	OST2	2.3
218	YDR450W	RPS18A	2.3
219	YGR027C	RPS25A	2.3
220	YJR069C	HAM1	2.3
221	YPL227C	ALG5	2.3
222	YIL076W	SEC28	2.3
223	YNL151C	RPC31	2.3
224	YHR021C	RPS27B	2.3
225	YLR285W	NNT1	2.3
226	YDL111C	RRP42	2.3
227	YCL059C	KRR1	2.3
228	YDR013W	PSF1	2.3
229	YDR087C	RRP1	2.3
230	YKL099C	UTP11	2.3
231	YLR262C-A	TMA7	2.3
232	YPR073C	LTP1	2.3
233	YIL118W	RHO3	2.3
234	YGR119C	NUP57	2.3
235	YHL001W	RPL14B	2.3
236	YPR056W	TFB4	2.3
237	YKL009W	MRT4	2.3
238	YKL114C	APN1	2.3
239	YKR085C	MRPL20	2.3
240	YHR089C	GAR1	2.3
241	YHR005C-A	TIM10	2.3
242	YEL018W	EAF5	2.3
243	YPR033C	HTS1	2.3
244	YER183C	FAU1	2.3
245	YPL079W	RPL21B	2.3
246	YGL246C	RAI1	2.3
247	YML073C	RPL6A	2.3
248	YDR023W	SES1	2.3
249	YGL050W	TYW3	2.3
250	YBR254C	TRS20	2.3
251	YDR245W	MNN10	2.3
252	YNL302C	RPS19B	2.3
253	YNL001W	DOM34	2.3
254	YOR357C	SNX3	2.3
255	YBR253W	SRB6	2.3
256	YDR399W	HPT1	2.3
257	YFL017W-A	SMX2	2.3
258	YGR074W	SMD1	2.3
259	YBR084C-A	RPL19A	2.3
260	YBR191W	RPL21A	2.3
261	YDL212W	SHR3	2.3
262	YBL090W	MRP21	2.3
263	YJL190C	RPS22A	2.3
264	YOR078W	BUD21	2.3
265	YDR041W	RSM10	2.3
266	YPL211W	NIP7	2.3
267	YBR189W	RPS9B	2.3
268	YAL007C	ERP2	2.3
269	YBR279W	PAF1	2.3
270	YJR057W	CDC8	2.3
271	YLR043C	TRX1	2.3
272	YOR096W	RPS7A	2.3
273	YGR152C	RSR1	2.3
274	YDR064W	RPS13	2.3
275	YIL035C	CKA1	2.3
276	YER002W	NOP16	2.3
277	YLR287C-A	RPS30A	2.3
278	YOL005C	RPB11	2.3
279	YJR063W	RPA12	2.3
280	YOL102C	TPT1	2.3
281	YKR094C	RPL40B	2.3
282	YJR094W-A	RPL43B	2.3
283	YIL148W	RPL40A	2.3
284	YGR181W	TIM13	2.3
285	YGR076C	MRPL25	2.3
286	YJL192C	SOP4	2.2
287	YNL175C	NOP13	2.2
288	YNL081C	SWS2	2.2
289	YMR235C	RNA1	2.2
290	YHR144C	DCD1	2.2
291	YGL054C	ERV14	2.2
292	YLR435W	TSR2	2.2
293	YDR177W	UBC1	2.2
294	YHR052W	CIC1	2.2
295	YPR102C	RPL11A	2.2
296	YPR020W	ATP20	2.2
297	YGR195W	SKI6	2.2
298	YDR165W	TRM82	2.2
299	YDL232W	OST4	2.2
300	YPR043W	RPL43A	2.2
301	YOR369C	RPS12	2.2
302	YPR166C	MRP2	2.2
303	YNL067W	RPL9B	2.2
304	YLR344W	RPL26A	2.2
305	YOR194C	TOA1	2.2
306	YOR340C	RPA43	2.2
307	YBL027W	RPL19B	2.2
308	YGR030C	POP6	2.2
309	YNL206C	RTT106	2.2
310	YPL038W	MET31	2.2
311	YDR372C	VPS74	2.2
312	YNL096C	RPS7B	2.2
313	YDR447C	RPS17B	2.2
314	YDR068W	DOS2	2.2
315	YDR365C	ESF1	2.2
316	YFL034C-A	RPL22B	2.2
317	YBR278W	DPB3	2.2
318	YML009C	MRPL39	2.2
319	YFL028C	CAF16	2.2
320	YLR003C	CMS1	2.2
321	YKL196C	YKT6	2.2
322	YMR091C	NPL6	2.2
323	YOR312C	RPL20B	2.2
324	YHR141C	RPL42B	2.2
325	YKL144C	RPC25	2.2
326	YGR220C	MRPL9	2.2
327	YKL003C	MRP17	2.2
328	YDR496C	PUF6	2.2
329	YDR373W	FRQ1	2.2
330	YGR208W	SER2	2.2
331	YKL006W	RPL14A	2.2
332	YEL026W	SNU13	2.2
333	YGR078C	PAC10	2.2
334	YDL201W	TRM8	2.2
335	YLR229C	CDC42	2.2
336	YOL146W	PSF3	2.2
337	YML036W	CGI121	2.2
338	YIL020C	HIS6	2.2
339	YOR046C	DBP5	2.2
340	YPR132W	RPS23B	2.2
341	YJL203W	PRP21	2.2
342	YDR183W	PLP1	2.2
343	YJR068W	RFC2	2.2
344	YBL076C	ILS1	2.2
345	YKL172W	EBP2	2.2
346	YGR135W	PRE9	2.2
347	YGR253C	PUP2	2.2
348	YDR418W	RPL12B	2.2
349	YDL002C	NHP10	2.2
350	YDL108W	KIN28	2.2
351	YBL092W	RPL32	2.2
352	YNL002C	RLP7	2.2
353	YPR100W	MRPL51	2.2
354	YER087C-B	SBH1	2.2
355	YKR081C	RPF2	2.2
356	YLR367W	RPS22B	2.2
357	YJR022W	LSM8	2.2
358	YGR262C	BUD32	2.2
359	YOR045W	TOM6	2.2
360	YMR225C	MRPL44	2.2
361	YDR083W	RRP8	2.2
362	YLR197W	NOP56	2.2
363	YHL015W	RPS20	2.2
364	YDR390C	UBA2	2.2
365	YMR033W	ARP9	2.2
366	YOR327C	SNC2	2.2
367	YDL008W	APC11	2.2
368	YOR004W	UTP23	2.2
369	YMR158W	MRPS8	2.2
370	YML063W	RPS1B	2.2
371	YBL072C	RPS8A	2.2
372	YPL266W	DIM1	2.2
373	YMR242C	RPL20A	2.2
374	YKL138C	MRPL31	2.2
375	YDR098C	GRX3	2.2
376	YJR118C	ILM1	2.2
377	YJL178C	ATG27	2.2
378	YJR032W	CPR7	2.2
379	YPL210C	SRP72	2.2
380	YPR110C	RPC40	2.2
381	YLR154C	RNH203	2.2
382	YFR041C	ERJ5	2.2
383	YGR271C-A	EFG1	2.2
384	YER031C	YPT31	2.2
385	YHR191C	CTF8	2.2
386	YPL243W	SRP68	2.2
387	YAL059W	ECM1	2.2
388	YDR478W	SNM1	2.2
389	YMR188C	MRPS17	2.2
390	YOR257W	CDC31	2.2
391	YBR106W	SND3	2.1
392	YNL222W	SSU72	2.1
393	YLR167W	RPS31	2.1
394	YEL020W-A	TIM9	2.1
395	YKL170W	MRPL38	2.1
396	YBR245C	ISW1	2.1
397	YGL103W	RPL28	2.1
398	YPL273W	SAM4	2.1
399	YIL138C	TPM2	2.1
400	YBR155W	CNS1	2.1
