SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PMT5

Rank	Gene	Common	Score
Q	YDL093W	PMT5	
1	YDR518W	EUG1	3.2
2	YDL095W	PMT1	3.2
3	YOR321W	PMT3	3.1
4	YKL165C	MCD4	2.9
5	YBR243C	ALG7	2.8
6	YJR143C	PMT4	2.8
7	YAL023C	PMT2	2.8
8	YOR099W	KTR1	2.7
9	YDR297W	SUR2	2.7
10	YCR048W	ARE1	2.7
11	YOR011W	AUS1	2.7
12	YNL291C	MID1	2.7
13	YEL031W	SPF1	2.6
14	YDR400W	URH1	2.6
15	YBR015C	MNN2	2.6
16	YHR098C	SFB3	2.6
17	YER118C	SHO1	2.5
18	YDR044W	HEM13	2.5
19	YGL022W	STT3	2.5
20	YHR123W	EPT1	2.5
21	YHR042W	NCP1	2.5
22	YDR144C	MKC7	2.5
23	YOR175C	ALE1	2.5
24	YLR083C	EMP70	2.5
25	YLR088W	GAA1	2.5
26	YER003C	PMI40	2.5
27	YGL027C	CWH41	2.5
28	YML019W	OST6	2.5
29	YMR006C	PLB2	2.5
30	YCR017C	CWH43	2.5
31	YDR062W	LCB2	2.5
32	YLR188W	MDL1	2.5
33	YLR380W	CSR1	2.5
34	YLR183C	TOS4	2.5
35	YKL008C	LAC1	2.5
36	YBR187W	GDT1	2.4
37	YJL002C	OST1	2.4
38	YOR034C	AKR2	2.4
39	YNL263C	YIF1	2.4
40	YJR118C	ILM1	2.4
41	YJL097W	PHS1	2.4
42	YGR177C	ATF2	2.4
43	YBR085W	AAC3	2.4
44	YDL052C	SLC1	2.4
45	YMR215W	GAS3	2.4
46	YOR320C	GNT1	2.4
47	YAL007C	ERP2	2.4
48	YHR039C	MSC7	2.4
49	YOR002W	ALG6	2.4
50	YDR170C	SEC7	2.4
51	YBL020W	RFT1	2.4
52	YDR107C	TMN2	2.4
53	YJL062W	LAS21	2.4
54	YDR093W	DNF2	2.4
55	YDL164C	CDC9	2.4
56	YDL145C	COP1	2.4
57	YIL123W	SIM1	2.4
58	YBR041W	FAT1	2.4
59	YDL040C	NAT1	2.4
60	YJR031C	GEA1	2.4
61	YEL042W	GDA1	2.4
62	YDL102W	POL3	2.4
63	YER070W	RNR1	2.4
64	YEL002C	WBP1	2.4
65	YGL225W	VRG4	2.3
66	YJL091C	GWT1	2.3
67	YDR414C	ERD1	2.3
68	YOR016C	ERP4	2.3
69	YPR181C	SEC23	2.3
70	YOR149C	SMP3	2.3
71	YLL031C	GPI13	2.3
72	YDR119W	VBA4	2.3
73	YLR212C	TUB4	2.3
74	YDL141W	BPL1	2.3
75	YDR238C	SEC26	2.3
76	YDR091C	RLI1	2.3
77	YOR067C	ALG8	2.3
78	YKL127W	PGM1	2.3
79	YDR261C	EXG2	2.3
80	YGR284C	ERV29	2.3
81	YFL037W	TUB2	2.3
82	YJL080C	SCP160	2.3
83	YGL084C	GUP1	2.3
84	YPL256C	CLN2	2.3
85	YLR372W	ELO3	2.3
86	YNL283C	WSC2	2.3
87	YNL262W	POL2	2.3
88	YKR090W	PXL1	2.3
89	YER086W	ILV1	2.3
90	YOR085W	OST3	2.3
91	YGL016W	KAP122	2.3
92	YPL241C	CIN2	2.3
93	YLR459W	GAB1	2.3
94	YHR188C	GPI16	2.3
95	YDL101C	DUN1	2.3
96	YDR097C	MSH6	2.3
97	YKR088C	TVP38	2.2
98	YPL163C	SVS1	2.2
99	YPR159W	KRE6	2.2
100	YOR092W	ECM3	2.2
101	YJL074C	SMC3	2.2
102	YFL025C	BST1	2.2
103	YIL140W	AXL2	2.2
104	YPL208W	RKM1	2.2
105	YML038C	YMD8	2.2
106	YGL137W	SEC27	2.2
107	YGL012W	ERG4	2.2
108	YNR030W	ALG12	2.2
109	YBL009W	ALK2	2.2
110	YMR078C	CTF18	2.2
111	YHR133C	NSG1	2.2
112	YMR129W	POM152	2.2
113	YJR001W	AVT1	2.2
114	YOL090W	MSH2	2.2
115	YHR061C	GIC1	2.2
116	YDR302W	GPI11	2.2
117	YNL287W	SEC21	2.2
118	YIL039W	TED1	2.2
119	YIL011W	TIR3	2.2
120	YBL031W	SHE1	2.2
121	YPL145C	KES1	2.2
122	YDL155W	CLB3	2.2
123	YKL046C	DCW1	2.2
124	YHL003C	LAG1	2.2
125	YBR023C	CHS3	2.2
126	YGL139W	FLC3	2.2
127	YOR254C	SEC63	2.2
128	YNL280C	ERG24	2.2
129	YNL273W	TOF1	2.2
130	YFL045C	SEC53	2.2
131	YBR245C	ISW1	2.2
132	YMR013C	SEC59	2.2
133	YGR172C	YIP1	2.2
134	YFR051C	RET2	2.2
135	YIL109C	SEC24	2.2
136	YHR108W	GGA2	2.2
137	YJL183W	MNN11	2.2
138	YDL103C	QRI1	2.2
139	YAL024C	LTE1	2.2
140	YDR434W	GPI17	2.2
