SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPN6

Rank	Gene	Common	Score
Q	YDL097C	RPN6	
1	YDR394W	RPT3	4.2
2	YDL007W	RPT2	4.1
3	YER021W	RPN3	4.0
4	YGL048C	RPT6	3.9
5	YGL011C	SCL1	3.8
6	YOR259C	RPT4	3.8
7	YDL147W	RPN5	3.8
8	YBL058W	SHP1	3.8
9	YFR004W	RPN11	3.7
10	YOR362C	PRE10	3.7
11	YOR117W	RPT5	3.7
12	YER012W	PRE1	3.6
13	YOR261C	RPN8	3.6
14	YFR052W	RPN12	3.6
15	YPR103W	PRE2	3.6
16	YKL145W	RPT1	3.6
17	YFR050C	PRE4	3.5
18	YDR427W	RPN9	3.5
19	YDL126C	CDC48	3.5
20	YPR108W	RPN7	3.5
21	YMR314W	PRE5	3.5
22	YGR253C	PUP2	3.4
23	YFR010W	UBP6	3.4
24	YOR157C	PUP1	3.4
25	YGR135W	PRE9	3.3
26	YBL041W	PRE7	3.3
27	YGR048W	UFD1	3.3
28	YJL001W	PRE3	3.3
29	YER143W	DDI1	3.2
30	YML092C	PRE8	3.2
31	YHR200W	RPN10	3.2
32	YOL038W	PRE6	3.1
33	YER094C	PUP3	3.1
34	YHR027C	RPN1	3.1
35	YKL117W	SBA1	3.1
36	YJL036W	SNX4	3.1
37	YIL075C	RPN2	3.1
38	YDR168W	CDC37	3.1
39	YLR387C	REH1	3.0
40	YGR231C	PHB2	3.0
41	YBR173C	UMP1	3.0
42	YDL100C	GET3	3.0
43	YDL029W	ARP2	3.0
44	YDR330W	UBX5	3.0
45	YBR170C	NPL4	3.0
46	YDL132W	CDC53	3.0
47	YOR007C	SGT2	2.9
48	YDR099W	BMH2	2.9
49	YBL022C	PIM1	2.9
50	YJL031C	BET4	2.9
51	YCL057W	PRD1	2.9
52	YGR167W	CLC1	2.9
53	YKL007W	CAP1	2.9
54	YLR216C	CPR6	2.8
55	YOR042W	CUE5	2.8
56	YMR004W	MVP1	2.8
57	YML007W	YAP1	2.8
58	YER142C	MAG1	2.8
59	YLR421C	RPN13	2.8
60	YBL050W	SEC17	2.8
61	YKL195W	MIA40	2.8
62	YMR067C	UBX4	2.8
63	YGR132C	PHB1	2.8
64	YFR003C	YPI1	2.8
65	YMR311C	GLC8	2.7
66	YDL091C	UBX3	2.7
67	YCR036W	RBK1	2.7
68	YML004C	GLO1	2.7
69	YDR001C	NTH1	2.7
70	YAL016W	TPD3	2.7
71	YDL103C	QRI1	2.7
72	YNR035C	ARC35	2.7
73	YDR272W	GLO2	2.7
74	YDL161W	ENT1	2.7
75	YFR024C-A	LSB3	2.7
76	YKL213C	DOA1	2.7
77	YGL181W	GTS1	2.7
78	YKL065C	YET1	2.6
79	YBR149W	ARA1	2.6
80	YKL142W	MRP8	2.6
81	YHL030W	ECM29	2.6
82	YEL037C	RAD23	2.6
83	YKR014C	YPT52	2.6
84	YDR358W	GGA1	2.6
85	YDR129C	SAC6	2.6
86	YKL210W	UBA1	2.6
87	YMR197C	VTI1	2.6
88	YMR276W	DSK2	2.6
89	YCR009C	RVS161	2.6
90	YDL193W	NUS1	2.6
91	YNL084C	END3	2.6
92	YOR027W	STI1	2.6
93	YAR007C	RFA1	2.6
94	YMR092C	AIP1	2.6
95	YPL240C	HSP82	2.6
96	YCL052C	PBN1	2.6
97	YKL193C	SDS22	2.6
98	YML032C	RAD52	2.6
99	YKL196C	YKT6	2.6
100	YER136W	GDI1	2.6
101	YDR204W	COQ4	2.6
102	YDL115C	IWR1	2.6
103	YGL091C	NBP35	2.6
104	YDL099W	BUG1	2.6
105	YPL203W	TPK2	2.6
106	YLR270W	DCS1	2.5
107	YMR152W	YIM1	2.5
108	YLL026W	HSP104	2.5
109	YMR139W	RIM11	2.5
110	YJR065C	ARP3	2.5
111	YGL037C	PNC1	2.5
112	YHL034C	SBP1	2.5
113	YDR202C	RAV2	2.5
114	YJL155C	FBP26	2.5
115	YDR368W	YPR1	2.5
116	YBR273C	UBX7	2.5
117	YBR111C	YSA1	2.5
118	YBL078C	ATG8	2.5
119	YOR124C	UBP2	2.5
120	YLL039C	UBI4	2.5
121	YCL034W	LSB5	2.5
122	YCL035C	GRX1	2.5
123	YDL113C	ATG20	2.5
124	YJL057C	IKS1	2.5
125	YIL034C	CAP2	2.5
126	YHR104W	GRE3	2.5
127	YOR132W	VPS17	2.5
128	YFL038C	YPT1	2.5
129	YDR171W	HSP42	2.5
130	YDR003W	RCR2	2.5
131	YNL156C	NSG2	2.5
132	YJR125C	ENT3	2.5
133	YBR234C	ARC40	2.5
134	YGR223C	HSV2	2.5
135	YGL227W	VID30	2.5
136	YEL012W	UBC8	2.5
137	YDR423C	CAD1	2.5
138	YGR080W	TWF1	2.5
139	YBR026C	ETR1	2.5
140	YNL138W	SRV2	2.5
141	YHL002W	HSE1	2.5
142	YBL064C	PRX1	2.5
143	YML069W	POB3	2.5
144	YKL094W	YJU3	2.4
145	YDL134C	PPH21	2.4
146	YGR193C	PDX1	2.4
147	YKL126W	YPK1	2.4
148	YDR392W	SPT3	2.4
149	YDL045C	FAD1	2.4
150	YOL071W	SDH5	2.4
151	YPL123C	RNY1	2.4
152	YDR329C	PEX3	2.4
153	YBR151W	APD1	2.4
154	YMR302C	YME2	2.4
155	YIL036W	CST6	2.4
156	YPL091W	GLR1	2.4
157	YER048C	CAJ1	2.4
158	YBL056W	PTC3	2.4
159	YER027C	GAL83	2.4
160	YPR180W	AOS1	2.4
161	YGL095C	VPS45	2.4
162	YGL073W	HSF1	2.4
163	YIL097W	FYV10	2.4
164	YIL062C	ARC15	2.4
165	YDL072C	YET3	2.4
166	YDR335W	MSN5	2.4
167	YNR007C	ATG3	2.4
168	YDR515W	SLF1	2.4
169	YMR029C	FAR8	2.4
170	YML070W	DAK1	2.4
171	YLR025W	SNF7	2.4
172	YGL047W	ALG13	2.4
173	YPR023C	EAF3	2.4
174	YOL082W	ATG19	2.4
175	YDL020C	RPN4	2.4
176	YCR082W	AHC2	2.4
177	YHR161C	YAP1801	2.4
178	YOR069W	VPS5	2.4
179	YOR036W	PEP12	2.4
180	YFL044C	OTU1	2.4
181	YJL066C	MPM1	2.4
182	YGR019W	UGA1	2.4
183	YHR012W	VPS29	2.4
184	YKL013C	ARC19	2.4
185	YGR136W	LSB1	2.4
186	YOL151W	GRE2	2.4
187	YGR008C	STF2	2.4
188	YNL265C	IST1	2.4
189	YPL100W	ATG21	2.4
190	YNL007C	SIS1	2.4
191	YDL169C	UGX2	2.4
192	YER004W	FMP52	2.4
193	YOR059C	LPL1	2.4
194	YOL018C	TLG2	2.4
195	YIL107C	PFK26	2.4
196	YDL168W	SFA1	2.4
197	YBR199W	KTR4	2.4
198	YLR324W	PEX30	2.4
199	YIL033C	BCY1	2.4
200	YMR186W	HSC82	2.4
201	YDR122W	KIN1	2.4
202	YDL143W	CCT4	2.4
203	YJR117W	STE24	2.4
204	YDR177W	UBC1	2.4
205	YDR486C	VPS60	2.4
206	YFL029C	CAK1	2.4
207	YLR250W	SSP120	2.4
208	YGR232W	NAS6	2.4
209	YBR272C	HSM3	2.4
210	YDR071C	PAA1	2.4
211	YPL004C	LSP1	2.4
212	YHR190W	ERG9	2.3
213	YJL053W	PEP8	2.3
214	YBR290W	BSD2	2.3
215	YEL060C	PRB1	2.3
216	YBR059C	AKL1	2.3
217	YDR294C	DPL1	2.3
218	YJL034W	KAR2	2.3
219	YBR109C	CMD1	2.3
220	YHR016C	YSC84	2.3
221	YAL030W	SNC1	2.3
222	YDL225W	SHS1	2.3
223	YDR246W	TRS23	2.3
224	YDR513W	GRX2	2.3
225	YJL020C	BBC1	2.3
226	YPL106C	SSE1	2.3
227	YDL078C	MDH3	2.3
228	YOR155C	ISN1	2.3
229	YBR126C	TPS1	2.3
230	YGR209C	TRX2	2.3
231	YDL135C	RDI1	2.3
232	YDR289C	RTT103	2.3
233	YCR004C	YCP4	2.3
234	YMR115W	MGR3	2.3
235	YBR082C	UBC4	2.3
236	YOR023C	AHC1	2.3
237	YDR328C	SKP1	2.3
238	YHR195W	NVJ1	2.3
239	YDR074W	TPS2	2.3
240	YDL065C	PEX19	2.3
241	YFL018C	LPD1	2.3
242	YML110C	COQ5	2.3
243	YOR120W	GCY1	2.3
244	YLR370C	ARC18	2.3
245	YNL241C	ZWF1	2.3
246	YPL196W	OXR1	2.3
247	YJL164C	TPK1	2.3
248	YKL150W	MCR1	2.3
249	YCL043C	PDI1	2.3
250	YNL215W	IES2	2.3
251	YGR186W	TFG1	2.3
252	YDR388W	RVS167	2.3
253	YJL102W	MEF2	2.3
254	YDR059C	UBC5	2.3
255	YNR001C	CIT1	2.3
256	YJL008C	CCT8	2.3
257	YDR214W	AHA1	2.3
258	YPL154C	PEP4	2.3
259	YGL252C	RTG2	2.3
260	YKR001C	VPS1	2.3
261	YOR052C	TMC1	2.3
262	YHR171W	ATG7	2.3
263	YIL136W	OM45	2.3
264	YDR435C	PPM1	2.3
265	YLR163C	MAS1	2.3
266	YPL249C	GYP5	2.3
267	YOL096C	COQ3	2.3
268	YDL110C	TMA17	2.3
269	YLR028C	ADE16	2.3
270	YBR280C	SAF1	2.3
271	YDL188C	PPH22	2.3
272	YBR214W	SDS24	2.3
273	YDR258C	HSP78	2.3
274	YLR206W	ENT2	2.3
275	YMR072W	ABF2	2.3
276	YOL129W	VPS68	2.3
277	YKR076W	ECM4	2.3
278	YGL141W	HUL5	2.3
279	YFR049W	KGD4	2.3
280	YOL049W	GSH2	2.3
281	YIL010W	DOT5	2.3
282	YPR072W	NOT5	2.2
283	YBL038W	MRPL16	2.2
284	YAL017W	PSK1	2.2
285	YGL219C	MDM34	2.2
286	YOR332W	VMA4	2.2
287	YDL137W	ARF2	2.2
288	YOR220W	RCN2	2.2
289	YER177W	BMH1	2.2
290	YFL016C	MDJ1	2.2
291	YBR169C	SSE2	2.2
292	YBR024W	SCO2	2.2
293	YCR069W	CPR4	2.2
294	YMR097C	MTG1	2.2
295	YMR110C	HFD1	2.2
296	YDL234C	GYP7	2.2
297	YDR363W-A	SEM1	2.2
298	YMR100W	MUB1	2.2
299	YLR151C	PCD1	2.2
300	YGL013C	PDR1	2.2
301	YLR178C	TFS1	2.2
302	YKL035W	UGP1	2.2
303	YDL190C	UFD2	2.2
304	YML057W	CMP2	2.2
305	YBR052C	RFS1	2.2
306	YML128C	MSC1	2.2
307	YOR089C	VPS21	2.2
308	YLR259C	HSP60	2.2
309	YLR093C	NYV1	2.2
310	YKL103C	APE1	2.2
311	YBR269C	SDH8	2.2
312	YMR089C	YTA12	2.2
313	YNL098C	RAS2	2.2
314	YLR362W	STE11	2.2
315	YCL040W	GLK1	2.2
316	YGR086C	PIL1	2.2
317	YIL124W	AYR1	2.2
318	YLR109W	AHP1	2.2
319	YBR001C	NTH2	2.2
320	YHR037W	PUT2	2.2
321	YKR011C	FPT1	2.2
322	YCR011C	ADP1	2.2
323	YLR330W	CHS5	2.2
324	YER178W	PDA1	2.2
325	YMR105C	PGM2	2.2
326	YDR169C	STB3	2.2
327	YBR212W	NGR1	2.2
328	YBR080C	SEC18	2.2
329	YDR162C	NBP2	2.2
330	YML048W	GSF2	2.2
331	YGR258C	RAD2	2.2
332	YDR421W	ARO80	2.2
333	YMR173W	DDR48	2.2
334	YGR028W	MSP1	2.2
335	YJR059W	PTK2	2.2
336	YOL032W	OPI10	2.2
337	YDR452W	PPN1	2.2
338	YOR245C	DGA1	2.2
339	YLR102C	APC9	2.2
340	YPL118W	MRP51	2.2
341	YDR425W	SNX41	2.2
342	YMR022W	UBC7	2.2
343	YAL005C	SSA1	2.2
344	YMR028W	TAP42	2.2
345	YKL002W	DID4	2.2
346	YNL214W	PEX17	2.2
347	YIR025W	MND2	2.2
348	YER050C	RSM18	2.2
349	YDL022W	GPD1	2.2
350	YGL093W	SPC105	2.2
351	YDR479C	PEX29	2.2
352	YDR231C	COX20	2.2
353	YNR006W	VPS27	2.2
354	YNL312W	RFA2	2.2
355	YHR057C	CPR2	2.2
356	YFR040W	SAP155	2.2
357	YPR036W	VMA13	2.2
358	YPL031C	PHO85	2.2
359	YGL161C	YIP5	2.2
360	YIL076W	SEC28	2.2
361	YDR148C	KGD2	2.2
362	YBR003W	COQ1	2.2
363	YPR107C	YTH1	2.2
364	YMR304W	UBP15	2.2
365	YJL167W	ERG20	2.2
366	YGR194C	XKS1	2.2
367	YDL010W	GRX6	2.2
368	YDR334W	SWR1	2.2
369	YCL039W	GID7	2.2
370	YKL039W	PTM1	2.2
371	YMR250W	GAD1	2.2
372	YDR041W	RSM10	2.2
373	YBR101C	FES1	2.2
374	YBR125C	PTC4	2.2
375	YFR008W	FAR7	2.1
376	YDR460W	TFB3	2.1
377	YHR106W	TRR2	2.1
378	YCR002C	CDC10	2.1
379	YGL006W	PMC1	2.1
380	YOL013C	HRD1	2.1
381	YOR275C	RIM20	2.1
382	YDR166C	SEC5	2.1
383	YGR255C	COQ6	2.1
384	YOR374W	ALD4	2.1
385	YNL079C	TPM1	2.1
386	YJR044C	VPS55	2.1
387	YDL215C	GDH2	2.1
388	YER080W	AIM9	2.1
389	YNL173C	MDG1	2.1
390	YCL032W	STE50	2.1
391	YDL149W	ATG9	2.1
392	YGR101W	PCP1	2.1
393	YDR229W	IVY1	2.1
394	YBR035C	PDX3	2.1
395	YBL091C	MAP2	2.1
396	YDR188W	CCT6	2.1
397	YDR353W	TRR1	2.1
398	YBR256C	RIB5	2.1
399	YDL021W	GPM2	2.1
400	YJR045C	SSC1	2.1
401	YDR028C	REG1	2.1
402	YKL003C	MRP17	2.1
403	YAR027W	UIP3	2.1
404	YDR145W	TAF12	2.1
405	YOR142W	LSC1	2.1
406	YOL088C	MPD2	2.1
407	YOR075W	UFE1	2.1
408	YER030W	CHZ1	2.1
409	YMR237W	BCH1	2.1
410	YIL155C	GUT2	2.1
411	YGR010W	NMA2	2.1
412	YLL001W	DNM1	2.1
413	YEL005C	VAB2	2.1
414	YIL007C	NAS2	2.1
415	YKL135C	APL2	2.1
416	YGR284C	ERV29	2.1
417	YJL101C	GSH1	2.1
418	YHR028C	DAP2	2.1
419	YBR236C	ABD1	2.1
420	YDL142C	CRD1	2.1
421	YDR200C	VPS64	2.1
422	YKL067W	YNK1	2.1
423	YDL230W	PTP1	2.1
424	YPL206C	PGC1	2.1
425	YKR062W	TFA2	2.1
426	YGR100W	MDR1	2.1
