SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SNU23

Rank	Gene	Common	Score
Q	YDL098C	SNU23	
1	YDR183W	PLP1	2.6
2	YPL051W	ARL3	2.4
3	YDL092W	SRP14	2.4
4	YDL166C	FAP7	2.3
5	YMR112C	MED11	2.3
6	YMR077C	VPS20	2.3
7	YBR167C	POP7	2.3
8	YLR200W	YKE2	2.3
9	YDL002C	NHP10	2.3
10	YBR257W	POP4	2.3
11	YIL008W	URM1	2.3
12	YGR275W	RTT102	2.3
13	YIL139C	REV7	2.3
14	YDR139C	RUB1	2.3
15	YJR067C	YAE1	2.3
16	YBR164C	ARL1	2.3
17	YEL003W	GIM4	2.2
18	YDL135C	RDI1	2.2
19	YGL058W	RAD6	2.2
20	YDR308C	SRB7	2.2
21	YDR288W	NSE3	2.2
22	YDL044C	MTF2	2.2
23	YEL018W	EAF5	2.2
24	YDR002W	YRB1	2.2
25	YDR121W	DPB4	2.2
26	YJL140W	RPB4	2.2
27	YCL031C	RRP7	2.2
28	YDR152W	GIR2	2.2
29	YNL107W	YAF9	2.2
30	YJL104W	PAM16	2.2
31	YPR073C	LTP1	2.2
32	YLR262C	YPT6	2.2
33	YGR152C	RSR1	2.2
34	YHR081W	LRP1	2.2
35	YNR024W	MPP6	2.2
36	YGR081C	SLX9	2.2
37	YML077W	BET5	2.2
38	YJR057W	CDC8	2.2
39	YBR258C	SHG1	2.2
40	YLR275W	SMD2	2.2
41	YLR147C	SMD3	2.2
42	YPR046W	MCM16	2.2
43	YGL050W	TYW3	2.2
44	YML094W	GIM5	2.2
45	YPR101W	SNT309	2.2
46	YJL031C	BET4	2.2
47	YDR468C	TLG1	2.2
48	YOR148C	SPP2	2.2
49	YFL046W	FMP32	2.2
50	YLR292C	SEC72	2.1
51	YDR201W	SPC19	2.1
52	YER050C	RSM18	2.1
53	YJR055W	HIT1	2.1
54	YDR088C	SLU7	2.1
55	YBL021C	HAP3	2.1
56	YKL122C	SRP21	2.1
57	YOL149W	DCP1	2.1
58	YDL107W	MSS2	2.1
59	YOR281C	PLP2	2.1
