SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SNA4

Rank	Gene	Common	Score
Q	YDL123W	SNA4	
1	YBR214W	SDS24	3.1
2	YPR154W	PIN3	3.1
3	YEL060C	PRB1	3.0
4	YAL034C	FUN19	2.9
5	YDR003W	RCR2	2.8
6	YER004W	FMP52	2.8
7	YGR268C	HUA1	2.7
8	YLL019C	KNS1	2.7
9	YIL146C	ATG32	2.7
10	YDR059C	UBC5	2.7
11	YIL101C	XBP1	2.7
12	YBL049W	MOH1	2.7
13	YNL322C	KRE1	2.7
14	YLR219W	MSC3	2.7
15	YGR161C	RTS3	2.7
16	YOL060C	MAM3	2.6
17	YKL146W	AVT3	2.6
18	YCL044C	MGR1	2.6
19	YCR079W	PTC6	2.6
20	YJL141C	YAK1	2.6
21	YMR140W	SIP5	2.6
22	YIL153W	RRD1	2.6
23	YKR046C	PLN1	2.6
24	YPL119C	DBP1	2.6
25	YIL033C	BCY1	2.6
26	YKL163W	PIR3	2.6
27	YOL110W	SHR5	2.6
28	YDL169C	UGX2	2.6
29	YJR019C	TES1	2.6
30	YPL054W	LEE1	2.6
31	YBR212W	NGR1	2.5
32	YHR106W	TRR2	2.5
33	YER119C	AVT6	2.5
34	YDR293C	SSD1	2.5
35	YBR269C	SDH8	2.5
36	YER035W	EDC2	2.5
37	YDR436W	PPZ2	2.5
38	YOR023C	AHC1	2.5
39	YIL042C	PKP1	2.5
40	YBL101C	ECM21	2.5
41	YMR191W	SPG5	2.5
42	YDL072C	YET3	2.5
43	YLR178C	TFS1	2.5
44	YDL054C	MCH1	2.5
45	YGR136W	LSB1	2.5
46	YBL078C	ATG8	2.5
47	YDR411C	DFM1	2.5
48	YHR096C	HXT5	2.5
49	YKR049C	FMP46	2.5
50	YBR006W	UGA2	2.5
51	YDR001C	NTH1	2.5
52	YER039C	HVG1	2.5
53	YDL215C	GDH2	2.5
54	YDR178W	SDH4	2.5
55	YBR222C	PCS60	2.5
56	YDR313C	PIB1	2.5
57	YBL064C	PRX1	2.5
58	YPL017C	IRC15	2.5
59	YCL039W	GID7	2.5
60	YAL054C	ACS1	2.4
61	YPL135W	ISU1	2.4
62	YHR199C	AIM46	2.4
63	YJL066C	MPM1	2.4
64	YBR005W	RCR1	2.4
65	YNL074C	MLF3	2.4
66	YNL159C	ASI2	2.4
67	YDL085W	NDE2	2.4
68	YGR023W	MTL1	2.4
69	YBR169C	SSE2	2.4
70	YDR171W	HSP42	2.4
71	YPR193C	HPA2	2.4
72	YGL156W	AMS1	2.4
73	YLR362W	STE11	2.4
74	YIR038C	GTT1	2.4
75	YML042W	CAT2	2.4
76	YDR077W	SED1	2.4
77	YAL014C	SYN8	2.4
78	YDL024C	DIA3	2.4
79	YDL234C	GYP7	2.4
80	YER020W	GPA2	2.4
81	YNL125C	ESBP6	2.4
82	YJL159W	HSP150	2.4
83	YDL110C	TMA17	2.4
84	YCR083W	TRX3	2.4
85	YIL023C	YKE4	2.4
86	YDR255C	RMD5	2.4
87	YIL099W	SGA1	2.4
88	YDR204W	COQ4	2.4
89	YGR019W	UGA1	2.4
90	YAL062W	GDH3	2.4
91	YBR036C	CSG2	2.4
92	YGR143W	SKN1	2.4
93	YNL093W	YPT53	2.4
94	YKL093W	MBR1	2.4
95	YBR280C	SAF1	2.4
96	YGR197C	SNG1	2.4
97	YDL222C	FMP45	2.4
98	YPL159C	PET20	2.4
99	YDR330W	UBX5	2.4
