SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SRF1

Rank	Gene	Common	Score
Q	YDL133W	SRF1	
1	YDL076C	RXT3	1.7
2	YDR003W	RCR2	1.7
3	YNL159C	ASI2	1.6
4	YDR329C	PEX3	1.6
5	YGR046W	TAM41	1.6
6	YBR199W	KTR4	1.6
7	YGL250W	RMR1	1.6
8	YDR459C	PFA5	1.6
9	YDR191W	HST4	1.5
10	YJR008W	MHO1	1.5
11	YDL020C	RPN4	1.5
12	YGR070W	ROM1	1.5
13	YPL236C	ENV7	1.5
14	YBR168W	PEX32	1.5
15	YDL134C	PPH21	1.5
16	YJL141C	YAK1	1.5
17	YDL013W	SLX5	1.5
18	YDL132W	CDC53	1.5
19	YCR036W	RBK1	1.5
20	YBR290W	BSD2	1.5
21	YHR002W	LEU5	1.5
22	YBR280C	SAF1	1.5
23	YHR195W	NVJ1	1.5
24	YLR164W	SHH4	1.5
25	YKL012W	PRP40	1.5
26	YLR006C	SSK1	1.5
27	YDR265W	PEX10	1.5
28	YGR223C	HSV2	1.5
29	YJL163C	YJL163C	1.5
30	YBR129C	OPY1	1.5
31	YPL214C	THI6	1.5
32	YDL113C	ATG20	1.5
33	YDR358W	GGA1	1.5
34	YDL230W	PTP1	1.5
35	YDR202C	RAV2	1.5
36	YDL078C	MDH3	1.5
37	YLR189C	ATG26	1.5
38	YIL046W	MET30	1.5
39	YDL045C	FAD1	1.5
40	YDR043C	NRG1	1.5
41	YDR228C	PCF11	1.4
42	YDR051C	DET1	1.4
43	YDL234C	GYP7	1.4
44	YOR275C	RIM20	1.4
45	YKR051W	HFL1	1.4
46	YKR058W	GLG1	1.4
47	YOR245C	DGA1	1.4
48	YBR077C	SLM4	1.4
49	YJL093C	TOK1	1.4
50	YLR251W	SYM1	1.4
51	YNL223W	ATG4	1.4
52	YBR270C	BIT2	1.4
53	YKL189W	HYM1	1.4
54	YGL006W	PMC1	1.4
55	YGL038C	OCH1	1.4
56	YGL085W	LCL3	1.4
57	YJL036W	SNX4	1.4
58	YCL032W	STE50	1.4
59	YCL038C	ATG22	1.4
60	YMR110C	HFD1	1.4
61	YDL193W	NUS1	1.4
62	YER039C	HVG1	1.4
63	YLR417W	VPS36	1.4
64	YNL274C	GOR1	1.4
65	YDR460W	TFB3	1.4
66	YDL110C	TMA17	1.4
67	YBR204C	LDH1	1.4
68	YDR350C	ATP22	1.4
69	YPL003W	ULA1	1.4
70	YHR194W	MDM31	1.4
71	YGR154C	GTO1	1.4
72	YDR085C	AFR1	1.4
73	YOR173W	DCS2	1.4
74	YGR222W	PET54	1.4
75	YGL010W	MPO1	1.4
76	YPR158W	CUR1	1.4
77	YPR023C	EAF3	1.4
78	YOL083W	ATG34	1.4
79	YDR082W	STN1	1.4
80	YPR026W	ATH1	1.4
81	YCR069W	CPR4	1.4
82	YIL097W	FYV10	1.4
83	YDL135C	RDI1	1.4
84	YKL065C	YET1	1.4
85	YIL017C	VID28	1.4
86	YGR019W	UGA1	1.4
87	YKL094W	YJU3	1.4
88	YEL011W	GLC3	1.4
89	YLR392C	ART10	1.4
90	YDR392W	SPT3	1.4
91	YDR196C	CAB5	1.4
92	YDR204W	COQ4	1.4
93	YBR151W	APD1	1.4
94	YBR255W	MTC4	1.4
95	YIR016W	YIR016W	1.4
96	YDR293C	SSD1	1.4
97	YLR345W	YLR345W	1.4
98	YHR171W	ATG7	1.4
99	YDR067C	OCA6	1.4
100	YDR162C	NBP2	1.4
101	YLR219W	MSC3	1.4
102	YAL028W	FRT2	1.4
103	YLR174W	IDP2	1.4
104	YDR181C	SAS4	1.4
105	YOL133W	HRT1	1.4
106	YJR110W	YMR1	1.4
107	YDR284C	DPP1	1.4
108	YBR161W	CSH1	1.4
109	YDR173C	ARG82	1.4
110	YDR411C	DFM1	1.4
111	YDR151C	CTH1	1.4
112	YPL206C	PGC1	1.4
113	YML068W	ITT1	1.4
114	YNL305C	BXI1	1.4
115	YDR330W	UBX5	1.4
116	YGL091C	NBP35	1.3
117	YDL142C	CRD1	1.3
118	YDR379W	RGA2	1.3
119	YHR075C	PPE1	1.3
120	YJL164C	TPK1	1.3
121	YER169W	RPH1	1.3
122	YLR246W	ERF2	1.3
123	YEL012W	UBC8	1.3
124	YPL004C	LSP1	1.3
125	YIL106W	MOB1	1.3
126	YER066W	RRT13	1.3
127	YDR520C	URC2	1.3
128	YDL123W	SNA4	1.3
129	YNR007C	ATG3	1.3
130	YJR036C	HUL4	1.3
131	YBL025W	RRN10	1.3
132	YKR021W	ALY1	1.3
133	YMR031C	EIS1	1.3
134	YPL203W	TPK2	1.3
135	YIL055C	YIL055C	1.3
136	YMR180C	CTL1	1.3
137	YBR170C	NPL4	1.3
138	YDR231C	COX20	1.3
139	YJL155C	FBP26	1.3
140	YDR074W	TPS2	1.3
141	YLR270W	DCS1	1.3
142	YDR530C	APA2	1.3
143	YHR199C	AIM46	1.3
144	YCL052C	PBN1	1.3
145	YDR479C	PEX29	1.3
146	YMR262W	YMR262W	1.3
147	YGL161C	YIP5	1.3
148	YDR273W	DON1	1.3
149	YBR103W	SIF2	1.3
150	YBR230C	OM14	1.3
151	YDR513W	GRX2	1.3
152	YDL072C	YET3	1.3
153	YMR026C	PEX12	1.3
154	YDR001C	NTH1	1.3
155	YBR165W	UBS1	1.3
156	YKL039W	PTM1	1.3
157	YDL188C	PPH22	1.3
158	YDL231C	BRE4	1.3
159	YBL093C	ROX3	1.3
160	YDL215C	GDH2	1.3
161	YKL179C	COY1	1.3
162	YOR246C	ENV9	1.3
163	YLR093C	NYV1	1.3
164	YLR376C	PSY3	1.3
165	YLR007W	NSE1	1.3
166	YNL212W	VID27	1.3
167	YPR056W	TFB4	1.3
168	YDL099W	BUG1	1.3
169	YBR036C	CSG2	1.3
170	YER035W	EDC2	1.3
171	YMR041C	ARA2	1.3
172	YHR106W	TRR2	1.3
173	YNL011C	YNL011C	1.3
174	YDR122W	KIN1	1.3
175	YML107C	PML39	1.3
176	YAL017W	PSK1	1.3
177	YPL123C	RNY1	1.3
178	YDL139C	SCM3	1.3
179	YDL089W	NUR1	1.3
180	YBR222C	PCS60	1.3
181	YMR302C	YME2	1.3
182	YPL191C	MIY2	1.3
183	YNL157W	IGO1	1.3
184	YGR141W	VPS62	1.3
185	YBR001C	NTH2	1.3
186	YLR443W	ECM7	1.3
187	YER020W	GPA2	1.3
188	YKL126W	YPK1	1.3
189	YMR240C	CUS1	1.3
190	YHR115C	DMA1	1.3
191	YDR175C	RSM24	1.3
192	YOR044W	IRC23	1.3
193	YGL104C	VPS73	1.3
194	YOR120W	GCY1	1.3
195	YJL053W	PEP8	1.3
196	YOL082W	ATG19	1.3
197	YML064C	TEM1	1.3
198	YNL115C	YNL115C	1.3
199	YOL053W	AIM39	1.3
200	YJL016W	TPH3	1.3
201	YDR061W	YDR061W	1.3
202	YFR008W	FAR7	1.3
203	YMR152W	YIM1	1.3
204	YDL204W	RTN2	1.3
205	YPL002C	SNF8	1.3
206	YKL090W	CUE2	1.3
207	YJL057C	IKS1	1.3
208	YDL175C	AIR2	1.3
209	YER173W	RAD24	1.3
210	YDL101C	DUN1	1.3
211	YDR376W	ARH1	1.3
212	YOL096C	COQ3	1.3
213	YDL103C	QRI1	1.3
214	YPR178W	PRP4	1.3
215	YOR036W	PEP12	1.3
216	YGR092W	DBF2	1.3
217	YDR434W	GPI17	1.3
218	YIL107C	PFK26	1.3
219	YDR258C	HSP78	1.3
220	YML128C	MSC1	1.3
221	YGR131W	FHN1	1.3
222	YLR149C	GID11	1.3
223	YMR252C	MLO1	1.3
224	YHL002W	HSE1	1.3
225	YCL034W	LSB5	1.3
226	YNL156C	NSG2	1.3
227	YDL005C	MED2	1.3
228	YGR237C	YGR237C	1.3
229	YHR004C	NEM1	1.3
230	YDR389W	SAC7	1.3
231	YDR435C	PPM1	1.3
232	YLR250W	SSP120	1.3
233	YPL100W	ATG21	1.3
234	YDR319C	YFT2	1.3
235	YOR028C	CIN5	1.3
236	YOL117W	RRI2	1.3
237	YFR014C	CMK1	1.3
238	YDR178W	SDH4	1.3
239	YJL132W	YJL132W	1.3
240	YGL036W	VIR1	1.3
241	YGL124C	MON1	1.3
242	YMR250W	GAD1	1.3
243	YGR194C	XKS1	1.3
244	YOR034C	AKR2	1.3
245	YMR140W	SIP5	1.3
246	YEL064C	AVT2	1.3
247	YPR155C	NCA2	1.3
248	YDR470C	UGO1	1.3
249	YGL190C	CDC55	1.3
250	YKL035W	UGP1	1.3
251	YDR088C	SLU7	1.3
252	YDR372C	VPS74	1.3
253	YPL138C	SPP1	1.3
254	YDR391C	YDR391C	1.3
255	YAL034C	FUN19	1.3
256	YGR149W	GPC1	1.3
257	YML004C	GLO1	1.3
258	YKL091C	YKL091C	1.3
259	YLR258W	GSY2	1.3
260	YCR042C	TAF2	1.3
261	YPR057W	BRR1	1.3
262	YGR170W	PSD2	1.3
263	YPR101W	SNT309	1.3
264	YPL219W	PCL8	1.3
265	YOR228C	MCP1	1.3
266	YHR113W	APE4	1.3
267	YDL029W	ARP2	1.3
268	YHR142W	CHS7	1.3
269	YBR056W	MRX18	1.3
270	YNL293W	MSB3	1.3
271	YER116C	SLX8	1.3
272	YKL121W	DGR2	1.3
273	YIL002C	INP51	1.3
274	YLL026W	HSP104	1.3
275	YLR284C	ECI1	1.3
276	YGL053W	PRM8	1.3
277	YGR102C	GTF1	1.3
278	YER139C	RTR1	1.3
279	YCR075C	ERS1	1.3
280	YDR436W	PPZ2	1.3
281	YGL037C	PNC1	1.3
282	YBR211C	AME1	1.3
283	YKL100C	YPF1	1.3
284	YHR006W	STP2	1.3
285	YDR262W	YDR262W	1.3
286	YBR139W	ATG42	1.3
287	YOR070C	GYP1	1.3
288	YMR021C	MAC1	1.3
289	YJL185C	ATG36	1.3
290	YCR079W	PTC6	1.3
291	YDR387C	CIN10	1.3
292	YMR071C	TVP18	1.3
293	YIL031W	ULP2	1.3
294	YCL051W	LRE1	1.3
295	YER101C	AST2	1.3
296	YFR039C	OSW7	1.3
297	YDR291W	HRQ1	1.3
298	YOL018C	TLG2	1.3
299	YNL025C	SSN8	1.3
300	YOR215C	AIM41	1.3
301	YDL209C	CWC2	1.3
302	YKR089C	TGL4	1.3
303	YFL049W	SWP82	1.3
304	YKL098W	MTC2	1.3
305	YDR028C	REG1	1.3
306	YAR027W	UIP3	1.3
307	YDL091C	UBX3	1.3
308	YER051W	JHD1	1.3
309	YEL060C	PRB1	1.3
310	YDR058C	TGL2	1.3
311	YER065C	ICL1	1.3
312	YGR268C	HUA1	1.3
313	YDR197W	CBS2	1.3
314	YGL248W	PDE1	1.3
315	YCR011C	ADP1	1.3
316	YMR092C	AIP1	1.3
317	YNL294C	RIM21	1.3
318	YGR111W	YGR111W	1.3
319	YKL017C	HCS1	1.3
320	YOL048C	RRT8	1.3
321	YGR270W	YTA7	1.3
322	YBR273C	UBX7	1.3
323	YOR035C	SHE4	1.3
324	YOR076C	SKI7	1.3
325	YDL203C	ACK1	1.3
326	YKL188C	PXA2	1.3
327	YBR003W	COQ1	1.3
328	YML002W	VRL1	1.3
329	YKR068C	BET3	1.3
330	YDR171W	HSP42	1.3
331	YDL159W	STE7	1.3
332	YHR161C	YAP1801	1.3
333	YMR030W	RSF1	1.3
334	YDR452W	PPN1	1.3
335	YFL027C	GYP8	1.3
336	YPR154W	PIN3	1.3
337	YDR005C	MAF1	1.3
338	YMR023C	MSS1	1.3
339	YGL002W	ERP6	1.3
340	YDR177W	UBC1	1.3
341	YIL124W	AYR1	1.3
342	YGL096W	TOS8	1.3
343	YDR072C	IPT1	1.3
344	YLR178C	TFS1	1.3
345	YGL098W	USE1	1.3
346	YGL003C	CDH1	1.3
347	YDL238C	GUD1	1.3
348	YMR139W	RIM11	1.3
349	YDR486C	VPS60	1.3
350	YKL140W	TGL1	1.3
351	YER013W	PRP22	1.3
352	YMR087W	PDL32	1.3
353	YMR191W	SPG5	1.3
354	YPL152W	RRD2	1.3
355	YNL116W	DMA2	1.3
356	YDL200C	MGT1	1.3
357	YOR043W	WHI2	1.3
