SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CRD1

Rank	Gene	Common	Score
Q	YDL142C	CRD1	
1	YCL052C	PBN1	3.2
2	YMR139W	RIM11	3.0
3	YDR358W	GGA1	3.0
4	YJL155C	FBP26	2.9
5	YPL123C	RNY1	2.9
6	YDL045C	FAD1	2.9
7	YGR194C	XKS1	2.9
8	YDR003W	RCR2	2.8
9	YDR435C	PPM1	2.8
10	YPL196W	OXR1	2.8
11	YDR513W	GRX2	2.8
12	YMR110C	HFD1	2.8
13	YLR251W	SYM1	2.8
14	YFR049W	KGD4	2.8
15	YDL072C	YET3	2.8
16	YLR270W	DCS1	2.8
17	YNR007C	ATG3	2.8
18	YHR171W	ATG7	2.8
19	YJL053W	PEP8	2.8
20	YEL012W	UBC8	2.7
21	YGL161C	YIP5	2.7
22	YDR284C	DPP1	2.7
23	YPL203W	TPK2	2.7
24	YBR269C	SDH8	2.7
25	YOR036W	PEP12	2.7
26	YDR231C	COX20	2.7
27	YDR204W	COQ4	2.7
28	YGL104C	VPS73	2.7
29	YDR479C	PEX29	2.7
30	YOL096C	COQ3	2.7
31	YGL250W	RMR1	2.7
32	YHR017W	YSC83	2.7
33	YPR155C	NCA2	2.7
34	YBR126C	TPS1	2.7
35	YPR107C	YTH1	2.7
36	YBR024W	SCO2	2.7
37	YKL193C	SDS22	2.7
38	YPL152W	RRD2	2.7
39	YOL129W	VPS68	2.6
40	YDR202C	RAV2	2.6
41	YDR436W	PPZ2	2.6
42	YGL053W	PRM8	2.6
43	YDR058C	TGL2	2.6
44	YKL150W	MCR1	2.6
45	YIL017C	VID28	2.6
46	YFR050C	PRE4	2.6
47	YOL032W	OPI10	2.6
48	YDR329C	PEX3	2.6
49	YPL003W	ULA1	2.6
50	YML004C	GLO1	2.6
51	YOR245C	DGA1	2.6
52	YDL110C	TMA17	2.6
53	YDR122W	KIN1	2.6
54	YJL057C	IKS1	2.6
55	YBR183W	YPC1	2.6
56	YDL078C	MDH3	2.6
57	YDR100W	TVP15	2.6
58	YKL142W	MRP8	2.6
59	YPL087W	YDC1	2.6
60	YMR022W	UBC7	2.6
61	YGR019W	UGA1	2.6
62	YPL224C	MMT2	2.6
63	YHR104W	GRE3	2.6
64	YFR003C	YPI1	2.6
65	YHR195W	NVJ1	2.6
66	YCL034W	LSB5	2.6
67	YJL036W	SNX4	2.6
68	YOL082W	ATG19	2.6
69	YDL169C	UGX2	2.6
70	YIL097W	FYV10	2.6
71	YNL156C	NSG2	2.6
72	YMR152W	YIM1	2.6
73	YGL227W	VID30	2.6
74	YKL065C	YET1	2.6
75	YCR030C	SYP1	2.6
76	YGL002W	ERP6	2.6
77	YHR016C	YSC84	2.6
78	YBR149W	ARA1	2.6
79	YDL234C	GYP7	2.6
80	YOR132W	VPS17	2.5
81	YJR044C	VPS55	2.5
82	YIL124W	AYR1	2.5
83	YHR002W	LEU5	2.5
84	YDL230W	PTP1	2.5
85	YGR223C	HSV2	2.5
86	YLR201C	COQ9	2.5
87	YDR530C	APA2	2.5
88	YAR027W	UIP3	2.5
89	YBR280C	SAF1	2.5
90	YML057W	CMP2	2.5
91	YMR197C	VTI1	2.5
92	YHR161C	YAP1801	2.5
93	YKL034W	TUL1	2.5
94	YNL159C	ASI2	2.5
95	YBR199W	KTR4	2.5
96	YDL113C	ATG20	2.5
97	YDR074W	TPS2	2.5
