SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: LDB17

Rank	Gene	Common	Score
Q	YDL146W	LDB17	
1	YDR479C	PEX29	2.6
2	YDR358W	GGA1	2.6
3	YMR119W	ASI1	2.6
4	YBR280C	SAF1	2.6
5	YDR516C	EMI2	2.5
6	YPL203W	TPK2	2.5
7	YDR436W	PPZ2	2.5
8	YGR194C	XKS1	2.5
9	YMR261C	TPS3	2.5
10	YNL159C	ASI2	2.5
11	YHR171W	ATG7	2.5
12	YKL034W	TUL1	2.4
13	YLR251W	SYM1	2.4
14	YPL224C	MMT2	2.4
15	YHR016C	YSC84	2.4
16	YOR288C	MPD1	2.4
17	YCR030C	SYP1	2.4
18	YGL104C	VPS73	2.4
19	YAL028W	FRT2	2.4
20	YGL229C	SAP4	2.4
21	YJL057C	IKS1	2.4
22	YOR386W	PHR1	2.4
23	YDL238C	GUD1	2.4
24	YCL052C	PBN1	2.4
25	YOL013C	HRD1	2.4
26	YPL003W	ULA1	2.4
27	YDL193W	NUS1	2.4
28	YLR258W	GSY2	2.4
29	YLR270W	DCS1	2.4
30	YHR195W	NVJ1	2.4
31	YPR079W	MRL1	2.4
32	YJL155C	FBP26	2.4
33	YDL142C	CRD1	2.4
34	YIL017C	VID28	2.4
35	YEL011W	GLC3	2.4
36	YJL164C	TPK1	2.3
37	YOR347C	PYK2	2.3
38	YMR110C	HFD1	2.3
39	YPL123C	RNY1	2.3
40	YDR435C	PPM1	2.3
41	YBR183W	YPC1	2.3
42	YDR069C	DOA4	2.3
43	YJL053W	PEP8	2.3
44	YBR214W	SDS24	2.3
45	YPL087W	YDC1	2.3
46	YPL196W	OXR1	2.3
47	YML100W	TSL1	2.3
48	YHR104W	GRE3	2.3
49	YGL037C	PNC1	2.3
50	YKL035W	UGP1	2.3
51	YMR139W	RIM11	2.3
52	YER053C	PIC2	2.3
53	YCL040W	GLK1	2.3
54	YDR411C	DFM1	2.3
55	YIL097W	FYV10	2.3
56	YDL089W	NUR1	2.3
57	YMR092C	AIP1	2.3
58	YDR503C	LPP1	2.3
59	YKR003W	OSH6	2.3
60	YHR017W	YSC83	2.3
61	YDR096W	GIS1	2.3
62	YGL227W	VID30	2.3
63	YPL219W	PCL8	2.3
64	YKL039W	PTM1	2.3
65	YGR070W	ROM1	2.3
66	YOR137C	SIA1	2.3
67	YGL161C	YIP5	2.3
68	YDR100W	TVP15	2.3
69	YDR284C	DPP1	2.3
70	YLR006C	SSK1	2.3
71	YKL140W	TGL1	2.3
72	YKL168C	KKQ8	2.3
73	YOL117W	RRI2	2.3
74	YDR122W	KIN1	2.2
75	YGR008C	STF2	2.2
76	YFR015C	GSY1	2.2
77	YFR021W	ATG18	2.2
78	YFR042W	KEG1	2.2
79	YIR039C	YPS6	2.2
80	YML057W	CMP2	2.2
81	YKR067W	GPT2	2.2
82	YJR059W	PTK2	2.2
83	YMR105C	PGM2	2.2
84	YJL141C	YAK1	2.2
85	YGR010W	NMA2	2.2
86	YBR052C	RFS1	2.2
87	YER059W	PCL6	2.2
88	YOR161C	PNS1	2.2
89	YGL084C	GUP1	2.2
90	YDL091C	UBX3	2.2
91	YGL179C	TOS3	2.2
92	YCR091W	KIN82	2.2
93	YGL250W	RMR1	2.2
94	YBR126C	TPS1	2.2
95	YDL021W	GPM2	2.2
96	YNL026W	SAM50	2.2
97	YDR084C	TVP23	2.2
98	YDR171W	HSP42	2.2
99	YNL025C	SSN8	2.2
100	YDR074W	TPS2	2.2
101	YHR194W	MDM31	2.2
102	YER027C	GAL83	2.2
103	YOL032W	OPI10	2.2
104	YJL036W	SNX4	2.2
105	YDR255C	RMD5	2.2
106	YGR019W	UGA1	2.2
107	YLR307W	CDA1	2.2
108	YGL004C	RPN14	2.2
109	YKR058W	GLG1	2.2
