SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPN5

Rank	Gene	Common	Score
Q	YDL147W	RPN5	
1	YDL007W	RPT2	4.5
2	YOR261C	RPN8	4.1
3	YER021W	RPN3	4.0
4	YGL011C	SCL1	3.8
5	YDL097C	RPN6	3.8
6	YOR259C	RPT4	3.8
7	YPR108W	RPN7	3.8
8	YFR004W	RPN11	3.7
9	YFR052W	RPN12	3.7
10	YGL048C	RPT6	3.7
11	YER012W	PRE1	3.7
12	YOR117W	RPT5	3.6
13	YFR050C	PRE4	3.6
14	YGR135W	PRE9	3.5
15	YBL041W	PRE7	3.5
16	YGR253C	PUP2	3.5
17	YOR362C	PRE10	3.4
18	YPR103W	PRE2	3.4
19	YKL145W	RPT1	3.4
20	YDR394W	RPT3	3.4
21	YJL036W	SNX4	3.4
22	YFR010W	UBP6	3.4
23	YDR427W	RPN9	3.4
24	YBL058W	SHP1	3.3
25	YBR290W	BSD2	3.3
26	YMR311C	GLC8	3.3
27	YJL031C	BET4	3.3
28	YDL115C	IWR1	3.3
29	YDL132W	CDC53	3.2
30	YMR314W	PRE5	3.2
31	YML007W	YAP1	3.2
32	YDR168W	CDC37	3.2
33	YGR231C	PHB2	3.2
34	YOL038W	PRE6	3.2
35	YER094C	PUP3	3.2
36	YKL117W	SBA1	3.2
37	YLR421C	RPN13	3.1
38	YLR387C	REH1	3.1
39	YDR272W	GLO2	3.1
40	YJL001W	PRE3	3.1
41	YKR014C	YPT52	3.1
42	YDR289C	RTT103	3.1
43	YMR197C	VTI1	3.1
44	YMR004W	MVP1	3.1
45	YHR027C	RPN1	3.1
46	YGR132C	PHB1	3.0
47	YGR048W	UFD1	3.0
48	YKL195W	MIA40	3.0
49	YBR170C	NPL4	3.0
50	YER142C	MAG1	3.0
51	YDL126C	CDC48	3.0
52	YDR099W	BMH2	3.0
53	YDR330W	UBX5	3.0
54	YKL142W	MRP8	2.9
55	YER048C	CAJ1	2.9
56	YDL020C	RPN4	2.9
57	YML069W	POB3	2.9
58	YMR115W	MGR3	2.9
59	YDL113C	ATG20	2.9
60	YFR003C	YPI1	2.9
61	YKL065C	YET1	2.9
62	YDL099W	BUG1	2.9
63	YMR028W	TAP42	2.9
64	YGR167W	CLC1	2.9
65	YOR007C	SGT2	2.9
66	YKL007W	CAP1	2.9
67	YBR273C	UBX7	2.9
68	YNL265C	IST1	2.9
69	YOR089C	VPS21	2.9
70	YOR157C	PUP1	2.9
71	YGL095C	VPS45	2.9
72	YIL075C	RPN2	2.9
73	YBL050W	SEC17	2.9
74	YDR177W	UBC1	2.9
75	YCL052C	PBN1	2.8
76	YKL196C	YKT6	2.8
77	YDR145W	TAF12	2.8
78	YBR199W	KTR4	2.8
79	YOL018C	TLG2	2.8
80	YDR162C	NBP2	2.8
81	YDR515W	SLF1	2.8
82	YMR029C	FAR8	2.8
83	YBR272C	HSM3	2.8
84	YDR068W	DOS2	2.8
85	YDR358W	GGA1	2.8
86	YNL084C	END3	2.8
87	YEL012W	UBC8	2.8
88	YLL026W	HSP104	2.8
89	YLR025W	SNF7	2.8
90	YER143W	DDI1	2.8
91	YER133W	GLC7	2.8
92	YOR194C	TOA1	2.8
93	YGL091C	NBP35	2.8
94	YML092C	PRE8	2.8
95	YML004C	GLO1	2.8
96	YBL078C	ATG8	2.8
97	YOR075W	UFE1	2.8
98	YOR042W	CUE5	2.8
99	YCR082W	AHC2	2.8
100	YCL057W	PRD1	2.7
101	YOR036W	PEP12	2.7
102	YDL100C	GET3	2.7
103	YLR216C	CPR6	2.7
104	YAL016W	TPD3	2.7
105	YLR270W	DCS1	2.7
106	YJL155C	FBP26	2.7
107	YCR009C	RVS161	2.7
108	YNL215W	IES2	2.7
109	YLR093C	NYV1	2.7
110	YDR486C	VPS60	2.7
111	YDL065C	PEX19	2.7
112	YLR309C	IMH1	2.7
113	YNR007C	ATG3	2.7
114	YIL097W	FYV10	2.7
115	YLR250W	SSP120	2.7
116	YHR200W	RPN10	2.7
117	YDR329C	PEX3	2.7
118	YGL252C	RTG2	2.7
119	YDL103C	QRI1	2.7
120	YKL094W	YJU3	2.7
121	YHL030W	ECM29	2.7
122	YBL064C	PRX1	2.7
123	YHR012W	VPS29	2.7
124	YDL070W	BDF2	2.7
125	YPL181W	CTI6	2.7
126	YNL156C	NSG2	2.7
127	YDR202C	RAV2	2.7
128	YBL022C	PIM1	2.7
129	YBR173C	UMP1	2.7
130	YPL123C	RNY1	2.7
131	YDL225W	SHS1	2.6
132	YPR025C	CCL1	2.6
133	YOR244W	ESA1	2.6
134	YFR008W	FAR7	2.6
135	YMR110C	HFD1	2.6
136	YGR258C	RAD2	2.6
137	YDR460W	TFB3	2.6
138	YPR072W	NOT5	2.6
139	YER136W	GDI1	2.6
140	YGL227W	VID30	2.6
141	YBR255W	MTC4	2.6
142	YDL045C	FAD1	2.6
143	YPR180W	AOS1	2.6
144	YKL213C	DOA1	2.6
145	YBR279W	PAF1	2.6
146	YLL039C	UBI4	2.6
147	YMR100W	MUB1	2.6
148	YDR494W	RSM28	2.6
149	YGR005C	TFG2	2.6
150	YDR051C	DET1	2.6
151	YBL038W	MRPL16	2.6
152	YOR124C	UBP2	2.6
153	YDR363W-A	SEM1	2.6
154	YJL057C	IKS1	2.6
155	YGR223C	HSV2	2.6
156	YDR392W	SPT3	2.6
157	YBR149W	ARA1	2.6
158	YGR270W	YTA7	2.6
159	YMR077C	VPS20	2.6
160	YDR468C	TLG1	2.6
161	YDR258C	HSP78	2.6
162	YBR256C	RIB5	2.6
163	YLR102C	APC9	2.6
164	YIL063C	YRB2	2.6
165	YLR247C	IRC20	2.6
166	YGL037C	PNC1	2.6
167	YGR186W	TFG1	2.6
168	YDL135C	RDI1	2.6
169	YFR024C-A	LSB3	2.6
170	YGR008C	STF2	2.5
171	YDL091C	UBX3	2.5
172	YHR195W	NVJ1	2.5
173	YGL181W	GTS1	2.5
174	YLR362W	STE11	2.5
175	YGL164C	YRB30	2.5
176	YJL140W	RPB4	2.5
177	YOR059C	LPL1	2.5
178	YGL005C	COG7	2.5
179	YER162C	RAD4	2.5
180	YDR473C	PRP3	2.5
181	YGR009C	SEC9	2.5
182	YDL029W	ARP2	2.5
183	YHL002W	HSE1	2.5
184	YMR302C	YME2	2.5
185	YLR206W	ENT2	2.5
186	YDL072C	YET3	2.5
187	YPL020C	ULP1	2.5
188	YCR036W	RBK1	2.5
189	YJL023C	PET130	2.5
190	YDR163W	CWC15	2.5
191	YMR139W	RIM11	2.5
192	YDR028C	REG1	2.5
193	YMR097C	MTG1	2.5
194	YPL240C	HSP82	2.5
195	YPL091W	GLR1	2.5
196	YPL196W	OXR1	2.5
197	YIL036W	CST6	2.5
198	YMR284W	YKU70	2.5
199	YBR236C	ABD1	2.5
200	YDR001C	NTH1	2.5
201	YDR452W	PPN1	2.5
202	YDL234C	GYP7	2.5
203	YBR095C	RXT2	2.5
204	YDR335W	MSN5	2.5
205	YER030W	CHZ1	2.5
206	YBR026C	ETR1	2.5
207	YDR200C	VPS64	2.5
208	YNR035C	ARC35	2.5
209	YDL134C	PPH21	2.5
210	YLR117C	CLF1	2.5
211	YLR324W	PEX30	2.5
212	YDR129C	SAC6	2.5
213	YGL228W	SHE10	2.5
214	YMR255W	GFD1	2.5
215	YER050C	RSM18	2.5
216	YOL071W	SDH5	2.5
217	YGR193C	PDX1	2.5
218	YML032C	RAD52	2.5
219	YDR181C	SAS4	2.5
220	YPL120W	VPS30	2.5
221	YPR133C	SPN1	2.5
222	YDR171W	HSP42	2.5
223	YDL002C	NHP10	2.5
224	YIR025W	MND2	2.5
225	YDR435C	PPM1	2.5
226	YDL161W	ENT1	2.5
227	YKL210W	UBA1	2.5
228	YKL013C	ARC19	2.5
229	YEL060C	PRB1	2.5
230	YLR423C	ATG17	2.5
231	YDL215C	GDH2	2.5
232	YHR104W	GRE3	2.5
233	YPR107C	YTH1	2.5
234	YIL107C	PFK26	2.5
235	YJL123C	MTC1	2.5
236	YDL078C	MDH3	2.5
237	YMR044W	IOC4	2.5
238	YGR246C	BRF1	2.5
239	YCL032W	STE50	2.5
240	YKL193C	SDS22	2.5
241	YMR152W	YIM1	2.5
242	YIL138C	TPM2	2.5
243	YBR169C	SSE2	2.5
244	YDR373W	FRQ1	2.5
245	YDL149W	ATG9	2.5
246	YDL010W	GRX6	2.5
247	YDR505C	PSP1	2.4
248	YHL034C	SBP1	2.4
249	YDR190C	RVB1	2.4
250	YIR011C	STS1	2.4
251	YGL141W	HUL5	2.4
252	YCL035C	GRX1	2.4
253	YPL154C	PEP4	2.4
254	YGL161C	YIP5	2.4
255	YGR136W	LSB1	2.4
256	YDR368W	YPR1	2.4
257	YPL228W	CET1	2.4
258	YIL136W	OM45	2.4
259	YBR151W	APD1	2.4
260	YBR001C	NTH2	2.4
261	YKL041W	VPS24	2.4
262	YDR369C	XRS2	2.4
263	YMR201C	RAD14	2.4
264	YDR504C	SPG3	2.4
265	YJL053W	PEP8	2.4
266	YLR262C	YPT6	2.4
267	YLR330W	CHS5	2.4
268	YAR027W	UIP3	2.4
269	YIL098C	FMC1	2.4
270	YOL032W	OPI10	2.4
271	YDL193W	NUS1	2.4
272	YDR244W	PEX5	2.4
273	YDR176W	NGG1	2.4
274	YDR183W	PLP1	2.4
275	YKR076W	ECM4	2.4
276	YER159C	BUR6	2.4
277	YLR369W	SSQ1	2.4
278	YDR386W	MUS81	2.4
279	YGR196C	FYV8	2.4
280	YPL118W	MRP51	2.4
281	YLR370C	ARC18	2.4
282	YDR421W	ARO80	2.4
283	YOR275C	RIM20	2.4
284	YJL164C	TPK1	2.4
285	YDR219C	MFB1	2.4
286	YDR246W	TRS23	2.4
287	YOL049W	GSH2	2.4
288	YOR052C	TMC1	2.4
289	YBR024W	SCO2	2.4
290	YDR425W	SNX41	2.4
291	YOL082W	ATG19	2.4
292	YGL073W	HSF1	2.4
293	YOR069W	VPS5	2.4
294	YPL100W	ATG21	2.4
295	YGL207W	SPT16	2.4
296	YDR316W	OMS1	2.4
297	YOR158W	PET123	2.4
298	YKL012W	PRP40	2.4
299	YOL100W	PKH2	2.4
300	YKL002W	DID4	2.4
301	YDR313C	PIB1	2.4
302	YDL110C	TMA17	2.4
303	YIL007C	NAS2	2.4
304	YNL027W	CRZ1	2.4
305	YPL203W	TPK2	2.4
306	YPR023C	EAF3	2.4
307	YJL020C	BBC1	2.4
308	YOR257W	CDC31	2.4
309	YDR117C	TMA64	2.4
310	YDL005C	MED2	2.4
311	YDR003W	RCR2	2.4
312	YOR027W	STI1	2.4
313	YDR328C	SKP1	2.4
314	YFL048C	EMP47	2.4
315	YPR073C	LTP1	2.4
316	YIR004W	DJP1	2.4
317	YPR086W	SUA7	2.4
318	YOL133W	HRT1	2.4
319	YPL070W	MUK1	2.4
320	YAR007C	RFA1	2.4
321	YDL168W	SFA1	2.4
322	YGR232W	NAS6	2.4
323	YBR006W	UGA2	2.4
324	YER004W	FMP52	2.4
325	YDL169C	UGX2	2.4
326	YNL079C	TPM1	2.4
327	YDR148C	KGD2	2.4
328	YIL062C	ARC15	2.4
329	YBR119W	MUD1	2.4
330	YMR092C	AIP1	2.4
331	YDR059C	UBC5	2.4
332	YLR151C	PCD1	2.4
333	YGR028W	MSP1	2.4
334	YHR037W	PUT2	2.4
335	YGL110C	CUE3	2.4
336	YLR298C	YHC1	2.4
337	YBR257W	POP4	2.4
338	YJR050W	ISY1	2.4
339	YBL056W	PTC3	2.4
340	YHR161C	YAP1801	2.4
341	YKL126W	YPK1	2.4
342	YLR181C	VTA1	2.4
343	YLR248W	RCK2	2.4
344	YMR039C	SUB1	2.4
345	YOR014W	RTS1	2.4
346	YPL096W	PNG1	2.4
347	YFR049W	KGD4	2.4
348	YDR137W	RGP1	2.4
349	YDR372C	VPS74	2.4
350	YFL044C	OTU1	2.4
351	YDR214W	AHA1	2.4
352	YKL040C	NFU1	2.4
353	YDR054C	CDC34	2.4
354	YBR101C	FES1	2.4
355	YDR057W	YOS9	2.4
356	YMR186W	HSC82	2.4
357	YNL007C	SIS1	2.4
358	YPL152W	RRD2	2.4
359	YPR134W	MSS18	2.4
