SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: AIT1

Rank	Gene	Common	Score
Q	YDL180W	AIT1	
1	YLR307W	CDA1	1.9
2	YDL025C	RTK1	1.7
3	YDR003W	RCR2	1.7
4	YML091C	RPM2	1.6
5	YDL020C	RPN4	1.6
6	YDR436W	PPZ2	1.6
7	YCL052C	PBN1	1.6
8	YFL016C	MDJ1	1.6
9	YLR345W	YLR345W	1.5
10	YOR245C	DGA1	1.5
11	YPL224C	MMT2	1.5
12	YDL168W	SFA1	1.5
13	YDR255C	RMD5	1.5
14	YGL036W	VIR1	1.5
15	YDR258C	HSP78	1.5
16	YJL155C	FBP26	1.5
17	YLR108C	YLR108C	1.5
18	YMR110C	HFD1	1.5
19	YHR171W	ATG7	1.5
20	YGL114W	YGL114W	1.5
21	YNL183C	NPR1	1.5
22	YOR028C	CIN5	1.5
23	YDR151C	CTH1	1.5
24	YDR122W	KIN1	1.5
25	YBR199W	KTR4	1.5
26	YMR302C	YME2	1.5
27	YDL146W	LDB17	1.5
28	YJL163C	YJL163C	1.5
29	YHR161C	YAP1801	1.5
30	YPL203W	TPK2	1.5
31	YDR358W	GGA1	1.5
32	YMR155W	YMR155W	1.5
33	YDR505C	PSP1	1.5
34	YBR280C	SAF1	1.5
35	YLL041C	SDH2	1.5
36	YFR045W	MRX20	1.5
37	YDR011W	SNQ2	1.5
38	YER141W	COX15	1.5
39	YDL183C	MRX19	1.5
40	YGL010W	MPO1	1.5
41	YJL057C	IKS1	1.5
42	YDL142C	CRD1	1.5
43	YOL032W	OPI10	1.5
44	YMR139W	RIM11	1.5
45	YKL034W	TUL1	1.5
46	YHR194W	MDM31	1.5
47	YGL091C	NBP35	1.5
48	YDR338C	YDR338C	1.5
49	YNL125C	ESBP6	1.5
50	YDR504C	SPG3	1.5
51	YDR479C	PEX29	1.5
52	YDR306C	PFU1	1.5
53	YLL026W	HSP104	1.5
54	YBR126C	TPS1	1.5
55	YBR132C	AGP2	1.5
56	YDL176W	GID12	1.4
57	YML120C	NDI1	1.4
58	YBR001C	NTH2	1.4
59	YDL199C	YDL199C	1.4
60	YDR160W	SSY1	1.4
61	YOL060C	MAM3	1.4
62	YGL038C	OCH1	1.4
63	YEL024W	RIP1	1.4
64	YDR096W	GIS1	1.4
65	YHR082C	KSP1	1.4
66	YKR066C	CCP1	1.4
67	YEL011W	GLC3	1.4
68	YLR149C	GID11	1.4
69	YBR204C	LDH1	1.4
70	YDR425W	SNX41	1.4
71	YDL237W	AIM6	1.4
72	YNL006W	LST8	1.4
73	YGL180W	ATG1	1.4
74	YGR197C	SNG1	1.4
75	YBR169C	SSE2	1.4
76	YMR119W	ASI1	1.4
77	YLR270W	DCS1	1.4
78	YDR148C	KGD2	1.4
79	YDR329C	PEX3	1.4
80	YPL087W	YDC1	1.4
81	YDR253C	MET32	1.4
82	YDR069C	DOA4	1.4
83	YGR130C	YGR130C	1.4
