SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TRM8

Rank	Gene	Common	Score
Q	YDL201W	TRM8	
1	YOR340C	RPA43	4.9
2	YKR081C	RPF2	4.8
3	YDR087C	RRP1	4.8
4	YNL175C	NOP13	4.8
5	YGL099W	LSG1	4.7
6	YAL059W	ECM1	4.6
7	YBR247C	ENP1	4.6
8	YLR009W	RLP24	4.6
9	YPL211W	NIP7	4.6
10	YER006W	NUG1	4.6
11	YKL009W	MRT4	4.6
12	YNL075W	IMP4	4.6
13	YDL051W	LHP1	4.6
14	YHR052W	CIC1	4.6
15	YOL077C	BRX1	4.6
16	YOR004W	UTP23	4.6
17	YJL122W	ALB1	4.5
18	YDR165W	TRM82	4.5
19	YHR170W	NMD3	4.5
20	YGR128C	UTP8	4.5
21	YOR294W	RRS1	4.5
22	YOR272W	YTM1	4.5
23	YDR496C	PUF6	4.5
24	YMR131C	RRB1	4.5
25	YGR145W	ENP2	4.5
26	YCL059C	KRR1	4.5
27	YML093W	UTP14	4.4
28	YHR148W	IMP3	4.4
29	YGL078C	DBP3	4.4
30	YDL060W	TSR1	4.4
31	YPL043W	NOP4	4.4
32	YMR049C	ERB1	4.4
33	YLR276C	DBP9	4.4
34	YNL248C	RPA49	4.4
35	YNL182C	IPI3	4.4
36	YDR465C	RMT2	4.4
37	YNL110C	NOP15	4.4
38	YDR101C	ARX1	4.4
39	YNL061W	NOP2	4.4
40	YGR103W	NOP7	4.4
41	YDL153C	SAS10	4.4
42	YDR083W	RRP8	4.4
43	YGL111W	NSA1	4.4
44	YLR196W	PWP1	4.4
45	YMR290C	HAS1	4.3
46	YDR361C	BCP1	4.3
47	YJL050W	MTR4	4.3
48	YGL171W	ROK1	4.3
49	YER126C	NSA2	4.3
50	YOR206W	NOC2	4.3
51	YBR142W	MAK5	4.3
52	YPR110C	RPC40	4.3
53	YJL033W	HCA4	4.3
54	YLR409C	UTP21	4.3
55	YJL148W	RPA34	4.3
56	YNL132W	KRE33	4.3
57	YPL266W	DIM1	4.3
58	YDR449C	UTP6	4.3
59	YLR175W	CBF5	4.3
60	YNL002C	RLP7	4.2
61	YPL012W	RRP12	4.2
62	YDR412W	RRP17	4.2
63	YDL208W	NHP2	4.2
64	YNL113W	RPC19	4.2
65	YOR095C	RKI1	4.2
66	YNL141W	AAH1	4.2
67	YPL086C	ELP3	4.2
68	YLR435W	TSR2	4.2
69	YIR026C	YVH1	4.2
70	YGR187C	HGH1	4.2
71	YCR057C	PWP2	4.2
72	YJR070C	LIA1	4.2
73	YBR267W	REI1	4.2
74	YOL080C	REX4	4.2
75	YDR324C	UTP4	4.2
76	YDR060W	MAK21	4.2
77	YGR280C	PXR1	4.2
78	YBR061C	TRM7	4.2
79	YNL151C	RPC31	4.2
80	YHR196W	UTP9	4.2
81	YBR155W	CNS1	4.2
82	YBL039C	URA7	4.2
83	YAL036C	RBG1	4.2
84	YLR221C	RSA3	4.2
85	YOR310C	NOP58	4.2
86	YLL011W	SOF1	4.2
87	YHR197W	RIX1	4.2
88	YPR144C	NOC4	4.1
89	YLR222C	UTP13	4.1
90	YGR200C	ELP2	4.1
91	YAL025C	MAK16	4.1
92	YGR159C	NSR1	4.1
93	YKL021C	MAK11	4.1
94	YKL078W	DHR2	4.1
95	YOR145C	PNO1	4.1
96	YMR239C	RNT1	4.1
97	YBR154C	RPB5	4.1
98	YLR002C	NOC3	4.1
99	YNR054C	ESF2	4.1
100	YGL029W	CGR1	4.1
101	YBL024W	NCL1	4.1
102	YHR066W	SSF1	4.1
103	YER082C	UTP7	4.1
104	YDL148C	NOP14	4.1
105	YLR129W	DIP2	4.1
106	YGR173W	RBG2	4.1
107	YBL068W	PRS4	4.1
108	YGR245C	SDA1	4.1
109	YDL014W	NOP1	4.1
110	YCL054W	SPB1	4.1
111	YDR398W	UTP5	4.1
112	YMR229C	RRP5	4.1
113	YKL099C	UTP11	4.1
114	YLR449W	FPR4	4.1
115	YKL143W	LTV1	4.0
116	YMR093W	UTP15	4.0
117	YDL213C	NOP6	4.0
118	YOR091W	TMA46	4.0
119	YLR186W	EMG1	4.0
120	YGR123C	PPT1	4.0
121	YIL019W	FAF1	4.0
122	YPR112C	MRD1	4.0
123	YLL008W	DRS1	4.0
124	YJR002W	MPP10	4.0
125	YPR137W	RRP9	4.0
126	YNL308C	KRI1	4.0
127	YHL011C	PRS3	4.0
128	YDR184C	ATC1	4.0
129	YLL034C	RIX7	4.0
130	YDR120C	TRM1	4.0
131	YHR088W	RPF1	4.0
132	YDR021W	FAL1	4.0
133	YHR169W	DBP8	4.0
134	YOR243C	PUS7	4.0
135	YLR003C	CMS1	4.0
136	YLR197W	NOP56	3.9
137	YNR053C	NOG2	3.9
138	YHR089C	GAR1	3.9
139	YER127W	LCP5	3.9
140	YPL126W	NAN1	3.9
141	YML080W	DUS1	3.9
