SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: HEM3

Rank	Gene	Common	Score
Q	YDL205C	HEM3	
1	YCL037C	SRO9	2.5
2	YDR091C	RLI1	2.2
3	YJR010C-A	SPC1	2.1
4	YPR016C	TIF6	2.1
5	YLL013C	PUF3	2.1
6	YBR263W	SHM1	2.1
7	YER025W	GCD11	2.1
8	YMR309C	NIP1	2.0
9	YDR023W	SES1	2.0
10	YLR307W	CDA1	2.0
11	YNL248C	RPA49	2.0
12	YLL010C	PSR1	2.0
13	YBL068W	PRS4	2.0
14	YGR200C	ELP2	2.0
15	YIL133C	RPL16A	2.0
16	YOR101W	RAS1	2.0
17	YPR110C	RPC40	2.0
18	YGR123C	PPT1	2.0
19	YGL147C	RPL9A	2.0
20	YOR361C	PRT1	2.0
21	YML017W	PSP2	2.0
22	YML022W	APT1	2.0
23	YLR008C	PAM18	2.0
24	YKL191W	DPH2	2.0
25	YJR002W	MPP10	2.0
26	YLR291C	GCD7	2.0
27	YDR232W	HEM1	2.0
28	YDR321W	ASP1	2.0
29	YNR053C	NOG2	1.9
30	YDL167C	NRP1	1.9
31	YNL151C	RPC31	1.9
32	YOR204W	DED1	1.9
33	YAL036C	RBG1	1.9
34	YDR101C	ARX1	1.9
35	YDL014W	NOP1	1.9
36	YKL181W	PRS1	1.9
37	YDR119W	VBA4	1.9
38	YOL097C	WRS1	1.9
39	YHR068W	DYS1	1.9
40	YNL255C	GIS2	1.9
41	YHL004W	MRP4	1.9
42	YNR017W	TIM23	1.9
43	YDL208W	NHP2	1.9
44	YBL024W	NCL1	1.9
45	YHR089C	GAR1	1.9
46	YOL061W	PRS5	1.9
47	YLL038C	ENT4	1.9
48	YBR002C	RER2	1.9
49	YMR308C	PSE1	1.9
50	YGL099W	LSG1	1.9
51	YPR163C	TIF3	1.9
52	YBL020W	RFT1	1.9
53	YGR162W	TIF4631	1.9
54	YHR128W	FUR1	1.9
55	YML106W	URA5	1.9
56	YOR310C	NOP58	1.9
57	YDR120C	TRM1	1.9
58	YNL292W	PUS4	1.9
59	YBR189W	RPS9B	1.9
60	YPR010C	RPA135	1.9
61	YDR075W	PPH3	1.9
62	YLR129W	DIP2	1.9
63	YOL052C	SPE2	1.9
64	YDL082W	RPL13A	1.9
65	YPL211W	NIP7	1.9
66	YDR194C	MSS116	1.9
67	YDL201W	TRM8	1.9
68	YDL047W	SIT4	1.9
69	YFR005C	SAD1	1.9
70	YLR083C	EMP70	1.9
71	YBR084W	MIS1	1.9
72	YBR192W	RIM2	1.9
