SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PRR2

Rank	Gene	Common	Score
Q	YDL214C	PRR2	
1	YER054C	GIP2	3.1
2	YOL084W	PHM7	3.1
3	YGR236C	SPG1	3.1
4	YKL093W	MBR1	3.0
5	YPR026W	ATH1	3.0
6	YMR280C	CAT8	2.9
7	YDL222C	FMP45	2.9
8	YKL217W	JEN1	2.9
9	YIL136W	OM45	2.9
10	YDL085W	NDE2	2.9
11	YHR096C	HXT5	2.9
12	YPL186C	UIP4	2.9
13	YIL099W	SGA1	2.9
14	YDL204W	RTN2	2.9
15	YGR043C	NQM1	2.9
16	YGR243W	MPC3	2.9
17	YDL169C	UGX2	2.8
18	YOR173W	DCS2	2.8
19	YKR076W	ECM4	2.8
20	YDL223C	HBT1	2.8
21	YMR081C	ISF1	2.8
22	YEL011W	GLC3	2.8
23	YMR107W	SPG4	2.8
24	YCR091W	KIN82	2.8
25	YNR002C	ATO2	2.8
26	YPR184W	GDB1	2.8
27	YML128C	MSC1	2.8
28	YML042W	CAT2	2.7
29	YPL222W	FMP40	2.7
30	YKR058W	GLG1	2.7
31	YAL061W	BDH2	2.7
32	YDR070C	FMP16	2.7
33	YGR088W	CTT1	2.7
34	YDL079C	MRK1	2.7
35	YPL054W	LEE1	2.7
36	YIL045W	PIG2	2.7
37	YPL230W	USV1	2.7
38	YGR248W	SOL4	2.7
39	YGL205W	POX1	2.7
40	YMR169C	ALD3	2.7
41	YPR030W	CSR2	2.7
42	YMR174C	PAI3	2.7
43	YIL101C	XBP1	2.7
44	YAL034C	FUN19	2.7
45	YDR096W	GIS1	2.7
46	YGR256W	GND2	2.7
47	YPL223C	GRE1	2.6
48	YHR160C	PEX18	2.6
49	YDL024C	DIA3	2.6
50	YPL147W	PXA1	2.6
51	YMR175W	SIP18	2.6
52	YBR050C	REG2	2.6
53	YJL057C	IKS1	2.6
54	YBR117C	TKL2	2.6
55	YOR178C	GAC1	2.6
56	YML054C	CYB2	2.6
57	YLR174W	IDP2	2.6
58	YJL155C	FBP26	2.6
59	YKL026C	GPX1	2.6
60	YOR100C	CRC1	2.6
61	YLR284C	ECI1	2.6
62	YIL097W	FYV10	2.6
63	YCR010C	ADY2	2.6
64	YDR358W	GGA1	2.6
65	YDL110C	TMA17	2.6
66	YJL141C	YAK1	2.6
67	YIL155C	GUT2	2.6
68	YBR280C	SAF1	2.6
69	YKR009C	FOX2	2.6
70	YMR250W	GAD1	2.6
71	YOR348C	PUT4	2.6
72	YIL160C	POT1	2.6
73	YOR120W	GCY1	2.6
74	YBR230C	OM14	2.6
75	YPR151C	SUE1	2.6
76	YGR289C	MAL11	2.6
77	YIL107C	PFK26	2.6
78	YDL215C	GDH2	2.6
79	YNR007C	ATG3	2.6
80	YMR053C	STB2	2.6
81	YML100W	TSL1	2.6
82	YDR171W	HSP42	2.6
83	YKL124W	SSH4	2.6
84	YBR001C	NTH2	2.5
85	YKR049C	FMP46	2.5
86	YPL201C	YIG1	2.5
87	YLR267W	BOP2	2.5
88	YJL161W	FMP33	2.5
89	YGL096W	TOS8	2.5
90	YHL032C	GUT1	2.5
91	YBR169C	SSE2	2.5
92	YDR085C	AFR1	2.5
93	YMR110C	HFD1	2.5
94	YIL017C	VID28	2.5
95	YLR178C	TFS1	2.5
96	YLR070C	XYL2	2.5
97	YNL093W	YPT53	2.5
98	YBR214W	SDS24	2.5
99	YNL014W	HEF3	2.5
100	YPL203W	TPK2	2.5
101	YDR256C	CTA1	2.5
102	YDR436W	PPZ2	2.5
103	YBR298C	MAL31	2.5
104	YOR054C	VHS3	2.5
105	YOR161C	PNS1	2.5
106	YBL064C	PRX1	2.5
107	YNL009W	IDP3	2.5
108	YHR087W	RTC3	2.5
109	YKL188C	PXA2	2.5
110	YDR074W	TPS2	2.5
111	YJR036C	HUL4	2.5
112	YAL054C	ACS1	2.5
113	YOR374W	ALD4	2.5
114	YBL075C	SSA3	2.5
115	YLL019C	KNS1	2.5
116	YGL156W	AMS1	2.5
117	YLR270W	DCS1	2.4
118	YGL037C	PNC1	2.4
119	YER015W	FAA2	2.4
120	YKL142W	MRP8	2.4
121	YJL066C	MPM1	2.4
122	YPL004C	LSP1	2.4
123	YNL125C	ESBP6	2.4
124	YDR329C	PEX3	2.4
125	YDR223W	CRF1	2.4
126	YNL237W	YTP1	2.4
127	YIL113W	SDP1	2.4
128	YOR028C	CIN5	2.4
129	YFR015C	GSY1	2.4
130	YBL078C	ATG8	2.4
131	YLR219W	MSC3	2.4
132	YMR105C	PGM2	2.4
133	YDR202C	RAV2	2.4
134	YEL041W	YEF1	2.4
135	YER096W	SHC1	2.4
