SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YDR003W-A

Rank	Gene	Common	Score
Q	YDR003W-A	YDR003W-A	
1	YDR003W	RCR2	0.6
2	YLR251W	SYM1	0.5
3	YGR161W-C	YGR161W-C	0.5
4	YNL305C	BXI1	0.5
5	YLR338W	OPI9	0.5
6	YGL010W	MPO1	0.5
7	YDR276C	PMP3	0.5
8	YLR164W	SHH4	0.5
9	YOR347C	PYK2	0.5
10	YNL025C	SSN8	0.5
11	YLL039C	UBI4	0.5
12	YGR223C	HSV2	0.5
13	YEL011W	GLC3	0.5
14	YKL096C-B	YKL096C-B	0.5
15	YJL066C	MPM1	0.5
16	YPR067W	ISA2	0.5
17	YAL028W	FRT2	0.5
18	YJL163C	YJL163C	0.5
19	YMR040W	YET2	0.5
20	YDR265W	PEX10	0.5
21	YER079W	YER079W	0.5
22	YGR268C	HUA1	0.5
23	YBR149W	ARA1	0.5
24	YGL011C	SCL1	0.5
25	YFR004W	RPN11	0.5
26	YFR017C	IGD1	0.5
27	YPL087W	YDC1	0.5
28	YML092C	PRE8	0.5
29	YDR379C-A	SDH6	0.5
30	YMR152W	YIM1	0.5
31	YMR315W	YMR315W	0.5
32	YKL103C	APE1	0.5
33	YJL132W	YJL132W	0.5
34	YIL034C	CAP2	0.5
35	YFR015C	GSY1	0.5
36	YDL142C	CRD1	0.5
37	YFR014C	CMK1	0.5
38	YLR387C	REH1	0.5
39	YBR053C	YBR053C	0.4
40	YBR037C	SCO1	0.4
41	YPR160W	GPH1	0.4
42	YOR220W	RCN2	0.4
43	YER141W	COX15	0.4
44	YNL134C	YNL134C	0.4
45	YKL007W	CAP1	0.4
46	YER143W	DDI1	0.4
47	YOR292C	YOR292C	0.4
48	YMR280C	CAT8	0.4
49	YGL047W	ALG13	0.4
50	YHR043C	DOG2	0.4
51	YDL022W	GPD1	0.4
52	YDR067C	OCA6	0.4
53	YGL037C	PNC1	0.4
54	YIL017C	VID28	0.4
55	YPL203W	TPK2	0.4
56	YMR251W-A	HOR7	0.4
57	YOR230W	WTM1	0.4
58	YDR171W	HSP42	0.4
59	YER066W	RRT13	0.4
60	YDR435C	PPM1	0.4
61	YLR259C	HSP60	0.4
62	YFL054C	AQY3	0.4
63	YGL141W	HUL5	0.4
64	YJL057C	IKS1	0.4
65	YFL062W	COS4	0.4
66	YDL183C	MRX19	0.4
67	YPR103W	PRE2	0.4
68	YHR190W	ERG9	0.4
69	YBR003W	COQ1	0.4
70	YDR125C	ECM18	0.4
71	YIL107C	PFK26	0.4
72	YOR374W	ALD4	0.4
73	YDR427W	RPN9	0.4
74	YER078C	ICP55	0.4
75	YGL053W	PRM8	0.4
76	YBR139W	ATG42	0.4
77	YKL142W	MRP8	0.4
78	YHR087W	RTC3	0.4
79	YPR026W	ATH1	0.4
80	YER037W	PHM8	0.4
81	YKL145W	RPT1	0.4
82	YOR136W	IDH2	0.4
83	YPR024W	YME1	0.4
84	YDR377W	ATP17	0.4
85	YOR037W	CYC2	0.4
86	YMR252C	MLO1	0.4
87	YBR169C	SSE2	0.4
88	YIL116W	HIS5	0.4
89	YMR053C	STB2	0.4
90	YGR253C	PUP2	0.4
91	YER095W	RAD51	0.4
92	YJL155C	FBP26	0.4
93	YJL164C	TPK1	0.4
94	YHL021C	AIM17	0.4
95	YOR100C	CRC1	0.4
96	YLR177W	YLR177W	0.4
97	YOR059C	LPL1	0.4
98	YCL026C-B	HBN1	0.4
99	YNL063W	MTQ1	0.4
100	YIL029C	EMA17	0.4
101	YGL096W	TOS8	0.4
102	YOR259C	RPT4	0.4
103	YPL257W	YPL257W	0.4
104	YDL046W	NPC2	0.4
105	YDR096W	GIS1	0.4
106	YHR016C	YSC84	0.4
107	YPR127W	YPR127W	0.4
108	YDL010W	GRX6	0.4
109	YNL183C	NPR1	0.4
110	YHR104W	GRE3	0.4
111	YAL005C	SSA1	0.4
112	YNL156C	NSG2	0.4
113	YDL124W	YDL124W	0.4
114	YOR182C	RPS30B	0.4
115	YFR042W	KEG1	0.4
116	YLR246W	ERF2	0.4
117	YKL141W	SDH3	0.4
118	YBR001C	NTH2	0.4
119	YOR273C	TPO4	0.4
120	YGR209C	TRX2	0.4
121	YNL281W	HCH1	0.4
122	YOL009C	MDM12	0.4
123	YDL149W	ATG9	0.4
124	YDR047W	HEM12	0.4
125	YBR085C-A	YBR085C-A	0.4
126	YER103W	SSA4	0.4
127	YJL082W	IML2	0.4
128	YHR113W	APE4	0.4
129	YDL180W	AIT1	0.4
130	YOR285W	RDL1	0.4
131	YPR154W	PIN3	0.4
132	YDL146W	LDB17	0.4
133	YLR258W	GSY2	0.4
134	YPL004C	LSP1	0.4
135	YFL016C	MDJ1	0.4
136	YNR074C	AIF1	0.4
137	YGR161C	RTS3	0.4
138	YLR108C	YLR108C	0.4
139	YIL124W	AYR1	0.4
140	YDR358W	GGA1	0.4
141	YLR346C	CIS1	0.4
142	YGL166W	CUP2	0.4
143	YNR035C	ARC35	0.4
144	YHR199C	AIM46	0.4
145	YOR057W	SGT1	0.4
146	YER067W	RGI1	0.4
147	YBR072W	HSP26	0.4
148	YHR116W	COX23	0.4
149	YKL100C	YPF1	0.4
150	YCL057W	PRD1	0.4
151	YBR137W	YBR137W	0.4
152	YBR277C	YBR277C	0.4
153	YOR020W-A	MCO10	0.4
154	YLR201C	COQ9	0.4
155	YGR287C	IMA1	0.4
156	YDL097C	RPN6	0.4
157	YML079W	CFF1	0.4
158	YPL054W	LEE1	0.4
159	YDL110C	TMA17	0.4
160	YDR476C	YDR476C	0.4
161	YLL026W	HSP104	0.4
162	YOL133W	HRT1	0.4
163	YMR056C	AAC1	0.4
164	YJR073C	OPI3	0.4
165	YFR010W	UBP6	0.4
166	YNL159C	ASI2	0.4
167	YKR052C	MRS4	0.4
168	YAL065C	YAL065C	0.4
169	YJL133C-A	DPI8	0.4
170	YFR053C	HXK1	0.4
171	YGL091C	NBP35	0.4
172	YNR002C	ATO2	0.4
173	YMR166C	MME1	0.4
174	YBR058C-A	TSC3	0.4
175	YDR342C	HXT7	0.4
176	YBR246W	RRT2	0.4
177	YKL091C	YKL091C	0.4
178	YMR194C-B	CMC4	0.4
179	YGR281W	YOR1	0.4
180	YNL007C	SIS1	0.4
