SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RCR2

Rank	Gene	Common	Score
Q	YDR003W	RCR2	
1	YDR358W	GGA1	3.7
2	YLR251W	SYM1	3.6
3	YBR280C	SAF1	3.6
4	YBR269C	SDH8	3.6
5	YDR171W	HSP42	3.6
6	YOR173W	DCS2	3.6
7	YJL155C	FBP26	3.5
8	YPL203W	TPK2	3.5
9	YBL064C	PRX1	3.5
10	YBL078C	ATG8	3.5
11	YGL037C	PNC1	3.5
12	YDL072C	YET3	3.5
13	YKL142W	MRP8	3.5
14	YMR110C	HFD1	3.5
15	YBR214W	SDS24	3.4
16	YDL169C	UGX2	3.4
17	YPL123C	RNY1	3.4
18	YDR001C	NTH1	3.4
19	YEL011W	GLC3	3.4
20	YBR169C	SSE2	3.4
21	YLR270W	DCS1	3.4
22	YHR087W	RTC3	3.4
23	YDL091C	UBX3	3.4
24	YKL065C	YET1	3.4
25	YJL164C	TPK1	3.4
26	YDL110C	TMA17	3.4
27	YER035W	EDC2	3.4
28	YLR178C	TFS1	3.3
29	YGR248W	SOL4	3.3
30	YIL136W	OM45	3.3
31	YHR104W	GRE3	3.3
32	YML128C	MSC1	3.3
33	YCL040W	GLK1	3.3
34	YJL048C	UBX6	3.3
35	YJL057C	IKS1	3.3
36	YNR007C	ATG3	3.3
37	YMR250W	GAD1	3.3
38	YGR019W	UGA1	3.3
39	YDR059C	UBC5	3.3
40	YOL032W	OPI10	3.3
41	YDR074W	TPS2	3.3
42	YPL004C	LSP1	3.3
43	YKR076W	ECM4	3.3
44	YJL036W	SNX4	3.3
45	YMR041C	ARA2	3.2
46	YJL141C	YAK1	3.2
47	YBR046C	ZTA1	3.2
48	YDR436W	PPZ2	3.2
49	YGL053W	PRM8	3.2
50	YGR008C	STF2	3.2
51	YDL204W	RTN2	3.2
52	YJL066C	MPM1	3.2
53	YBR230C	OM14	3.2
54	YDR202C	RAV2	3.2
55	YOR120W	GCY1	3.2
56	YPL196W	OXR1	3.2
57	YNL159C	ASI2	3.2
58	YLR219W	MSC3	3.2
59	YNL274C	GOR1	3.2
60	YDR231C	COX20	3.2
61	YLR258W	GSY2	3.2
62	YLL026W	HSP104	3.2
63	YBR183W	YPC1	3.2
64	YDR513W	GRX2	3.2
65	YAL061W	BDH2	3.2
66	YDR204W	COQ4	3.2
67	YMR139W	RIM11	3.2
68	YDR313C	PIB1	3.2
69	YPL186C	UIP4	3.2
70	YBR126C	TPS1	3.2
71	YDR258C	HSP78	3.1
72	YDR330W	UBX5	3.1
73	YDR533C	HSP31	3.1
74	YER053C	PIC2	3.1
75	YHR171W	ATG7	3.1
76	YOR036W	PEP12	3.1
77	YIL101C	XBP1	3.1
78	YEL060C	PRB1	3.1
79	YNL156C	NSG2	3.1
80	YGR088W	CTT1	3.1
81	YML100W	TSL1	3.1
82	YDR070C	FMP16	3.1
83	YKR049C	FMP46	3.1
84	YGL248W	PDE1	3.1
85	YPL230W	USV1	3.1
86	YPR026W	ATH1	3.1
87	YEL012W	UBC8	3.1
88	YIL107C	PFK26	3.1
89	YML004C	GLO1	3.1
90	YBR006W	UGA2	3.1
91	YJL161W	FMP33	3.1
92	YDR329C	PEX3	3.1
93	YOL082W	ATG19	3.1
94	YAL034C	FUN19	3.1
95	YIL097W	FYV10	3.1
96	YKL091C	YKL091C	3.1
97	YGL250W	RMR1	3.1
