SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TRP1

Rank	Gene	Common	Score
Q	YDR007W	TRP1	
1	YDR041W	RSM10	2.3
2	YMR150C	IMP1	2.2
3	YDL067C	COX9	2.1
4	YDR304C	CPR5	2.1
5	YEL038W	UTR4	2.1
6	YDR005C	MAF1	2.1
7	YCL033C	MXR2	2.1
8	YDR272W	GLO2	2.0
9	YDR003W	RCR2	2.0
10	YBL001C	ECM15	2.0
11	YPR082C	DIB1	2.0
12	YDL029W	ARP2	2.0
13	YOL143C	RIB4	2.0
14	YBR077C	SLM4	2.0
15	YCR036W	RBK1	2.0
16	YDL004W	ATP16	2.0
17	YKL065C	YET1	2.0
18	YGR232W	NAS6	2.0
19	YBR111C	YSA1	2.0
20	YER057C	HMF1	2.0
21	YJL151C	SNA3	2.0
22	YOL129W	VPS68	2.0
23	YBL102W	SFT2	2.0
24	YDR298C	ATP5	2.0
25	YGL002W	ERP6	1.9
26	YKL058W	TOA2	1.9
27	YGL191W	COX13	1.9
28	YDR231C	COX20	1.9
29	YJR058C	APS2	1.9
30	YDR075W	PPH3	1.9
31	YDR529C	QCR7	1.9
32	YDR377W	ATP17	1.9
33	YKR049C	FMP46	1.9
34	YLR007W	NSE1	1.9
35	YDR032C	PST2	1.9
36	YBR282W	MRPL27	1.9
37	YDR236C	FMN1	1.9
38	YDL137W	ARF2	1.9
39	YPL059W	GRX5	1.9
40	YJL004C	SYS1	1.9
41	YIR022W	SEC11	1.9
42	YDR204W	COQ4	1.9
43	YBL018C	POP8	1.9
44	YDR139C	RUB1	1.9
45	YDL078C	MDH3	1.9
46	YCR004C	YCP4	1.9
47	YDR201W	SPC19	1.9
48	YBR052C	RFS1	1.9
49	YDL125C	HNT1	1.9
50	YNL006W	LST8	1.9
51	YJR133W	XPT1	1.9
52	YCL035C	GRX1	1.9
53	YOL147C	PEX11	1.9
54	YLR093C	NYV1	1.9
55	YFR049W	KGD4	1.9
56	YDR140W	MTQ2	1.9
57	YHR110W	ERP5	1.9
58	YDR001C	NTH1	1.9
59	YLR421C	RPN13	1.9
60	YDL115C	IWR1	1.9
61	YHR051W	COX6	1.9
62	YOR089C	VPS21	1.9
63	YFL018C	LPD1	1.9
64	YDL091C	UBX3	1.9
65	YBR210W	ERV15	1.8
66	YDR530C	APA2	1.8
67	YNL052W	COX5A	1.8
68	YBR109C	CMD1	1.8
69	YKL067W	YNK1	1.8
70	YPL134C	ODC1	1.8
71	YJL003W	COX16	1.8
72	YDR084C	TVP23	1.8
73	YBL038W	MRPL16	1.8
74	YCL034W	LSB5	1.8
75	YBR035C	PDX3	1.8
