SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: FAL1

Rank	Gene	Common	Score
Q	YDR021W	FAL1	
1	YHR066W	SSF1	4.9
2	YDR087C	RRP1	4.8
3	YDR449C	UTP6	4.8
4	YDR496C	PUF6	4.8
5	YGR145W	ENP2	4.7
6	YER127W	LCP5	4.7
7	YNL075W	IMP4	4.7
8	YMR239C	RNT1	4.7
9	YKR024C	DBP7	4.7
10	YKL078W	DHR2	4.6
11	YLR276C	DBP9	4.6
12	YHR148W	IMP3	4.6
13	YNL110C	NOP15	4.6
14	YOR004W	UTP23	4.6
15	YNL182C	IPI3	4.6
16	YKL009W	MRT4	4.5
17	YDR299W	BFR2	4.5
18	YPR112C	MRD1	4.5
19	YML093W	UTP14	4.5
20	YKL099C	UTP11	4.5
21	YHR088W	RPF1	4.5
22	YHR052W	CIC1	4.5
23	YJL033W	HCA4	4.5
24	YLL011W	SOF1	4.5
25	YOR272W	YTM1	4.5
26	YHR085W	IPI1	4.5
27	YBR155W	CNS1	4.5
28	YHR196W	UTP9	4.5
29	YOL080C	REX4	4.4
30	YKR081C	RPF2	4.4
31	YOR206W	NOC2	4.4
32	YDR184C	ATC1	4.4
33	YGR128C	UTP8	4.4
34	YHR197W	RIX1	4.4
35	YER126C	NSA2	4.4
36	YLR009W	RLP24	4.4
37	YDL148C	NOP14	4.4
38	YDL153C	SAS10	4.4
39	YML080W	DUS1	4.4
40	YBR247C	ENP1	4.4
41	YDR083W	RRP8	4.4
42	YER082C	UTP7	4.4
43	YOL144W	NOP8	4.4
44	YGL171W	ROK1	4.4
45	YBR142W	MAK5	4.4
46	YIL019W	FAF1	4.3
47	YBR267W	REI1	4.3
48	YDR465C	RMT2	4.3
49	YHR170W	NMD3	4.3
50	YCR057C	PWP2	4.3
51	YPL043W	NOP4	4.3
52	YGL029W	CGR1	4.3
53	YDR101C	ARX1	4.3
54	YCR072C	RSA4	4.3
55	YKL143W	LTV1	4.3
56	YJL125C	GCD14	4.3
57	YLR196W	PWP1	4.3
58	YAL025C	MAK16	4.3
59	YAL059W	ECM1	4.3
60	YPL126W	NAN1	4.3
61	YHR169W	DBP8	4.3
62	YOR340C	RPA43	4.3
63	YDL060W	TSR1	4.3
64	YCL054W	SPB1	4.3
65	YPR144C	NOC4	4.2
66	YDR165W	TRM82	4.2
67	YDR398W	UTP5	4.2
68	YDL167C	NRP1	4.2
69	YLR222C	UTP13	4.2
70	YNL175C	NOP13	4.2
71	YGR280C	PXR1	4.2
72	YMR093W	UTP15	4.2
73	YJL122W	ALB1	4.2
74	YDR324C	UTP4	4.2
75	YLR435W	TSR2	4.2
76	YLR409C	UTP21	4.2
77	YPL012W	RRP12	4.2
78	YNL002C	RLP7	4.2
79	YNL248C	RPA49	4.2
80	YJL069C	UTP18	4.2
81	YOR078W	BUD21	4.2
82	YKR060W	UTP30	4.1
83	YPL211W	NIP7	4.1
84	YOL124C	TRM11	4.1
85	YDR361C	BCP1	4.1
86	YER006W	NUG1	4.1
