SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MIX14

Rank	Gene	Common	Score
Q	YDR031W	MIX14	
1	YGR008C	STF2	3.5
2	YOL071W	SDH5	3.3
3	YDR079W	PET100	3.3
4	YFR049W	KGD4	3.2
5	YBR269C	SDH8	3.2
6	YGR174C	CBP4	3.2
7	YDR513W	GRX2	3.2
8	YDL110C	TMA17	3.2
9	YNL015W	PBI2	3.2
10	YBR230C	OM14	3.2
11	YDR511W	SDH7	3.2
12	YPL087W	YDC1	3.1
13	YDR231C	COX20	3.1
14	YBL064C	PRX1	3.1
15	YIL136W	OM45	3.1
16	YDR272W	GLO2	3.1
17	YLR251W	SYM1	3.1
18	YCL035C	GRX1	3.1
19	YOR173W	DCS2	3.1
20	YKL142W	MRP8	3.1
21	YBR052C	RFS1	3.1
22	YDR512C	EMI1	3.0
23	YEL039C	CYC7	3.0
24	YGR248W	SOL4	3.0
25	YJL161W	FMP33	3.0
26	YKL150W	MCR1	3.0
27	YBL001C	ECM15	3.0
28	YJL166W	QCR8	3.0
29	YNL274C	GOR1	3.0
30	YER182W	FMP10	3.0
31	YJL003W	COX16	3.0
32	YJR034W	PET191	3.0
33	YEL012W	UBC8	3.0
34	YPL123C	RNY1	3.0
35	YBR024W	SCO2	3.0
36	YOR120W	GCY1	3.0
37	YKR049C	FMP46	3.0
38	YKL137W	CMC1	3.0
39	YAL008W	FUN14	2.9
40	YIL098C	FMC1	2.9
41	YPL186C	UIP4	2.9
42	YKL053C-A	MDM35	2.9
43	YBR026C	ETR1	2.9
44	YLR178C	TFS1	2.9
45	YKL067W	YNK1	2.9
46	YLL009C	COX17	2.9
47	YGR132C	PHB1	2.9
48	YKL065C	YET1	2.9
49	YDL130W-A	STF1	2.9
50	YGL037C	PNC1	2.9
51	YGL191W	COX13	2.9
52	YLR270W	DCS1	2.9
53	YDR032C	PST2	2.9
54	YMR250W	GAD1	2.9
55	YJL066C	MPM1	2.9
56	YDL169C	UGX2	2.9
57	YBR149W	ARA1	2.9
58	YIL157C	COA1	2.9
59	YBR120C	CBP6	2.9
60	YDR178W	SDH4	2.9
61	YDR358W	GGA1	2.9
62	YDR377W	ATP17	2.9
63	YGL121C	GPG1	2.9
64	YDL091C	UBX3	2.9
65	YML128C	MSC1	2.8
66	YDR070C	FMP16	2.8
67	YIL111W	COX5B	2.8
68	YGR194C	XKS1	2.8
69	YER053C	PIC2	2.8
70	YHR104W	GRE3	2.8
71	YMR271C	URA10	2.8
72	YIR037W	HYR1	2.8
73	YFL014W	HSP12	2.8
74	YBR111C	YSA1	2.8
75	YMR110C	HFD1	2.8
76	YPL004C	LSP1	2.8
77	YBR183W	YPC1	2.8
78	YDL078C	MDH3	2.8
79	YMR256C	COX7	2.8
80	YCR004C	YCP4	2.8
81	YBL078C	ATG8	2.8
82	YLR201C	COQ9	2.8
83	YBL038W	MRPL16	2.8
84	YMR105C	PGM2	2.8
85	YDL021W	GPM2	2.8
86	YDR059C	UBC5	2.8
87	YDL072C	YET3	2.8
88	YDL181W	INH1	2.8
89	YLR258W	GSY2	2.8
90	YER050C	RSM18	2.8
91	YML129C	COX14	2.8
92	YDL204W	RTN2	2.8
93	YBR006W	UGA2	2.7
94	YHR087W	RTC3	2.7
95	YMR251W-A	HOR7	2.7
96	YIR038C	GTT1	2.7
97	YPL196W	OXR1	2.7
98	YDR100W	TVP15	2.7
99	YIL124W	AYR1	2.7
100	YHR198C	AIM18	2.7
101	YFR003C	YPI1	2.7
102	YLR038C	COX12	2.7
103	YLR080W	EMP46	2.7
104	YFL030W	AGX1	2.7
105	YCR083W	TRX3	2.7
106	YGR231C	PHB2	2.7
107	YLR327C	TMA10	2.7
108	YEL011W	GLC3	2.7
109	YNL173C	MDG1	2.7
110	YGL250W	RMR1	2.7
111	YKL167C	MRP49	2.7
112	YBL090W	MRP21	2.7
113	YCL040W	GLK1	2.7
114	YDR041W	RSM10	2.7
115	YGL227W	VID30	2.7
116	YOL096C	COQ3	2.7
117	YHR001W-A	QCR10	2.7
118	YDR529C	QCR7	2.7
119	YIL065C	FIS1	2.7
120	YIL097W	FYV10	2.7
121	YPL078C	ATP4	2.7
122	YLR093C	NYV1	2.7
123	YDR148C	KGD2	2.7
124	YGR028W	MSP1	2.7
125	YDL200C	MGT1	2.7
126	YDL107W	MSS2	2.7
127	YKR076W	ECM4	2.7
128	YOR036W	PEP12	2.6
129	YKL016C	ATP7	2.6
130	YGR183C	QCR9	2.6
131	YAL030W	SNC1	2.6
132	YGR232W	NAS6	2.6
133	YCL033C	MXR2	2.6
134	YKL091C	YKL091C	2.6
135	YMR174C	PAI3	2.6
136	YDR202C	RAV2	2.6
137	YDL004W	ATP16	2.6
138	YDR003W	RCR2	2.6
139	YGR244C	LSC2	2.6
140	YGR206W	MVB12	2.6
141	YGR112W	SHY1	2.6
142	YNL081C	SWS2	2.6
143	YML100W	TSL1	2.6
144	YPR149W	NCE102	2.6
145	YPR100W	MRPL51	2.6
146	YER058W	PET117	2.6
147	YDR058C	TGL2	2.6
148	YML004C	GLO1	2.6
149	YHR147C	MRPL6	2.6
150	YPR160W	GPH1	2.6
151	YCR036W	RBK1	2.6
152	YKL013C	ARC19	2.6
153	YOL129W	VPS68	2.6
154	YGR043C	NQM1	2.6
155	YLL026W	HSP104	2.6
156	YKL195W	MIA40	2.6
157	YIR036C	IRC24	2.6
158	YJL155C	FBP26	2.6
159	YOL082W	ATG19	2.6
160	YOR374W	ALD4	2.6
161	YPL203W	TPK2	2.6
162	YPR026W	ATH1	2.6
163	YKL193C	SDS22	2.6
164	YPR184W	GDB1	2.6
165	YML054C	CYB2	2.6
166	YMR311C	GLC8	2.6
167	YCL052C	PBN1	2.6
168	YLL041C	SDH2	2.6
169	YER142C	MAG1	2.6
170	YPL230W	USV1	2.6
171	YHR016C	YSC84	2.6
172	YKL141W	SDH3	2.6
173	YNR022C	MRPL50	2.6
174	YKL026C	GPX1	2.6
175	YKL085W	MDH1	2.6
176	YDR085C	AFR1	2.6
177	YIR039C	YPS6	2.6
178	YGL047W	ALG13	2.6
179	YGR209C	TRX2	2.6
180	YNR036C	MRPS12	2.6
181	YBR262C	MIC12	2.6
182	YBR122C	MRPL36	2.6
183	YPR155C	NCA2	2.6
184	YBR014C	GRX7	2.6
185	YDR001C	NTH1	2.6
186	YAR027W	UIP3	2.5
187	YOL052C-A	DDR2	2.5
188	YDR258C	HSP78	2.5
189	YCR003W	MRPL32	2.5
190	YDR204W	COQ4	2.5
191	YLR423C	ATG17	2.5
192	YNR007C	ATG3	2.5
193	YGL156W	AMS1	2.5
194	YIL155C	GUT2	2.5
195	YMR029C	FAR8	2.5
196	YGR019W	UGA1	2.5
197	YGR076C	MRPL25	2.5
198	YDL067C	COX9	2.5
199	YJL164C	TPK1	2.5
200	YER054C	GIP2	2.5
201	YDL045C	FAD1	2.5
202	YPR166C	MRP2	2.5
203	YBR001C	NTH2	2.5
204	YML120C	NDI1	2.5
205	YJL057C	IKS1	2.5
206	YMR197C	VTI1	2.5
207	YDR486C	VPS60	2.5
208	YLR250W	SSP120	2.5
209	YNL156C	NSG2	2.5
210	YKL007W	CAP1	2.5
211	YPR020W	ATP20	2.5
212	YBR169C	SSE2	2.5
213	YMR152W	YIM1	2.5
