SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PDC2

Rank	Gene	Common	Score
Q	YDR081C	PDC2	
1	YDR206W	EBS1	2.7
2	YDR143C	SAN1	2.6
3	YHR206W	SKN7	2.6
4	YBL014C	RRN6	2.6
5	YDL167C	NRP1	2.6
6	YOR048C	RAT1	2.5
7	YMR288W	HSH155	2.5
8	YIR023W	DAL81	2.5
9	YNR038W	DBP6	2.5
10	YOR001W	RRP6	2.5
11	YLR071C	RGR1	2.5
12	YKL068W	NUP100	2.5
13	YGR128C	UTP8	2.5
14	YLR096W	KIN2	2.5
15	YKR082W	NUP133	2.5
16	YDR416W	SYF1	2.5
17	YNL061W	NOP2	2.5
18	YNL163C	RIA1	2.5
19	YHR197W	RIX1	2.5
20	YPL105C	SYH1	2.5
21	YIL038C	NOT3	2.5
22	YDL060W	TSR1	2.5
23	YJL069C	UTP18	2.4
24	YNL186W	UBP10	2.4
25	YDL112W	TRM3	2.4
26	YDR153C	ENT5	2.4
27	YDL148C	NOP14	2.4
28	YLR409C	UTP21	2.4
29	YOR233W	KIN4	2.4
30	YPL183C	RTT10	2.4
31	YNL221C	POP1	2.4
32	YPL226W	NEW1	2.4
33	YDR211W	GCD6	2.4
34	YGR200C	ELP2	2.4
35	YGL099W	LSG1	2.4
36	YLR129W	DIP2	2.4
37	YCR057C	PWP2	2.4
38	YDL116W	NUP84	2.4
39	YLR357W	RSC2	2.4
40	YDR075W	PPH3	2.4
41	YLR397C	AFG2	2.4
42	YOR243C	PUS7	2.4
43	YOR322C	LDB19	2.4
44	YIL130W	ASG1	2.4
45	YOR206W	NOC2	2.4
46	YDL153C	SAS10	2.4
47	YJR002W	MPP10	2.4
48	YLR384C	IKI3	2.4
49	YLR451W	LEU3	2.4
50	YDR110W	FOB1	2.4
51	YDL122W	UBP1	2.4
52	YJL098W	SAP185	2.3
53	YNL123W	NMA111	2.3
54	YDR006C	SOK1	2.3
55	YNL256W	FOL1	2.3
56	YPL012W	RRP12	2.3
57	YNL023C	FAP1	2.3
58	YPL126W	NAN1	2.3
59	YMR285C	NGL2	2.3
60	YHR165C	PRP8	2.3
61	YBR172C	SMY2	2.3
62	YDR120C	TRM1	2.3
63	YFR002W	NIC96	2.3
64	YLR336C	SGD1	2.3
65	YDR172W	SUP35	2.3
66	YHR186C	KOG1	2.3
67	YJL050W	MTR4	2.3
68	YMR049C	ERB1	2.3
69	YPR161C	SGV1	2.3
70	YMR309C	NIP1	2.3
71	YDR208W	MSS4	2.3
72	YCL054W	SPB1	2.3
73	YGR162W	TIF4631	2.3
74	YJL125C	GCD14	2.3
75	YMR047C	NUP116	2.3
76	YBR247C	ENP1	2.3
77	YHR196W	UTP9	2.3
78	YML113W	DAT1	2.3
79	YDL031W	DBP10	2.3
80	YDR159W	SAC3	2.3
81	YGL092W	NUP145	2.3
82	YDR449C	UTP6	2.3
83	YKL205W	LOS1	2.3
84	YFL023W	BUD27	2.3
85	YNL124W	NAF1	2.3
86	YOR188W	MSB1	2.3
87	YDR395W	SXM1	2.3
88	YDR398W	UTP5	2.3
89	YGR090W	UTP22	2.3
90	YPL030W	TRM44	2.3
91	YCR072C	RSA4	2.3
92	YJL033W	HCA4	2.3
93	YOR272W	YTM1	2.3
94	YPR137W	RRP9	2.3
95	YDL074C	BRE1	2.3
96	YOR207C	RET1	2.3
97	YOR260W	GCD1	2.3
98	YDR083W	RRP8	2.3
99	YDR351W	SBE2	2.3
100	YDL150W	RPC53	2.3
101	YPL093W	NOG1	2.3
102	YNL076W	MKS1	2.3
