SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ILT1

Rank	Gene	Common	Score
Q	YDR090C	ILT1	
1	YLR307W	CDA1	1.9
2	YMR088C	VBA1	1.6
3	YNL101W	AVT4	1.6
4	YBR293W	VBA2	1.5
5	YDR481C	PHO8	1.5
6	YJR152W	DAL5	1.5
7	YEL063C	CAN1	1.5
8	YDL054C	MCH1	1.5
9	YGL114W	YGL114W	1.5
10	YJL094C	KHA1	1.4
11	YGL224C	SDT1	1.4
12	YFR055W	IRC7	1.4
13	YBR043C	QDR3	1.4
14	YNL156C	NSG2	1.4
15	YOR245C	DGA1	1.4
16	YIL164C	NIT1	1.4
17	YDR284C	DPP1	1.4
18	YPL265W	DIP5	1.4
19	YKR039W	GAP1	1.4
20	YHL027W	RIM101	1.4
21	YCR028C	FEN2	1.4
22	YBR036C	CSG2	1.4
23	YGL186C	TPN1	1.4
24	YDL238C	GUD1	1.4
25	YBR235W	VHC1	1.4
26	YOL119C	MCH4	1.4
27	YGL252C	RTG2	1.4
28	YGL140C	YGL140C	1.4
29	YEL006W	YEA6	1.4
30	YIR031C	DAL7	1.4
31	YDL046W	NPC2	1.4
32	YBR295W	PCA1	1.4
33	YOR079C	ATX2	1.3
34	YMR155W	YMR155W	1.3
35	YDR456W	NHX1	1.3
36	YDR459C	PFA5	1.3
37	YDR262W	YDR262W	1.3
38	YDR350C	ATP22	1.3
39	YDL180W	AIT1	1.3
40	YLR332W	MID2	1.3
41	YML116W	ATR1	1.3
42	YDL128W	VCX1	1.3
43	YBL089W	AVT5	1.3
44	YCR069W	CPR4	1.3
45	YDR264C	AKR1	1.3
46	YPL224C	MMT2	1.3
47	YBL102W	SFT2	1.3
48	YHR029C	YHI9	1.3
49	YPL214C	THI6	1.3
50	YMR200W	ROT1	1.3
51	YIL165C	YIL165C	1.3
52	YHR101C	BIG1	1.3
53	YDR319C	YFT2	1.3
54	YOL044W	PEX15	1.3
55	YDL170W	UGA3	1.3
