SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: STE5

Rank	Gene	Common	Score
Q	YDR103W	STE5	
1	YPR122W	AXL1	2.7
2	YOR212W	STE4	2.7
3	YBR073W	RDH54	2.7
4	YJR086W	STE18	2.5
5	YPL204W	HRR25	2.5
6	YBL016W	FUS3	2.5
7	YHR005C	GPA1	2.5
8	YHR084W	STE12	2.4
9	YDR104C	SPO71	2.4
10	YNL076W	MKS1	2.4
11	YJL157C	FAR1	2.4
12	YDR006C	SOK1	2.4
13	YJR090C	GRR1	2.3
14	YNR039C	ZRG17	2.3
15	YDL231C	BRE4	2.3
16	YDR166C	SEC5	2.3
17	YLR265C	NEJ1	2.3
18	YDL028C	MPS1	2.3
19	YDR153C	ENT5	2.3
20	YOL068C	HST1	2.3
21	YLR371W	ROM2	2.3
22	YDR351W	SBE2	2.3
23	YBR293W	VBA2	2.3
24	YDR422C	SIP1	2.3
25	YDR463W	STP1	2.3
26	YER008C	SEC3	2.2
27	YKL209C	STE6	2.2
28	YDR301W	CFT1	2.2
29	YER180C	ISC10	2.2
30	YBR081C	SPT7	2.2
31	YKL020C	SPT23	2.2
32	YOR275C	RIM20	2.2
33	YOR304W	ISW2	2.2
34	YOR299W	BUD7	2.2
35	YDR235W	PRP42	2.2
36	YLR452C	SST2	2.2
37	YGL248W	PDE1	2.2
38	YDR303C	RSC3	2.2
39	YDR027C	VPS54	2.2
40	YMR275C	BUL1	2.2
41	YDR081C	PDC2	2.2
42	YOR023C	AHC1	2.2
43	YLR307W	CDA1	2.2
44	YDR410C	STE14	2.2
45	YER075C	PTP3	2.2
46	YDL159W	STE7	2.2
47	YFL027C	GYP8	2.2
48	YJL084C	ALY2	2.2
49	YDR228C	PCF11	2.2
50	YGR270W	YTA7	2.2
51	YDR160W	SSY1	2.2
52	YLR368W	MDM30	2.2
53	YDL224C	WHI4	2.2
54	YIL146C	ATG32	2.1
55	YDR159W	SAC3	2.1
56	YLR071C	RGR1	2.1
57	YBR260C	RGD1	2.1
58	YML130C	ERO1	2.1
59	YAL051W	OAF1	2.1
60	YOL045W	PSK2	2.1
61	YGL151W	NUT1	2.1
62	YKL022C	CDC16	2.1
63	YDR105C	TMS1	2.1
64	YER167W	BCK2	2.1
65	YGL144C	ROG1	2.1
66	YPL169C	MEX67	2.1
67	YBR083W	TEC1	2.1
68	YBR290W	BSD2	2.1
69	YKR021W	ALY1	2.1
70	YDR082W	STN1	2.1
71	YGL003C	CDH1	2.1
72	YPR121W	THI22	2.1
73	YLR176C	RFX1	2.1
74	YJR089W	BIR1	2.1
75	YDR291W	HRQ1	2.1
76	YDL001W	RMD1	2.1
77	YDR326C	YSP2	2.1
78	YDR200C	VPS64	2.1
79	YDL227C	HO	2.1
80	YIR002C	MPH1	2.1
81	YNL183C	NPR1	2.1
82	YDL225W	SHS1	2.1
83	YDR069C	DOA4	2.1
84	YFL026W	STE2	2.1
85	YBR237W	PRP5	2.1
86	YDR335W	MSN5	2.1
87	YHR186C	KOG1	2.1
88	YDR295C	HDA2	2.1
89	YLR373C	VID22	2.1
90	YPL105C	SYH1	2.1
91	YAL041W	CDC24	2.1
92	YGR258C	RAD2	2.1
93	YDL088C	ASM4	2.1
94	YBR131W	CCZ1	2.1
95	YDR251W	PAM1	2.1
96	YDR485C	VPS72	2.1
97	YKL139W	CTK1	2.1
98	YKR031C	SPO14	2.1
99	YJR052W	RAD7	2.1
100	YGL163C	RAD54	2.1
101	YDR137W	RGP1	2.1
102	YLR403W	SFP1	2.1
103	YJL156C	SSY5	2.1
104	YDR460W	TFB3	2.1
105	YPR189W	SKI3	2.1
106	YLL004W	ORC3	2.1
107	YDR389W	SAC7	2.1
108	YDR208W	MSS4	2.1
109	YLR343W	GAS2	2.1
110	YKL010C	UFD4	2.1
111	YGL073W	HSF1	2.1
112	YNL042W	BOP3	2.1
113	YOR267C	HRK1	2.1
114	YDR309C	GIC2	2.1
115	YDR227W	SIR4	2.1
116	YIL048W	NEO1	2.1
117	YGR218W	CRM1	2.1
118	YDR001C	NTH1	2.1
119	YGR238C	KEL2	2.1
120	YOR360C	PDE2	2.1
121	YML006C	GIS4	2.1
122	YBR114W	RAD16	2.1
123	YDR362C	TFC6	2.1
124	YGR056W	RSC1	2.1
125	YDR407C	TRS120	2.1
126	YBR102C	EXO84	2.1
127	YKL012W	PRP40	2.1
128	YOR047C	STD1	2.1
129	YDL030W	PRP9	2.1
130	YGL178W	MPT5	2.1
131	YDL013W	SLX5	2.1
132	YFR002W	NIC96	2.1
133	YBR279W	PAF1	2.0
134	YOR043W	WHI2	2.0
135	YDR499W	LCD1	2.0
136	YOR307C	SLY41	2.0
137	YNL212W	VID27	2.0
138	YDR332W	IRC3	2.0
139	YDL074C	BRE1	2.0
140	YER169W	RPH1	2.0
141	YCR035C	RRP43	2.0
142	YPL202C	AFT2	2.0
143	YER151C	UBP3	2.0
144	YDL035C	GPR1	2.0
145	YKL189W	HYM1	2.0
146	YFL013C	IES1	2.0
147	YOL063C	CRT10	2.0
148	YDL116W	NUP84	2.0
149	YDR419W	RAD30	2.0
150	YBR198C	TAF5	2.0
151	YFR048W	RMD8	2.0
152	YGR044C	RME1	2.0
153	YPL268W	PLC1	2.0
154	YOR249C	APC5	2.0
155	YNL225C	CNM67	2.0
156	YML117W	NAB6	2.0
157	YBR207W	FTH1	2.0
158	YBR158W	AMN1	2.0
159	YGL233W	SEC15	2.0
160	YOR244W	ESA1	2.0
161	YML076C	WAR1	2.0
162	YDR416W	SYF1	2.0
163	YOR211C	MGM1	2.0
164	YOR081C	TGL5	2.0
165	YDR169C	STB3	2.0
166	YLR096W	KIN2	2.0
167	YIL143C	SSL2	2.0
168	YGL093W	SPC105	2.0
169	YFR010W	UBP6	2.0
170	YNL123W	NMA111	2.0
171	YER040W	GLN3	2.0
172	YFR040W	SAP155	2.0
173	YDR320C	SWA2	2.0
174	YDR293C	SSD1	2.0
175	YLR260W	LCB5	2.0
176	YOR033C	EXO1	2.0
177	YGR196C	FYV8	2.0
178	YIL130W	ASG1	2.0
179	YDR263C	DIN7	2.0
180	YDL239C	ADY3	2.0
181	YER168C	CCA1	2.0
182	YKR064W	OAF3	2.0
183	YLR127C	APC2	2.0
184	YNL297C	MON2	2.0
185	YOL081W	IRA2	2.0
186	YPL069C	BTS1	2.0
187	YER033C	ZRG8	2.0
188	YHL007C	STE20	2.0
189	YGL014W	PUF4	2.0
190	YMR313C	TGL3	2.0
191	YOL089C	HAL9	2.0
192	YBR157C	ICS2	2.0
193	YDR425W	SNX41	2.0
194	YFL047W	RGD2	2.0
195	YDR484W	VPS52	2.0
196	YKR089C	TGL4	2.0
197	YNR044W	AGA1	2.0
198	YIL128W	MET18	2.0
199	YDR420W	HKR1	2.0
200	YPL138C	SPP1	2.0
201	YOR171C	LCB4	2.0
202	YBL105C	PKC1	2.0
203	YER155C	BEM2	2.0
204	YDL240W	LRG1	2.0
205	YDR117C	TMA64	2.0
206	YOR014W	RTS1	2.0
207	YNL039W	BDP1	2.0
208	YPL049C	DIG1	2.0
209	YMR064W	AEP1	2.0
210	YGL219C	MDM34	2.0
211	YOR371C	GPB1	2.0
212	YIL038C	NOT3	2.0
213	YMR036C	MIH1	2.0
214	YHR073W	OSH3	2.0
215	YDR147W	EKI1	2.0
216	YOR349W	CIN1	2.0
217	YMR004W	MVP1	2.0
218	YIL015W	BAR1	2.0
219	YCR042C	TAF2	2.0
220	YOR250C	CLP1	2.0
221	YOL078W	AVO1	2.0
222	YER115C	SPR6	2.0
223	YNR023W	SNF12	2.0
224	YJL047C	RTT101	2.0
225	YMR216C	SKY1	2.0
226	YDR138W	HPR1	2.0
227	YDL190C	UFD2	2.0
228	YDL005C	MED2	2.0
229	YBR172C	SMY2	2.0
230	YDL193W	NUS1	2.0
231	YOR370C	MRS6	2.0
232	YPR095C	SYT1	2.0
233	YGR170W	PSD2	2.0
234	YJL165C	HAL5	2.0
235	YGL216W	KIP3	2.0
236	YDL155W	CLB3	2.0
237	YLR396C	VPS33	2.0
238	YDR520C	URC2	2.0
239	YPL089C	RLM1	2.0
240	YDL108W	KIN28	2.0
241	YIL112W	HOS4	2.0
242	YHR206W	SKN7	2.0
243	YNL298W	CLA4	2.0
244	YPR008W	HAA1	2.0
245	YHR082C	KSP1	2.0
246	YDR392W	SPT3	2.0
247	YJR004C	SAG1	2.0
248	YER176W	ECM32	2.0
249	YBL051C	PIN4	2.0
250	YDR034C	LYS14	2.0
251	YHR115C	DMA1	2.0
252	YDR195W	REF2	2.0
253	YOR324C	FRT1	2.0
254	YDR151C	CTH1	2.0
255	YBL017C	PEP1	2.0
256	YNL118C	DCP2	2.0
257	YDR461W	MFA1	2.0
258	YDR096W	GIS1	2.0
259	YDL113C	ATG20	2.0
260	YKR082W	NUP133	2.0
261	YGR184C	UBR1	2.0
262	YBR200W	BEM1	2.0
263	YBL084C	CDC27	2.0
264	YDL115C	IWR1	2.0
265	YCL027W	FUS1	2.0
266	YIL117C	PRM5	2.0
267	YLR451W	LEU3	2.0
268	YCR008W	SAT4	2.0
269	YGR032W	GSC2	2.0
270	YIL002C	INP51	2.0
271	YGL133W	ITC1	2.0
272	YGR077C	PEX8	2.0
273	YBL060W	YEL1	2.0
274	YNL236W	SIN4	2.0
275	YML034W	SRC1	2.0
276	YOR233W	KIN4	2.0
277	YNL103W	MET4	2.0
278	YOR372C	NDD1	1.9
279	YJR127C	RSF2	1.9
280	YKL025C	PAN3	1.9
281	YLR398C	SKI2	1.9
282	YBR123C	TFC1	1.9
283	YBR065C	ECM2	1.9
284	YDL203C	ACK1	1.9
285	YGL223C	COG1	1.9
286	YNL027W	CRZ1	1.9
287	YDR292C	SRP101	1.9
288	YDR217C	RAD9	1.9
289	YCR066W	RAD18	1.9
290	YKL176C	LST4	1.9
291	YML103C	NUP188	1.9
292	YMR247C	RKR1	1.9
293	YHR151C	MTC6	1.9
294	YGR198W	YPP1	1.9
295	YMR126C	DLT1	1.9
296	YML046W	PRP39	1.9
297	YBR097W	VPS15	1.9
298	YNL074C	MLF3	1.9
299	YDR197W	CBS2	1.9
300	YGR072W	UPF3	1.9
301	YJR119C	JHD2	1.9
302	YLL019C	KNS1	1.9
303	YDL056W	MBP1	1.9
304	YBR095C	RXT2	1.9
305	YJL139C	YUR1	1.9
306	YDR350C	ATP22	1.9
307	YDR170C	SEC7	1.9
308	YNL008C	ASI3	1.9
309	YDL044C	MTF2	1.9
310	YIL036W	CST6	1.9
311	YHR155W	LAM1	1.9
312	YOR279C	RFM1	1.9
313	YNL192W	CHS1	1.9
314	YNR026C	SEC12	1.9
315	YDR394W	RPT3	1.9
316	YJL006C	CTK2	1.9
