SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: FOB1

Rank	Gene	Common	Score
Q	YDR110W	FOB1	
1	YDR021W	FAL1	3.5
2	YDL167C	NRP1	3.4
3	YDR496C	PUF6	3.4
4	YML080W	DUS1	3.3
5	YLL011W	SOF1	3.3
6	YLR276C	DBP9	3.3
7	YER127W	LCP5	3.3
8	YKR024C	DBP7	3.3
9	YPR137W	RRP9	3.3
10	YDL148C	NOP14	3.3
11	YDR449C	UTP6	3.3
12	YDR398W	UTP5	3.2
13	YHR066W	SSF1	3.2
14	YMR239C	RNT1	3.2
15	YJL125C	GCD14	3.2
16	YNL299W	TRF5	3.2
17	YDR120C	TRM1	3.2
18	YLR409C	UTP21	3.2
19	YDL153C	SAS10	3.2
20	YDL060W	TSR1	3.2
21	YGR145W	ENP2	3.2
22	YHR196W	UTP9	3.2
23	YNL182C	IPI3	3.1
24	YGR128C	UTP8	3.1
25	YML093W	UTP14	3.1
26	YHR197W	RIX1	3.1
27	YBR155W	CNS1	3.1
28	YER126C	NSA2	3.1
29	YHR085W	IPI1	3.1
30	YDR299W	BFR2	3.1
31	YJR002W	MPP10	3.1
32	YBR142W	MAK5	3.1
33	YOL080C	REX4	3.1
34	YAL059W	ECM1	3.1
35	YNR053C	NOG2	3.1
36	YCR057C	PWP2	3.1
37	YOR206W	NOC2	3.1
38	YJL098W	SAP185	3.1
39	YJL069C	UTP18	3.1
40	YIL079C	AIR1	3.1
41	YPR112C	MRD1	3.1
42	YKR081C	RPF2	3.1
43	YGL171W	ROK1	3.1
44	YPL043W	NOP4	3.1
45	YLR129W	DIP2	3.1
46	YNL075W	IMP4	3.1
47	YBR247C	ENP1	3.1
48	YDR087C	RRP1	3.1
49	YFL002C	SPB4	3.1
50	YOR294W	RRS1	3.1
51	YHR052W	CIC1	3.1
52	YBR267W	REI1	3.1
53	YNR038W	DBP6	3.1
54	YCL054W	SPB1	3.1
55	YAL025C	MAK16	3.1
56	YCR072C	RSA4	3.1
57	YJL033W	HCA4	3.1
58	YMR093W	UTP15	3.1
59	YLR196W	PWP1	3.1
60	YGR187C	HGH1	3.1
61	YPL126W	NAN1	3.1
62	YNL110C	NOP15	3.1
63	YNL002C	RLP7	3.1
64	YDR324C	UTP4	3.1
65	YHR170W	NMD3	3.1
66	YHR148W	IMP3	3.0
67	YDR165W	TRM82	3.0
68	YIL104C	SHQ1	3.0
69	YOR272W	YTM1	3.0
70	YKL078W	DHR2	3.0
71	YIL019W	FAF1	3.0
72	YFL023W	BUD27	3.0
73	YLR009W	RLP24	3.0
74	YKL099C	UTP11	3.0
75	YDR361C	BCP1	3.0
76	YDR184C	ATC1	3.0
77	YHR069C	RRP4	3.0
78	YOR056C	NOB1	3.0
79	YDR280W	RRP45	3.0
80	YKL009W	MRT4	3.0
81	YOL144W	NOP8	3.0
82	YMR014W	BUD22	3.0
83	YLR002C	NOC3	3.0
84	YMR131C	RRB1	3.0
85	YER006W	NUG1	3.0
86	YDL031W	DBP10	3.0
87	YOL041C	NOP12	3.0
88	YLR336C	SGD1	3.0
89	YGL029W	CGR1	3.0
90	YER082C	UTP7	3.0
91	YOR004W	UTP23	3.0
92	YGR103W	NOP7	3.0
93	YJL050W	MTR4	3.0
94	YBR061C	TRM7	3.0
95	YLR222C	UTP13	3.0
96	YPR144C	NOC4	3.0
97	YNL132W	KRE33	3.0
98	YDR465C	RMT2	3.0
99	YPR190C	RPC82	3.0
100	YPL012W	RRP12	3.0
101	YLR221C	RSA3	3.0
102	YNL119W	NCS2	3.0
103	YPL030W	TRM44	3.0
104	YDR083W	RRP8	2.9
105	YHR169W	DBP8	2.9
106	YNL207W	RIO2	2.9
107	YNL308C	KRI1	2.9
108	YKL172W	EBP2	2.9
