SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ECM18

Rank	Gene	Common	Score
Q	YDR125C	ECM18	
1	YDR076W	RAD55	2.4
2	YDR255C	RMD5	2.4
3	YCR091W	KIN82	2.4
4	YDR085C	AFR1	2.3
5	YMR140W	SIP5	2.3
6	YOR386W	PHR1	2.3
7	YHR105W	YPT35	2.3
8	YLR047C	FRE8	2.3
9	YPL119C	DBP1	2.2
10	YDR358W	GGA1	2.2
11	YCR068W	ATG15	2.2
12	YPL166W	ATG29	2.2
13	YML118W	NGL3	2.2
14	YOL117W	RRI2	2.2
15	YGL053W	PRM8	2.2
16	YGL249W	ZIP2	2.2
17	YDR069C	DOA4	2.2
18	YIL097W	FYV10	2.2
19	YMR154C	RIM13	2.2
20	YDL238C	GUD1	2.1
21	YLL019C	KNS1	2.1
22	YIL037C	PRM2	2.1
23	YNL025C	SSN8	2.1
24	YMR250W	GAD1	2.1
25	YDR350C	ATP22	2.1
26	YKL189W	HYM1	2.1
27	YGL045W	RIM8	2.1
28	YPL165C	SET6	2.1
29	YLR258W	GSY2	2.1
30	YMR104C	YPK2	2.1
31	YGL259W	YPS5	2.1
32	YNL093W	YPT53	2.1
33	YLR270W	DCS1	2.1
34	YKL064W	MNR2	2.1
35	YMR110C	HFD1	2.1
36	YBR223C	TDP1	2.1
37	YJR106W	ECM27	2.1
38	YEL011W	GLC3	2.1
39	YDL024C	DIA3	2.1
40	YPR026W	ATH1	2.1
41	YCL004W	PGS1	2.1
42	YGR248W	SOL4	2.1
43	YLR251W	SYM1	2.1
44	YGL227W	VID30	2.1
45	YBR169C	SSE2	2.1
46	YJL155C	FBP26	2.1
47	YPL203W	TPK2	2.1
48	YKL093W	MBR1	2.1
49	YMR271C	URA10	2.0
50	YOL025W	LAG2	2.0
51	YDL204W	RTN2	2.0
52	YDR009W	GAL3	2.0
53	YDR436W	PPZ2	2.0
54	YDR096W	GIS1	2.0
55	YKL168C	KKQ8	2.0
56	YJL103C	GSM1	2.0
57	YPL186C	UIP4	2.0
58	YJL141C	YAK1	2.0
59	YAL034C	FUN19	2.0
60	YJL057C	IKS1	2.0
61	YJL066C	MPM1	2.0
62	YNL223W	ATG4	2.0
63	YKR103W	NFT1	2.0
64	YJL161W	FMP33	2.0
65	YIL101C	XBP1	2.0
66	YGL258W	VEL1	2.0
67	YBR132C	AGP2	2.0
68	YDL091C	UBX3	2.0
69	YMR053C	STB2	2.0
70	YGR019W	UGA1	2.0
71	YPL123C	RNY1	2.0
72	YDL169C	UGX2	2.0
