SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GIR2

Rank	Gene	Common	Score
Q	YDR152W	GIR2	
1	YDR412W	RRP17	4.2
2	YDR087C	RRP1	4.2
3	YNL110C	NOP15	4.1
4	YCL059C	KRR1	4.1
5	YHR081W	LRP1	3.9
6	YER002W	NOP16	3.9
7	YNL308C	KRI1	3.9
8	YDL213C	NOP6	3.9
9	YFR001W	LOC1	3.9
10	YLR221C	RSA3	3.9
11	YDR339C	FCF1	3.8
12	YDR361C	BCP1	3.8
13	YBR154C	RPB5	3.8
14	YLR009W	RLP24	3.8
15	YPR143W	RRP15	3.8
16	YDL201W	TRM8	3.8
17	YKR081C	RPF2	3.8
18	YDL153C	SAS10	3.8
19	YKL099C	UTP11	3.8
20	YGR081C	SLX9	3.8
21	YKL172W	EBP2	3.8
22	YKL082C	RRP14	3.7
23	YDR449C	UTP6	3.7
24	YDL051W	LHP1	3.7
25	YOR252W	TMA16	3.7
26	YGL029W	CGR1	3.7
27	YNL075W	IMP4	3.7
28	YKL009W	MRT4	3.7
29	YGL111W	NSA1	3.7
30	YOR340C	RPA43	3.7
31	YOR078W	BUD21	3.7
32	YLR276C	DBP9	3.7
33	YBR155W	CNS1	3.7
34	YGR145W	ENP2	3.7
35	YER126C	NSA2	3.7
36	YLR435W	TSR2	3.7
37	YDL208W	NHP2	3.7
38	YER127W	LCP5	3.7
39	YLR051C	FCF2	3.7
40	YHR088W	RPF1	3.7
41	YDR496C	PUF6	3.7
42	YDR083W	RRP8	3.7
43	YOR004W	UTP23	3.7
44	YHR066W	SSF1	3.6
45	YKL021C	MAK11	3.6
46	YGR103W	NOP7	3.6
47	YKL143W	LTV1	3.6
48	YJL148W	RPA34	3.6
49	YHR052W	CIC1	3.6
50	YNL151C	RPC31	3.6
51	YAL025C	MAK16	3.6
52	YMR269W	TMA23	3.6
53	YNL175C	NOP13	3.6
54	YIL019W	FAF1	3.6
55	YGR173W	RBG2	3.6
56	YDR190C	RVB1	3.6
57	YOR294W	RRS1	3.6
58	YPL086C	ELP3	3.6
59	YPL211W	NIP7	3.6
60	YPL043W	NOP4	3.6
61	YML093W	UTP14	3.6
62	YDR280W	RRP45	3.6
63	YDL148C	NOP14	3.6
64	YNL002C	RLP7	3.5
65	YNL113W	RPC19	3.5
66	YDL166C	FAP7	3.5
67	YDR021W	FAL1	3.5
68	YHR196W	UTP9	3.5
69	YOR091W	TMA46	3.5
70	YDR429C	TIF35	3.5
71	YHR170W	NMD3	3.5
72	YGR280C	PXR1	3.5
73	YNR054C	ESF2	3.5
74	YLR449W	FPR4	3.5
75	YER006W	NUG1	3.5
76	YMR014W	BUD22	3.5
77	YHR148W	IMP3	3.5
78	YGR271C-A	EFG1	3.5
79	YJL122W	ALB1	3.5
80	YOR206W	NOC2	3.5
81	YPL239W	YAR1	3.5
82	YGL099W	LSG1	3.5
83	YLR068W	FYV7	3.5
84	YLL011W	SOF1	3.5
85	YHR065C	RRP3	3.5
86	YPL146C	NOP53	3.5
87	YAL059W	ECM1	3.5
88	YNR024W	MPP6	3.5
89	YPR112C	MRD1	3.5
90	YOL077C	BRX1	3.5
91	YOR145C	PNO1	3.5
92	YOL093W	TRM10	3.5
93	YLR003C	CMS1	3.5
94	YMR131C	RRB1	3.5
95	YPL266W	DIM1	3.4
96	YCL031C	RRP7	3.4
97	YPR110C	RPC40	3.4
98	YLR175W	CBF5	3.4
99	YDL060W	TSR1	3.4
100	YHL013C	OTU2	3.4
101	YDR165W	TRM82	3.4
102	YLR196W	PWP1	3.4
103	YNL061W	NOP2	3.4
104	YJR002W	MPP10	3.4
105	YDR465C	RMT2	3.4
106	YBR142W	MAK5	3.4
107	YDR120C	TRM1	3.4
108	YDR184C	ATC1	3.4
109	YJR072C	NPA3	3.4
110	YKR060W	UTP30	3.4
111	YER082C	UTP7	3.4
112	YBR247C	ENP1	3.4
113	YGR195W	SKI6	3.4
114	YOL080C	REX4	3.4
115	YLR074C	BUD20	3.4
116	YJL125C	GCD14	3.4
117	YCL054W	SPB1	3.4
118	YMR239C	RNT1	3.3
119	YOR272W	YTM1	3.3
120	YDR365C	ESF1	3.3
121	YNL182C	IPI3	3.3
122	YGR128C	UTP8	3.3
123	YDR060W	MAK21	3.3
124	YBR061C	TRM7	3.3
125	YDR299W	BFR2	3.3
126	YHR069C	RRP4	3.3
127	YOR056C	NOB1	3.3
128	YDR312W	SSF2	3.3
129	YGR187C	HGH1	3.3
130	YPR169W	JIP5	3.3
131	YHR085W	IPI1	3.3
132	YDL150W	RPC53	3.3
133	YDR324C	UTP4	3.3
