SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RVB1

Rank	Gene	Common	Score
Q	YDR190C	RVB1	
1	YOR046C	DBP5	4.0
2	YPL086C	ELP3	3.9
3	YHR052W	CIC1	3.8
4	YDR496C	PUF6	3.8
5	YDR324C	UTP4	3.8
6	YDR165W	TRM82	3.8
7	YKR081C	RPF2	3.7
8	YNL061W	NOP2	3.7
9	YLR276C	DBP9	3.7
10	YMR131C	RRB1	3.7
11	YPR110C	RPC40	3.7
12	YBR154C	RPB5	3.7
13	YOR361C	PRT1	3.7
14	YLR196W	PWP1	3.7
15	YHR065C	RRP3	3.7
16	YPR163C	TIF3	3.7
17	YOR206W	NOC2	3.7
18	YDR087C	RRP1	3.7
19	YKL021C	MAK11	3.7
20	YHR170W	NMD3	3.7
21	YNL248C	RPA49	3.6
22	YOR168W	GLN4	3.6
23	YDR211W	GCD6	3.6
24	YLR009W	RLP24	3.6
25	YDR023W	SES1	3.6
26	YNL110C	NOP15	3.6
27	YGR173W	RBG2	3.6
28	YOR340C	RPA43	3.6
29	YER126C	NSA2	3.6
30	YDL060W	TSR1	3.6
31	YML093W	UTP14	3.6
32	YLR175W	CBF5	3.6
33	YDR449C	UTP6	3.6
34	YGL099W	LSG1	3.6
35	YPL211W	NIP7	3.6
36	YNL175C	NOP13	3.6
37	YDR152W	GIR2	3.6
38	YKL009W	MRT4	3.6
39	YDL201W	TRM8	3.6
40	YOR243C	PUS7	3.6
41	YDL166C	FAP7	3.6
42	YDL153C	SAS10	3.6
43	YMR146C	TIF34	3.6
44	YHR196W	UTP9	3.6
45	YLR129W	DIP2	3.6
46	YLR197W	NOP56	3.5
47	YDL051W	LHP1	3.5
48	YDR091C	RLI1	3.5
49	YPL043W	NOP4	3.5
50	YDR172W	SUP35	3.5
51	YKL172W	EBP2	3.5
52	YHR148W	IMP3	3.5
53	YCL059C	KRR1	3.5
54	YGR128C	UTP8	3.5
55	YLR221C	RSA3	3.5
56	YDL148C	NOP14	3.5
57	YER082C	UTP7	3.5
58	YGR187C	HGH1	3.5
59	YGR162W	TIF4631	3.5
60	YDR429C	TIF35	3.5
61	YPR041W	TIF5	3.5
62	YGL111W	NSA1	3.5
63	YDL208W	NHP2	3.5
64	YPL237W	SUI3	3.5
65	YER025W	GCD11	3.5
66	YOR310C	NOP58	3.5
67	YER006W	NUG1	3.5
68	YDR412W	RRP17	3.5
69	YBR143C	SUP45	3.5
70	YOL097C	WRS1	3.5
71	YGL078C	DBP3	3.5
72	YOR272W	YTM1	3.5
73	YLR060W	FRS1	3.5
74	YJR002W	MPP10	3.5
75	YHL011C	PRS3	3.5
76	YDR395W	SXM1	3.5
77	YDR361C	BCP1	3.5
78	YBL024W	NCL1	3.5
79	YAL036C	RBG1	3.5
80	YGR200C	ELP2	3.4
81	YGR083C	GCD2	3.4
82	YDR465C	RMT2	3.4
83	YGL097W	SRM1	3.4
84	YMR309C	NIP1	3.4
85	YDR300C	PRO1	3.4
86	YGR145W	ENP2	3.4
87	YNL113W	RPC19	3.4
88	YGR103W	NOP7	3.4
89	YNL075W	IMP4	3.4
90	YLR409C	UTP21	3.4
91	YCL054W	SPB1	3.4
92	YOL077C	BRX1	3.4
93	YBL068W	PRS4	3.4
94	YKR026C	GCN3	3.4
95	YJL148W	RPA34	3.4
96	YLR222C	UTP13	3.4
97	YBL039C	URA7	3.4
98	YPR112C	MRD1	3.4
