SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GCD6

Rank	Gene	Common	Score
Q	YDR211W	GCD6	
1	YDL148C	NOP14	3.8
2	YGR162W	TIF4631	3.7
3	YDR324C	UTP4	3.7
4	YLR276C	DBP9	3.6
5	YDR190C	RVB1	3.6
6	YPL126W	NAN1	3.6
7	YLR129W	DIP2	3.6
8	YOR206W	NOC2	3.6
9	YDL153C	SAS10	3.6
10	YGR200C	ELP2	3.6
11	YPL086C	ELP3	3.6
12	YDR395W	SXM1	3.5
13	YGL099W	LSG1	3.5
14	YJL050W	MTR4	3.5
15	YLR196W	PWP1	3.5
16	YNL248C	RPA49	3.5
17	YHR065C	RRP3	3.5
18	YDR496C	PUF6	3.5
19	YGR128C	UTP8	3.5
20	YDR091C	RLI1	3.5
21	YPR163C	TIF3	3.5
22	YDR165W	TRM82	3.5
23	YPL160W	CDC60	3.5
24	YPL263C	KEL3	3.5
25	YOR168W	GLN4	3.4
26	YPR110C	RPC40	3.4
27	YOR243C	PUS7	3.4
28	YGR173W	RBG2	3.4
29	YMR309C	NIP1	3.4
30	YKL021C	MAK11	3.4
31	YGR145W	ENP2	3.4
32	YNL132W	KRE33	3.4
33	YDL060W	TSR1	3.4
34	YDR120C	TRM1	3.4
35	YLR409C	UTP21	3.4
36	YNL061W	NOP2	3.4
37	YDL051W	LHP1	3.4
38	YPR112C	MRD1	3.4
39	YJR002W	MPP10	3.4
40	YMR131C	RRB1	3.4
41	YHR170W	NMD3	3.4
42	YBR142W	MAK5	3.4
43	YCL059C	KRR1	3.4
44	YOR260W	GCD1	3.4
45	YER006W	NUG1	3.3
46	YBL039C	URA7	3.3
47	YOR361C	PRT1	3.3
48	YGL111W	NSA1	3.3
49	YDR465C	RMT2	3.3
50	YPR010C	RPA135	3.3
51	YPL012W	RRP12	3.3
52	YPL226W	NEW1	3.3
53	YER082C	UTP7	3.3
54	YML093W	UTP14	3.3
55	YAL019W	FUN30	3.3
56	YKR081C	RPF2	3.3
57	YGR264C	MES1	3.3
58	YOR046C	DBP5	3.3
59	YHR196W	UTP9	3.3
60	YOR207C	RET1	3.3
61	YHR197W	RIX1	3.3
62	YGL171W	ROK1	3.3
63	YGR103W	NOP7	3.3
64	YDR245W	MNN10	3.3
65	YEL055C	POL5	3.3
66	YNL207W	RIO2	3.3
67	YLR197W	NOP56	3.3
68	YPL043W	NOP4	3.3
69	YAL035W	FUN12	3.3
70	YOR272W	YTM1	3.3
71	YCR057C	PWP2	3.3
72	YOR341W	RPA190	3.3
73	YGR083C	GCD2	3.3
74	YLR222C	UTP13	3.3
75	YDR087C	RRP1	3.2
76	YER049W	TPA1	3.2
77	YGL078C	DBP3	3.2
78	YDL112W	TRM3	3.2
79	YMR049C	ERB1	3.2
80	YDL167C	NRP1	3.2
81	YLL008W	DRS1	3.2
82	YPR190C	RPC82	3.2
83	YCL054W	SPB1	3.2
84	YFL002C	SPB4	3.2
85	YHR066W	SSF1	3.2
86	YMR229C	RRP5	3.2
87	YDR172W	SUP35	3.2
88	YDR449C	UTP6	3.2
89	YLR221C	RSA3	3.2
90	YLR002C	NOC3	3.2
91	YJL148W	RPA34	3.2
92	YER126C	NSA2	3.2
93	YNL175C	NOP13	3.2
94	YMR239C	RNT1	3.2
95	YDR300C	PRO1	3.2
96	YLL011W	SOF1	3.2
97	YDR299W	BFR2	3.2
98	YLR449W	FPR4	3.2
99	YOR340C	RPA43	3.2
100	YGR187C	HGH1	3.2
101	YLR175W	CBF5	3.2
102	YDR101C	ARX1	3.2
103	YDR398W	UTP5	3.2
104	YOL097C	WRS1	3.2
105	YBR247C	ENP1	3.2
106	YLR384C	IKI3	3.2
107	YJL010C	NOP9	3.2
108	YDR312W	SSF2	3.1
109	YDR361C	BCP1	3.1
110	YBR154C	RPB5	3.1
111	YJL033W	HCA4	3.1
112	YGR245C	SDA1	3.1
113	YPL217C	BMS1	3.1
114	YBL024W	NCL1	3.1
115	YDR083W	RRP8	3.1
116	YMR290C	HAS1	3.1
117	YHR148W	IMP3	3.1
118	YPR137W	RRP9	3.1
119	YLR336C	SGD1	3.1
120	YOR310C	NOP58	3.1
121	YNL308C	KRI1	3.1
122	YHL011C	PRS3	3.1
123	YKR079C	TRZ1	3.1
124	YJR007W	SUI2	3.1
125	YKR026C	GCN3	3.1
126	YDR023W	SES1	3.1
127	YKL172W	EBP2	3.1
128	YDR021W	FAL1	3.1
129	YHR052W	CIC1	3.1
130	YNR012W	URK1	3.1
131	YNL110C	NOP15	3.1
132	YOR001W	RRP6	3.1
133	YKL009W	MRT4	3.1
134	YNL182C	IPI3	3.1
135	YPL211W	NIP7	3.1
136	YIR012W	SQT1	3.1
137	YHR069C	RRP4	3.1
138	YPR041W	TIF5	3.1
139	YNR053C	NOG2	3.1
140	YKL205W	LOS1	3.1
141	YER025W	GCD11	3.1
142	YPL093W	NOG1	3.1
143	YBR121C	GRS1	3.1
144	YDR346C	SVF1	3.1
145	YOR335C	ALA1	3.1
146	YPL266W	DIM1	3.1
147	YNL292W	PUS4	3.1
148	YOR048C	RAT1	3.1
149	YBL068W	PRS4	3.1
150	YJL069C	UTP18	3.1
151	YBR084W	MIS1	3.1
152	YLR003C	CMS1	3.1
153	YKR082W	NUP133	3.1
154	YML080W	DUS1	3.1
155	YMR093W	UTP15	3.1
156	YLL034C	RIX7	3.1
157	YKL014C	URB1	3.1
158	YDR184C	ATC1	3.1
159	YMR128W	ECM16	3.1
160	YAL036C	RBG1	3.1
161	YDL031W	DBP10	3.1
162	YLR009W	RLP24	3.1
163	YGL120C	PRP43	3.1
164	YOR056C	NOB1	3.1
165	YER127W	LCP5	3.1
166	YLR060W	FRS1	3.1
167	YOL041C	NOP12	3.1
168	YNL163C	RIA1	3.1
169	YPR033C	HTS1	3.1
170	YDR060W	MAK21	3.1
171	YNL256W	FOL1	3.1
172	YJL125C	GCD14	3.0
173	YKL143W	LTV1	3.0
174	YLR435W	TSR2	3.0
175	YDL150W	RPC53	3.0
176	YBR143C	SUP45	3.0
177	YBR155W	CNS1	3.0
178	YGR158C	MTR3	3.0
179	YNL002C	RLP7	3.0
180	YPL237W	SUI3	3.0
181	YNR038W	DBP6	3.0
182	YOR294W	RRS1	3.0
183	YPL183C	RTT10	3.0
184	YHR088W	RPF1	3.0
185	YNL113W	RPC19	3.0
186	YOL077C	BRX1	3.0
187	YHR064C	SSZ1	3.0
188	YGR123C	PPT1	3.0
189	YNL075W	IMP4	3.0
190	YBR079C	RPG1	3.0
191	YNL062C	GCD10	3.0
192	YDR152W	GIR2	3.0
193	YFR002W	NIC96	3.0
194	YGR159C	NSR1	3.0
195	YPL243W	SRP68	3.0
196	YKL181W	PRS1	3.0
197	YNR003C	RPC34	3.0
198	YNL151C	RPC31	3.0
199	YDR280W	RRP45	3.0
200	YJL098W	SAP185	3.0
201	YNL123W	NMA111	3.0
202	YBR061C	TRM7	3.0
203	YFR009W	GCN20	3.0
204	YDR412W	RRP17	3.0
205	YBL076C	ILS1	3.0
206	YJR041C	URB2	3.0
207	YMR212C	EFR3	3.0
208	YPR169W	JIP5	3.0
209	YDL201W	TRM8	3.0
210	YAL025C	MAK16	3.0
211	YOL076W	MDM20	3.0
212	YPR144C	NOC4	3.0
213	YGR090W	UTP22	2.9
214	YJR132W	NMD5	2.9
215	YGR094W	VAS1	2.9
216	YMR308C	PSE1	2.9
217	YJR032W	CPR7	2.9
218	YKR024C	DBP7	2.9
219	YDR037W	KRS1	2.9
220	YDR212W	TCP1	2.9
221	YDR365C	ESF1	2.9
222	YJL109C	UTP10	2.9
223	YIR026C	YVH1	2.9
224	YDR339C	FCF1	2.9
225	YLR397C	AFG2	2.9
226	YDL074C	BRE1	2.9
227	YER110C	KAP123	2.9
228	YJL111W	CCT7	2.9
229	YPR048W	TAH18	2.9
230	YML056C	IMD4	2.9
231	YFL023W	BUD27	2.9
232	YLR335W	NUP2	2.9
233	YKL099C	UTP11	2.9
234	YPL050C	MNN9	2.9
235	YOR004W	UTP23	2.9
236	YDL166C	FAP7	2.9
237	YKR056W	TRM2	2.9
238	YOL061W	PRS5	2.9
239	YDR045C	RPC11	2.9
240	YDR110W	FOB1	2.9
241	YPL207W	TYW1	2.9
242	YOL139C	CDC33	2.9
243	YDL014W	NOP1	2.9
244	YOR241W	MET7	2.9
245	YKL078W	DHR2	2.9
