SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MFB1

Rank	Gene	Common	Score
Q	YDR219C	MFB1	
1	YDL115C	IWR1	2.7
2	YJL036W	SNX4	2.7
3	YBR290W	BSD2	2.6
4	YDL028C	MPS1	2.6
5	YGR046W	TAM41	2.6
6	YDL113C	ATG20	2.6
7	YOR244W	ESA1	2.6
8	YIL105C	SLM1	2.6
9	YDR358W	GGA1	2.5
10	YDR200C	VPS64	2.5
11	YMR311C	GLC8	2.5
12	YIL097W	FYV10	2.5
13	YDL005C	MED2	2.5
14	YIL045W	PIG2	2.5
15	YDR096W	GIS1	2.5
16	YDR289C	RTT103	2.5
17	YDR425W	SNX41	2.5
18	YML034W	SRC1	2.5
19	YMR115W	MGR3	2.5
20	YNR007C	ATG3	2.5
21	YDL091C	UBX3	2.5
22	YDR505C	PSP1	2.4
23	YDL065C	PEX19	2.4
24	YIL144W	NDC80	2.4
25	YLR102C	APC9	2.4
26	YNL223W	ATG4	2.4
27	YGL227W	VID30	2.4
28	YDL147W	RPN5	2.4
29	YDR202C	RAV2	2.4
30	YDR229W	IVY1	2.4
31	YDR460W	TFB3	2.4
32	YDR329C	PEX3	2.4
33	YDL056W	MBP1	2.4
34	YEL061C	CIN8	2.4
35	YNL225C	CNM67	2.4
36	YGR002C	SWC4	2.4
37	YOR147W	MDM32	2.4
38	YOL100W	PKH2	2.4
39	YLR238W	FAR10	2.4
40	YMR030W	RSF1	2.4
41	YJL155C	FBP26	2.4
42	YDR176W	NGG1	2.3
43	YMR029C	FAR8	2.3
44	YDR244W	PEX5	2.3
45	YDR027C	VPS54	2.3
46	YIL036W	CST6	2.3
47	YDR208W	MSS4	2.3
48	YCL051W	LRE1	2.3
49	YDR479C	PEX29	2.3
50	YDR088C	SLU7	2.3
51	YPR025C	CCL1	2.3
52	YHR090C	YNG2	2.3
53	YER162C	RAD4	2.3
54	YFL049W	SWP82	2.3
55	YBR165W	UBS1	2.3
56	YKL142W	MRP8	2.3
57	YDR227W	SIR4	2.3
58	YER059W	PCL6	2.3
59	YDR485C	VPS72	2.3
60	YOR054C	VHS3	2.3
61	YDR254W	CHL4	2.3
62	YJL023C	PET130	2.3
63	YMR097C	MTG1	2.3
64	YDL106C	PHO2	2.3
65	YDR484W	VPS52	2.3
66	YKL124W	SSH4	2.3
67	YMR028W	TAP42	2.3
68	YEL012W	UBC8	2.3
69	YCL052C	PBN1	2.3
70	YBR255W	MTC4	2.3
