SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SNU56

Rank	Gene	Common	Score
Q	YDR240C	SNU56	
1	YDR075W	PPH3	2.5
2	YIL104C	SHQ1	2.5
3	YDR280W	RRP45	2.5
4	YDR198C	RKM2	2.5
5	YGL246C	RAI1	2.5
6	YDR110W	FOB1	2.5
7	YHR167W	THP2	2.5
8	YPL030W	TRM44	2.4
9	YML080W	DUS1	2.4
10	YHR069C	RRP4	2.4
11	YDR449C	UTP6	2.4
12	YMR093W	UTP15	2.4
13	YNL164C	IBD2	2.4
14	YDR021W	FAL1	2.4
15	YDL074C	BRE1	2.4
16	YPR048W	TAH18	2.4
17	YCR054C	CTR86	2.4
18	YMR127C	SAS2	2.4
19	YNL119W	NCS2	2.4
20	YFL001W	DEG1	2.4
21	YJL125C	GCD14	2.4
22	YPR137W	RRP9	2.4
23	YNL075W	IMP4	2.4
24	YDR361C	BCP1	2.3
25	YHR085W	IPI1	2.3
26	YDR184C	ATC1	2.3
27	YDR496C	PUF6	2.3
28	YHR196W	UTP9	2.3
29	YJR055W	HIT1	2.3
30	YER127W	LCP5	2.3
31	YEL029C	BUD16	2.3
32	YDL001W	RMD1	2.3
33	YDR013W	PSF1	2.3
34	YOL010W	RCL1	2.3
35	YDR245W	MNN10	2.3
36	YLR336C	SGD1	2.3
37	YMR268C	PRP24	2.3
38	YDR211W	GCD6	2.3
39	YOR143C	THI80	2.3
40	YCR035C	RRP43	2.3
41	YDR339C	FCF1	2.3
42	YGR200C	ELP2	2.3
43	YJL006C	CTK2	2.3
44	YDL116W	NUP84	2.3
45	YPR190C	RPC82	2.3
46	YHR052W	CIC1	2.3
47	YLR215C	CDC123	2.3
48	YGR128C	UTP8	2.3
49	YDL166C	FAP7	2.3
50	YDR165W	TRM82	2.3
51	YOL115W	PAP2	2.3
52	YBL014C	RRN6	2.3
53	YDR324C	UTP4	2.3
54	YNL299W	TRF5	2.3
55	YDL030W	PRP9	2.3
56	YPL254W	HFI1	2.3
57	YMR239C	RNT1	2.3
58	YKL166C	TPK3	2.3
59	YHR066W	SSF1	2.3
60	YBR247C	ENP1	2.3
