SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CHL4

Rank	Gene	Common	Score
Q	YDR254W	CHL4	
1	YDR255C	RMD5	2.6
2	YDL091C	UBX3	2.4
3	YDR358W	GGA1	2.4
4	YJL164C	TPK1	2.4
5	YJL036W	SNX4	2.3
6	YDL010W	GRX6	2.3
7	YDR219C	MFB1	2.3
8	YOR245C	DGA1	2.3
9	YPL203W	TPK2	2.3
10	YDR318W	MCM21	2.3
11	YGR194C	XKS1	2.2
12	YDL115C	IWR1	2.2
13	YGL227W	VID30	2.2
14	YCL052C	PBN1	2.2
15	YPL196W	OXR1	2.2
16	YDR200C	VPS64	2.2
17	YIL017C	VID28	2.2
18	YKL065C	YET1	2.2
19	YDR003W	RCR2	2.2
20	YDR436W	PPZ2	2.2
21	YDR253C	MET32	2.2
22	YNL223W	ATG4	2.2
23	YNL159C	ASI2	2.2
24	YDL059C	RAD59	2.2
25	YEL012W	UBC8	2.2
26	YDR258C	HSP78	2.2
27	YJL060W	BNA3	2.2
28	YGL093W	SPC105	2.2
29	YLR151C	PCD1	2.2
30	YHR004C	NEM1	2.2
31	YPL116W	HOS3	2.2
32	YHR171W	ATG7	2.2
33	YIL107C	PFK26	2.2
34	YPR026W	ATH1	2.2
35	YMR110C	HFD1	2.1
36	YCL034W	LSB5	2.1
37	YPL100W	ATG21	2.1
38	YDR315C	IPK1	2.1
39	YDR335W	MSN5	2.1
40	YOL100W	PKH2	2.1
41	YDR027C	VPS54	2.1
42	YIR017C	MET28	2.1
43	YPL123C	RNY1	2.1
44	YDR452W	PPN1	2.1
45	YKR014C	YPT52	2.1
46	YIL097W	FYV10	2.1
47	YER101C	AST2	2.1
48	YJL155C	FBP26	2.1
49	YBL064C	PRX1	2.1
50	YDR202C	RAV2	2.1
51	YPL152W	RRD2	2.1
52	YLR423C	ATG17	2.1
53	YMR284W	YKU70	2.1
54	YEL072W	RMD6	2.1
55	YPR155C	NCA2	2.1
56	YDR479C	PEX29	2.1
57	YNL183C	NPR1	2.1
58	YDL234C	GYP7	2.1
59	YPL120W	VPS30	2.1
60	YDR329C	PEX3	2.1
61	YOR275C	RIM20	2.1
62	YCR036W	RBK1	2.1
63	YMR139W	RIM11	2.1
64	YBL078C	ATG8	2.1
65	YDL006W	PTC1	2.1
66	YMR053C	STB2	2.1
67	YOL082W	ATG19	2.1
68	YER142C	MAG1	2.1
69	YDL020C	RPN4	2.1
70	YER059W	PCL6	2.1
71	YDL134C	PPH21	2.1
72	YIL045W	PIG2	2.1
73	YDR287W	INM2	2.1
74	YJR036C	HUL4	2.1
75	YGR179C	OKP1	2.1
76	YBR272C	HSM3	2.1
77	YDR484W	VPS52	2.1
78	YJL059W	YHC3	2.1
79	YJL057C	IKS1	2.1
80	YDR289C	RTT103	2.1
81	YDR251W	PAM1	2.1
82	YBR128C	ATG14	2.1
83	YPR025C	CCL1	2.1
84	YOR070C	GYP1	2.1
85	YDL101C	DUN1	2.1
86	YDL149W	ATG9	2.1
87	YGL096W	TOS8	2.1
88	YOL117W	RRI2	2.1
89	YDR490C	PKH1	2.1
90	YOR054C	VHS3	2.1
91	YBR199W	KTR4	2.1
92	YLR102C	APC9	2.1
93	YDL076C	RXT3	2.1
94	YBR001C	NTH2	2.1
95	YDR171W	HSP42	2.1
96	YDL113C	ATG20	2.1
97	YDR504C	SPG3	2.1
98	YIL124W	AYR1	2.0
99	YDR173C	ARG82	2.0
100	YPR023C	EAF3	2.0
101	YDL110C	TMA17	2.0
102	YHR075C	PPE1	2.0
103	YAL031C	GIP4	2.0
104	YDL132W	CDC53	2.0
105	YBR026C	ETR1	2.0
106	YJL141C	YAK1	2.0
107	YGR046W	TAM41	2.0
108	YDR204W	COQ4	2.0
109	YMR097C	MTG1	2.0
110	YPL087W	YDC1	2.0
111	YGR223C	HSV2	2.0
112	YBR214W	SDS24	2.0
113	YCL035C	GRX1	2.0
114	YNL008C	ASI3	2.0
115	YLR360W	VPS38	2.0
116	YLR270W	DCS1	2.0
117	YOR036W	PEP12	2.0
118	YPL003W	ULA1	2.0
119	YDL216C	RRI1	2.0
120	YOL113W	SKM1	2.0
121	YDR058C	TGL2	2.0
122	YMR197C	VTI1	2.0
123	YGL161C	YIP5	2.0
124	YHL036W	MUP3	2.0
125	YER054C	GIP2	2.0
126	YEL011W	GLC3	2.0
127	YER098W	UBP9	2.0
128	YLR251W	SYM1	2.0
129	YDL065C	PEX19	2.0
130	YKL142W	MRP8	2.0
131	YLR097C	HRT3	2.0
132	YBR255W	MTC4	2.0
133	YKL126W	YPK1	2.0
134	YDR118W	APC4	2.0
135	YDR085C	AFR1	2.0
136	YHR037W	PUT2	2.0
137	YNL215W	IES2	2.0
138	YNL257C	SIP3	2.0
139	YDL197C	ASF2	2.0
140	YGL250W	RMR1	2.0
141	YGL095C	VPS45	2.0
142	YGR196C	FYV8	2.0
143	YLR142W	PUT1	2.0
144	YDR407C	TRS120	2.0
145	YHR161C	YAP1801	2.0
146	YML034W	SRC1	2.0
147	YDR456W	NHX1	2.0
148	YDR350C	ATP22	2.0
149	YNL212W	VID27	2.0
150	YLR189C	ATG26	2.0
151	YGR154C	GTO1	2.0
152	YDR288W	NSE3	2.0
153	YHR002W	LEU5	2.0
154	YDL028C	MPS1	2.0
155	YKR003W	OSH6	2.0
156	YGL252C	RTG2	2.0
157	YGR231C	PHB2	2.0
158	YBR183W	YPC1	2.0
159	YPL214C	THI6	2.0
160	YDL072C	YET3	2.0
161	YDR425W	SNX41	2.0
162	YBR024W	SCO2	2.0
163	YER046W	SPO73	2.0
164	YDL169C	UGX2	2.0
165	YOR329C	SCD5	2.0
166	YML004C	GLO1	2.0
167	YGL004C	RPN14	2.0
168	YKL034W	TUL1	2.0
169	YER143W	DDI1	2.0
170	YGL154C	LYS5	2.0
171	YDR284C	DPP1	2.0
172	YLR165C	PUS5	2.0
