SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MTH1

Rank	Gene	Common	Score
Q	YDR277C	MTH1	
1	YBR298C	MAL31	3.3
2	YMR081C	ISF1	3.2
3	YLR327C	TMA10	3.2
4	YKL109W	HAP4	3.2
5	YFR053C	HXK1	3.1
6	YOR178C	GAC1	3.1
7	YFR015C	GSY1	3.0
8	YDL079C	MRK1	3.0
9	YEL011W	GLC3	3.0
10	YHR092C	HXT4	2.9
11	YDR343C	HXT6	2.9
12	YGR243W	MPC3	2.9
13	YPR030W	CSR2	2.9
14	YBR297W	MAL33	2.9
15	YKR058W	GLG1	2.9
16	YDL194W	SNF3	2.9
17	YBR203W	COS111	2.8
18	YKL062W	MSN4	2.8
19	YGL035C	MIG1	2.8
20	YDR096W	GIS1	2.8
21	YGR289C	MAL11	2.8
22	YDR342C	HXT7	2.8
23	YDR516C	EMI2	2.8
24	YDL048C	STP4	2.7
25	YEL039C	CYC7	2.7
26	YBR105C	VID24	2.7
27	YPL230W	USV1	2.7
28	YIL136W	OM45	2.7
29	YOR120W	GCY1	2.7
30	YMR280C	CAT8	2.7
31	YDR085C	AFR1	2.7
32	YPL057C	SUR1	2.6
33	YMR105C	PGM2	2.6
34	YER054C	GIP2	2.6
35	YCR091W	KIN82	2.6
36	YKL093W	MBR1	2.6
37	YNR002C	ATO2	2.6
38	YOR374W	ALD4	2.6
39	YBR230C	OM14	2.6
40	YPL186C	UIP4	2.6
41	YDR171W	HSP42	2.6
42	YLR258W	GSY2	2.6
43	YML091C	RPM2	2.5
44	YML120C	NDI1	2.5
45	YKL085W	MDH1	2.5
46	YPR160W	GPH1	2.5
47	YDR178W	SDH4	2.5
48	YLL041C	SDH2	2.5
49	YJL141C	YAK1	2.5
50	YOR173W	DCS2	2.5
51	YER150W	SPI1	2.5
52	YDL110C	TMA17	2.5
53	YDR148C	KGD2	2.5
54	YDR216W	ADR1	2.5
55	YML100W	TSL1	2.5
56	YIL101C	XBP1	2.5
57	YCL040W	GLK1	2.5
58	YKL217W	JEN1	2.5
59	YBR183W	YPC1	2.5
60	YBL064C	PRX1	2.5
61	YOL052C-A	DDR2	2.5
62	YDR074W	TPS2	2.5
63	YDR231C	COX20	2.5
64	YBR169C	SSE2	2.4
65	YAL034C	FUN19	2.4
66	YGR008C	STF2	2.4
67	YGR161C	RTS3	2.4
68	YBR072W	HSP26	2.4
69	YDL204W	RTN2	2.4
70	YGR248W	SOL4	2.4
71	YPR184W	GDB1	2.4
72	YMR011W	HXT2	2.4
73	YIL162W	SUC2	2.4
74	YDR070C	FMP16	2.4
75	YMR107W	SPG4	2.4
76	YPR026W	ATH1	2.4
77	YML128C	MSC1	2.4
78	YDR258C	HSP78	2.4
79	YPL026C	SKS1	2.4
80	YPL054W	LEE1	2.4
81	YNL125C	ESBP6	2.4
82	YNL077W	APJ1	2.4
83	YNR001C	CIT1	2.4
84	YGL121C	GPG1	2.4
85	YDR313C	PIB1	2.4
86	YHR096C	HXT5	2.4
87	YGR070W	ROM1	2.4
88	YDR247W	VHS1	2.4
89	YGR174C	CBP4	2.4
90	YBR214W	SDS24	2.4
91	YDR358W	GGA1	2.4
92	YAL061W	BDH2	2.4
93	YBL078C	ATG8	2.4
94	YMR136W	GAT2	2.4
95	YLL019C	KNS1	2.4
96	YDL020C	RPN4	2.4
97	YDL169C	UGX2	2.4
98	YMR250W	GAD1	2.3
99	YMR104C	YPK2	2.3
100	YIL107C	PFK26	2.3
101	YOR028C	CIN5	2.3
102	YGL096W	TOS8	2.3
103	YHR087W	RTC3	2.3
104	YER053C	PIC2	2.3
105	YBR269C	SDH8	2.3
106	YKR076W	ECM4	2.3
107	YBR050C	REG2	2.3
108	YGL037C	PNC1	2.3
109	YIL155C	GUT2	2.3
110	YER035W	EDC2	2.3
111	YIL111W	COX5B	2.3
112	YEL012W	UBC8	2.3
113	YGR043C	NQM1	2.3
114	YFL030W	AGX1	2.3
115	YHR195W	NVJ1	2.3
116	YIL045W	PIG2	2.3
117	YJL155C	FBP26	2.3
118	YGR088W	CTT1	2.3
119	YOR031W	CRS5	2.3
120	YKR098C	UBP11	2.3
121	YBR001C	NTH2	2.3
122	YBL015W	ACH1	2.3
123	YAL060W	BDH1	2.3
124	YEL060C	PRB1	2.3
125	YPL119C	DBP1	2.3
126	YKL026C	GPX1	2.3
127	YMR110C	HFD1	2.3
128	YFL014W	HSP12	2.3
129	YJL103C	GSM1	2.3
130	YPL004C	LSP1	2.3
131	YML054C	CYB2	2.3
132	YKL148C	SDH1	2.3
133	YMR195W	ICY1	2.3
134	YPL134C	ODC1	2.3
135	YDL021W	GPM2	2.3
136	YDL181W	INH1	2.3
137	YOL084W	PHM7	2.3
138	YDR001C	NTH1	2.3
139	YMR135C	GID8	2.3
140	YIL097W	FYV10	2.3
141	YDR345C	HXT3	2.3
142	YPR005C	HAL1	2.3
143	YDR009W	GAL3	2.3
144	YMR191W	SPG5	2.3
145	YMR169C	ALD3	2.3
146	YIL122W	POG1	2.3
147	YLR178C	TFS1	2.3
148	YIL036W	CST6	2.3
149	YGL006W	PMC1	2.3
150	YGR194C	XKS1	2.3
151	YER098W	UBP9	2.2
152	YJL066C	MPM1	2.2
153	YLL026W	HSP104	2.2
154	YBL043W	ECM13	2.2
155	YER015W	FAA2	2.2
156	YDL214C	PRR2	2.2
157	YPR151C	SUE1	2.2
158	YER037W	PHM8	2.2
159	YGR032W	GSC2	2.2
160	YGR023W	MTL1	2.2
161	YDR275W	BSC2	2.2
162	YKR049C	FMP46	2.2
163	YFR014C	CMK1	2.2
164	YNL173C	MDG1	2.2
165	YKL150W	MCR1	2.2
166	YDR406W	PDR15	2.2
167	YJL082W	IML2	2.2
168	YIL017C	VID28	2.2
169	YNL160W	YGP1	2.2
170	YKL163W	PIR3	2.2
171	YOR100C	CRC1	2.2
172	YDR436W	PPZ2	2.2
173	YJL164C	TPK1	2.2
174	YLR174W	IDP2	2.2
175	YHL021C	AIM17	2.2
176	YBR126C	TPS1	2.2
177	YBL049W	MOH1	2.2
178	YPL203W	TPK2	2.2
179	YGL209W	MIG2	2.2
180	YDR043C	NRG1	2.2
181	YHL032C	GUT1	2.2
182	YHL024W	RIM4	2.2
183	YFR049W	KGD4	2.2
184	YLR142W	PUT1	2.2
185	YOR273C	TPO4	2.2
186	YBR033W	EDS1	2.2
187	YJL079C	PRY1	2.2
188	YNL274C	GOR1	2.2
189	YDL130W-A	STF1	2.2
190	YCR021C	HSP30	2.2
191	YOR036W	PEP12	2.2
192	YGL208W	SIP2	2.2
193	YIL050W	PCL7	2.2
194	YOL126C	MDH2	2.2
195	YOR032C	HMS1	2.2
196	YBR299W	MAL32	2.2
197	YPL222W	FMP40	2.2
198	YPL123C	RNY1	2.2
199	YDR059C	UBC5	2.2
200	YIR038C	GTT1	2.2
201	YKR009C	FOX2	2.1
202	YML042W	CAT2	2.1
203	YKL124W	SSH4	2.1
204	YGR256W	GND2	2.1
205	YLL039C	UBI4	2.1
206	YER020W	GPA2	2.1
207	YDL019C	OSH2	2.1
208	YLR251W	SYM1	2.1
209	YGR019W	UGA1	2.1
210	YDL234C	GYP7	2.1
211	YPR061C	JID1	2.1
212	YER162C	RAD4	2.1
213	YDL085W	NDE2	2.1
214	YBL045C	COR1	2.1
215	YNR045W	PET494	2.1
216	YER103W	SSA4	2.1
217	YGL205W	POX1	2.1
218	YKL035W	UGP1	2.1
219	YJL166W	QCR8	2.1
220	YGL227W	VID30	2.1
221	YJL151C	SNA3	2.1
222	YGL156W	AMS1	2.1
223	YJL116C	NCA3	2.1
224	YKL142W	MRP8	2.1
225	YBL033C	RIB1	2.1
226	YIL099W	SGA1	2.1
227	YER033C	ZRG8	2.1
228	YCL025C	AGP1	2.1
229	YMR053C	STB2	2.1
230	YDL223C	HBT1	2.1
231	YIL125W	KGD1	2.1
232	YAL062W	GDH3	2.1
233	YKR067W	GPT2	2.1
234	YJL057C	IKS1	2.1
235	YGL191W	COX13	2.1
236	YLR201C	COQ9	2.1
237	YHR160C	PEX18	2.1
238	YKL141W	SDH3	2.1
239	YLR270W	DCS1	2.1
240	YAL054C	ACS1	2.1
241	YNL015W	PBI2	2.1
242	YMR174C	PAI3	2.1
243	YOL100W	PKH2	2.1
244	YJL048C	UBX6	2.1
245	YHR016C	YSC84	2.1
246	YGR142W	BTN2	2.1
247	YBR117C	TKL2	2.1
248	YGR236C	SPG1	2.1
249	YDL024C	DIA3	2.1
250	YLR023C	IZH3	2.1
251	YOL032W	OPI10	2.1
252	YBR280C	SAF1	2.1
253	YMR256C	COX7	2.1
254	YBR132C	AGP2	2.1
255	YMR145C	NDE1	2.1
256	YKR046C	PLN1	2.1
257	YDR513W	GRX2	2.1
258	YGL219C	MDM34	2.1
259	YMR175W	SIP18	2.1
260	YDR003W	RCR2	2.1
261	YDL022W	GPD1	2.1
262	YMR311C	GLC8	2.1
263	YIL160C	POT1	2.1
264	YDR329C	PEX3	2.1
265	YJR127C	RSF2	2.1
266	YJL161W	FMP33	2.1
267	YML118W	NGL3	2.1
268	YGL248W	PDE1	2.1
269	YGR183C	QCR9	2.1
270	YMR271C	URA10	2.1
271	YNL223W	ATG4	2.1
272	YDR273W	DON1	2.1
273	YEL024W	RIP1	2.1
274	YPL196W	OXR1	2.1
275	YNR007C	ATG3	2.1
276	YBR101C	FES1	2.1
277	YNL009W	IDP3	2.1
278	YDR453C	TSA2	2.1
279	YHR161C	YAP1801	2.1
280	YER065C	ICL1	2.1
281	YPR155C	NCA2	2.1
282	YOL071W	SDH5	2.1
283	YPR008W	HAA1	2.1
284	YOR062C	YOR062C	2.1
285	YDR255C	RMD5	2.1
286	YPR191W	QCR2	2.1
287	YBL075C	SSA3	2.1
288	YDR505C	PSP1	2.1
289	YMR140W	SIP5	2.1
290	YGL003C	CDH1	2.1
291	YOR054C	VHS3	2.1
292	YNL093W	YPT53	2.1
293	YGR143W	SKN1	2.1
294	YJL153C	INO1	2.1
295	YPR154W	PIN3	2.1
296	YBR149W	ARA1	2.1
297	YJL221C	IMA4	2.1
298	YNL237W	YTP1	2.1
299	YDL115C	IWR1	2.1
300	YPL223C	GRE1	2.1
301	YBR054W	YRO2	2.0
302	YER182W	FMP10	2.0
303	YAL028W	FRT2	2.0
304	YGR244C	LSC2	2.0
305	YOR348C	PUT4	2.0
306	YER101C	AST2	2.0
