SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SRP101

Rank	Gene	Common	Score
Q	YDR292C	SRP101	
1	YDL040C	NAT1	3.4
2	YDR190C	RVB1	3.1
3	YOR046C	DBP5	3.0
4	YFR009W	GCN20	3.0
5	YFR002W	NIC96	3.0
6	YOR243C	PUS7	3.0
7	YMR212C	EFR3	3.0
8	YDR023W	SES1	2.9
9	YDR172W	SUP35	2.9
10	YDR212W	TCP1	2.9
11	YPL243W	SRP68	2.9
12	YDR245W	MNN10	2.9
13	YDR395W	SXM1	2.9
14	YEL055C	POL5	2.9
15	YDL074C	BRE1	2.9
16	YDR280W	RRP45	2.9
17	YGR162W	TIF4631	2.9
18	YNL085W	MKT1	2.9
19	YOR241W	MET7	2.9
20	YDR346C	SVF1	2.9
21	YOL049W	GSH2	2.9
22	YOR361C	PRT1	2.9
23	YOR165W	SEY1	2.8
24	YNL087W	TCB2	2.8
25	YDR211W	GCD6	2.8
26	YLR060W	FRS1	2.8
27	YJL111W	CCT7	2.8
28	YPL160W	CDC60	2.8
29	YOR168W	GLN4	2.8
30	YER025W	GCD11	2.8
31	YMR309C	NIP1	2.8
32	YDR189W	SLY1	2.8
33	YBR121C	GRS1	2.8
34	YFL004W	VTC2	2.8
35	YOL097C	WRS1	2.8
36	YER049W	TPA1	2.8
37	YOR239W	ABP140	2.8
38	YGL099W	LSG1	2.8
39	YDL226C	GCS1	2.8
40	YMR033W	ARP9	2.8
41	YMR125W	STO1	2.8
42	YGR264C	MES1	2.8
43	YGL112C	TAF6	2.8
44	YDL084W	SUB2	2.8
45	YGL092W	NUP145	2.8
46	YPL235W	RVB2	2.8
47	YPL050C	MNN9	2.8
48	YPR118W	MRI1	2.8
49	YBL076C	ILS1	2.7
50	YGL097W	SRM1	2.7
51	YDL116W	NUP84	2.7
52	YPL210C	SRP72	2.7
53	YPR033C	HTS1	2.7
54	YDL112W	TRM3	2.7
55	YGR200C	ELP2	2.7
56	YIL078W	THS1	2.7
57	YDR119W	VBA4	2.7
58	YBR084W	MIS1	2.7
59	YDR390C	UBA2	2.7
60	YBR245C	ISW1	2.7
61	YOR209C	NPT1	2.7
62	YJR031C	GEA1	2.7
63	YOR217W	RFC1	2.7
64	YLR276C	DBP9	2.7
65	YNL154C	YCK2	2.7
66	YDR117C	TMA64	2.7
67	YOR254C	SEC63	2.7
68	YKR084C	HBS1	2.7
69	YJL061W	NUP82	2.7
70	YDR170C	SEC7	2.7
71	YNL189W	SRP1	2.7
72	YLR083C	EMP70	2.7
73	YBR143C	SUP45	2.7
74	YBL024W	NCL1	2.7
75	YMR091C	NPL6	2.7
76	YHR063C	PAN5	2.7
77	YDR300C	PRO1	2.7
78	YDR324C	UTP4	2.7
79	YOR198C	BFR1	2.7
80	YMR235C	RNA1	2.7
81	YJL014W	CCT3	2.7
82	YGR083C	GCD2	2.7
83	YDR165W	TRM82	2.7
84	YPR072W	NOT5	2.7
85	YHR013C	ARD1	2.7
86	YAL035W	FUN12	2.6
87	YBR205W	KTR3	2.6
88	YOR061W	CKA2	2.6
89	YEL022W	GEA2	2.6
90	YOR335C	ALA1	2.6
91	YLR335W	NUP2	2.6
92	YDL236W	PHO13	2.6
93	YOR216C	RUD3	2.6
94	YBR130C	SHE3	2.6
95	YGL195W	GCN1	2.6
96	YPL263C	KEL3	2.6
97	YGL155W	CDC43	2.6
98	YDL225W	SHS1	2.6
99	YGR261C	APL6	2.6
100	YNL248C	RPA49	2.6
101	YML105C	SEC65	2.6
102	YHR201C	PPX1	2.6
103	YGL245W	GUS1	2.6
104	YBR142W	MAK5	2.6
105	YIL021W	RPB3	2.6
106	YJR069C	HAM1	2.6
107	YPR041W	TIF5	2.6
108	YDR238C	SEC26	2.6
109	YDR361C	BCP1	2.6
110	YJL080C	SCP160	2.6
111	YDR303C	RSC3	2.6
112	YDL143W	CCT4	2.6
113	YMR153W	NUP53	2.6
114	YOR206W	NOC2	2.6
115	YDR372C	VPS74	2.6
116	YPL086C	ELP3	2.6
117	YDR144C	MKC7	2.6
118	YJL008C	CCT8	2.6
119	YLR188W	MDL1	2.6
120	YOR323C	PRO2	2.6
121	YFL022C	FRS2	2.6
122	YGR094W	VAS1	2.6
123	YOR320C	GNT1	2.6
124	YML065W	ORC1	2.6
125	YHL011C	PRS3	2.6
126	YMR308C	PSE1	2.6
127	YGR185C	TYS1	2.6
128	YDL036C	PUS9	2.6
129	YNL121C	TOM70	2.6
130	YDL103C	QRI1	2.6
131	YER105C	NUP157	2.6
132	YBL068W	PRS4	2.6
133	YJR064W	CCT5	2.6
134	YMR183C	SSO2	2.6
135	YKR026C	GCN3	2.6
136	YDR120C	TRM1	2.6
137	YJL124C	LSM1	2.6
138	YHR170W	NMD3	2.6
139	YDL060W	TSR1	2.6
140	YGR285C	ZUO1	2.6
141	YCR035C	RRP43	2.6
142	YDL145C	COP1	2.6
143	YDR429C	TIF35	2.6
144	YJR002W	MPP10	2.6
145	YJR032W	CPR7	2.6
146	YGL111W	NSA1	2.6
147	YMR131C	RRB1	2.6
148	YLR285W	NNT1	2.6
149	YNL132W	KRE33	2.5
150	YER171W	RAD3	2.5
151	YNL258C	DSL1	2.5
152	YGR128C	UTP8	2.5
153	YDL155W	CLB3	2.5
154	YJR007W	SUI2	2.5
155	YNL292W	PUS4	2.5
156	YDR152W	GIR2	2.5
157	YIL039W	TED1	2.5
158	YBR079C	RPG1	2.5
159	YEL015W	EDC3	2.5
160	YGL016W	KAP122	2.5
161	YLR409C	UTP21	2.5
162	YKL021C	MAK11	2.5
163	YOR048C	RAT1	2.5
164	YJL050W	MTR4	2.5
165	YGR119C	NUP57	2.5
166	YAR002W	NUP60	2.5
167	YGR229C	SMI1	2.5
168	YPR163C	TIF3	2.5
169	YHR108W	GGA2	2.5
170	YHR068W	DYS1	2.5
171	YDL051W	LHP1	2.5
172	YDR091C	RLI1	2.5
173	YJR143C	PMT4	2.5
174	YPR088C	SRP54	2.5
175	YNL061W	NOP2	2.5
176	YGR276C	RNH70	2.5
177	YBR236C	ABD1	2.5
178	YMR146C	TIF34	2.5
179	YLR272C	YCS4	2.5
180	YGL105W	ARC1	2.5
181	YJL081C	ARP4	2.5
182	YCL011C	GBP2	2.5
183	YGL020C	GET1	2.5
184	YML093W	UTP14	2.5
185	YOR260W	GCD1	2.5
186	YIL016W	SNL1	2.5
187	YLR195C	NMT1	2.5
188	YDR331W	GPI8	2.5
189	YMR129W	POM152	2.5
190	YPL183C	RTT10	2.5
191	YGL115W	SNF4	2.5
192	YPL237W	SUI3	2.5
193	YGL137W	SEC27	2.5
194	YMR012W	CLU1	2.5
195	YML103C	NUP188	2.5
196	YKR082W	NUP133	2.5
