SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RQC1

Rank	Gene	Common	Score
Q	YDR333C	RQC1	
1	YLR307W	CDA1	1.8
2	YDR138W	HPR1	1.8
3	YPL125W	KAP120	1.7
4	YOR151C	RPB2	1.6
5	YMR309C	NIP1	1.6
6	YDR331W	GPI8	1.6
7	YGL238W	CSE1	1.6
8	YDL116W	NUP84	1.6
9	YDR395W	SXM1	1.6
10	YER168C	CCA1	1.6
11	YGR264C	MES1	1.6
12	YAL041W	CDC24	1.6
13	YLR071C	RGR1	1.6
14	YDL102W	POL3	1.5
15	YPL235W	RVB2	1.5
16	YMR061W	RNA14	1.5
17	YDR172W	SUP35	1.5
18	YDL073W	AHK1	1.5
19	YOR335C	ALA1	1.5
20	YDR062W	LCB2	1.5
21	YDR389W	SAC7	1.5
22	YJL039C	NUP192	1.5
23	YFR002W	NIC96	1.5
24	YMR275C	BUL1	1.5
25	YPL101W	ELP4	1.5
26	YGL167C	PMR1	1.5
27	YMR125W	STO1	1.5
28	YDR499W	LCD1	1.5
29	YDR091C	RLI1	1.5
30	YIL143C	SSL2	1.5
31	YDR190C	RVB1	1.5
32	YER123W	YCK3	1.5
33	YPL183C	RTT10	1.5
34	YDR267C	CIA1	1.5
35	YDR195W	REF2	1.5
36	YGR117C	YGR117C	1.5
37	YFR009W	GCN20	1.4
38	YMR247C	RKR1	1.4
39	YPL069C	BTS1	1.4
40	YMR080C	NAM7	1.4
41	YLR389C	STE23	1.4
42	YIL110W	HPM1	1.4
43	YBR023C	CHS3	1.4
44	YGR162W	TIF4631	1.4
45	YDR303C	RSC3	1.4
46	YPL126W	NAN1	1.4
47	YDR117C	TMA64	1.4
48	YGL145W	TIP20	1.4
49	YDR194C	MSS116	1.4
50	YER173W	RAD24	1.4
51	YLR096W	KIN2	1.4
52	YKL125W	RRN3	1.4
53	YDR211W	GCD6	1.4
54	YDR465C	RMT2	1.4
55	YBL004W	UTP20	1.4
56	YDR427W	RPN9	1.4
57	YGL140C	YGL140C	1.4
58	YPL169C	MEX67	1.4
59	YMR033W	ARP9	1.4
60	YDR361C	BCP1	1.4
61	YOR206W	NOC2	1.4
62	YDL074C	BRE1	1.4
63	YDR266C	HEL2	1.4
64	YGL151W	NUT1	1.4
65	YDR004W	RAD57	1.4
66	YDL190C	UFD2	1.4
67	YDL122W	UBP1	1.4
68	YER025W	GCD11	1.4
69	YMR012W	CLU1	1.4
70	YKL205W	LOS1	1.4
71	YFR038W	IRC5	1.4
72	YCR035C	RRP43	1.4
73	YDR531W	CAB1	1.4
74	YKL135C	APL2	1.4
75	YGR186W	TFG1	1.4
76	YBR049C	REB1	1.4
77	YDR228C	PCF11	1.4
78	YDR364C	CDC40	1.4
79	YOR171C	LCB4	1.4
80	YPR029C	APL4	1.4
81	YDR419W	RAD30	1.4
82	YLR129W	DIP2	1.4
83	YKL057C	NUP120	1.4
84	YGR218W	CRM1	1.4
85	YDR238C	SEC26	1.4
86	YLL048C	YBT1	1.4
87	YJL207C	LAA1	1.4
88	YDL060W	TSR1	1.4
89	YDR180W	SCC2	1.4
90	YMR212C	EFR3	1.4
91	YPL105C	SYH1	1.4
92	YLR409C	UTP21	1.4
93	YGR198W	YPP1	1.4
94	YJL111W	CCT7	1.4
95	YNL123W	NMA111	1.4
96	YPL016W	SWI1	1.4
97	YLR226W	BUR2	1.4
98	YOL021C	DIS3	1.4
99	YDR301W	CFT1	1.4
100	YDR257C	RKM4	1.4
101	YGR046W	TAM41	1.4
102	YDR300C	PRO1	1.4
103	YGL241W	KAP114	1.4
104	YLR403W	SFP1	1.4
105	YPR048W	TAH18	1.4
106	YPL179W	PPQ1	1.4
107	YLR310C	CDC25	1.4
108	YJL050W	MTR4	1.4
109	YPL001W	HAT1	1.4
110	YML046W	PRP39	1.4
111	YIL091C	UTP25	1.4
112	YDR292C	SRP101	1.4
113	YCR008W	SAT4	1.4
114	YLR419W	YLR419W	1.4
115	YDR264C	AKR1	1.4
116	YNL238W	KEX2	1.4
117	YIL104C	SHQ1	1.4
118	YDR235W	PRP42	1.4
119	YDR103W	STE5	1.4
120	YNL061W	NOP2	1.4
121	YGL112C	TAF6	1.4
122	YPR097W	LEC1	1.4
123	YGR119C	NUP57	1.4
124	YDR398W	UTP5	1.4
125	YBR143C	SUP45	1.4
126	YDR464W	SPP41	1.3
127	YAL035W	FUN12	1.3
128	YGR184C	UBR1	1.3
129	YBL079W	NUP170	1.3
130	YDR365C	ESF1	1.3
131	YLR451W	LEU3	1.3
132	YNL212W	VID27	1.3
133	YGR116W	SPT6	1.3
134	YNL041C	COG6	1.3
135	YNL256W	FOL1	1.3
136	YJL010C	NOP9	1.3
137	YML081W	TDA9	1.3
138	YBR211C	AME1	1.3
139	YDR170C	SEC7	1.3
140	YDR075W	PPH3	1.3
141	YNR051C	BRE5	1.3
142	YPL160W	CDC60	1.3
143	YLR363C	NMD4	1.3
144	YGL050W	TYW3	1.3
145	YBR017C	KAP104	1.3
146	YER171W	RAD3	1.3
