SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RGA2

Rank	Gene	Common	Score
Q	YDR379W	RGA2	
1	YDL113C	ATG20	2.9
2	YDR358W	GGA1	2.6
3	YGR009C	SEC9	2.5
4	YDR028C	REG1	2.5
5	YOR275C	RIM20	2.5
6	YBR290W	BSD2	2.5
7	YBR255W	MTC4	2.5
8	YFL013C	IES1	2.5
9	YGL227W	VID30	2.5
10	YOL100W	PKH2	2.5
11	YDR085C	AFR1	2.5
12	YIL017C	VID28	2.5
13	YGR196C	FYV8	2.4
14	YDL234C	GYP7	2.4
15	YOR069W	VPS5	2.4
16	YOR036W	PEP12	2.4
17	YDR122W	KIN1	2.4
18	YKL129C	MYO3	2.4
19	YGL095C	VPS45	2.4
20	YER162C	RAD4	2.4
21	YDR421W	ARO80	2.4
22	YGR258C	RAD2	2.4
23	YJL155C	FBP26	2.4
24	YLR189C	ATG26	2.4
25	YKL012W	PRP40	2.4
26	YEL012W	UBC8	2.4
27	YDR200C	VPS64	2.3
28	YPR026W	ATH1	2.3
29	YMR197C	VTI1	2.3
30	YIL097W	FYV10	2.3
31	YGR070W	ROM1	2.3
32	YDL149W	ATG9	2.3
33	YJR035W	RAD26	2.3
34	YDR479C	PEX29	2.3
35	YJR089W	BIR1	2.3
36	YLR371W	ROM2	2.3
37	YJL057C	IKS1	2.3
38	YGL252C	RTG2	2.3
39	YDR289C	RTT103	2.3
40	YDR001C	NTH1	2.3
41	YDR473C	PRP3	2.3
42	YDL115C	IWR1	2.3
43	YDL239C	ADY3	2.3
44	YDR351W	SBE2	2.3
45	YIL107C	PFK26	2.3
46	YGR270W	YTA7	2.3
47	YDR176W	NGG1	2.3
48	YBR200W	BEM1	2.3
49	YJL036W	SNX4	2.3
50	YMR311C	GLC8	2.3
51	YNL118C	DCP2	2.3
52	YLR425W	TUS1	2.3
53	YIL045W	PIG2	2.3
54	YDL056W	MBP1	2.3
55	YMR302C	YME2	2.3
56	YKL193C	SDS22	2.3
57	YDR392W	SPT3	2.3
58	YIL036W	CST6	2.3
59	YDR251W	PAM1	2.3
60	YDL035C	GPR1	2.3
61	YIL136W	OM45	2.3
62	YBL078C	ATG8	2.3
63	YDR386W	MUS81	2.3
64	YOL082W	ATG19	2.2
65	YBR237W	PRP5	2.2
66	YPL123C	RNY1	2.2
67	YLR270W	DCS1	2.2
68	YHR161C	YAP1801	2.2
69	YHR006W	STP2	2.2
70	YPR055W	SEC8	2.2
71	YDR272W	GLO2	2.2
72	YOL117W	RRI2	2.2
73	YDR202C	RAV2	2.2
74	YMR304W	UBP15	2.2
75	YJR052W	RAD7	2.2
76	YNR007C	ATG3	2.2
77	YDL147W	RPN5	2.2
78	YKL168C	KKQ8	2.2
79	YDL215C	GDH2	2.2
80	YMR053C	STB2	2.2
81	YDR407C	TRS120	2.2
82	YDL045C	FAD1	2.2
83	YHL002W	HSE1	2.2
84	YBR199W	KTR4	2.2
85	YDR484W	VPS52	2.2
86	YDR181C	SAS4	2.2
87	YLR369W	SSQ1	2.2
88	YDR058C	TGL2	2.2
89	YDR452W	PPN1	2.2
90	YHL019C	APM2	2.2
91	YOR208W	PTP2	2.2
92	YMR284W	YKU70	2.2
93	YGR170W	PSD2	2.2
94	YPL181W	CTI6	2.2
95	YDR293C	SSD1	2.2
96	YDR436W	PPZ2	2.2
97	YPL100W	ATG21	2.2
98	YER167W	BCK2	2.2
99	YIL105C	SLM1	2.2
100	YOR035C	SHE4	2.2
101	YBR059C	AKL1	2.2
102	YCR091W	KIN82	2.2
103	YKL188C	PXA2	2.2
104	YDR425W	SNX41	2.2
105	YOR124C	UBP2	2.2
106	YGR100W	MDR1	2.2
107	YGL110C	CUE3	2.2
108	YNL293W	MSB3	2.2
109	YGR008C	STF2	2.2
110	YDR258C	HSP78	2.2
111	YDR330W	UBX5	2.2
112	YPR072W	NOT5	2.2
113	YML117W	NAB6	2.2
114	YDR350C	ATP22	2.2
115	YDR088C	SLU7	2.2
116	YDL161W	ENT1	2.2
117	YOL018C	TLG2	2.2
118	YMR097C	MTG1	2.2
119	YOR014W	RTS1	2.2
120	YIR002C	MPH1	2.2
121	YLR080W	EMP46	2.2
122	YKL124W	SSH4	2.2
123	YDR315C	IPK1	2.2
124	YGL219C	MDM34	2.2
125	YER098W	UBP9	2.2
126	YDR383C	NKP1	2.2
127	YDR460W	TFB3	2.2
128	YDR069C	DOA4	2.2
129	YGL156W	AMS1	2.2
130	YDR335W	MSN5	2.2
131	YKL189W	HYM1	2.2
132	YDR229W	IVY1	2.2
133	YER048C	CAJ1	2.2
134	YGL006W	PMC1	2.2
135	YNL027W	CRZ1	2.1
136	YPL249C	GYP5	2.1
137	YDL107W	MSS2	2.1
138	YMR028W	TAP42	2.1
139	YDL013W	SLX5	2.1
140	YNL265C	IST1	2.1
141	YMR023C	MSS1	2.1
142	YKL065C	YET1	2.1
143	YDL216C	RRI1	2.1
144	YDR363W	ESC2	2.1
145	YNL156C	NSG2	2.1
146	YGL228W	SHE10	2.1
147	YLR248W	RCK2	2.1
148	YLR307W	CDA1	2.1
149	YDR311W	TFB1	2.1
150	YFL049W	SWP82	2.1
151	YCR042C	TAF2	2.1
152	YNL297C	MON2	2.1
153	YDL132W	CDC53	2.1
154	YER013W	PRP22	2.1
155	YCL052C	PBN1	2.1
156	YFR003C	YPI1	2.1
157	YER142C	MAG1	2.1
158	YJR036C	HUL4	2.1
159	YDR329C	PEX3	2.1
160	YDR283C	GCN2	2.1
161	YPR178W	PRP4	2.1
162	YDR244W	PEX5	2.1
163	YDR369C	XRS2	2.1
164	YOR386W	PHR1	2.1
165	YOR304W	ISW2	2.1
166	YLR309C	IMH1	2.1
167	YHR075C	PPE1	2.1
168	YGL133W	ITC1	2.1
169	YDR082W	STN1	2.1
170	YOR089C	VPS21	2.1
171	YBR169C	SSE2	2.1
172	YDL110C	TMA17	2.1
173	YGL248W	PDE1	2.1
174	YPL070W	MUK1	2.1
175	YPL045W	VPS16	2.1
176	YIL156W	UBP7	2.1
177	YCR014C	POL4	2.1
178	YMR173W	DDR48	2.1
179	YFR010W	UBP6	2.1
180	YGL098W	USE1	2.1
181	YDR171W	HSP42	2.1
182	YLL026W	HSP104	2.1
183	YJL047C	RTT101	2.1
184	YJR110W	YMR1	2.1
185	YPR008W	HAA1	2.1
186	YML128C	MSC1	2.1
187	YKL064W	MNR2	2.1
188	YLR251W	SYM1	2.1
189	YJL053W	PEP8	2.1
190	YLR006C	SSK1	2.1
191	YBR095C	RXT2	2.1
192	YGR092W	DBF2	2.1
193	YDL007W	RPT2	2.1
194	YDL044C	MTF2	2.1
195	YKL121W	DGR2	2.1
196	YHR171W	ATG7	2.1
197	YAL017W	PSK1	2.1
198	YLR431C	ATG23	2.1
199	YPL167C	REV3	2.1
200	YML057W	CMP2	2.1
201	YLR423C	ATG17	2.1
202	YOR245C	DGA1	2.1
203	YKR021W	ALY1	2.1
204	YDL021W	GPM2	2.1
205	YNL223W	ATG4	2.1
206	YOL096C	COQ3	2.1
207	YDR499W	LCD1	2.1
208	YPL203W	TPK2	2.1
209	YDR169C	STB3	2.1
210	YDL169C	UGX2	2.1
211	YLR206W	ENT2	2.1
212	YJL141C	YAK1	2.1
213	YNL224C	SQS1	2.1
214	YPL259C	APM1	2.1
215	YGR046W	TAM41	2.1
216	YOR137C	SIA1	2.1
217	YNL054W	VAC7	2.1
