SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPP2B

Rank	Gene	Common	Score
Q	YDR382W	RPP2B	
1	YDL081C	RPP1A	5.7
2	YDL130W	RPP1B	5.4
3	YOL039W	RPP2A	5.4
4	YGL123W	RPS2	5.2
5	YOR369C	RPS12	5.2
6	YGL031C	RPL24A	5.2
7	YEL054C	RPL12A	5.1
8	YNL178W	RPS3	5.1
9	YFR031C-A	RPL2A	5.1
10	YGR148C	RPL24B	5.1
11	YBR191W	RPL21A	5.1
12	YLR340W	RPP0	5.0
13	YGL030W	RPL30	5.0
14	YDR418W	RPL12B	5.0
15	YKL006W	RPL14A	5.0
16	YNL069C	RPL16B	5.0
17	YJL190C	RPS22A	5.0
18	YOL120C	RPL18A	4.9
19	YDR064W	RPS13	4.9
20	YOL040C	RPS15	4.9
21	YPR043W	RPL43A	4.9
22	YBR189W	RPS9B	4.9
23	YML073C	RPL6A	4.9
24	YBL087C	RPL23A	4.9
25	YER131W	RPS26B	4.9
26	YPL079W	RPL21B	4.8
27	YMR116C	ASC1	4.8
28	YGR027C	RPS25A	4.8
29	YCR031C	RPS14A	4.8
30	YGL189C	RPS26A	4.8
31	YLR185W	RPL37A	4.8
32	YDL075W	RPL31A	4.8
33	YER074W	RPS24A	4.8
34	YBL072C	RPS8A	4.8
35	YMR142C	RPL13B	4.8
36	YPL143W	RPL33A	4.8
37	YHR021C	RPS27B	4.8
38	YLR061W	RPL22A	4.8
39	YPL131W	RPL5	4.7
40	YDL083C	RPS16B	4.7
41	YJR123W	RPS5	4.7
42	YML024W	RPS17A	4.7
43	YBR048W	RPS11B	4.7
44	YJL177W	RPL17B	4.7
45	YJL136C	RPS21B	4.7
46	YGL103W	RPL28	4.7
47	YDL061C	RPS29B	4.7
48	YHL015W	RPS20	4.7
49	YDL082W	RPL13A	4.6
50	YLR048W	RPS0B	4.6
51	YKR057W	RPS21A	4.6
52	YGR214W	RPS0A	4.6
53	YLR344W	RPL26A	4.6
54	YLR167W	RPS31	4.6
55	YOL127W	RPL25	4.6
56	YBL092W	RPL32	4.6
57	YNL302C	RPS19B	4.6
58	YOR096W	RPS7A	4.6
59	YLR075W	RPL10	4.6
60	YKL180W	RPL17A	4.6
61	YLL045C	RPL8B	4.6
62	YIL018W	RPL2B	4.6
63	YLR388W	RPS29A	4.6
64	YOR063W	RPL3	4.6
65	YER117W	RPL23B	4.6
66	YER102W	RPS8B	4.6
67	YGL147C	RPL9A	4.6
68	YKL056C	TMA19	4.5
69	YGR085C	RPL11B	4.5
70	YHR010W	RPL27A	4.5
71	YLR448W	RPL6B	4.5
72	YBL027W	RPL19B	4.5
73	YPR102C	RPL11A	4.5
74	YIL133C	RPL16A	4.5
75	YML026C	RPS18B	4.5
76	YPR132W	RPS23B	4.5
77	YGR118W	RPS23A	4.5
78	YDR450W	RPS18A	4.5
79	YLR029C	RPL15A	4.5
80	YER056C-A	RPL34A	4.5
81	YDR500C	RPL37B	4.5
82	YHL001W	RPL14B	4.5
83	YPL220W	RPL1A	4.4
84	YIL052C	RPL34B	4.4
85	YDR025W	RPS11A	4.4
86	YMR242C	RPL20A	4.4
87	YLR333C	RPS25B	4.4
88	YGR034W	RPL26B	4.4
89	YML063W	RPS1B	4.4
90	YJR145C	RPS4A	4.4
91	YHL033C	RPL8A	4.4
92	YOR293W	RPS10A	4.4
93	YLR441C	RPS1A	4.4
94	YOR167C	RPS28A	4.3
95	YIL069C	RPS24B	4.3
96	YMR143W	RPS16A	4.3
97	YDR471W	RPL27B	4.3
98	YOR312C	RPL20B	4.3
99	YOR234C	RPL33B	4.3
100	YDR447C	RPS17B	4.2
101	YLR325C	RPL38	4.2
102	YIL148W	RPL40A	4.2
103	YGL135W	RPL1B	4.2
104	YPL090C	RPS6A	4.2
105	YNL067W	RPL9B	4.2
106	YLR264W	RPS28B	4.1
107	YLR150W	STM1	4.1
108	YJR094W-A	RPL43B	4.1
109	YBR031W	RPL4A	4.1
110	YNL301C	RPL18B	4.1
111	YDL191W	RPL35A	4.1
112	YDR012W	RPL4B	4.1
113	YKR094C	RPL40B	4.1
114	YLR367W	RPS22B	4.1
115	YGL076C	RPL7A	4.1
116	YNL096C	RPS7B	4.0
117	YNL162W	RPL42A	4.0
