SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SXM1

Rank	Gene	Common	Score
Q	YDR395W	SXM1	
1	YOR361C	PRT1	4.2
2	YLR409C	UTP21	4.1
3	YPL126W	NAN1	4.1
4	YGR200C	ELP2	4.1
5	YGR128C	UTP8	4.1
6	YNL132W	KRE33	4.1
7	YDR165W	TRM82	4.0
8	YOR206W	NOC2	4.0
9	YPL086C	ELP3	4.0
10	YPL226W	NEW1	4.0
11	YGR123C	PPT1	4.0
12	YPR110C	RPC40	4.0
13	YPR010C	RPA135	4.0
14	YGR264C	MES1	4.0
15	YDR091C	RLI1	4.0
16	YDL060W	TSR1	4.0
17	YDR101C	ARX1	4.0
18	YJL050W	MTR4	3.9
19	YMR309C	NIP1	3.9
20	YMR049C	ERB1	3.9
21	YBL024W	NCL1	3.9
22	YCR057C	PWP2	3.9
23	YDR496C	PUF6	3.9
24	YGL099W	LSG1	3.9
25	YDR324C	UTP4	3.9
26	YOR272W	YTM1	3.9
27	YHL011C	PRS3	3.9
28	YBR084W	MIS1	3.9
29	YLR129W	DIP2	3.8
30	YNL248C	RPA49	3.8
31	YMR131C	RRB1	3.8
32	YBL039C	URA7	3.8
33	YMR308C	PSE1	3.8
34	YBR142W	MAK5	3.8
35	YGR162W	TIF4631	3.8
36	YLR276C	DBP9	3.8
37	YLR196W	PWP1	3.8
38	YPL012W	RRP12	3.8
39	YLR222C	UTP13	3.8
40	YOR340C	RPA43	3.8
41	YMR093W	UTP15	3.8
42	YBR247C	ENP1	3.8
43	YOR310C	NOP58	3.8
44	YNL061W	NOP2	3.8
45	YER006W	NUG1	3.8
46	YPL183C	RTT10	3.8
47	YOR335C	ALA1	3.8
48	YOR168W	GLN4	3.7
49	YOR341W	RPA190	3.7
50	YER049W	TPA1	3.7
51	YGR090W	UTP22	3.7
52	YHR170W	NMD3	3.7
53	YLR060W	FRS1	3.7
54	YNL175C	NOP13	3.7
