SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DIT1

Rank	Gene	Common	Score
Q	YDR403W	DIT1	
1	YDL024C	DIA3	3.0
2	YDR402C	DIT2	3.0
3	YFR023W	PES4	2.9
4	YJR078W	BNA2	2.8
5	YJL037W	IRC18	2.8
6	YJL221C	IMA4	2.7
7	YNL012W	SPO1	2.7
8	YOR177C	MPC54	2.7
9	YNL128W	TEP1	2.6
10	YIR028W	DAL4	2.6
11	YBR076W	ECM8	2.6
12	YMR017W	SPO20	2.6
13	YIL099W	SGA1	2.6
14	YHR015W	MIP6	2.6
15	YGR059W	SPR3	2.6
16	YKL221W	MCH2	2.6
17	YIR039C	YPS6	2.5
18	YOL132W	GAS4	2.5
19	YIR027C	DAL1	2.5
20	YLR054C	OSW2	2.5
21	YDR533C	HSP31	2.5
22	YGR043C	NQM1	2.5
23	YML042W	CAT2	2.5
24	YPR001W	CIT3	2.5
25	YBR240C	THI2	2.5
26	YBR250W	SPO23	2.5
27	YDR317W	HIM1	2.5
28	YCL048W	SPS22	2.5
29	YJL038C	LOH1	2.4
30	YEL049W	PAU2	2.4
31	YER096W	SHC1	2.4
32	YOL055C	THI20	2.4
33	YDR009W	GAL3	2.4
34	YJR156C	THI11	2.4
35	YFL020C	PAU5	2.4
36	YMR101C	SRT1	2.4
37	YGR213C	RTA1	2.4
38	YBL049W	MOH1	2.4
39	YBR045C	GIP1	2.4
40	YPL171C	OYE3	2.4
41	YBR148W	YSW1	2.4
42	YKR076W	ECM4	2.4
43	YNL202W	SPS19	2.4
44	YDR523C	SPS1	2.4
45	YMR322C	SNO4	2.4
46	YMR271C	URA10	2.4
47	YLL057C	JLP1	2.4
48	YLR004C	THI73	2.4
49	YPR006C	ICL2	2.4
50	YKR097W	PCK1	2.4
51	YLR461W	PAU4	2.3
52	YPR007C	REC8	2.3
53	YER179W	DMC1	2.3
54	YIL120W	QDR1	2.3
55	YAL067C	SEO1	2.3
56	YGL156W	AMS1	2.3
57	YCR020C	PET18	2.3
58	YDL243C	AAD4	2.3
59	YMR020W	FMS1	2.3
60	YGR144W	THI4	2.3
61	YBR301W	PAU24	2.3
62	YPL223C	GRE1	2.3
63	YIL101C	XBP1	2.3
64	YHR124W	NDT80	2.3
65	YGR256W	GND2	2.3
66	YKL178C	STE3	2.3
67	YJL223C	PAU1	2.3
68	YNL331C	AAD14	2.3
69	YFL011W	HXT10	2.3
70	YGL121C	GPG1	2.3
71	YLR307W	CDA1	2.3
72	YDR043C	NRG1	2.3
73	YFL055W	AGP3	2.2
74	YJL219W	HXT9	2.2
75	YDR058C	TGL2	2.2
76	YIR041W	PAU15	2.2
77	YNL009W	IDP3	2.2
78	YDR218C	SPR28	2.2
79	YLR037C	PAU23	2.2
80	YLR267W	BOP2	2.2
81	YLR080W	EMP46	2.2
82	YDR082W	STN1	2.2
83	YOR190W	SPR1	2.2
84	YEL070W	DSF1	2.2
85	YDL210W	UGA4	2.2
86	YAL062W	GDH3	2.2
87	YMR107W	SPG4	2.2
88	YHR176W	FMO1	2.2
89	YCR104W	PAU3	2.2
90	YPL027W	SMA1	2.2
91	YLL046C	RNP1	2.2
92	YGL096W	TOS8	2.2
93	YBR182C	SMP1	2.2
